,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-05-30,1780.3588,1780.3588,1780.3588,1780.3588,0.0,0.0,2017-08-29,SI,SIQ17
2017-05-31,1752.2291,1752.2291,1752.2291,1752.2291,0.0,0.0,2017-08-29,SI,SIQ17
2017-06-01,1721.7403,1721.7403,1721.7403,1721.7403,1.0,1.0,2017-08-29,SI,SIQ17
2017-06-02,1713.1316,1713.1316,1713.1316,1713.1316,2.0,2.0,2017-08-29,SI,SIQ17
2017-06-05,1705.0799,1705.0799,1705.0799,1705.0799,11.0,10.0,2017-08-29,SI,SIQ17
2017-06-06,1693.9969,1693.9969,1693.9969,1693.9969,19.0,20.0,2017-08-29,SI,SIQ17
2017-06-07,1714.3249,1714.3249,1714.3249,1714.3249,17.0,23.0,2017-08-29,SI,SIQ17
2017-06-08,1731.9824,1731.9824,1731.9824,1731.9824,11.0,28.0,2017-08-29,SI,SIQ17
2017-06-09,1761.0797,1761.0797,1761.0797,1761.0797,25.0,35.0,2017-08-29,SI,SIQ17
2017-06-12,1794.5402,1794.5402,1794.5402,1794.5402,21.0,35.0,2017-08-29,SI,SIQ17
2017-06-13,1833.6612,1833.6612,1833.6612,1833.6612,38.0,52.0,2017-08-29,SI,SIQ17
2017-06-14,1865.9336,1865.9336,1865.9336,1865.9336,30.0,60.0,2017-08-29,SI,SIQ17
2017-06-15,1862.9481,1862.9481,1862.9481,1862.9481,76.0,67.0,2017-08-29,SI,SIQ17
2017-06-16,1849.7212,1849.7212,1849.7212,1849.7212,49.0,73.0,2017-08-29,SI,SIQ17
2017-06-19,1806.0678,1806.0678,1806.0678,1806.0678,51.0,106.0,2017-08-29,SI,SIQ17
2017-06-20,1776.9901,1776.9901,1776.9901,1776.9901,78.0,75.0,2017-08-29,SI,SIQ17
2017-06-21,1776.2793,1776.2793,1776.2793,1776.2793,599.0,101.0,2017-08-29,SI,SIQ17
2017-06-22,1817.8442,1817.8442,1817.8442,1817.8442,167.0,170.0,2017-08-29,SI,SIQ17
2017-06-23,1782.578,1782.578,1782.578,1782.578,117.0,202.0,2017-08-29,SI,SIQ17
2017-06-26,1751.0264,1751.0264,1751.0264,1751.0264,360.0,265.0,2017-08-29,SI,SIQ17
2017-06-27,1716.8814,1716.8814,1716.8814,1716.8814,192.0,367.0,2017-08-29,SI,SIQ17
2017-06-28,1692.1583,1692.1583,1692.1583,1692.1583,600.0,398.0,2017-08-29,SI,SIQ17
2017-06-29,1685.8973,1685.8973,1685.8973,1685.8973,354.0,376.0,2017-08-29,SI,SIQ17
2017-06-30,1687.4146,1687.4146,1687.4146,1687.4146,118.0,495.0,2017-08-29,SI,SIQ17
2017-07-03,1680.8337,1680.8337,1680.8337,1680.8337,610.0,305.0,2017-08-29,SI,SIQ17
2017-07-05,1645.2,1645.2,1645.2,1645.2,495.0,428.0,2017-08-29,SI,SIQ17
