,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-10-28,1816.8924,1816.8924,1816.8924,1816.8924,0.0,0.0,2018-09-26,SI,SIU18
2016-10-31,1790.3658,1790.3658,1790.3658,1790.3658,0.0,0.0,2018-09-26,SI,SIU18
2016-11-01,1772.8202,1772.8202,1772.8202,1772.8202,0.0,0.0,2018-09-26,SI,SIU18
2016-11-02,1730.9816,1730.9816,1730.9816,1730.9816,0.0,0.0,2018-09-26,SI,SIU18
2016-11-03,1747.7721,1747.7721,1747.7721,1747.7721,0.0,0.0,2018-09-26,SI,SIU18
2016-11-04,1775.2121,1775.2121,1775.2121,1775.2121,0.0,0.0,2018-09-26,SI,SIU18
2016-11-07,1743.4358,1743.4358,1743.4358,1743.4358,0.0,0.0,2018-09-26,SI,SIU18
2016-11-08,1773.5972,1773.5972,1773.5972,1773.5972,0.0,0.0,2018-09-26,SI,SIU18
2016-11-09,1807.8276,1807.8276,1807.8276,1807.8276,0.0,0.0,2018-09-26,SI,SIU18
2016-11-10,1768.7785,1768.7785,1768.7785,1768.7785,0.0,0.0,2018-09-26,SI,SIU18
2016-11-11,1797.6096,1797.6096,1797.6096,1797.6096,1.0,1.0,2018-09-26,SI,SIU18
2016-11-14,1763.2753,1763.2753,1763.2753,1763.2753,0.0,1.0,2018-09-26,SI,SIU18
2016-11-15,1755.6932,1755.6932,1755.6932,1755.6932,0.0,1.0,2018-09-26,SI,SIU18
2016-11-16,1723.3884,1723.3884,1723.3884,1723.3884,0.0,1.0,2018-09-26,SI,SIU18
2016-11-17,1720.631,1720.631,1720.631,1720.631,0.0,1.0,2018-09-26,SI,SIU18
2016-11-18,1686.0463,1686.0463,1686.0463,1686.0463,0.0,1.0,2018-09-26,SI,SIU18
2016-11-21,1692.2847,1692.2847,1692.2847,1692.2847,0.0,1.0,2018-09-26,SI,SIU18
2016-11-22,1708.1922,1708.1922,1708.1922,1708.1922,0.0,1.0,2018-09-26,SI,SIU18
2016-11-23,1718.0997,1718.0997,1718.0997,1718.0997,0.0,1.0,2018-09-26,SI,SIU18
2016-11-25,1741.9813,1741.9813,1741.9813,1741.9813,0.0,1.0,2018-09-26,SI,SIU18
2016-11-28,1706.4449,1706.4449,1706.4449,1706.4449,0.0,1.0,2018-09-26,SI,SIU18
2016-11-29,1718.0487,1718.0487,1718.0487,1718.0487,0.0,1.0,2018-09-26,SI,SIU18
2016-11-30,1734.8856,1734.8856,1734.8856,1734.8856,0.0,1.0,2018-09-26,SI,SIU18
2016-12-01,1698.106,1698.106,1698.106,1698.106,0.0,1.0,2018-09-26,SI,SIU18
2016-12-02,1680.9551,1680.9551,1680.9551,1680.9551,0.0,1.0,2018-09-26,SI,SIU18
2016-12-05,1694.5708,1694.5708,1694.5708,1694.5708,0.0,1.0,2018-09-26,SI,SIU18
2016-12-06,1681.1837,1681.1837,1681.1837,1681.1837,0.0,1.0,2018-09-26,SI,SIU18
2016-12-07,1706.2333,1706.2333,1706.2333,1706.2333,0.0,1.0,2018-09-26,SI,SIU18
2016-12-08,1680.981,1680.981,1680.981,1680.981,0.0,1.0,2018-09-26,SI,SIU18
2016-12-09,1678.9638,1678.9638,1678.9638,1678.9638,0.0,1.0,2018-09-26,SI,SIU18
2016-12-12,1644.545,1644.545,1644.545,1644.545,0.0,1.0,2018-09-26,SI,SIU18
2016-12-13,1656.0568,1656.0568,1656.0568,1656.0568,0.0,1.0,2018-09-26,SI,SIU18
2016-12-14,1641.6491,1641.6491,1641.6491,1641.6491,0.0,1.0,2018-09-26,SI,SIU18
2016-12-15,1651.9915,1651.9915,1651.9915,1651.9915,0.0,1.0,2018-09-26,SI,SIU18
2016-12-16,1669.007,1669.007,1669.007,1669.007,0.0,1.0,2018-09-26,SI,SIU18
2016-12-19,1642.9705,1642.9705,1642.9705,1642.9705,0.0,1.0,2018-09-26,SI,SIU18
2016-12-20,1605.1822,1605.1822,1605.1822,1605.1822,0.0,1.0,2018-09-26,SI,SIU18
2016-12-21,1569.5472,1569.5472,1569.5472,1569.5472,0.0,1.0,2018-09-26,SI,SIU18
2016-12-22,1568.4485,1568.4485,1568.4485,1568.4485,0.0,1.0,2018-09-26,SI,SIU18
2016-12-23,1549.4703,1549.4703,1549.4703,1549.4703,0.0,1.0,2018-09-26,SI,SIU18
2016-12-27,1518.171,1518.171,1518.171,1518.171,0.0,1.0,2018-09-26,SI,SIU18
2016-12-28,1545.4981,1545.4981,1545.4981,1545.4981,0.0,1.0,2018-09-26,SI,SIU18
2016-12-29,1576.2535,1576.2535,1576.2535,1576.2535,0.0,1.0,2018-09-26,SI,SIU18
2016-12-30,1572.1552,1572.1552,1572.1552,1572.1552,0.0,1.0,2018-09-26,SI,SIU18
2017-01-03,1539.1399,1539.1399,1539.1399,1539.1399,0.0,1.0,2018-09-26,SI,SIU18
2017-01-04,1540.9869,1540.9869,1540.9869,1540.9869,0.0,1.0,2018-09-26,SI,SIU18
2017-01-05,1513.095,1513.095,1513.095,1513.095,0.0,1.0,2018-09-26,SI,SIU18
2017-01-06,1495.5431,1495.5431,1495.5431,1495.5431,0.0,1.0,2018-09-26,SI,SIU18
2017-01-09,1529.0433,1529.0433,1529.0433,1529.0433,0.0,1.0,2018-09-26,SI,SIU18
2017-01-10,1535.7711,1535.7711,1535.7711,1535.7711,0.0,1.0,2018-09-26,SI,SIU18
2017-01-11,1563.5686,1563.5686,1563.5686,1563.5686,0.0,1.0,2018-09-26,SI,SIU18
2017-01-12,1592.8073,1592.8073,1592.8073,1592.8073,0.0,1.0,2018-09-26,SI,SIU18
2017-01-13,1588.5067,1588.5067,1588.5067,1588.5067,0.0,1.0,2018-09-26,SI,SIU18
2017-01-17,1562.1375,1562.1375,1562.1375,1562.1375,0.0,1.0,2018-09-26,SI,SIU18
2017-01-18,1566.8239,1566.8239,1566.8239,1566.8239,0.0,1.0,2018-09-26,SI,SIU18
2017-01-19,1574.5013,1574.5013,1574.5013,1574.5013,0.0,1.0,2018-09-26,SI,SIU18
2017-01-20,1567.7309,1567.7309,1567.7309,1567.7309,4.0,1.0,2018-09-26,SI,SIU18
2017-01-23,1577.9212,1577.9212,1577.9212,1577.9212,0.0,1.0,2018-09-26,SI,SIU18
2017-01-24,1543.8381,1543.8381,1543.8381,1543.8381,0.0,1.0,2018-09-26,SI,SIU18
2017-01-25,1537.1996,1537.1996,1537.1996,1537.1996,0.0,1.0,2018-09-26,SI,SIU18
2017-01-26,1573.1701,1573.1701,1573.1701,1573.1701,0.0,1.0,2018-09-26,SI,SIU18
2017-01-27,1538.2457,1538.2457,1538.2457,1538.2457,0.0,1.0,2018-09-26,SI,SIU18
2017-01-30,1557.3199,1557.3199,1557.3199,1557.3199,0.0,1.0,2018-09-26,SI,SIU18
2017-01-31,1572.1144,1572.1144,1572.1144,1572.1144,0.0,1.0,2018-09-26,SI,SIU18
2017-02-01,1569.599,1569.599,1569.599,1569.599,0.0,1.0,2018-09-26,SI,SIU18
2017-02-02,1558.9257,1558.9257,1558.9257,1558.9257,0.0,1.0,2018-09-26,SI,SIU18
2017-02-03,1564.226,1564.226,1564.226,1564.226,0.0,1.0,2018-09-26,SI,SIU18
2017-02-06,1526.841,1526.841,1526.841,1526.841,0.0,1.0,2018-09-26,SI,SIU18
2017-02-07,1546.9953,1546.9953,1546.9953,1546.9953,0.0,1.0,2018-09-26,SI,SIU18
2017-02-08,1547.15,1547.15,1547.15,1547.15,0.0,1.0,2018-09-26,SI,SIU18
2017-02-09,1519.3013,1519.3013,1519.3013,1519.3013,0.0,1.0,2018-09-26,SI,SIU18
2017-02-10,1532.0634,1532.0634,1532.0634,1532.0634,0.0,1.0,2018-09-26,SI,SIU18
2017-02-13,1567.4541,1567.4541,1567.4541,1567.4541,0.0,1.0,2018-09-26,SI,SIU18
2017-02-14,1578.8965,1578.8965,1578.8965,1578.8965,0.0,1.0,2018-09-26,SI,SIU18
2017-02-15,1607.7903,1607.7903,1607.7903,1607.7903,0.0,1.0,2018-09-26,SI,SIU18
2017-02-16,1632.8718,1632.8718,1632.8718,1632.8718,0.0,1.0,2018-09-26,SI,SIU18
2017-02-17,1610.5015,1610.5015,1610.5015,1610.5015,0.0,1.0,2018-09-26,SI,SIU18
2017-02-21,1579.4188,1579.4188,1579.4188,1579.4188,0.0,1.0,2018-09-26,SI,SIU18
2017-02-22,1581.7879,1581.7879,1581.7879,1581.7879,0.0,1.0,2018-09-26,SI,SIU18
