,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-07-30,1478.599,1478.599,1478.599,1478.599,0.0,0.0,2015-10-28,SI,SIV15
2015-07-31,1456.5679,1456.5679,1456.5679,1456.5679,7.0,8.0,2015-10-28,SI,SIV15
2015-08-03,1461.6659,1461.6659,1461.6659,1461.6659,14.0,14.0,2015-10-28,SI,SIV15
2015-08-04,1495.138,1495.138,1495.138,1495.138,11.0,14.0,2015-10-28,SI,SIV15
2015-08-05,1530.8718,1530.8718,1530.8718,1530.8718,5.0,13.0,2015-10-28,SI,SIV15
2015-08-06,1579.2473,1579.2473,1579.2473,1579.2473,1.0,13.0,2015-10-28,SI,SIV15
2015-08-07,1573.2462,1573.2462,1573.2462,1573.2462,7.0,17.0,2015-10-28,SI,SIV15
2015-08-10,1531.3979,1531.3979,1531.3979,1531.3979,3.0,17.0,2015-10-28,SI,SIV15
2015-08-11,1528.3351,1528.3351,1528.3351,1528.3351,1.0,22.0,2015-10-28,SI,SIV15
2015-08-12,1539.4919,1539.4919,1539.4919,1539.4919,4.0,19.0,2015-10-28,SI,SIV15
2015-08-13,1562.4303,1562.4303,1562.4303,1562.4303,2.0,17.0,2015-10-28,SI,SIV15
2015-08-14,1526.0257,1526.0257,1526.0257,1526.0257,2.0,20.0,2015-10-28,SI,SIV15
2015-08-17,1565.855,1565.855,1565.855,1565.855,0.0,19.0,2015-10-28,SI,SIV15
2015-08-18,1610.1687,1610.1687,1610.1687,1610.1687,13.0,30.0,2015-10-28,SI,SIV15
2015-08-19,1613.5501,1613.5501,1613.5501,1613.5501,8.0,26.0,2015-10-28,SI,SIV15
2015-08-20,1575.9544,1575.9544,1575.9544,1575.9544,6.0,30.0,2015-10-28,SI,SIV15
2015-08-21,1535.2948,1535.2948,1535.2948,1535.2948,16.0,32.0,2015-10-28,SI,SIV15
2015-08-24,1554.9466,1554.9466,1554.9466,1554.9466,89.0,77.0,2015-10-28,SI,SIV15
2015-08-25,1531.1559,1531.1559,1531.1559,1531.1559,112.0,92.0,2015-10-28,SI,SIV15
2015-08-26,1530.8497,1530.8497,1530.8497,1530.8497,76.0,85.0,2015-10-28,SI,SIV15
2015-08-27,1572.1826,1572.1826,1572.1826,1572.1826,217.0,137.0,2015-10-28,SI,SIV15
2015-08-28,1574.2264,1574.2264,1574.2264,1574.2264,39.0,117.0,2015-10-28,SI,SIV15
2015-08-31,1550.613,1550.613,1550.613,1550.613,77.0,104.0,2015-10-28,SI,SIV15
2015-09-01,1571.8564,1571.8564,1571.8564,1571.8564,137.0,200.0,2015-10-28,SI,SIV15
2015-09-02,1555.6663,1555.6663,1555.6663,1555.6663,36.0,231.0,2015-10-28,SI,SIV15
