,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-08-30,1781.4471,1781.4471,1781.4471,1781.4471,0.0,0.0,2017-11-28,SI,SIX17
2017-08-31,1785.3663,1785.3663,1785.3663,1785.3663,5.0,5.0,2017-11-28,SI,SIX17
2017-09-01,1814.6463,1814.6463,1814.6463,1814.6463,8.0,5.0,2017-11-28,SI,SIX17
2017-09-05,1802.4882,1802.4882,1802.4882,1802.4882,67.0,14.0,2017-11-28,SI,SIX17
2017-09-06,1829.5255,1829.5255,1829.5255,1829.5255,0.0,26.0,2017-11-28,SI,SIX17
2017-09-07,1850.1991,1850.1991,1850.1991,1850.1991,60.0,36.0,2017-11-28,SI,SIX17
2017-09-08,1874.6217,1874.6217,1874.6217,1874.6217,63.0,57.0,2017-11-28,SI,SIX17
2017-09-11,1892.0557,1892.0557,1892.0557,1892.0557,8.0,53.0,2017-11-28,SI,SIX17
2017-09-12,1915.328,1915.328,1915.328,1915.328,5.0,62.0,2017-11-28,SI,SIX17
2017-09-13,1895.2171,1895.2171,1895.2171,1895.2171,13.0,71.0,2017-11-28,SI,SIX17
2017-09-14,1911.7055,1911.7055,1911.7055,1911.7055,27.0,68.0,2017-11-28,SI,SIX17
2017-09-15,1904.6322,1904.6322,1904.6322,1904.6322,25.0,56.0,2017-11-28,SI,SIX17
2017-09-18,1881.7766,1881.7766,1881.7766,1881.7766,52.0,52.0,2017-11-28,SI,SIX17
2017-09-19,1894.0081,1894.0081,1894.0081,1894.0081,50.0,55.0,2017-11-28,SI,SIX17
2017-09-20,1899.5007,1899.5007,1899.5007,1899.5007,132.0,72.0,2017-11-28,SI,SIX17
2017-09-21,1867.3991,1867.3991,1867.3991,1867.3991,125.0,85.0,2017-11-28,SI,SIX17
2017-09-22,1829.8644,1829.8644,1829.8644,1829.8644,42.0,81.0,2017-11-28,SI,SIX17
2017-09-25,1822.362,1822.362,1822.362,1822.362,123.0,75.0,2017-11-28,SI,SIX17
2017-09-26,1855.1645,1855.1645,1855.1645,1855.1645,127.0,122.0,2017-11-28,SI,SIX17
2017-09-27,1826.4095,1826.4095,1826.4095,1826.4095,162.0,173.0,2017-11-28,SI,SIX17
2017-09-28,1810.7024,1810.7024,1810.7024,1810.7024,317.0,212.0,2017-11-28,SI,SIX17
2017-09-29,1826.4555,1826.4555,1826.4555,1826.4555,144.0,244.0,2017-11-28,SI,SIX17
2017-10-02,1821.1588,1821.1588,1821.1588,1821.1588,202.0,258.0,2017-11-28,SI,SIX17
2017-10-03,1787.4674,1787.4674,1787.4674,1787.4674,113.0,308.0,2017-11-28,SI,SIX17
2017-10-04,1777.1001,1777.1001,1777.1001,1777.1001,49.0,312.0,2017-11-28,SI,SIX17
2017-10-05,1756.6634,1756.6634,1756.6634,1756.6634,43.0,259.0,2017-11-28,SI,SIX17
2017-10-06,1719.7735,1719.7735,1719.7735,1719.7735,92.0,280.0,2017-11-28,SI,SIX17
2017-10-09,1747.1179,1747.1179,1747.1179,1747.1179,90.0,245.0,2017-11-28,SI,SIX17
2017-10-10,1768.4327,1768.4327,1768.4327,1768.4327,50.0,319.0,2017-11-28,SI,SIX17
2017-10-11,1750.3947,1750.3947,1750.3947,1750.3947,69.0,293.0,2017-11-28,SI,SIX17
2017-10-12,1754.4206,1754.4206,1754.4206,1754.4206,50.0,249.0,2017-11-28,SI,SIX17
2017-10-13,1756.5259,1756.5259,1756.5259,1756.5259,106.0,314.0,2017-11-28,SI,SIX17
2017-10-16,1724.2058,1724.2058,1724.2058,1724.2058,77.0,299.0,2017-11-28,SI,SIX17
2017-10-17,1722.8264,1722.8264,1722.8264,1722.8264,118.0,430.0,2017-11-28,SI,SIX17
2017-10-18,1746.4291,1746.4291,1746.4291,1746.4291,23.0,405.0,2017-11-28,SI,SIX17
2017-10-19,1757.6062,1757.6062,1757.6062,1757.6062,16.0,400.0,2017-11-28,SI,SIX17
2017-10-20,1722.4541,1722.4541,1722.4541,1722.4541,158.0,355.0,2017-11-28,SI,SIX17
2017-10-23,1716.4255,1716.4255,1716.4255,1716.4255,239.0,325.0,2017-11-28,SI,SIX17
2017-10-24,1682.7836,1682.7836,1682.7836,1682.7836,164.0,486.0,2017-11-28,SI,SIX17
2017-10-25,1674.0331,1674.0331,1674.0331,1674.0331,178.0,619.0,2017-11-28,SI,SIX17
2017-10-26,1673.3635,1673.3635,1673.3635,1673.3635,89.0,444.0,2017-11-28,SI,SIX17
2017-10-27,1698.6313,1698.6313,1698.6313,1698.6313,142.0,510.0,2017-11-28,SI,SIX17
2017-10-30,1681.4751,1681.4751,1681.4751,1681.4751,129.0,551.0,2017-11-28,SI,SIX17
2017-10-31,1705.1839,1705.1839,1705.1839,1705.1839,300.0,345.0,2017-11-28,SI,SIX17
2017-11-01,1678.583,1678.583,1678.583,1678.583,27.0,216.0,2017-11-28,SI,SIX17
2017-11-02,1657.6007,1657.6007,1657.6007,1657.6007,20.0,24.0,2017-11-28,SI,SIX17
2017-11-03,1693.2391,1693.2391,1693.2391,1693.2391,8.0,13.0,2017-11-28,SI,SIX17
2017-11-06,1702.7212,1702.7212,1702.7212,1702.7212,11.0,12.0,2017-11-28,SI,SIX17
2017-11-07,1693.867,1693.867,1693.867,1693.867,1.0,3.0,2017-11-28,SI,SIX17
