,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,283.2133,283.2133,283.2133,283.2133,0.0,0.0,2018-01-12,SM,SMF18
2015-12-15,284.4311,284.4311,284.4311,284.4311,0.0,0.0,2018-01-12,SM,SMF18
2015-12-16,288.0718,288.0718,288.0718,288.0718,0.0,0.0,2018-01-12,SM,SMF18
2015-12-17,286.3146,286.3146,286.3146,286.3146,0.0,0.0,2018-01-12,SM,SMF18
2015-12-18,280.6456,280.6456,280.6456,280.6456,0.0,0.0,2018-01-12,SM,SMF18
2015-12-21,285.0237,285.0237,285.0237,285.0237,0.0,0.0,2018-01-12,SM,SMF18
2015-12-22,282.088,282.088,282.088,282.088,0.0,0.0,2018-01-12,SM,SMF18
2015-12-23,279.0697,279.0697,279.0697,279.0697,0.0,0.0,2018-01-12,SM,SMF18
2015-12-24,276.4464,276.4464,276.4464,276.4464,0.0,0.0,2018-01-12,SM,SMF18
2015-12-28,278.4092,278.4092,278.4092,278.4092,0.0,0.0,2018-01-12,SM,SMF18
2015-12-29,279.662,279.662,279.662,279.662,0.0,0.0,2018-01-12,SM,SMF18
2015-12-30,276.6976,276.6976,276.6976,276.6976,0.0,0.0,2018-01-12,SM,SMF18
2015-12-31,281.1248,281.1248,281.1248,281.1248,0.0,0.0,2018-01-12,SM,SMF18
2016-01-04,275.9521,275.9521,275.9521,275.9521,0.0,0.0,2018-01-12,SM,SMF18
2016-01-05,276.1177,276.1177,276.1177,276.1177,0.0,0.0,2018-01-12,SM,SMF18
2016-01-06,277.7468,277.7468,277.7468,277.7468,0.0,0.0,2018-01-12,SM,SMF18
2016-01-07,278.9411,278.9411,278.9411,278.9411,0.0,0.0,2018-01-12,SM,SMF18
2016-01-08,277.6301,277.6301,277.6301,277.6301,0.0,0.0,2018-01-12,SM,SMF18
2016-01-11,279.6013,279.6013,279.6013,279.6013,0.0,0.0,2018-01-12,SM,SMF18
2016-01-12,274.4007,274.4007,274.4007,274.4007,0.0,0.0,2018-01-12,SM,SMF18
2016-01-13,277.913,277.913,277.913,277.913,0.0,0.0,2018-01-12,SM,SMF18
2016-01-14,272.188,272.188,272.188,272.188,0.0,0.0,2018-01-12,SM,SMF18
2016-01-15,269.8744,269.8744,269.8744,269.8744,5.0,3.0,2018-01-12,SM,SMF18
2016-01-19,271.1698,271.1698,271.1698,271.1698,0.0,3.0,2018-01-12,SM,SMF18
2016-01-20,265.6379,265.6379,265.6379,265.6379,0.0,3.0,2018-01-12,SM,SMF18
2016-01-21,262.2377,262.2377,262.2377,262.2377,0.0,3.0,2018-01-12,SM,SMF18
2016-01-22,263.1555,263.1555,263.1555,263.1555,0.0,2.0,2018-01-12,SM,SMF18
2016-01-25,266.1292,266.1292,266.1292,266.1292,0.0,3.0,2018-01-12,SM,SMF18
2016-01-26,266.9276,266.9276,266.9276,266.9276,0.0,3.0,2018-01-12,SM,SMF18
2016-01-27,269.3566,269.3566,269.3566,269.3566,0.0,3.0,2018-01-12,SM,SMF18
2016-01-28,268.791,268.791,268.791,268.791,0.0,3.0,2018-01-12,SM,SMF18
2016-01-29,272.1509,272.1509,272.1509,272.1509,0.0,3.0,2018-01-12,SM,SMF18
2016-02-01,270.1098,270.1098,270.1098,270.1098,0.0,4.0,2018-01-12,SM,SMF18
2016-02-02,267.7598,267.7598,267.7598,267.7598,0.0,3.0,2018-01-12,SM,SMF18
2016-02-03,269.045,269.045,269.045,269.045,0.0,3.0,2018-01-12,SM,SMF18
2016-02-04,268.6952,268.6952,268.6952,268.6952,0.0,3.0,2018-01-12,SM,SMF18
2016-02-05,267.701,267.701,267.701,267.701,0.0,3.0,2018-01-12,SM,SMF18
2016-02-08,271.3953,271.3953,271.3953,271.3953,0.0,3.0,2018-01-12,SM,SMF18
2016-02-09,272.7523,272.7523,272.7523,272.7523,0.0,3.0,2018-01-12,SM,SMF18
2016-02-10,277.7709,277.7709,277.7709,277.7709,0.0,3.0,2018-01-12,SM,SMF18
2016-02-11,274.6043,274.6043,274.6043,274.6043,0.0,3.0,2018-01-12,SM,SMF18
2016-02-12,272.7645,272.7645,272.7645,272.7645,0.0,3.0,2018-01-12,SM,SMF18
2016-02-16,273.8828,273.8828,273.8828,273.8828,0.0,3.0,2018-01-12,SM,SMF18
2016-02-17,273.335,273.335,273.335,273.335,0.0,3.0,2018-01-12,SM,SMF18
2016-02-18,276.4237,276.4237,276.4237,276.4237,0.0,3.0,2018-01-12,SM,SMF18
2016-02-19,274.6546,274.6546,274.6546,274.6546,0.0,3.0,2018-01-12,SM,SMF18
2016-02-22,270.5622,270.5622,270.5622,270.5622,0.0,3.0,2018-01-12,SM,SMF18
2016-02-23,273.2949,273.2949,273.2949,273.2949,0.0,3.0,2018-01-12,SM,SMF18
2016-02-24,277.5583,277.5583,277.5583,277.5583,0.0,3.0,2018-01-12,SM,SMF18
2016-02-25,282.2768,282.2768,282.2768,282.2768,0.0,3.0,2018-01-12,SM,SMF18
2016-02-26,285.2125,285.2125,285.2125,285.2125,0.0,4.0,2018-01-12,SM,SMF18
2016-02-29,287.2946,287.2946,287.2946,287.2946,0.0,3.0,2018-01-12,SM,SMF18
2016-03-01,289.8515,289.8515,289.8515,289.8515,0.0,3.0,2018-01-12,SM,SMF18
2016-03-02,294.5471,294.5471,294.5471,294.5471,0.0,3.0,2018-01-12,SM,SMF18
2016-03-03,288.9507,288.9507,288.9507,288.9507,0.0,4.0,2018-01-12,SM,SMF18
2016-03-04,292.736,292.736,292.736,292.736,0.0,3.0,2018-01-12,SM,SMF18
2016-03-07,292.0042,292.0042,292.0042,292.0042,0.0,3.0,2018-01-12,SM,SMF18
2016-03-08,287.7701,287.7701,287.7701,287.7701,0.0,3.0,2018-01-12,SM,SMF18
2016-03-09,289.0651,289.0651,289.0651,289.0651,0.0,3.0,2018-01-12,SM,SMF18
2016-03-10,285.2494,285.2494,285.2494,285.2494,0.0,3.0,2018-01-12,SM,SMF18
2016-03-11,288.1589,288.1589,288.1589,288.1589,0.0,3.0,2018-01-12,SM,SMF18
2016-03-14,286.6605,286.6605,286.6605,286.6605,0.0,3.0,2018-01-12,SM,SMF18
2016-03-15,285.9438,285.9438,285.9438,285.9438,0.0,3.0,2018-01-12,SM,SMF18
2016-03-16,291.2909,291.2909,291.2909,291.2909,0.0,3.0,2018-01-12,SM,SMF18
2016-03-17,288.378,288.378,288.378,288.378,0.0,4.0,2018-01-12,SM,SMF18
2016-03-18,290.6562,290.6562,290.6562,290.6562,0.0,2.0,2018-01-12,SM,SMF18
2016-03-21,286.4417,286.4417,286.4417,286.4417,0.0,3.0,2018-01-12,SM,SMF18
2016-03-22,290.28,290.28,290.28,290.28,0.0,3.0,2018-01-12,SM,SMF18
2016-03-23,289.0028,289.0028,289.0028,289.0028,0.0,3.0,2018-01-12,SM,SMF18
2016-03-24,289.5519,289.5519,289.5519,289.5519,0.0,3.0,2018-01-12,SM,SMF18
2016-03-28,283.7319,283.7319,283.7319,283.7319,0.0,3.0,2018-01-12,SM,SMF18
2016-03-29,281.1216,281.1216,281.1216,281.1216,0.0,3.0,2018-01-12,SM,SMF18
2016-03-30,281.9931,281.9931,281.9931,281.9931,0.0,3.0,2018-01-12,SM,SMF18
2016-03-31,279.4834,279.4834,279.4834,279.4834,0.0,3.0,2018-01-12,SM,SMF18
2016-04-01,275.9619,275.9619,275.9619,275.9619,0.0,4.0,2018-01-12,SM,SMF18
2016-04-04,277.4521,277.4521,277.4521,277.4521,0.0,3.0,2018-01-12,SM,SMF18
2016-04-05,283.1399,283.1399,283.1399,283.1399,0.0,3.0,2018-01-12,SM,SMF18
2016-04-06,284.5556,284.5556,284.5556,284.5556,0.0,3.0,2018-01-12,SM,SMF18
2016-04-07,290.0475,290.0475,290.0475,290.0475,0.0,3.0,2018-01-12,SM,SMF18
2016-04-08,290.9466,290.9466,290.9466,290.9466,0.0,3.0,2018-01-12,SM,SMF18
2016-04-11,294.7289,294.7289,294.7289,294.7289,0.0,3.0,2018-01-12,SM,SMF18
2016-04-12,295.6426,295.6426,295.6426,295.6426,0.0,3.0,2018-01-12,SM,SMF18
2016-04-13,296.4113,296.4113,296.4113,296.4113,0.0,4.0,2018-01-12,SM,SMF18
2016-04-14,293.9807,293.9807,293.9807,293.9807,0.0,3.0,2018-01-12,SM,SMF18
2016-04-15,294.4217,294.4217,294.4217,294.4217,0.0,3.0,2018-01-12,SM,SMF18
2016-04-18,291.8897,291.8897,291.8897,291.8897,0.0,3.0,2018-01-12,SM,SMF18
2016-04-19,288.0368,288.0368,288.0368,288.0368,1.0,4.0,2018-01-12,SM,SMF18
2016-04-20,287.6047,287.6047,287.6047,287.6047,0.0,4.0,2018-01-12,SM,SMF18
2016-04-21,291.4586,291.4586,291.4586,291.4586,0.0,4.0,2018-01-12,SM,SMF18
2016-04-22,294.4315,294.4315,294.4315,294.4315,20.0,6.0,2018-01-12,SM,SMF18
2016-04-25,289.0728,289.0728,289.0728,289.0728,0.0,6.0,2018-01-12,SM,SMF18
2016-04-26,286.818,286.818,286.818,286.818,0.0,6.0,2018-01-12,SM,SMF18
2016-04-27,291.6939,291.6939,291.6939,291.6939,0.0,7.0,2018-01-12,SM,SMF18
2016-04-28,290.5271,290.5271,290.5271,290.5271,0.0,5.0,2018-01-12,SM,SMF18
2016-04-29,288.5806,288.5806,288.5806,288.5806,0.0,5.0,2018-01-12,SM,SMF18
2016-05-02,290.5718,290.5718,290.5718,290.5718,0.0,7.0,2018-01-12,SM,SMF18
2016-05-03,292.4315,292.4315,292.4315,292.4315,0.0,7.0,2018-01-12,SM,SMF18
2016-05-04,288.7176,288.7176,288.7176,288.7176,0.0,5.0,2018-01-12,SM,SMF18
2016-05-05,293.1927,293.1927,293.1927,293.1927,0.0,6.0,2018-01-12,SM,SMF18
2016-05-06,295.7728,295.7728,295.7728,295.7728,0.0,6.0,2018-01-12,SM,SMF18
2016-05-09,300.2094,300.2094,300.2094,300.2094,0.0,5.0,2018-01-12,SM,SMF18
2016-05-10,304.4123,304.4123,304.4123,304.4123,0.0,6.0,2018-01-12,SM,SMF18
2016-05-11,303.4382,303.4382,303.4382,303.4382,49.0,11.0,2018-01-12,SM,SMF18
2016-05-12,307.8381,307.8381,307.8381,307.8381,0.0,13.0,2018-01-12,SM,SMF18
2016-05-13,305.8679,305.8679,305.8679,305.8679,0.0,14.0,2018-01-12,SM,SMF18
2016-05-16,308.8654,308.8654,308.8654,308.8654,0.0,10.0,2018-01-12,SM,SMF18
2016-05-17,311.3672,311.3672,311.3672,311.3672,0.0,10.0,2018-01-12,SM,SMF18
2016-05-18,312.8618,312.8618,312.8618,312.8618,0.0,11.0,2018-01-12,SM,SMF18
2016-05-19,310.1086,310.1086,310.1086,310.1086,0.0,11.0,2018-01-12,SM,SMF18
2016-05-20,314.4191,314.4191,314.4191,314.4191,7.0,21.0,2018-01-12,SM,SMF18
2016-05-23,308.5395,308.5395,308.5395,308.5395,0.0,19.0,2018-01-12,SM,SMF18
2016-05-24,302.2761,302.2761,302.2761,302.2761,0.0,22.0,2018-01-12,SM,SMF18
2016-05-25,305.9034,305.9034,305.9034,305.9034,7.0,22.0,2018-01-12,SM,SMF18
2016-05-26,305.5057,305.5057,305.5057,305.5057,0.0,22.0,2018-01-12,SM,SMF18
2016-05-27,300.526,300.526,300.526,300.526,0.0,22.0,2018-01-12,SM,SMF18
2016-05-31,296.7394,296.7394,296.7394,296.7394,0.0,25.0,2018-01-12,SM,SMF18
2016-06-01,296.0569,296.0569,296.0569,296.0569,0.0,28.0,2018-01-12,SM,SMF18
2016-06-02,293.274,293.274,293.274,293.274,0.0,24.0,2018-01-12,SM,SMF18
2016-06-03,293.1274,293.1274,293.1274,293.1274,0.0,28.0,2018-01-12,SM,SMF18
2016-06-06,287.1476,287.1476,287.1476,287.1476,0.0,28.0,2018-01-12,SM,SMF18
2016-06-07,284.7643,284.7643,284.7643,284.7643,0.0,26.0,2018-01-12,SM,SMF18
2016-06-08,283.5968,283.5968,283.5968,283.5968,7.0,30.0,2018-01-12,SM,SMF18
2016-06-09,288.4463,288.4463,288.4463,288.4463,4.0,25.0,2018-01-12,SM,SMF18
2016-06-10,283.7446,283.7446,283.7446,283.7446,0.0,33.0,2018-01-12,SM,SMF18
2016-06-13,281.7584,281.7584,281.7584,281.7584,0.0,33.0,2018-01-12,SM,SMF18
2016-06-14,282.1247,282.1247,282.1247,282.1247,0.0,34.0,2018-01-12,SM,SMF18
2016-06-15,282.3786,282.3786,282.3786,282.3786,0.0,27.0,2018-01-12,SM,SMF18
2016-06-16,285.0894,285.0894,285.0894,285.0894,9.0,30.0,2018-01-12,SM,SMF18
2016-06-17,290.7627,290.7627,290.7627,290.7627,2.0,38.0,2018-01-12,SM,SMF18
2016-06-20,295.2404,295.2404,295.2404,295.2404,0.0,27.0,2018-01-12,SM,SMF18
2016-06-21,291.3432,291.3432,291.3432,291.3432,1.0,28.0,2018-01-12,SM,SMF18
2016-06-22,293.2078,293.2078,293.2078,293.2078,7.0,33.0,2018-01-12,SM,SMF18
2016-06-23,295.8173,295.8173,295.8173,295.8173,24.0,40.0,2018-01-12,SM,SMF18
2016-06-24,294.6932,294.6932,294.6932,294.6932,6.0,50.0,2018-01-12,SM,SMF18
2016-06-27,299.8209,299.8209,299.8209,299.8209,0.0,46.0,2018-01-12,SM,SMF18
2016-06-28,298.8315,298.8315,298.8315,298.8315,0.0,44.0,2018-01-12,SM,SMF18
2016-06-29,294.349,294.349,294.349,294.349,0.0,40.0,2018-01-12,SM,SMF18
2016-06-30,292.1708,292.1708,292.1708,292.1708,0.0,36.0,2018-01-12,SM,SMF18
2016-07-01,286.3858,286.3858,286.3858,286.3858,0.0,49.0,2018-01-12,SM,SMF18
2016-07-05,286.7008,286.7008,286.7008,286.7008,0.0,42.0,2018-01-12,SM,SMF18
2016-07-06,289.3384,289.3384,289.3384,289.3384,0.0,50.0,2018-01-12,SM,SMF18
2016-07-07,290.814,290.814,290.814,290.814,0.0,35.0,2018-01-12,SM,SMF18
2016-07-08,286.6844,286.6844,286.6844,286.6844,1.0,41.0,2018-01-12,SM,SMF18
2016-07-11,287.7451,287.7451,287.7451,287.7451,0.0,35.0,2018-01-12,SM,SMF18
2016-07-12,284.7238,284.7238,284.7238,284.7238,0.0,34.0,2018-01-12,SM,SMF18
2016-07-13,289.9058,289.9058,289.9058,289.9058,0.0,41.0,2018-01-12,SM,SMF18
2016-07-14,289.0361,289.0361,289.0361,289.0361,0.0,39.0,2018-01-12,SM,SMF18
2016-07-15,283.8335,283.8335,283.8335,283.8335,11.0,64.0,2018-01-12,SM,SMF18
2016-07-18,286.9557,286.9557,286.9557,286.9557,0.0,59.0,2018-01-12,SM,SMF18
2016-07-19,282.7375,282.7375,282.7375,282.7375,29.0,60.0,2018-01-12,SM,SMF18
2016-07-20,282.3982,282.3982,282.3982,282.3982,133.0,164.0,2018-01-12,SM,SMF18
2016-07-21,277.4562,277.4562,277.4562,277.4562,7.0,122.0,2018-01-12,SM,SMF18
2016-07-22,279.3706,279.3706,279.3706,279.3706,6.0,132.0,2018-01-12,SM,SMF18
2016-07-25,280.2366,280.2366,280.2366,280.2366,60.0,167.0,2018-01-12,SM,SMF18
2016-07-26,282.6186,282.6186,282.6186,282.6186,0.0,165.0,2018-01-12,SM,SMF18
2016-07-27,283.9469,283.9469,283.9469,283.9469,6.0,192.0,2018-01-12,SM,SMF18
2016-07-28,287.837,287.837,287.837,287.837,3.0,180.0,2018-01-12,SM,SMF18
2016-07-29,289.7079,289.7079,289.7079,289.7079,6.0,144.0,2018-01-12,SM,SMF18
2016-08-01,288.3752,288.3752,288.3752,288.3752,0.0,182.0,2018-01-12,SM,SMF18
2016-08-02,286.7603,286.7603,286.7603,286.7603,92.0,228.0,2018-01-12,SM,SMF18
2016-08-03,282.5162,282.5162,282.5162,282.5162,0.0,213.0,2018-01-12,SM,SMF18
2016-08-04,280.5103,280.5103,280.5103,280.5103,0.0,251.0,2018-01-12,SM,SMF18
2016-08-05,283.7362,283.7362,283.7362,283.7362,0.0,248.0,2018-01-12,SM,SMF18
2016-08-08,284.7293,284.7293,284.7293,284.7293,35.0,230.0,2018-01-12,SM,SMF18
2016-08-09,286.1814,286.1814,286.1814,286.1814,0.0,281.0,2018-01-12,SM,SMF18
2016-08-10,284.3212,284.3212,284.3212,284.3212,0.0,313.0,2018-01-12,SM,SMF18
2016-08-11,286.7948,286.7948,286.7948,286.7948,1.0,235.0,2018-01-12,SM,SMF18
2016-08-12,290.4658,290.4658,290.4658,290.4658,0.0,235.0,2018-01-12,SM,SMF18
2016-08-15,286.2831,286.2831,286.2831,286.2831,0.0,297.0,2018-01-12,SM,SMF18
2016-08-16,284.7944,284.7944,284.7944,284.7944,0.0,240.0,2018-01-12,SM,SMF18
2016-08-17,282.7154,282.7154,282.7154,282.7154,0.0,224.0,2018-01-12,SM,SMF18
2016-08-18,286.4472,286.4472,286.4472,286.4472,6.0,263.0,2018-01-12,SM,SMF18
2016-08-19,289.6268,289.6268,289.6268,289.6268,2.0,322.0,2018-01-12,SM,SMF18
2016-08-22,289.8875,289.8875,289.8875,289.8875,1.0,241.0,2018-01-12,SM,SMF18
2016-08-23,287.3365,287.3365,287.3365,287.3365,0.0,282.0,2018-01-12,SM,SMF18
2016-08-24,285.4688,285.4688,285.4688,285.4688,0.0,271.0,2018-01-12,SM,SMF18
2016-08-25,280.7871,280.7871,280.7871,280.7871,147.0,367.0,2018-01-12,SM,SMF18
2016-08-26,284.5496,284.5496,284.5496,284.5496,31.0,358.0,2018-01-12,SM,SMF18
2016-08-29,283.639,283.639,283.639,283.639,0.0,346.0,2018-01-12,SM,SMF18
2016-08-30,289.4252,289.4252,289.4252,289.4252,231.0,354.0,2018-01-12,SM,SMF18
2016-08-31,291.8853,291.8853,291.8853,291.8853,20.0,334.0,2018-01-12,SM,SMF18
2016-09-01,293.2572,293.2572,293.2572,293.2572,3.0,375.0,2018-01-12,SM,SMF18
2016-09-02,292.2308,292.2308,292.2308,292.2308,2.0,371.0,2018-01-12,SM,SMF18
2016-09-06,296.7604,296.7604,296.7604,296.7604,24.0,432.0,2018-01-12,SM,SMF18
2016-09-07,294.2973,294.2973,294.2973,294.2973,45.0,465.0,2018-01-12,SM,SMF18
2016-09-08,294.2679,294.2679,294.2679,294.2679,0.0,465.0,2018-01-12,SM,SMF18
2016-09-09,288.3825,288.3825,288.3825,288.3825,0.0,435.0,2018-01-12,SM,SMF18
2016-09-12,289.9109,289.9109,289.9109,289.9109,39.0,506.0,2018-01-12,SM,SMF18
2016-09-13,292.2592,292.2592,292.2592,292.2592,39.0,412.0,2018-01-12,SM,SMF18
2016-09-14,292.8729,292.8729,292.8729,292.8729,1.0,398.0,2018-01-12,SM,SMF18
2016-09-15,291.8771,291.8771,291.8771,291.8771,0.0,517.0,2018-01-12,SM,SMF18
2016-09-16,293.6576,293.6576,293.6576,293.6576,0.0,436.0,2018-01-12,SM,SMF18
