,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,307.1493,307.1493,307.1493,307.1493,0.0,0.0,2019-03-14,SM,SMH19
2016-12-15,308.9308,308.9308,308.9308,308.9308,0.0,0.0,2019-03-14,SM,SMH19
2016-12-16,303.3083,303.3083,303.3083,303.3083,0.0,0.0,2019-03-14,SM,SMH19
2016-12-19,308.0096,308.0096,308.0096,308.0096,0.0,0.0,2019-03-14,SM,SMH19
2016-12-20,305.7919,305.7919,305.7919,305.7919,0.0,0.0,2019-03-14,SM,SMH19
2016-12-21,311.4491,311.4491,311.4491,311.4491,0.0,0.0,2019-03-14,SM,SMH19
2016-12-22,314.9996,314.9996,314.9996,314.9996,0.0,0.0,2019-03-14,SM,SMH19
2016-12-23,319.3151,319.3151,319.3151,319.3151,0.0,0.0,2019-03-14,SM,SMH19
2016-12-27,322.2528,322.2528,322.2528,322.2528,0.0,0.0,2019-03-14,SM,SMH19
2016-12-28,321.286,321.286,321.286,321.286,0.0,0.0,2019-03-14,SM,SMH19
2016-12-29,322.0892,322.0892,322.0892,322.0892,0.0,0.0,2019-03-14,SM,SMH19
2016-12-30,322.1858,322.1858,322.1858,322.1858,0.0,0.0,2019-03-14,SM,SMH19
2017-01-03,316.322,316.322,316.322,316.322,0.0,0.0,2019-03-14,SM,SMH19
2017-01-04,310.9762,310.9762,310.9762,310.9762,0.0,0.0,2019-03-14,SM,SMH19
2017-01-05,311.536,311.536,311.536,311.536,0.0,0.0,2019-03-14,SM,SMH19
2017-01-06,310.4768,310.4768,310.4768,310.4768,0.0,0.0,2019-03-14,SM,SMH19
2017-01-09,315.4755,315.4755,315.4755,315.4755,0.0,0.0,2019-03-14,SM,SMH19
2017-01-10,315.16,315.16,315.16,315.16,0.0,0.0,2019-03-14,SM,SMH19
2017-01-11,316.5152,316.5152,316.5152,316.5152,0.0,0.0,2019-03-14,SM,SMH19
2017-01-12,322.1808,322.1808,322.1808,322.1808,0.0,0.0,2019-03-14,SM,SMH19
2017-01-13,325.9825,325.9825,325.9825,325.9825,0.0,0.0,2019-03-14,SM,SMH19
2017-01-17,327.5798,327.5798,327.5798,327.5798,0.0,0.0,2019-03-14,SM,SMH19
2017-01-18,327.3833,327.3833,327.3833,327.3833,6.0,5.0,2019-03-14,SM,SMH19
2017-01-19,324.9279,324.9279,324.9279,324.9279,0.0,7.0,2019-03-14,SM,SMH19
2017-01-20,324.7329,324.7329,324.7329,324.7329,0.0,6.0,2019-03-14,SM,SMH19
2017-01-23,327.5905,327.5905,327.5905,327.5905,0.0,6.0,2019-03-14,SM,SMH19
2017-01-24,323.2335,323.2335,323.2335,323.2335,0.0,6.0,2019-03-14,SM,SMH19
2017-01-25,318.8052,318.8052,318.8052,318.8052,0.0,6.0,2019-03-14,SM,SMH19
2017-01-26,315.9997,315.9997,315.9997,315.9997,0.0,6.0,2019-03-14,SM,SMH19
2017-01-27,310.2485,310.2485,310.2485,310.2485,0.0,6.0,2019-03-14,SM,SMH19
2017-01-30,305.936,305.936,305.936,305.936,0.0,5.0,2019-03-14,SM,SMH19
2017-01-31,305.5383,305.5383,305.5383,305.5383,0.0,6.0,2019-03-14,SM,SMH19
2017-02-01,309.5103,309.5103,309.5103,309.5103,0.0,6.0,2019-03-14,SM,SMH19
2017-02-02,313.7815,313.7815,313.7815,313.7815,0.0,6.0,2019-03-14,SM,SMH19
2017-02-03,311.2399,311.2399,311.2399,311.2399,0.0,6.0,2019-03-14,SM,SMH19
2017-02-06,305.8243,305.8243,305.8243,305.8243,0.0,7.0,2019-03-14,SM,SMH19
2017-02-07,304.3258,304.3258,304.3258,304.3258,0.0,5.0,2019-03-14,SM,SMH19
2017-02-08,304.2345,304.2345,304.2345,304.2345,0.0,6.0,2019-03-14,SM,SMH19
2017-02-09,299.1842,299.1842,299.1842,299.1842,0.0,6.0,2019-03-14,SM,SMH19
2017-02-10,300.9195,300.9195,300.9195,300.9195,0.0,7.0,2019-03-14,SM,SMH19
2017-02-13,299.5353,299.5353,299.5353,299.5353,0.0,6.0,2019-03-14,SM,SMH19
2017-02-14,298.5169,298.5169,298.5169,298.5169,0.0,6.0,2019-03-14,SM,SMH19
2017-02-15,299.6214,299.6214,299.6214,299.6214,0.0,7.0,2019-03-14,SM,SMH19
2017-02-16,304.9247,304.9247,304.9247,304.9247,0.0,7.0,2019-03-14,SM,SMH19
2017-02-17,304.1319,304.1319,304.1319,304.1319,0.0,5.0,2019-03-14,SM,SMH19
2017-02-21,301.5772,301.5772,301.5772,301.5772,0.0,7.0,2019-03-14,SM,SMH19
2017-02-22,305.558,305.558,305.558,305.558,0.0,7.0,2019-03-14,SM,SMH19
2017-02-23,308.033,308.033,308.033,308.033,0.0,6.0,2019-03-14,SM,SMH19
2017-02-24,303.5665,303.5665,303.5665,303.5665,0.0,7.0,2019-03-14,SM,SMH19
2017-02-27,301.3808,301.3808,301.3808,301.3808,0.0,6.0,2019-03-14,SM,SMH19
2017-02-28,305.9317,305.9317,305.9317,305.9317,0.0,5.0,2019-03-14,SM,SMH19
2017-03-01,306.36,306.36,306.36,306.36,0.0,7.0,2019-03-14,SM,SMH19
2017-03-02,304.7363,304.7363,304.7363,304.7363,0.0,5.0,2019-03-14,SM,SMH19
2017-03-03,306.8085,306.8085,306.8085,306.8085,0.0,5.0,2019-03-14,SM,SMH19
2017-03-06,308.7107,308.7107,308.7107,308.7107,0.0,5.0,2019-03-14,SM,SMH19
2017-03-07,311.1186,311.1186,311.1186,311.1186,0.0,6.0,2019-03-14,SM,SMH19
2017-03-08,309.4386,309.4386,309.4386,309.4386,0.0,7.0,2019-03-14,SM,SMH19
2017-03-09,303.5902,303.5902,303.5902,303.5902,0.0,7.0,2019-03-14,SM,SMH19
