,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,297.4339,297.4339,297.4339,297.4339,0.0,0.0,2019-05-14,SM,SMK19
2016-12-15,292.0206,292.0206,292.0206,292.0206,0.0,0.0,2019-05-14,SM,SMK19
2016-12-16,295.8461,295.8461,295.8461,295.8461,0.0,0.0,2019-05-14,SM,SMK19
2016-12-19,291.9705,291.9705,291.9705,291.9705,0.0,0.0,2019-05-14,SM,SMK19
2016-12-20,295.007,295.007,295.007,295.007,0.0,0.0,2019-05-14,SM,SMK19
2016-12-21,293.591,293.591,293.591,293.591,0.0,0.0,2019-05-14,SM,SMK19
2016-12-22,296.9967,296.9967,296.9967,296.9967,0.0,0.0,2019-05-14,SM,SMK19
2016-12-23,292.1557,292.1557,292.1557,292.1557,0.0,0.0,2019-05-14,SM,SMK19
2016-12-27,297.3269,297.3269,297.3269,297.3269,0.0,0.0,2019-05-14,SM,SMK19
2016-12-28,298.5459,298.5459,298.5459,298.5459,0.0,0.0,2019-05-14,SM,SMK19
2016-12-29,301.7702,301.7702,301.7702,301.7702,0.0,0.0,2019-05-14,SM,SMK19
2016-12-30,301.9211,301.9211,301.9211,301.9211,0.0,0.0,2019-05-14,SM,SMK19
2017-01-03,306.3895,306.3895,306.3895,306.3895,0.0,0.0,2019-05-14,SM,SMK19
2017-01-04,309.484,309.484,309.484,309.484,0.0,0.0,2019-05-14,SM,SMK19
2017-01-05,307.5961,307.5961,307.5961,307.5961,0.0,0.0,2019-05-14,SM,SMK19
2017-01-06,304.9815,304.9815,304.9815,304.9815,0.0,0.0,2019-05-14,SM,SMK19
2017-01-09,301.1997,301.1997,301.1997,301.1997,0.0,0.0,2019-05-14,SM,SMK19
2017-01-10,302.8262,302.8262,302.8262,302.8262,0.0,0.0,2019-05-14,SM,SMK19
2017-01-11,308.0045,308.0045,308.0045,308.0045,0.0,0.0,2019-05-14,SM,SMK19
2017-01-12,312.1934,312.1934,312.1934,312.1934,0.0,0.0,2019-05-14,SM,SMK19
2017-01-13,309.8519,309.8519,309.8519,309.8519,0.0,0.0,2019-05-14,SM,SMK19
2017-01-17,310.7815,310.7815,310.7815,310.7815,0.0,0.0,2019-05-14,SM,SMK19
2017-01-18,316.2823,316.2823,316.2823,316.2823,6.0,6.0,2019-05-14,SM,SMK19
2017-01-19,319.4451,319.4451,319.4451,319.4451,0.0,5.0,2019-05-14,SM,SMK19
2017-01-20,319.2215,319.2215,319.2215,319.2215,0.0,5.0,2019-05-14,SM,SMK19
2017-01-23,321.2007,321.2007,321.2007,321.2007,0.0,5.0,2019-05-14,SM,SMK19
2017-01-24,323.963,323.963,323.963,323.963,0.0,6.0,2019-05-14,SM,SMK19
2017-01-25,319.4923,319.4923,319.4923,319.4923,0.0,5.0,2019-05-14,SM,SMK19
2017-01-26,320.962,320.962,320.962,320.962,0.0,5.0,2019-05-14,SM,SMK19
2017-01-27,316.5327,316.5327,316.5327,316.5327,0.0,5.0,2019-05-14,SM,SMK19
2017-01-30,320.3627,320.3627,320.3627,320.3627,0.0,7.0,2019-05-14,SM,SMK19
2017-01-31,318.5366,318.5366,318.5366,318.5366,0.0,7.0,2019-05-14,SM,SMK19
2017-02-01,312.8985,312.8985,312.8985,312.8985,0.0,6.0,2019-05-14,SM,SMK19
2017-02-02,308.3928,308.3928,308.3928,308.3928,0.0,5.0,2019-05-14,SM,SMK19
2017-02-03,313.543,313.543,313.543,313.543,0.0,6.0,2019-05-14,SM,SMK19
2017-02-06,318.9986,318.9986,318.9986,318.9986,0.0,6.0,2019-05-14,SM,SMK19
2017-02-07,322.1567,322.1567,322.1567,322.1567,0.0,7.0,2019-05-14,SM,SMK19
2017-02-08,322.35,322.35,322.35,322.35,0.0,5.0,2019-05-14,SM,SMK19
2017-02-09,318.7719,318.7719,318.7719,318.7719,0.0,7.0,2019-05-14,SM,SMK19
2017-02-10,315.3292,315.3292,315.3292,315.3292,0.0,7.0,2019-05-14,SM,SMK19
2017-02-13,320.2799,320.2799,320.2799,320.2799,0.0,7.0,2019-05-14,SM,SMK19
2017-02-14,318.5824,318.5824,318.5824,318.5824,0.0,5.0,2019-05-14,SM,SMK19
2017-02-15,318.9647,318.9647,318.9647,318.9647,0.0,7.0,2019-05-14,SM,SMK19
2017-02-16,317.0828,317.0828,317.0828,317.0828,0.0,6.0,2019-05-14,SM,SMK19
2017-02-17,319.0804,319.0804,319.0804,319.0804,0.0,6.0,2019-05-14,SM,SMK19
2017-02-21,319.3038,319.3038,319.3038,319.3038,0.0,5.0,2019-05-14,SM,SMK19
2017-02-22,319.9424,319.9424,319.9424,319.9424,0.0,7.0,2019-05-14,SM,SMK19
2017-02-23,317.7988,317.7988,317.7988,317.7988,0.0,7.0,2019-05-14,SM,SMK19
2017-02-24,317.0043,317.0043,317.0043,317.0043,0.0,5.0,2019-05-14,SM,SMK19
2017-02-27,313.6441,313.6441,313.6441,313.6441,0.0,7.0,2019-05-14,SM,SMK19
2017-02-28,312.6404,312.6404,312.6404,312.6404,0.0,5.0,2019-05-14,SM,SMK19
2017-03-01,313.3282,313.3282,313.3282,313.3282,0.0,6.0,2019-05-14,SM,SMK19
2017-03-02,314.0175,314.0175,314.0175,314.0175,0.0,5.0,2019-05-14,SM,SMK19
2017-03-03,319.7012,319.7012,319.7012,319.7012,0.0,6.0,2019-05-14,SM,SMK19
2017-03-06,318.0388,318.0388,318.0388,318.0388,0.0,6.0,2019-05-14,SM,SMK19
2017-03-07,319.9152,319.9152,319.9152,319.9152,0.0,5.0,2019-05-14,SM,SMK19
2017-03-08,318.2196,318.2196,318.2196,318.2196,0.0,6.0,2019-05-14,SM,SMK19
2017-03-09,316.2466,316.2466,316.2466,316.2466,0.0,5.0,2019-05-14,SM,SMK19
2017-03-10,310.9969,310.9969,310.9969,310.9969,0.0,6.0,2019-05-14,SM,SMK19
2017-03-13,307.7936,307.7936,307.7936,307.7936,0.0,7.0,2019-05-14,SM,SMK19
2017-03-14,310.1944,310.1944,310.1944,310.1944,0.0,6.0,2019-05-14,SM,SMK19
2017-03-15,308.2712,308.2712,308.2712,308.2712,0.0,5.0,2019-05-14,SM,SMK19
2017-03-16,304.5719,304.5719,304.5719,304.5719,0.0,6.0,2019-05-14,SM,SMK19
2017-03-17,307.6176,307.6176,307.6176,307.6176,0.0,7.0,2019-05-14,SM,SMK19
2017-03-20,306.6947,306.6947,306.6947,306.6947,0.0,5.0,2019-05-14,SM,SMK19
2017-03-21,304.7319,304.7319,304.7319,304.7319,0.0,6.0,2019-05-14,SM,SMK19
2017-03-22,302.1722,302.1722,302.1722,302.1722,0.0,6.0,2019-05-14,SM,SMK19
2017-03-23,299.9966,299.9966,299.9966,299.9966,0.0,6.0,2019-05-14,SM,SMK19
2017-03-24,301.4066,301.4066,301.4066,301.4066,0.0,7.0,2019-05-14,SM,SMK19
2017-03-27,303.5767,303.5767,303.5767,303.5767,0.0,5.0,2019-05-14,SM,SMK19
2017-03-28,298.8409,298.8409,298.8409,298.8409,0.0,6.0,2019-05-14,SM,SMK19
2017-03-29,297.9743,297.9743,297.9743,297.9743,0.0,6.0,2019-05-14,SM,SMK19
2017-03-30,301.4308,301.4308,301.4308,301.4308,0.0,5.0,2019-05-14,SM,SMK19
2017-03-31,304.3245,304.3245,304.3245,304.3245,0.0,7.0,2019-05-14,SM,SMK19
2017-04-03,309.0415,309.0415,309.0415,309.0415,0.0,6.0,2019-05-14,SM,SMK19
2017-04-04,304.3441,304.3441,304.3441,304.3441,0.0,6.0,2019-05-14,SM,SMK19
2017-04-05,308.6049,308.6049,308.6049,308.6049,0.0,6.0,2019-05-14,SM,SMK19
2017-04-06,312.4316,312.4316,312.4316,312.4316,0.0,7.0,2019-05-14,SM,SMK19
2017-04-07,311.2444,311.2444,311.2444,311.2444,0.0,6.0,2019-05-14,SM,SMK19
2017-04-10,306.1089,306.1089,306.1089,306.1089,0.0,7.0,2019-05-14,SM,SMK19
2017-04-11,303.7825,303.7825,303.7825,303.7825,0.0,6.0,2019-05-14,SM,SMK19
2017-04-12,305.3622,305.3622,305.3622,305.3622,0.0,6.0,2019-05-14,SM,SMK19
2017-04-13,299.8351,299.8351,299.8351,299.8351,0.0,7.0,2019-05-14,SM,SMK19
2017-04-17,294.2882,294.2882,294.2882,294.2882,0.0,6.0,2019-05-14,SM,SMK19
2017-04-18,298.4965,298.4965,298.4965,298.4965,0.0,6.0,2019-05-14,SM,SMK19
2017-04-19,299.7203,299.7203,299.7203,299.7203,0.0,6.0,2019-05-14,SM,SMK19
2017-04-20,298.1318,298.1318,298.1318,298.1318,0.0,6.0,2019-05-14,SM,SMK19
2017-04-21,302.1864,302.1864,302.1864,302.1864,0.0,6.0,2019-05-14,SM,SMK19
2017-04-24,306.1753,306.1753,306.1753,306.1753,0.0,7.0,2019-05-14,SM,SMK19
2017-04-25,302.8074,302.8074,302.8074,302.8074,0.0,7.0,2019-05-14,SM,SMK19
2017-04-26,304.2003,304.2003,304.2003,304.2003,0.0,6.0,2019-05-14,SM,SMK19
2017-04-27,302.1622,302.1622,302.1622,302.1622,0.0,7.0,2019-05-14,SM,SMK19
2017-04-28,301.3161,301.3161,301.3161,301.3161,0.0,6.0,2019-05-14,SM,SMK19
2017-05-01,296.3444,296.3444,296.3444,296.3444,0.0,6.0,2019-05-14,SM,SMK19
2017-05-02,300.8785,300.8785,300.8785,300.8785,0.0,5.0,2019-05-14,SM,SMK19
2017-05-03,305.7527,305.7527,305.7527,305.7527,0.0,6.0,2019-05-14,SM,SMK19
2017-05-04,307.7095,307.7095,307.7095,307.7095,0.0,7.0,2019-05-14,SM,SMK19
2017-05-05,312.2328,312.2328,312.2328,312.2328,0.0,6.0,2019-05-14,SM,SMK19
2017-05-08,316.2606,316.2606,316.2606,316.2606,0.0,5.0,2019-05-14,SM,SMK19
2017-05-09,311.6748,311.6748,311.6748,311.6748,0.0,5.0,2019-05-14,SM,SMK19
2017-05-10,312.1423,312.1423,312.1423,312.1423,0.0,7.0,2019-05-14,SM,SMK19
2017-05-11,307.2729,307.2729,307.2729,307.2729,0.0,6.0,2019-05-14,SM,SMK19
2017-05-12,307.6109,307.6109,307.6109,307.6109,0.0,7.0,2019-05-14,SM,SMK19
2017-05-15,310.1641,310.1641,310.1641,310.1641,0.0,5.0,2019-05-14,SM,SMK19
2017-05-16,315.0647,315.0647,315.0647,315.0647,0.0,6.0,2019-05-14,SM,SMK19
2017-05-17,314.9387,314.9387,314.9387,314.9387,0.0,5.0,2019-05-14,SM,SMK19
2017-05-18,320.1982,320.1982,320.1982,320.1982,0.0,7.0,2019-05-14,SM,SMK19
2017-05-19,319.5578,319.5578,319.5578,319.5578,0.0,6.0,2019-05-14,SM,SMK19
2017-05-22,323.776,323.776,323.776,323.776,0.0,5.0,2019-05-14,SM,SMK19
2017-05-23,319.3403,319.3403,319.3403,319.3403,0.0,5.0,2019-05-14,SM,SMK19
2017-05-24,320.2025,320.2025,320.2025,320.2025,0.0,5.0,2019-05-14,SM,SMK19
2017-05-25,319.2099,319.2099,319.2099,319.2099,0.0,7.0,2019-05-14,SM,SMK19
2017-05-26,316.0816,316.0816,316.0816,316.0816,0.0,6.0,2019-05-14,SM,SMK19
2017-05-30,321.613,321.613,321.613,321.613,0.0,6.0,2019-05-14,SM,SMK19
2017-05-31,321.3879,321.3879,321.3879,321.3879,0.0,6.0,2019-05-14,SM,SMK19
2017-06-01,326.3051,326.3051,326.3051,326.3051,0.0,5.0,2019-05-14,SM,SMK19
2017-06-02,330.5797,330.5797,330.5797,330.5797,0.0,7.0,2019-05-14,SM,SMK19
2017-06-05,332.0343,332.0343,332.0343,332.0343,0.0,6.0,2019-05-14,SM,SMK19
2017-06-06,326.755,326.755,326.755,326.755,0.0,6.0,2019-05-14,SM,SMK19
2017-06-07,329.3364,329.3364,329.3364,329.3364,0.0,6.0,2019-05-14,SM,SMK19
2017-06-08,327.7556,327.7556,327.7556,327.7556,0.0,6.0,2019-05-14,SM,SMK19
2017-06-09,324.1831,324.1831,324.1831,324.1831,0.0,6.0,2019-05-14,SM,SMK19
2017-06-12,321.2979,321.2979,321.2979,321.2979,0.0,6.0,2019-05-14,SM,SMK19
2017-06-13,320.3661,320.3661,320.3661,320.3661,0.0,6.0,2019-05-14,SM,SMK19
2017-06-14,316.9702,316.9702,316.9702,316.9702,0.0,5.0,2019-05-14,SM,SMK19
2017-06-15,317.3823,317.3823,317.3823,317.3823,0.0,6.0,2019-05-14,SM,SMK19
2017-06-16,321.6035,321.6035,321.6035,321.6035,0.0,5.0,2019-05-14,SM,SMK19
2017-06-19,327.521,327.521,327.521,327.521,0.0,6.0,2019-05-14,SM,SMK19
2017-06-20,329.4534,329.4534,329.4534,329.4534,0.0,5.0,2019-05-14,SM,SMK19
2017-06-21,330.31,330.31,330.31,330.31,0.0,6.0,2019-05-14,SM,SMK19
2017-06-22,330.7394,330.7394,330.7394,330.7394,0.0,6.0,2019-05-14,SM,SMK19
2017-06-23,326.539,326.539,326.539,326.539,0.0,5.0,2019-05-14,SM,SMK19
2017-06-26,323.1103,323.1103,323.1103,323.1103,31.0,23.0,2019-05-14,SM,SMK19
2017-06-27,317.7467,317.7467,317.7467,317.7467,0.0,21.0,2019-05-14,SM,SMK19
2017-06-28,314.4104,314.4104,314.4104,314.4104,0.0,19.0,2019-05-14,SM,SMK19
2017-06-29,319.5353,319.5353,319.5353,319.5353,0.0,25.0,2019-05-14,SM,SMK19
2017-06-30,323.4017,323.4017,323.4017,323.4017,0.0,18.0,2019-05-14,SM,SMK19
2017-07-03,318.68,318.68,318.68,318.68,0.0,22.0,2019-05-14,SM,SMK19
2017-07-05,316.0987,316.0987,316.0987,316.0987,0.0,20.0,2019-05-14,SM,SMK19
2017-07-06,321.8201,321.8201,321.8201,321.8201,0.0,24.0,2019-05-14,SM,SMK19
2017-07-07,324.9096,324.9096,324.9096,324.9096,0.0,25.0,2019-05-14,SM,SMK19
2017-07-10,319.9385,319.9385,319.9385,319.9385,0.0,17.0,2019-05-14,SM,SMK19
2017-07-11,314.0836,314.0836,314.0836,314.0836,0.0,21.0,2019-05-14,SM,SMK19
2017-07-12,316.5335,316.5335,316.5335,316.5335,0.0,20.0,2019-05-14,SM,SMK19
2017-07-13,318.4644,318.4644,318.4644,318.4644,0.0,19.0,2019-05-14,SM,SMK19
2017-07-14,320.7573,320.7573,320.7573,320.7573,0.0,18.0,2019-05-14,SM,SMK19
2017-07-17,325.2479,325.2479,325.2479,325.2479,0.0,22.0,2019-05-14,SM,SMK19
2017-07-18,327.6873,327.6873,327.6873,327.6873,0.0,25.0,2019-05-14,SM,SMK19
2017-07-19,332.8975,332.8975,332.8975,332.8975,0.0,22.0,2019-05-14,SM,SMK19
2017-07-20,332.6312,332.6312,332.6312,332.6312,0.0,23.0,2019-05-14,SM,SMK19
2017-07-21,337.6207,337.6207,337.6207,337.6207,0.0,24.0,2019-05-14,SM,SMK19
