,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,300.069,300.069,300.069,300.069,0.0,0.0,2019-07-12,SM,SMN19
2016-12-15,303.2497,303.2497,303.2497,303.2497,0.0,0.0,2019-07-12,SM,SMN19
2016-12-16,303.2194,303.2194,303.2194,303.2194,0.0,0.0,2019-07-12,SM,SMN19
2016-12-19,299.884,299.884,299.884,299.884,0.0,0.0,2019-07-12,SM,SMN19
2016-12-20,299.2243,299.2243,299.2243,299.2243,0.0,0.0,2019-07-12,SM,SMN19
2016-12-21,300.5708,300.5708,300.5708,300.5708,0.0,0.0,2019-07-12,SM,SMN19
2016-12-22,301.9234,301.9234,301.9234,301.9234,0.0,0.0,2019-07-12,SM,SMN19
2016-12-23,296.9115,296.9115,296.9115,296.9115,0.0,0.0,2019-07-12,SM,SMN19
2016-12-27,295.3379,295.3379,295.3379,295.3379,0.0,0.0,2019-07-12,SM,SMN19
2016-12-28,295.8104,295.8104,295.8104,295.8104,0.0,0.0,2019-07-12,SM,SMN19
2016-12-29,291.5507,291.5507,291.5507,291.5507,0.0,0.0,2019-07-12,SM,SMN19
2016-12-30,287.0025,287.0025,287.0025,287.0025,0.0,0.0,2019-07-12,SM,SMN19
2017-01-03,282.5253,282.5253,282.5253,282.5253,0.0,0.0,2019-07-12,SM,SMN19
2017-01-04,277.6376,277.6376,277.6376,277.6376,0.0,0.0,2019-07-12,SM,SMN19
2017-01-05,277.7764,277.7764,277.7764,277.7764,0.0,0.0,2019-07-12,SM,SMN19
2017-01-06,278.6375,278.6375,278.6375,278.6375,0.0,0.0,2019-07-12,SM,SMN19
2017-01-09,281.3403,281.3403,281.3403,281.3403,0.0,0.0,2019-07-12,SM,SMN19
2017-01-10,280.4681,280.4681,280.4681,280.4681,0.0,0.0,2019-07-12,SM,SMN19
2017-01-11,275.3075,275.3075,275.3075,275.3075,0.0,0.0,2019-07-12,SM,SMN19
2017-01-12,272.9949,272.9949,272.9949,272.9949,0.0,0.0,2019-07-12,SM,SMN19
2017-01-13,275.834,275.834,275.834,275.834,0.0,0.0,2019-07-12,SM,SMN19
2017-01-17,275.5306,275.5306,275.5306,275.5306,0.0,0.0,2019-07-12,SM,SMN19
2017-01-18,273.2437,273.2437,273.2437,273.2437,6.0,7.0,2019-07-12,SM,SMN19
2017-01-19,275.6756,275.6756,275.6756,275.6756,0.0,6.0,2019-07-12,SM,SMN19
2017-01-20,280.4999,280.4999,280.4999,280.4999,0.0,5.0,2019-07-12,SM,SMN19
