,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,300.3338,300.3338,300.3338,300.3338,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-15,303.1269,303.1269,303.1269,303.1269,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-16,301.4597,301.4597,301.4597,301.4597,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-19,301.7913,301.7913,301.7913,301.7913,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-20,297.023,297.023,297.023,297.023,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-21,293.132,293.132,293.132,293.132,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-22,293.4838,293.4838,293.4838,293.4838,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-23,291.2533,291.2533,291.2533,291.2533,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-27,295.9134,295.9134,295.9134,295.9134,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-28,292.7175,292.7175,292.7175,292.7175,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-29,292.7175,292.7175,292.7175,292.7175,0.0,0.0,2019-08-14,SM,SMQ19
2016-12-30,288.8829,288.8829,288.8829,288.8829,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-03,288.4496,288.4496,288.4496,288.4496,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-04,291.2764,291.2764,291.2764,291.2764,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-05,290.7812,290.7812,290.7812,290.7812,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-06,288.8911,288.8911,288.8911,288.8911,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-09,285.1355,285.1355,285.1355,285.1355,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-10,286.276,286.276,286.276,286.276,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-11,291.2286,291.2286,291.2286,291.2286,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-12,289.5977,289.5977,289.5977,289.5977,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-13,291.9434,291.9434,291.9434,291.9434,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-17,293.987,293.987,293.987,293.987,0.0,0.0,2019-08-14,SM,SMQ19
2017-01-18,297.7206,297.7206,297.7206,297.7206,3.0,2.0,2019-08-14,SM,SMQ19
2017-01-19,299.2092,299.2092,299.2092,299.2092,0.0,4.0,2019-08-14,SM,SMQ19
2017-01-20,298.4013,298.4013,298.4013,298.4013,0.0,3.0,2019-08-14,SM,SMQ19
2017-01-23,298.7594,298.7594,298.7594,298.7594,0.0,2.0,2019-08-14,SM,SMQ19
2017-01-24,298.5503,298.5503,298.5503,298.5503,0.0,4.0,2019-08-14,SM,SMQ19
2017-01-25,299.8042,299.8042,299.8042,299.8042,0.0,2.0,2019-08-14,SM,SMQ19
2017-01-26,304.3013,304.3013,304.3013,304.3013,0.0,3.0,2019-08-14,SM,SMQ19
2017-01-27,302.8711,302.8711,302.8711,302.8711,0.0,3.0,2019-08-14,SM,SMQ19
2017-01-30,301.7505,301.7505,301.7505,301.7505,0.0,3.0,2019-08-14,SM,SMQ19
2017-01-31,297.3148,297.3148,297.3148,297.3148,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-01,302.607,302.607,302.607,302.607,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-02,299.1875,299.1875,299.1875,299.1875,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-03,295.1186,295.1186,295.1186,295.1186,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-06,292.1084,292.1084,292.1084,292.1084,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-07,292.0208,292.0208,292.0208,292.0208,0.0,4.0,2019-08-14,SM,SMQ19
2017-02-08,295.0578,295.0578,295.0578,295.0578,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-09,298.2444,298.2444,298.2444,298.2444,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-10,296.9918,296.9918,296.9918,296.9918,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-13,295.002,295.002,295.002,295.002,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-14,290.518,290.518,290.518,290.518,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-15,289.8498,289.8498,289.8498,289.8498,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-16,286.4296,286.4296,286.4296,286.4296,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-17,284.0522,284.0522,284.0522,284.0522,0.0,4.0,2019-08-14,SM,SMQ19
2017-02-21,279.905,279.905,279.905,279.905,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-22,276.91,276.91,276.91,276.91,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-23,280.1775,280.1775,280.1775,280.1775,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-24,276.0029,276.0029,276.0029,276.0029,0.0,2.0,2019-08-14,SM,SMQ19
2017-02-27,272.1389,272.1389,272.1389,272.1389,0.0,3.0,2019-08-14,SM,SMQ19
2017-02-28,268.9549,268.9549,268.9549,268.9549,0.0,3.0,2019-08-14,SM,SMQ19
