,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,299.4146,299.4146,299.4146,299.4146,0.0,0.0,2019-09-13,SM,SMU19
2016-12-15,294.1449,294.1449,294.1449,294.1449,0.0,0.0,2019-09-13,SM,SMU19
2016-12-16,292.2035,292.2035,292.2035,292.2035,0.0,0.0,2019-09-13,SM,SMU19
2016-12-19,289.1938,289.1938,289.1938,289.1938,0.0,0.0,2019-09-13,SM,SMU19
2016-12-20,292.0279,292.0279,292.0279,292.0279,0.0,0.0,2019-09-13,SM,SMU19
2016-12-21,294.5101,294.5101,294.5101,294.5101,0.0,0.0,2019-09-13,SM,SMU19
2016-12-22,293.2437,293.2437,293.2437,293.2437,0.0,0.0,2019-09-13,SM,SMU19
2016-12-23,288.5518,288.5518,288.5518,288.5518,0.0,0.0,2019-09-13,SM,SMU19
2016-12-27,286.1857,286.1857,286.1857,286.1857,0.0,0.0,2019-09-13,SM,SMU19
2016-12-28,288.3607,288.3607,288.3607,288.3607,0.0,0.0,2019-09-13,SM,SMU19
2016-12-29,291.9652,291.9652,291.9652,291.9652,0.0,0.0,2019-09-13,SM,SMU19
2016-12-30,293.279,293.279,293.279,293.279,0.0,0.0,2019-09-13,SM,SMU19
2017-01-03,291.6953,291.6953,291.6953,291.6953,0.0,0.0,2019-09-13,SM,SMU19
2017-01-04,289.7409,289.7409,289.7409,289.7409,0.0,0.0,2019-09-13,SM,SMU19
2017-01-05,290.8419,290.8419,290.8419,290.8419,0.0,0.0,2019-09-13,SM,SMU19
2017-01-06,295.0882,295.0882,295.0882,295.0882,0.0,0.0,2019-09-13,SM,SMU19
2017-01-09,296.5931,296.5931,296.5931,296.5931,0.0,0.0,2019-09-13,SM,SMU19
2017-01-10,300.5378,300.5378,300.5378,300.5378,0.0,0.0,2019-09-13,SM,SMU19
2017-01-11,304.2645,304.2645,304.2645,304.2645,0.0,0.0,2019-09-13,SM,SMU19
2017-01-12,304.3862,304.3862,304.3862,304.3862,0.0,0.0,2019-09-13,SM,SMU19
2017-01-13,308.1606,308.1606,308.1606,308.1606,0.0,0.0,2019-09-13,SM,SMU19
2017-01-17,312.0434,312.0434,312.0434,312.0434,0.0,0.0,2019-09-13,SM,SMU19
2017-01-18,314.7582,314.7582,314.7582,314.7582,0.0,0.0,2019-09-13,SM,SMU19
2017-01-19,317.1504,317.1504,317.1504,317.1504,0.0,0.0,2019-09-13,SM,SMU19
2017-01-20,311.5686,311.5686,311.5686,311.5686,0.0,0.0,2019-09-13,SM,SMU19
2017-01-23,314.3104,314.3104,314.3104,314.3104,0.0,0.0,2019-09-13,SM,SMU19
2017-01-24,315.9762,315.9762,315.9762,315.9762,0.0,0.0,2019-09-13,SM,SMU19
2017-01-25,321.3478,321.3478,321.3478,321.3478,0.0,0.0,2019-09-13,SM,SMU19
2017-01-26,318.9056,318.9056,318.9056,318.9056,0.0,0.0,2019-09-13,SM,SMU19
2017-01-27,318.1402,318.1402,318.1402,318.1402,0.0,0.0,2019-09-13,SM,SMU19
2017-01-30,318.5856,318.5856,318.5856,318.5856,0.0,0.0,2019-09-13,SM,SMU19
2017-01-31,317.7891,317.7891,317.7891,317.7891,0.0,0.0,2019-09-13,SM,SMU19
2017-02-01,318.6154,318.6154,318.6154,318.6154,0.0,0.0,2019-09-13,SM,SMU19
2017-02-02,323.5858,323.5858,323.5858,323.5858,0.0,0.0,2019-09-13,SM,SMU19
2017-02-03,327.21,327.21,327.21,327.21,0.0,0.0,2019-09-13,SM,SMU19
2017-02-06,322.171,322.171,322.171,322.171,0.0,0.0,2019-09-13,SM,SMU19
2017-02-07,326.8425,326.8425,326.8425,326.8425,0.0,0.0,2019-09-13,SM,SMU19
2017-02-08,331.2222,331.2222,331.2222,331.2222,0.0,0.0,2019-09-13,SM,SMU19
2017-02-09,327.3138,327.3138,327.3138,327.3138,0.0,0.0,2019-09-13,SM,SMU19
2017-02-10,326.7901,326.7901,326.7901,326.7901,0.0,0.0,2019-09-13,SM,SMU19
2017-02-13,331.2671,331.2671,331.2671,331.2671,0.0,0.0,2019-09-13,SM,SMU19
2017-02-14,333.4535,333.4535,333.4535,333.4535,0.0,0.0,2019-09-13,SM,SMU19
2017-02-15,331.186,331.186,331.186,331.186,0.0,0.0,2019-09-13,SM,SMU19
2017-02-16,332.5439,332.5439,332.5439,332.5439,0.0,0.0,2019-09-13,SM,SMU19
2017-02-17,327.855,327.855,327.855,327.855,0.0,0.0,2019-09-13,SM,SMU19
2017-02-21,332.6745,332.6745,332.6745,332.6745,0.0,0.0,2019-09-13,SM,SMU19
2017-02-22,332.4416,332.4416,332.4416,332.4416,0.0,0.0,2019-09-13,SM,SMU19
2017-02-23,332.4084,332.4084,332.4084,332.4084,0.0,0.0,2019-09-13,SM,SMU19
2017-02-24,331.7768,331.7768,331.7768,331.7768,0.0,0.0,2019-09-13,SM,SMU19
2017-02-27,331.3787,331.3787,331.3787,331.3787,0.0,0.0,2019-09-13,SM,SMU19
2017-02-28,332.7042,332.7042,332.7042,332.7042,0.0,0.0,2019-09-13,SM,SMU19
2017-03-01,331.0074,331.0074,331.0074,331.0074,0.0,0.0,2019-09-13,SM,SMU19
2017-03-02,335.5091,335.5091,335.5091,335.5091,0.0,0.0,2019-09-13,SM,SMU19
2017-03-03,335.9788,335.9788,335.9788,335.9788,0.0,0.0,2019-09-13,SM,SMU19
2017-03-06,340.0105,340.0105,340.0105,340.0105,0.0,0.0,2019-09-13,SM,SMU19
2017-03-07,343.3086,343.3086,343.3086,343.3086,0.0,0.0,2019-09-13,SM,SMU19
2017-03-08,346.57,346.57,346.57,346.57,0.0,0.0,2019-09-13,SM,SMU19
2017-03-09,347.9909,347.9909,347.9909,347.9909,0.0,0.0,2019-09-13,SM,SMU19
2017-03-10,351.4708,351.4708,351.4708,351.4708,0.0,0.0,2019-09-13,SM,SMU19
2017-03-13,357.024,357.024,357.024,357.024,0.0,0.0,2019-09-13,SM,SMU19
2017-03-14,358.8091,358.8091,358.8091,358.8091,0.0,0.0,2019-09-13,SM,SMU19
2017-03-15,354.0369,354.0369,354.0369,354.0369,0.0,0.0,2019-09-13,SM,SMU19
2017-03-16,347.735,347.735,347.735,347.735,0.0,0.0,2019-09-13,SM,SMU19
2017-03-17,348.5696,348.5696,348.5696,348.5696,0.0,0.0,2019-09-13,SM,SMU19
2017-03-20,351.7416,351.7416,351.7416,351.7416,0.0,0.0,2019-09-13,SM,SMU19
2017-03-21,353.2893,353.2893,353.2893,353.2893,0.0,0.0,2019-09-13,SM,SMU19
2017-03-22,347.1774,347.1774,347.1774,347.1774,0.0,0.0,2019-09-13,SM,SMU19
2017-03-23,349.7465,349.7465,349.7465,349.7465,0.0,0.0,2019-09-13,SM,SMU19
2017-03-24,344.5353,344.5353,344.5353,344.5353,0.0,0.0,2019-09-13,SM,SMU19
2017-03-27,340.7799,340.7799,340.7799,340.7799,0.0,0.0,2019-09-13,SM,SMU19
2017-03-28,337.9855,337.9855,337.9855,337.9855,0.0,0.0,2019-09-13,SM,SMU19
2017-03-29,342.0413,342.0413,342.0413,342.0413,0.0,0.0,2019-09-13,SM,SMU19
2017-03-30,336.3634,336.3634,336.3634,336.3634,0.0,0.0,2019-09-13,SM,SMU19
2017-03-31,330.6452,330.6452,330.6452,330.6452,0.0,0.0,2019-09-13,SM,SMU19
2017-04-03,331.8025,331.8025,331.8025,331.8025,0.0,0.0,2019-09-13,SM,SMU19
2017-04-04,327.8541,327.8541,327.8541,327.8541,0.0,0.0,2019-09-13,SM,SMU19
2017-04-05,324.9362,324.9362,324.9362,324.9362,0.0,0.0,2019-09-13,SM,SMU19
2017-04-06,322.4992,322.4992,322.4992,322.4992,0.0,0.0,2019-09-13,SM,SMU19
2017-04-07,319.5322,319.5322,319.5322,319.5322,0.0,0.0,2019-09-13,SM,SMU19
2017-04-10,314.0043,314.0043,314.0043,314.0043,0.0,0.0,2019-09-13,SM,SMU19
2017-04-11,315.5429,315.5429,315.5429,315.5429,0.0,0.0,2019-09-13,SM,SMU19
2017-04-12,312.3875,312.3875,312.3875,312.3875,0.0,0.0,2019-09-13,SM,SMU19
2017-04-13,312.1376,312.1376,312.1376,312.1376,0.0,0.0,2019-09-13,SM,SMU19
2017-04-17,315.1965,315.1965,315.1965,315.1965,0.0,0.0,2019-09-13,SM,SMU19
2017-04-18,312.5488,312.5488,312.5488,312.5488,0.0,0.0,2019-09-13,SM,SMU19
2017-04-19,308.767,308.767,308.767,308.767,0.0,0.0,2019-09-13,SM,SMU19
2017-04-20,306.9453,306.9453,306.9453,306.9453,0.0,0.0,2019-09-13,SM,SMU19
2017-04-21,311.795,311.795,311.795,311.795,0.0,0.0,2019-09-13,SM,SMU19
2017-04-24,317.0643,317.0643,317.0643,317.0643,0.0,0.0,2019-09-13,SM,SMU19
2017-04-25,320.2032,320.2032,320.2032,320.2032,0.0,0.0,2019-09-13,SM,SMU19
2017-04-26,315.9445,315.9445,315.9445,315.9445,0.0,0.0,2019-09-13,SM,SMU19
2017-04-27,318.3457,318.3457,318.3457,318.3457,0.0,0.0,2019-09-13,SM,SMU19
2017-04-28,312.902,312.902,312.902,312.902,0.0,0.0,2019-09-13,SM,SMU19
2017-05-01,310.0546,310.0546,310.0546,310.0546,0.0,0.0,2019-09-13,SM,SMU19
2017-05-02,306.0239,306.0239,306.0239,306.0239,0.0,0.0,2019-09-13,SM,SMU19
2017-05-03,304.4326,304.4326,304.4326,304.4326,0.0,0.0,2019-09-13,SM,SMU19
2017-05-04,301.8754,301.8754,301.8754,301.8754,0.0,0.0,2019-09-13,SM,SMU19
2017-05-05,304.7432,304.7432,304.7432,304.7432,0.0,0.0,2019-09-13,SM,SMU19
2017-05-08,307.6383,307.6383,307.6383,307.6383,0.0,0.0,2019-09-13,SM,SMU19
2017-05-09,305.9155,305.9155,305.9155,305.9155,0.0,0.0,2019-09-13,SM,SMU19
2017-05-10,306.8027,306.8027,306.8027,306.8027,0.0,0.0,2019-09-13,SM,SMU19
2017-05-11,302.8756,302.8756,302.8756,302.8756,0.0,0.0,2019-09-13,SM,SMU19
2017-05-12,301.967,301.967,301.967,301.967,0.0,0.0,2019-09-13,SM,SMU19
2017-05-15,303.356,303.356,303.356,303.356,0.0,0.0,2019-09-13,SM,SMU19
2017-05-16,304.6604,304.6604,304.6604,304.6604,0.0,0.0,2019-09-13,SM,SMU19
2017-05-17,308.9561,308.9561,308.9561,308.9561,0.0,0.0,2019-09-13,SM,SMU19
2017-05-18,303.4258,303.4258,303.4258,303.4258,0.0,0.0,2019-09-13,SM,SMU19
2017-05-19,307.7951,307.7951,307.7951,307.7951,0.0,0.0,2019-09-13,SM,SMU19
2017-05-22,302.8396,302.8396,302.8396,302.8396,0.0,0.0,2019-09-13,SM,SMU19
2017-05-23,300.8106,300.8106,300.8106,300.8106,0.0,0.0,2019-09-13,SM,SMU19
2017-05-24,304.9016,304.9016,304.9016,304.9016,0.0,0.0,2019-09-13,SM,SMU19
2017-05-25,300.7244,300.7244,300.7244,300.7244,0.0,0.0,2019-09-13,SM,SMU19
2017-05-26,297.1759,297.1759,297.1759,297.1759,0.0,0.0,2019-09-13,SM,SMU19
2017-05-30,293.0154,293.0154,293.0154,293.0154,0.0,0.0,2019-09-13,SM,SMU19
2017-05-31,289.4113,289.4113,289.4113,289.4113,0.0,0.0,2019-09-13,SM,SMU19
2017-06-01,287.0092,287.0092,287.0092,287.0092,0.0,0.0,2019-09-13,SM,SMU19
2017-06-02,286.837,286.837,286.837,286.837,0.0,0.0,2019-09-13,SM,SMU19
2017-06-05,289.5046,289.5046,289.5046,289.5046,0.0,0.0,2019-09-13,SM,SMU19
2017-06-06,284.9015,284.9015,284.9015,284.9015,0.0,0.0,2019-09-13,SM,SMU19
2017-06-07,288.5767,288.5767,288.5767,288.5767,0.0,0.0,2019-09-13,SM,SMU19
2017-06-08,290.7699,290.7699,290.7699,290.7699,0.0,0.0,2019-09-13,SM,SMU19
2017-06-09,292.689,292.689,292.689,292.689,0.0,0.0,2019-09-13,SM,SMU19
2017-06-12,287.7426,287.7426,287.7426,287.7426,0.0,0.0,2019-09-13,SM,SMU19
2017-06-13,291.9436,291.9436,291.9436,291.9436,0.0,0.0,2019-09-13,SM,SMU19
2017-06-14,294.4251,294.4251,294.4251,294.4251,0.0,0.0,2019-09-13,SM,SMU19
2017-06-15,292.0403,292.0403,292.0403,292.0403,0.0,0.0,2019-09-13,SM,SMU19
2017-06-16,291.9235,291.9235,291.9235,291.9235,0.0,0.0,2019-09-13,SM,SMU19
2017-06-19,290.4931,290.4931,290.4931,290.4931,0.0,0.0,2019-09-13,SM,SMU19
2017-06-20,291.9746,291.9746,291.9746,291.9746,0.0,0.0,2019-09-13,SM,SMU19
2017-06-21,295.5367,295.5367,295.5367,295.5367,0.0,0.0,2019-09-13,SM,SMU19
2017-06-22,298.2261,298.2261,298.2261,298.2261,0.0,0.0,2019-09-13,SM,SMU19
2017-06-23,298.405,298.405,298.405,298.405,0.0,0.0,2019-09-13,SM,SMU19
2017-06-26,299.7478,299.7478,299.7478,299.7478,12.0,8.0,2019-09-13,SM,SMU19
2017-06-27,302.8352,302.8352,302.8352,302.8352,0.0,8.0,2019-09-13,SM,SMU19
2017-06-28,307.7108,307.7108,307.7108,307.7108,0.0,8.0,2019-09-13,SM,SMU19
2017-06-29,303.6798,303.6798,303.6798,303.6798,0.0,8.0,2019-09-13,SM,SMU19
2017-06-30,302.6473,302.6473,302.6473,302.6473,0.0,8.0,2019-09-13,SM,SMU19
2017-07-03,306.9146,306.9146,306.9146,306.9146,0.0,7.0,2019-09-13,SM,SMU19
2017-07-05,302.1267,302.1267,302.1267,302.1267,0.0,8.0,2019-09-13,SM,SMU19
2017-07-06,301.6131,301.6131,301.6131,301.6131,0.0,8.0,2019-09-13,SM,SMU19
2017-07-07,302.6989,302.6989,302.6989,302.6989,0.0,9.0,2019-09-13,SM,SMU19
2017-07-10,305.7259,305.7259,305.7259,305.7259,0.0,10.0,2019-09-13,SM,SMU19
2017-07-11,301.4152,301.4152,301.4152,301.4152,0.0,7.0,2019-09-13,SM,SMU19
2017-07-12,301.7769,301.7769,301.7769,301.7769,0.0,9.0,2019-09-13,SM,SMU19
2017-07-13,303.0444,303.0444,303.0444,303.0444,0.0,7.0,2019-09-13,SM,SMU19
2017-07-14,307.8022,307.8022,307.8022,307.8022,0.0,9.0,2019-09-13,SM,SMU19
2017-07-17,308.6025,308.6025,308.6025,308.6025,0.0,9.0,2019-09-13,SM,SMU19
2017-07-18,312.5526,312.5526,312.5526,312.5526,0.0,8.0,2019-09-13,SM,SMU19
