,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,304.4641,304.4641,304.4641,304.4641,0.0,0.0,2019-10-14,SM,SMV19
2016-12-15,307.661,307.661,307.661,307.661,0.0,0.0,2019-10-14,SM,SMV19
2016-12-16,303.0461,303.0461,303.0461,303.0461,0.0,0.0,2019-10-14,SM,SMV19
2016-12-19,301.8036,301.8036,301.8036,301.8036,0.0,0.0,2019-10-14,SM,SMV19
2016-12-20,300.3248,300.3248,300.3248,300.3248,0.0,0.0,2019-10-14,SM,SMV19
2016-12-21,301.9466,301.9466,301.9466,301.9466,0.0,0.0,2019-10-14,SM,SMV19
2016-12-22,305.2982,305.2982,305.2982,305.2982,0.0,0.0,2019-10-14,SM,SMV19
2016-12-23,304.1686,304.1686,304.1686,304.1686,0.0,0.0,2019-10-14,SM,SMV19
2016-12-27,308.792,308.792,308.792,308.792,0.0,0.0,2019-10-14,SM,SMV19
2016-12-28,311.9417,311.9417,311.9417,311.9417,0.0,0.0,2019-10-14,SM,SMV19
2016-12-29,307.4497,307.4497,307.4497,307.4497,0.0,0.0,2019-10-14,SM,SMV19
2016-12-30,306.8041,306.8041,306.8041,306.8041,0.0,0.0,2019-10-14,SM,SMV19
2017-01-03,311.8664,311.8664,311.8664,311.8664,0.0,0.0,2019-10-14,SM,SMV19
2017-01-04,309.7769,309.7769,309.7769,309.7769,0.0,0.0,2019-10-14,SM,SMV19
2017-01-05,304.6346,304.6346,304.6346,304.6346,0.0,0.0,2019-10-14,SM,SMV19
2017-01-06,308.8081,308.8081,308.8081,308.8081,0.0,0.0,2019-10-14,SM,SMV19
2017-01-09,303.404,303.404,303.404,303.404,0.0,0.0,2019-10-14,SM,SMV19
2017-01-10,306.9842,306.9842,306.9842,306.9842,0.0,0.0,2019-10-14,SM,SMV19
2017-01-11,307.5061,307.5061,307.5061,307.5061,0.0,0.0,2019-10-14,SM,SMV19
2017-01-12,305.6918,305.6918,305.6918,305.6918,0.0,0.0,2019-10-14,SM,SMV19
2017-01-13,308.9016,308.9016,308.9016,308.9016,0.0,0.0,2019-10-14,SM,SMV19
2017-01-17,307.5733,307.5733,307.5733,307.5733,0.0,0.0,2019-10-14,SM,SMV19
2017-01-18,312.8636,312.8636,312.8636,312.8636,6.0,7.0,2019-10-14,SM,SMV19
2017-01-19,313.6145,313.6145,313.6145,313.6145,0.0,6.0,2019-10-14,SM,SMV19
2017-01-20,316.2489,316.2489,316.2489,316.2489,0.0,7.0,2019-10-14,SM,SMV19
2017-01-23,311.1889,311.1889,311.1889,311.1889,0.0,7.0,2019-10-14,SM,SMV19
2017-01-24,313.2739,313.2739,313.2739,313.2739,0.0,6.0,2019-10-14,SM,SMV19
2017-01-25,316.7199,316.7199,316.7199,316.7199,0.0,7.0,2019-10-14,SM,SMV19
2017-01-26,318.1135,318.1135,318.1135,318.1135,0.0,6.0,2019-10-14,SM,SMV19
2017-01-27,313.8826,313.8826,313.8826,313.8826,0.0,6.0,2019-10-14,SM,SMV19
2017-01-30,311.6226,311.6226,311.6226,311.6226,0.0,6.0,2019-10-14,SM,SMV19
2017-01-31,309.7529,309.7529,309.7529,309.7529,0.0,6.0,2019-10-14,SM,SMV19
2017-02-01,312.8504,312.8504,312.8504,312.8504,0.0,7.0,2019-10-14,SM,SMV19
2017-02-02,315.2593,315.2593,315.2593,315.2593,0.0,6.0,2019-10-14,SM,SMV19
2017-02-03,313.2416,313.2416,313.2416,313.2416,0.0,6.0,2019-10-14,SM,SMV19
2017-02-06,318.4414,318.4414,318.4414,318.4414,0.0,6.0,2019-10-14,SM,SMV19
2017-02-07,321.4984,321.4984,321.4984,321.4984,0.0,6.0,2019-10-14,SM,SMV19
2017-02-08,316.8045,316.8045,316.8045,316.8045,0.0,6.0,2019-10-14,SM,SMV19
2017-02-09,319.2756,319.2756,319.2756,319.2756,0.0,7.0,2019-10-14,SM,SMV19
2017-02-10,313.8479,313.8479,313.8479,313.8479,0.0,7.0,2019-10-14,SM,SMV19
2017-02-13,314.6011,314.6011,314.6011,314.6011,0.0,5.0,2019-10-14,SM,SMV19
2017-02-14,312.3674,312.3674,312.3674,312.3674,0.0,7.0,2019-10-14,SM,SMV19
2017-02-15,313.898,313.898,313.898,313.898,0.0,6.0,2019-10-14,SM,SMV19
2017-02-16,317.0998,317.0998,317.0998,317.0998,0.0,6.0,2019-10-14,SM,SMV19
2017-02-17,312.4384,312.4384,312.4384,312.4384,0.0,5.0,2019-10-14,SM,SMV19
2017-02-21,312.9695,312.9695,312.9695,312.9695,0.0,7.0,2019-10-14,SM,SMV19
