,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,301.8457,301.8457,301.8457,301.8457,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-15,306.9771,306.9771,306.9771,306.9771,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-16,304.6134,304.6134,304.6134,304.6134,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-19,304.3088,304.3088,304.3088,304.3088,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-20,299.3181,299.3181,299.3181,299.3181,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-21,304.3466,304.3466,304.3466,304.3466,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-22,307.2988,307.2988,307.2988,307.2988,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-23,306.7149,306.7149,306.7149,306.7149,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-27,302.4822,302.4822,302.4822,302.4822,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-28,304.3273,304.3273,304.3273,304.3273,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-29,303.1709,303.1709,303.1709,303.1709,0.0,0.0,2019-12-13,SM,SMZ19
2016-12-30,303.4134,303.4134,303.4134,303.4134,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-03,298.8622,298.8622,298.8622,298.8622,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-04,302.5382,302.5382,302.5382,302.5382,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-05,307.1973,307.1973,307.1973,307.1973,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-06,306.6751,306.6751,306.6751,306.6751,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-09,309.5578,309.5578,309.5578,309.5578,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-10,307.2361,307.2361,307.2361,307.2361,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-11,307.4819,307.4819,307.4819,307.4819,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-12,312.8321,312.8321,312.8321,312.8321,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-13,316.9615,316.9615,316.9615,316.9615,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-17,312.9995,312.9995,312.9995,312.9995,0.0,0.0,2019-12-13,SM,SMZ19
2017-01-18,318.1953,318.1953,318.1953,318.1953,5.0,7.0,2019-12-13,SM,SMZ19
2017-01-19,316.7634,316.7634,316.7634,316.7634,0.0,7.0,2019-12-13,SM,SMZ19
2017-01-20,319.0124,319.0124,319.0124,319.0124,0.0,5.0,2019-12-13,SM,SMZ19
2017-01-23,324.1804,324.1804,324.1804,324.1804,0.0,7.0,2019-12-13,SM,SMZ19
2017-01-24,323.2079,323.2079,323.2079,323.2079,0.0,6.0,2019-12-13,SM,SMZ19
2017-01-25,322.1413,322.1413,322.1413,322.1413,0.0,6.0,2019-12-13,SM,SMZ19
2017-01-26,318.2434,318.2434,318.2434,318.2434,0.0,7.0,2019-12-13,SM,SMZ19
2017-01-27,315.8248,315.8248,315.8248,315.8248,0.0,7.0,2019-12-13,SM,SMZ19
2017-01-30,316.3617,316.3617,316.3617,316.3617,0.0,6.0,2019-12-13,SM,SMZ19
2017-01-31,317.4373,317.4373,317.4373,317.4373,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-01,318.7705,318.7705,318.7705,318.7705,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-02,315.3915,315.3915,315.3915,315.3915,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-03,309.8406,309.8406,309.8406,309.8406,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-06,310.8011,310.8011,310.8011,310.8011,0.0,6.0,2019-12-13,SM,SMZ19
2017-02-07,306.885,306.885,306.885,306.885,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-08,308.6036,308.6036,308.6036,308.6036,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-09,304.2523,304.2523,304.2523,304.2523,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-10,304.9825,304.9825,304.9825,304.9825,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-13,305.1045,305.1045,305.1045,305.1045,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-14,303.9756,303.9756,303.9756,303.9756,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-15,301.5438,301.5438,301.5438,301.5438,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-16,301.393,301.393,301.393,301.393,0.0,5.0,2019-12-13,SM,SMZ19
2017-02-17,301.0916,301.0916,301.0916,301.0916,0.0,7.0,2019-12-13,SM,SMZ19
2017-02-21,302.4766,302.4766,302.4766,302.4766,0.0,7.0,2019-12-13,SM,SMZ19
