,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-29,105.6459,105.6459,105.6459,105.6459,0.0,0.0,2019-03-29,TU,TUH19
2018-07-02,105.5403,105.5403,105.5403,105.5403,0.0,0.0,2019-03-29,TU,TUH19
2018-07-03,105.4348,105.4348,105.4348,105.4348,0.0,0.0,2019-03-29,TU,TUH19
2018-07-05,105.477,105.477,105.477,105.477,0.0,0.0,2019-03-29,TU,TUH19
2018-07-06,105.3821,105.3821,105.3821,105.3821,0.0,0.0,2019-03-29,TU,TUH19
2018-07-09,105.4348,105.4348,105.4348,105.4348,0.0,0.0,2019-03-29,TU,TUH19
2018-07-10,105.3715,105.3715,105.3715,105.3715,0.0,0.0,2019-03-29,TU,TUH19
2018-07-11,105.4663,105.4663,105.4663,105.4663,0.0,0.0,2019-03-29,TU,TUH19
2018-07-12,105.3819,105.3819,105.3819,105.3819,0.0,0.0,2019-03-29,TU,TUH19
2018-07-13,105.266,105.266,105.266,105.266,0.0,0.0,2019-03-29,TU,TUH19
2018-07-16,105.2239,105.2239,105.2239,105.2239,0.0,0.0,2019-03-29,TU,TUH19
2018-07-17,105.1713,105.1713,105.1713,105.1713,0.0,0.0,2019-03-29,TU,TUH19
2018-07-18,105.1503,105.1503,105.1503,105.1503,0.0,0.0,2019-03-29,TU,TUH19
2018-07-19,105.2134,105.2134,105.2134,105.2134,0.0,0.0,2019-03-29,TU,TUH19
2018-07-20,105.1292,105.1292,105.1292,105.1292,0.0,0.0,2019-03-29,TU,TUH19
2018-07-23,105.1502,105.1502,105.1502,105.1502,0.0,0.0,2019-03-29,TU,TUH19
2018-07-24,105.045,105.045,105.045,105.045,0.0,0.0,2019-03-29,TU,TUH19
2018-07-25,104.9505,104.9505,104.9505,104.9505,0.0,0.0,2019-03-29,TU,TUH19
2018-07-26,105.0555,105.0555,105.0555,105.0555,0.0,0.0,2019-03-29,TU,TUH19
2018-07-27,104.9925,104.9925,104.9925,104.9925,0.0,0.0,2019-03-29,TU,TUH19
2018-07-30,105.087,105.087,105.087,105.087,0.0,0.0,2019-03-29,TU,TUH19
2018-07-31,104.9924,104.9924,104.9924,104.9924,0.0,0.0,2019-03-29,TU,TUH19
2018-08-01,104.9189,104.9189,104.9189,104.9189,0.0,0.0,2019-03-29,TU,TUH19
2018-08-02,105.0028,105.0028,105.0028,105.0028,0.0,0.0,2019-03-29,TU,TUH19
2018-08-03,105.0028,105.0028,105.0028,105.0028,0.0,0.0,2019-03-29,TU,TUH19
2018-08-06,105.0658,105.0658,105.0658,105.0658,0.0,0.0,2019-03-29,TU,TUH19
2018-08-07,105.0028,105.0028,105.0028,105.0028,0.0,0.0,2019-03-29,TU,TUH19
2018-08-08,105.1078,105.1078,105.1078,105.1078,0.0,0.0,2019-03-29,TU,TUH19
2018-08-09,105.0342,105.0342,105.0342,105.0342,0.0,0.0,2019-03-29,TU,TUH19
2018-08-10,105.0552,105.0552,105.0552,105.0552,0.0,0.0,2019-03-29,TU,TUH19
2018-08-13,105.0867,105.0867,105.0867,105.0867,0.0,0.0,2019-03-29,TU,TUH19
2018-08-14,105.0236,105.0236,105.0236,105.0236,0.0,0.0,2019-03-29,TU,TUH19
2018-08-15,105.0446,105.0446,105.0446,105.0446,0.0,0.0,2019-03-29,TU,TUH19
2018-08-16,105.1496,105.1496,105.1496,105.1496,0.0,0.0,2019-03-29,TU,TUH19
2018-08-17,105.1075,105.1075,105.1075,105.1075,0.0,0.0,2019-03-29,TU,TUH19
2018-08-20,105.1601,105.1601,105.1601,105.1601,0.0,0.0,2019-03-29,TU,TUH19
2018-08-21,105.2653,105.2653,105.2653,105.2653,0.0,0.0,2019-03-29,TU,TUH19
2018-08-22,105.2232,105.2232,105.2232,105.2232,0.0,0.0,2019-03-29,TU,TUH19
2018-08-23,105.1601,105.1601,105.1601,105.1601,0.0,0.0,2019-03-29,TU,TUH19
2018-08-24,105.2337,105.2337,105.2337,105.2337,0.0,0.0,2019-03-29,TU,TUH19
2018-08-27,105.2968,105.2968,105.2968,105.2968,0.0,0.0,2019-03-29,TU,TUH19
2018-08-28,105.2442,105.2442,105.2442,105.2442,0.0,0.0,2019-03-29,TU,TUH19
2018-08-29,105.2442,105.2442,105.2442,105.2442,0.0,0.0,2019-03-29,TU,TUH19
2018-08-30,105.3179,105.3179,105.3179,105.3179,0.0,0.0,2019-03-29,TU,TUH19
2018-08-31,105.2547,105.2547,105.2547,105.2547,0.0,0.0,2019-03-29,TU,TUH19
