,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-10-02,107.8145,107.8145,107.8145,107.8145,0.0,0.0,2018-06-29,TU,TUM18
2017-10-03,107.89,107.89,107.89,107.89,0.0,0.0,2018-06-29,TU,TUM18
2017-10-04,107.8361,107.8361,107.8361,107.8361,0.0,0.0,2018-06-29,TU,TUM18
2017-10-05,107.8577,107.8577,107.8577,107.8577,0.0,0.0,2018-06-29,TU,TUM18
2017-10-06,107.8038,107.8038,107.8038,107.8038,0.0,0.0,2018-06-29,TU,TUM18
2017-10-09,107.89,107.89,107.89,107.89,0.0,0.0,2018-06-29,TU,TUM18
2017-10-10,107.8037,107.8037,107.8037,107.8037,0.0,0.0,2018-06-29,TU,TUM18
2017-10-11,107.7929,107.7929,107.7929,107.7929,0.0,0.0,2018-06-29,TU,TUM18
2017-10-12,107.6959,107.6959,107.6959,107.6959,0.0,0.0,2018-06-29,TU,TUM18
2017-10-13,107.7174,107.7174,107.7174,107.7174,0.0,0.0,2018-06-29,TU,TUM18
2017-10-16,107.6097,107.6097,107.6097,107.6097,0.0,0.0,2018-06-29,TU,TUM18
2017-10-17,107.5774,107.5774,107.5774,107.5774,0.0,0.0,2018-06-29,TU,TUM18
2017-10-18,107.4913,107.4913,107.4913,107.4913,0.0,0.0,2018-06-29,TU,TUM18
2017-10-19,107.4806,107.4806,107.4806,107.4806,0.0,0.0,2018-06-29,TU,TUM18
2017-10-20,107.5343,107.5343,107.5343,107.5343,0.0,0.0,2018-06-29,TU,TUM18
2017-10-23,107.4698,107.4698,107.4698,107.4698,0.0,0.0,2018-06-29,TU,TUM18
2017-10-24,107.3623,107.3623,107.3623,107.3623,0.0,0.0,2018-06-29,TU,TUM18
2017-10-25,107.3838,107.3838,107.3838,107.3838,0.0,0.0,2018-06-29,TU,TUM18
2017-10-26,107.3623,107.3623,107.3623,107.3623,0.0,0.0,2018-06-29,TU,TUM18
2017-10-27,107.3301,107.3301,107.3301,107.3301,0.0,0.0,2018-06-29,TU,TUM18
2017-10-30,107.2872,107.2872,107.2872,107.2872,0.0,0.0,2018-06-29,TU,TUM18
2017-10-31,107.1906,107.1906,107.1906,107.1906,0.0,0.0,2018-06-29,TU,TUM18
2017-11-01,107.2335,107.2335,107.2335,107.2335,0.0,0.0,2018-06-29,TU,TUM18
2017-11-02,107.33,107.33,107.33,107.33,0.0,0.0,2018-06-29,TU,TUM18
2017-11-03,107.3193,107.3193,107.3193,107.3193,0.0,0.0,2018-06-29,TU,TUM18
2017-11-06,107.2978,107.2978,107.2978,107.2978,0.0,0.0,2018-06-29,TU,TUM18
2017-11-07,107.2763,107.2763,107.2763,107.2763,0.0,0.0,2018-06-29,TU,TUM18
2017-11-08,107.3514,107.3514,107.3514,107.3514,0.0,0.0,2018-06-29,TU,TUM18
2017-11-09,107.4373,107.4373,107.4373,107.4373,0.0,0.0,2018-06-29,TU,TUM18
2017-11-10,107.3943,107.3943,107.3943,107.3943,0.0,0.0,2018-06-29,TU,TUM18
2017-11-13,107.3084,107.3084,107.3084,107.3084,0.0,0.0,2018-06-29,TU,TUM18
2017-11-14,107.3942,107.3942,107.3942,107.3942,0.0,0.0,2018-06-29,TU,TUM18
2017-11-15,107.3727,107.3727,107.3727,107.3727,0.0,0.0,2018-06-29,TU,TUM18
2017-11-16,107.362,107.362,107.362,107.362,0.0,0.0,2018-06-29,TU,TUM18
2017-11-17,107.3191,107.3191,107.3191,107.3191,0.0,0.0,2018-06-29,TU,TUM18
2017-11-20,107.2118,107.2118,107.2118,107.2118,0.0,0.0,2018-06-29,TU,TUM18
2017-11-21,107.244,107.244,107.244,107.244,0.0,0.0,2018-06-29,TU,TUM18
2017-11-22,107.3298,107.3298,107.3298,107.3298,0.0,0.0,2018-06-29,TU,TUM18
2017-11-24,107.2654,107.2654,107.2654,107.2654,0.0,0.0,2018-06-29,TU,TUM18
2017-11-27,107.201,107.201,107.201,107.201,0.0,0.0,2018-06-29,TU,TUM18
2017-11-28,107.2546,107.2546,107.2546,107.2546,0.0,0.0,2018-06-29,TU,TUM18
2017-11-29,107.3297,107.3297,107.3297,107.3297,0.0,0.0,2018-06-29,TU,TUM18
2017-11-30,107.3512,107.3512,107.3512,107.3512,0.0,0.0,2018-06-29,TU,TUM18
2017-12-01,107.2761,107.2761,107.2761,107.2761,0.0,0.0,2018-06-29,TU,TUM18
2017-12-04,107.201,107.201,107.201,107.201,0.0,0.0,2018-06-29,TU,TUM18
