,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-01-02,106.9188,106.9188,106.9188,106.9188,0.0,0.0,2018-09-28,TU,TUU18
2018-01-03,107.0043,107.0043,107.0043,107.0043,0.0,0.0,2018-09-28,TU,TUU18
2018-01-04,107.0257,107.0257,107.0257,107.0257,0.0,0.0,2018-09-28,TU,TUU18
2018-01-05,106.9936,106.9936,106.9936,106.9936,0.0,0.0,2018-09-28,TU,TUU18
2018-01-08,107.0471,107.0471,107.0471,107.0471,0.0,0.0,2018-09-28,TU,TUU18
2018-01-09,107.1434,107.1434,107.1434,107.1434,0.0,0.0,2018-09-28,TU,TUU18
2018-01-10,107.1327,107.1327,107.1327,107.1327,0.0,0.0,2018-09-28,TU,TUU18
2018-01-11,107.1648,107.1648,107.1648,107.1648,0.0,0.0,2018-09-28,TU,TUU18
2018-01-12,107.2184,107.2184,107.2184,107.2184,0.0,0.0,2018-09-28,TU,TUU18
2018-01-16,107.1005,107.1005,107.1005,107.1005,0.0,0.0,2018-09-28,TU,TUU18
2018-01-17,107.0684,107.0684,107.0684,107.0684,0.0,0.0,2018-09-28,TU,TUU18
2018-01-18,106.9613,106.9613,106.9613,106.9613,0.0,0.0,2018-09-28,TU,TUU18
2018-01-19,106.9827,106.9827,106.9827,106.9827,0.0,0.0,2018-09-28,TU,TUU18
2018-01-22,107.0362,107.0362,107.0362,107.0362,0.0,0.0,2018-09-28,TU,TUU18
2018-01-23,107.0362,107.0362,107.0362,107.0362,0.0,0.0,2018-09-28,TU,TUU18
2018-01-24,107.0041,107.0041,107.0041,107.0041,0.0,0.0,2018-09-28,TU,TUU18
2018-01-25,107.0683,107.0683,107.0683,107.0683,0.0,0.0,2018-09-28,TU,TUU18
2018-01-26,107.079,107.079,107.079,107.079,0.0,0.0,2018-09-28,TU,TUU18
2018-01-29,106.9719,106.9719,106.9719,106.9719,0.0,0.0,2018-09-28,TU,TUU18
2018-01-30,107.0468,107.0468,107.0468,107.0468,0.0,0.0,2018-09-28,TU,TUU18
2018-01-31,107.0575,107.0575,107.0575,107.0575,0.0,0.0,2018-09-28,TU,TUU18
2018-02-01,107.1217,107.1217,107.1217,107.1217,0.0,0.0,2018-09-28,TU,TUU18
2018-02-02,107.1538,107.1538,107.1538,107.1538,0.0,0.0,2018-09-28,TU,TUU18
2018-02-05,107.1752,107.1752,107.1752,107.1752,0.0,0.0,2018-09-28,TU,TUU18
2018-02-06,107.1109,107.1109,107.1109,107.1109,0.0,0.0,2018-09-28,TU,TUU18
2018-02-07,107.0681,107.0681,107.0681,107.0681,0.0,0.0,2018-09-28,TU,TUU18
2018-02-08,106.9503,106.9503,106.9503,106.9503,0.0,0.0,2018-09-28,TU,TUU18
2018-02-09,106.9289,106.9289,106.9289,106.9289,0.0,0.0,2018-09-28,TU,TUU18
2018-02-12,106.8113,106.8113,106.8113,106.8113,0.0,0.0,2018-09-28,TU,TUU18
2018-02-13,106.9181,106.9181,106.9181,106.9181,0.0,0.0,2018-09-28,TU,TUU18
2018-02-14,106.8433,106.8433,106.8433,106.8433,0.0,0.0,2018-09-28,TU,TUU18
2018-02-15,106.8433,106.8433,106.8433,106.8433,0.0,0.0,2018-09-28,TU,TUU18
2018-02-16,106.854,106.854,106.854,106.854,0.0,0.0,2018-09-28,TU,TUU18
2018-02-20,106.9609,106.9609,106.9609,106.9609,0.0,0.0,2018-09-28,TU,TUU18
2018-02-21,106.8646,106.8646,106.8646,106.8646,0.0,0.0,2018-09-28,TU,TUU18
2018-02-22,106.8432,106.8432,106.8432,106.8432,0.0,0.0,2018-09-28,TU,TUU18
2018-02-23,106.9073,106.9073,106.9073,106.9073,0.0,0.0,2018-09-28,TU,TUU18
2018-02-26,106.8111,106.8111,106.8111,106.8111,0.0,0.0,2018-09-28,TU,TUU18
2018-02-27,106.7791,106.7791,106.7791,106.7791,0.0,0.0,2018-09-28,TU,TUU18
2018-02-28,106.7898,106.7898,106.7898,106.7898,0.0,0.0,2018-09-28,TU,TUU18
2018-03-01,106.8859,106.8859,106.8859,106.8859,0.0,0.0,2018-09-28,TU,TUU18
2018-03-02,106.8966,106.8966,106.8966,106.8966,0.0,0.0,2018-09-28,TU,TUU18
2018-03-05,106.8859,106.8859,106.8859,106.8859,0.0,0.0,2018-09-28,TU,TUU18
2018-03-06,106.8538,106.8538,106.8538,106.8538,0.0,0.0,2018-09-28,TU,TUU18
2018-03-07,106.7683,106.7683,106.7683,106.7683,0.0,0.0,2018-09-28,TU,TUU18
2018-03-08,106.8217,106.8217,106.8217,106.8217,0.0,0.0,2018-09-28,TU,TUU18
2018-03-09,106.9285,106.9285,106.9285,106.9285,0.0,0.0,2018-09-28,TU,TUU18
2018-03-12,106.9713,106.9713,106.9713,106.9713,0.0,0.0,2018-09-28,TU,TUU18
2018-03-13,107.0355,107.0355,107.0355,107.0355,0.0,0.0,2018-09-28,TU,TUU18
2018-03-14,106.9927,106.9927,106.9927,106.9927,0.0,0.0,2018-09-28,TU,TUU18
2018-03-15,106.9178,106.9178,106.9178,106.9178,0.0,0.0,2018-09-28,TU,TUU18
