,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-04-03,108.1714,108.1714,108.1714,108.1714,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-04,108.2039,108.2039,108.2039,108.2039,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-05,108.2255,108.2255,108.2255,108.2255,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-06,108.3013,108.3013,108.3013,108.3013,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-07,108.2688,108.2688,108.2688,108.2688,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-10,108.2038,108.2038,108.2038,108.2038,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-11,108.1389,108.1389,108.1389,108.1389,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-12,108.1713,108.1713,108.1713,108.1713,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-13,108.0956,108.0956,108.0956,108.0956,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-17,108.1172,108.1172,108.1172,108.1172,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-18,108.074,108.074,108.074,108.074,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-19,108.0848,108.0848,108.0848,108.0848,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-20,108.0632,108.0632,108.0632,108.0632,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-21,107.9984,107.9984,107.9984,107.9984,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-24,108.0092,108.0092,108.0092,108.0092,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-25,107.9876,107.9876,107.9876,107.9876,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-26,108.0524,108.0524,108.0524,108.0524,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-27,108.0308,108.0308,108.0308,108.0308,0.0,0.0,2017-12-29,TU,TUZ17
2017-04-28,107.9552,107.9552,107.9552,107.9552,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-01,107.966,107.966,107.966,107.966,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-02,107.9444,107.9444,107.9444,107.9444,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-03,107.9444,107.9444,107.9444,107.9444,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-04,107.912,107.912,107.912,107.912,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-05,107.9552,107.9552,107.9552,107.9552,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-08,107.9768,107.9768,107.9768,107.9768,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-09,107.912,107.912,107.912,107.912,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-10,107.966,107.966,107.966,107.966,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-11,107.9876,107.9876,107.9876,107.9876,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-12,107.9984,107.9984,107.9984,107.9984,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-15,108.02,108.02,108.02,108.02,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-16,107.9876,107.9876,107.9876,107.9876,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-17,107.9444,107.9444,107.9444,107.9444,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-18,108.0092,108.0092,108.0092,108.0092,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-19,107.9228,107.9228,107.9228,107.9228,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-22,107.9012,107.9012,107.9012,107.9012,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-23,107.9767,107.9767,107.9767,107.9767,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-24,107.9875,107.9875,107.9875,107.9875,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-25,107.9551,107.9551,107.9551,107.9551,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-26,107.9767,107.9767,107.9767,107.9767,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-30,107.9551,107.9551,107.9551,107.9551,0.0,0.0,2017-12-29,TU,TUZ17
2017-05-31,107.9875,107.9875,107.9875,107.9875,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-01,107.9443,107.9443,107.9443,107.9443,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-02,107.9011,107.9011,107.9011,107.9011,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-05,107.9227,107.9227,107.9227,107.9227,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-06,107.9875,107.9875,107.9875,107.9875,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-07,108.0415,108.0415,108.0415,108.0415,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-08,107.9551,107.9551,107.9551,107.9551,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-09,108.0307,108.0307,108.0307,108.0307,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-12,108.0739,108.0739,108.0739,108.0739,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-13,107.9982,107.9982,107.9982,107.9982,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-14,107.9334,107.9334,107.9334,107.9334,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-15,107.8794,107.8794,107.8794,107.8794,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-16,107.9118,107.9118,107.9118,107.9118,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-19,107.9765,107.9765,107.9765,107.9765,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-20,107.9009,107.9009,107.9009,107.9009,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-21,107.9656,107.9656,107.9656,107.9656,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-22,107.944,107.944,107.944,107.944,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-23,107.9224,107.9224,107.9224,107.9224,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-26,107.8469,107.8469,107.8469,107.8469,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-27,107.8793,107.8793,107.8793,107.8793,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-28,107.8361,107.8361,107.8361,107.8361,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-29,107.8792,107.8792,107.8792,107.8792,0.0,0.0,2017-12-29,TU,TUZ17
2017-06-30,107.9331,107.9331,107.9331,107.9331,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-03,107.8899,107.8899,107.8899,107.8899,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-05,107.8683,107.8683,107.8683,107.8683,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-06,107.782,107.782,107.782,107.782,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-07,107.8467,107.8467,107.8467,107.8467,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-10,107.9114,107.9114,107.9114,107.9114,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-11,107.9438,107.9438,107.9438,107.9438,0.0,0.0,2017-12-29,TU,TUZ17
2017-07-12,107.8898,107.8898,107.8898,107.8898,193.0,201.0,2017-12-29,TU,TUZ17
2017-07-13,107.8574,107.8574,107.8574,107.8574,99.0,320.0,2017-12-29,TU,TUZ17
2017-07-14,107.9113,107.9113,107.9113,107.9113,202.0,474.0,2017-12-29,TU,TUZ17
2017-07-17,107.825,107.825,107.825,107.825,0.0,549.0,2017-12-29,TU,TUZ17
2017-07-18,107.7603,107.7603,107.7603,107.7603,298.0,942.0,2017-12-29,TU,TUZ17
2017-07-19,107.7172,107.7172,107.7172,107.7172,432.0,1148.0,2017-12-29,TU,TUZ17
2017-07-20,107.6849,107.6849,107.6849,107.6849,178.0,1328.0,2017-12-29,TU,TUZ17
2017-07-21,107.5988,107.5988,107.5988,107.5988,274.0,1535.0,2017-12-29,TU,TUZ17
2017-07-24,107.545,107.545,107.545,107.545,1.0,1519.0,2017-12-29,TU,TUZ17
2017-07-25,107.6203,107.6203,107.6203,107.6203,517.0,1963.0,2017-12-29,TU,TUZ17
2017-07-26,107.6311,107.6311,107.6311,107.6311,10.0,2121.0,2017-12-29,TU,TUZ17
2017-07-27,107.6203,107.6203,107.6203,107.6203,226.0,1979.0,2017-12-29,TU,TUZ17
2017-07-28,107.5988,107.5988,107.5988,107.5988,256.0,2261.0,2017-12-29,TU,TUZ17
2017-07-31,107.6096,107.6096,107.6096,107.6096,2.0,2992.0,2017-12-29,TU,TUZ17
2017-08-01,107.5773,107.5773,107.5773,107.5773,64.0,2289.0,2017-12-29,TU,TUZ17
