,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-31,295.7469,295.7469,295.7469,295.7469,0.0,0.0,2019-03-28,TW,TWH19
2016-04-01,297.965,297.965,297.965,297.965,0.0,0.0,2019-03-28,TW,TWH19
2016-04-06,298.3226,298.3226,298.3226,298.3226,0.0,0.0,2019-03-28,TW,TWH19
2016-04-07,301.3953,301.3953,301.3953,301.3953,0.0,0.0,2019-03-28,TW,TWH19
2016-04-08,299.5869,299.5869,299.5869,299.5869,0.0,0.0,2019-03-28,TW,TWH19
2016-04-11,297.1902,297.1902,297.1902,297.1902,0.0,0.0,2019-03-28,TW,TWH19
2016-04-12,295.0504,295.0504,295.0504,295.0504,0.0,0.0,2019-03-28,TW,TWH19
2016-04-13,290.3591,290.3591,290.3591,290.3591,0.0,0.0,2019-03-28,TW,TWH19
2016-04-14,289.9526,289.9526,289.9526,289.9526,0.0,0.0,2019-03-28,TW,TWH19
2016-04-15,285.0524,285.0524,285.0524,285.0524,0.0,0.0,2019-03-28,TW,TWH19
2016-04-18,281.3467,281.3467,281.3467,281.3467,0.0,0.0,2019-03-28,TW,TWH19
2016-04-19,286.3265,286.3265,286.3265,286.3265,0.0,0.0,2019-03-28,TW,TWH19
2016-04-20,282.8619,282.8619,282.8619,282.8619,0.0,0.0,2019-03-28,TW,TWH19
2016-04-21,283.4559,283.4559,283.4559,283.4559,0.0,0.0,2019-03-28,TW,TWH19
2016-04-22,283.0874,283.0874,283.0874,283.0874,0.0,0.0,2019-03-28,TW,TWH19
2016-04-25,279.9168,279.9168,279.9168,279.9168,0.0,0.0,2019-03-28,TW,TWH19
2016-04-26,279.8888,279.8888,279.8888,279.8888,0.0,0.0,2019-03-28,TW,TWH19
2016-04-27,275.5225,275.5225,275.5225,275.5225,0.0,0.0,2019-03-28,TW,TWH19
2016-04-28,278.2502,278.2502,278.2502,278.2502,0.0,0.0,2019-03-28,TW,TWH19
2016-04-29,277.8328,277.8328,277.8328,277.8328,0.0,0.0,2019-03-28,TW,TWH19
2016-05-03,275.4157,275.4157,275.4157,275.4157,0.0,0.0,2019-03-28,TW,TWH19
2016-05-04,276.1042,276.1042,276.1042,276.1042,0.0,0.0,2019-03-28,TW,TWH19
2016-05-05,277.2638,277.2638,277.2638,277.2638,0.0,0.0,2019-03-28,TW,TWH19
2016-05-06,271.8849,271.8849,271.8849,271.8849,0.0,0.0,2019-03-28,TW,TWH19
2016-05-09,274.7941,274.7941,274.7941,274.7941,0.0,0.0,2019-03-28,TW,TWH19
2016-05-10,278.8885,278.8885,278.8885,278.8885,0.0,0.0,2019-03-28,TW,TWH19
2016-05-11,281.1475,281.1475,281.1475,281.1475,0.0,0.0,2019-03-28,TW,TWH19
2016-05-12,281.4005,281.4005,281.4005,281.4005,0.0,0.0,2019-03-28,TW,TWH19
2016-05-13,285.6496,285.6496,285.6496,285.6496,0.0,0.0,2019-03-28,TW,TWH19
2016-05-16,280.1651,280.1651,280.1651,280.1651,0.0,0.0,2019-03-28,TW,TWH19
2016-05-17,275.3182,275.3182,275.3182,275.3182,0.0,0.0,2019-03-28,TW,TWH19
2016-05-18,279.1176,279.1176,279.1176,279.1176,0.0,0.0,2019-03-28,TW,TWH19
2016-05-19,281.4901,281.4901,281.4901,281.4901,0.0,0.0,2019-03-28,TW,TWH19
2016-05-20,282.7568,282.7568,282.7568,282.7568,0.0,0.0,2019-03-28,TW,TWH19
2016-05-23,287.083,287.083,287.083,287.083,0.0,0.0,2019-03-28,TW,TWH19
2016-05-24,284.9873,284.9873,284.9873,284.9873,0.0,0.0,2019-03-28,TW,TWH19
2016-05-25,283.8474,283.8474,283.8474,283.8474,0.0,0.0,2019-03-28,TW,TWH19
2016-05-26,281.3495,281.3495,281.3495,281.3495,0.0,0.0,2019-03-28,TW,TWH19
2016-05-27,284.8101,284.8101,284.8101,284.8101,0.0,0.0,2019-03-28,TW,TWH19
2016-05-30,285.9778,285.9778,285.9778,285.9778,0.0,0.0,2019-03-28,TW,TWH19
2016-05-31,291.1254,291.1254,291.1254,291.1254,0.0,0.0,2019-03-28,TW,TWH19
2016-06-01,296.453,296.453,296.453,296.453,0.0,0.0,2019-03-28,TW,TWH19
2016-06-02,300.6626,300.6626,300.6626,300.6626,0.0,0.0,2019-03-28,TW,TWH19
2016-06-03,302.677,302.677,302.677,302.677,0.0,0.0,2019-03-28,TW,TWH19
2016-06-06,301.1636,301.1636,301.1636,301.1636,0.0,0.0,2019-03-28,TW,TWH19
2016-06-07,302.3381,302.3381,302.3381,302.3381,0.0,0.0,2019-03-28,TW,TWH19
2016-06-08,299.9496,299.9496,299.9496,299.9496,0.0,0.0,2019-03-28,TW,TWH19
2016-06-13,305.0787,305.0787,305.0787,305.0787,0.0,0.0,2019-03-28,TW,TWH19
2016-06-14,306.6956,306.6956,306.6956,306.6956,0.0,0.0,2019-03-28,TW,TWH19
2016-06-15,306.6343,306.6343,306.6343,306.6343,0.0,0.0,2019-03-28,TW,TWH19
2016-06-16,304.1199,304.1199,304.1199,304.1199,0.0,0.0,2019-03-28,TW,TWH19
2016-06-17,303.2075,303.2075,303.2075,303.2075,0.0,0.0,2019-03-28,TW,TWH19
2016-06-20,300.5999,300.5999,300.5999,300.5999,0.0,0.0,2019-03-28,TW,TWH19
2016-06-21,298.3454,298.3454,298.3454,298.3454,0.0,0.0,2019-03-28,TW,TWH19
2016-06-22,302.2836,302.2836,302.2836,302.2836,0.0,0.0,2019-03-28,TW,TWH19
2016-06-23,306.969,306.969,306.969,306.969,0.0,0.0,2019-03-28,TW,TWH19
2016-06-24,307.7364,307.7364,307.7364,307.7364,0.0,0.0,2019-03-28,TW,TWH19
2016-06-27,306.1977,306.1977,306.1977,306.1977,0.0,0.0,2019-03-28,TW,TWH19
2016-06-28,308.8922,308.8922,308.8922,308.8922,0.0,0.0,2019-03-28,TW,TWH19
2016-06-29,305.0002,305.0002,305.0002,305.0002,0.0,0.0,2019-03-28,TW,TWH19
2016-06-30,299.2662,299.2662,299.2662,299.2662,0.0,0.0,2019-03-28,TW,TWH19
2016-07-01,298.6377,298.6377,298.6377,298.6377,0.0,0.0,2019-03-28,TW,TWH19
2016-07-04,293.9192,293.9192,293.9192,293.9192,0.0,0.0,2019-03-28,TW,TWH19
2016-07-05,297.2111,297.2111,297.2111,297.2111,0.0,0.0,2019-03-28,TW,TWH19
2016-07-06,298.7269,298.7269,298.7269,298.7269,0.0,0.0,2019-03-28,TW,TWH19
2016-07-07,294.9032,294.9032,294.9032,294.9032,0.0,0.0,2019-03-28,TW,TWH19
2016-07-11,299.5332,299.5332,299.5332,299.5332,0.0,0.0,2019-03-28,TW,TWH19
2016-07-12,305.2243,305.2243,305.2243,305.2243,0.0,0.0,2019-03-28,TW,TWH19
2016-07-13,308.0629,308.0629,308.0629,308.0629,0.0,0.0,2019-03-28,TW,TWH19
2016-07-14,302.1173,302.1173,302.1173,302.1173,0.0,0.0,2019-03-28,TW,TWH19
2016-07-15,297.1022,297.1022,297.1022,297.1022,0.0,0.0,2019-03-28,TW,TWH19
2016-07-18,299.1225,299.1225,299.1225,299.1225,0.0,0.0,2019-03-28,TW,TWH19
2016-07-19,296.1014,296.1014,296.1014,296.1014,0.0,0.0,2019-03-28,TW,TWH19
2016-07-20,293.4957,293.4957,293.4957,293.4957,0.0,0.0,2019-03-28,TW,TWH19
2016-07-21,294.7577,294.7577,294.7577,294.7577,0.0,0.0,2019-03-28,TW,TWH19
2016-07-22,298.1769,298.1769,298.1769,298.1769,0.0,0.0,2019-03-28,TW,TWH19
2016-07-25,302.0532,302.0532,302.0532,302.0532,0.0,0.0,2019-03-28,TW,TWH19
2016-07-26,305.708,305.708,305.708,305.708,0.0,0.0,2019-03-28,TW,TWH19
2016-07-27,304.8214,304.8214,304.8214,304.8214,0.0,0.0,2019-03-28,TW,TWH19
2016-07-28,305.0043,305.0043,305.0043,305.0043,0.0,0.0,2019-03-28,TW,TWH19
