,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-30,297.1803,297.1803,297.1803,297.1803,0.0,0.0,2019-06-27,TW,TWM19
2016-07-01,292.2768,292.2768,292.2768,292.2768,0.0,0.0,2019-06-27,TW,TWM19
2016-07-04,289.7632,289.7632,289.7632,289.7632,0.0,0.0,2019-06-27,TW,TWM19
2016-07-05,289.0967,289.0967,289.0967,289.0967,0.0,0.0,2019-06-27,TW,TWM19
2016-07-06,289.01,289.01,289.01,289.01,0.0,0.0,2019-06-27,TW,TWM19
2016-07-07,290.3105,290.3105,290.3105,290.3105,0.0,0.0,2019-06-27,TW,TWM19
2016-07-11,285.7236,285.7236,285.7236,285.7236,0.0,0.0,2019-06-27,TW,TWM19
2016-07-12,285.7236,285.7236,285.7236,285.7236,0.0,0.0,2019-06-27,TW,TWM19
2016-07-13,282.1521,282.1521,282.1521,282.1521,0.0,0.0,2019-06-27,TW,TWM19
2016-07-14,279.387,279.387,279.387,279.387,0.0,0.0,2019-06-27,TW,TWM19
2016-07-15,280.1972,280.1972,280.1972,280.1972,0.0,0.0,2019-06-27,TW,TWM19
2016-07-18,279.7769,279.7769,279.7769,279.7769,0.0,0.0,2019-06-27,TW,TWM19
2016-07-19,280.1406,280.1406,280.1406,280.1406,0.0,0.0,2019-06-27,TW,TWM19
2016-07-20,282.6058,282.6058,282.6058,282.6058,0.0,0.0,2019-06-27,TW,TWM19
2016-07-21,279.6102,279.6102,279.6102,279.6102,0.0,0.0,2019-06-27,TW,TWM19
2016-07-22,279.9737,279.9737,279.9737,279.9737,0.0,0.0,2019-06-27,TW,TWM19
2016-07-25,284.0893,284.0893,284.0893,284.0893,0.0,0.0,2019-06-27,TW,TWM19
2016-07-26,287.6404,287.6404,287.6404,287.6404,0.0,0.0,2019-06-27,TW,TWM19
2016-07-27,284.2175,284.2175,284.2175,284.2175,0.0,0.0,2019-06-27,TW,TWM19
2016-07-28,285.1554,285.1554,285.1554,285.1554,0.0,0.0,2019-06-27,TW,TWM19
2016-07-29,287.8644,287.8644,287.8644,287.8644,0.0,0.0,2019-06-27,TW,TWM19
