,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-01,283.0083,283.0083,283.0083,283.0083,0.0,0.0,2018-09-27,TW,TWU18
2015-10-02,288.3572,288.3572,288.3572,288.3572,0.0,0.0,2018-09-27,TW,TWU18
2015-10-05,283.5993,283.5993,283.5993,283.5993,0.0,0.0,2018-09-27,TW,TWU18
2015-10-06,284.6203,284.6203,284.6203,284.6203,0.0,0.0,2018-09-27,TW,TWU18
2015-10-07,285.6734,285.6734,285.6734,285.6734,0.0,0.0,2018-09-27,TW,TWU18
2015-10-08,290.6441,290.6441,290.6441,290.6441,0.0,0.0,2018-09-27,TW,TWU18
2015-10-12,286.1682,286.1682,286.1682,286.1682,0.0,0.0,2018-09-27,TW,TWU18
2015-10-13,281.8757,281.8757,281.8757,281.8757,0.0,0.0,2018-09-27,TW,TWU18
2015-10-14,278.8314,278.8314,278.8314,278.8314,0.0,0.0,2018-09-27,TW,TWU18
2015-10-15,277.0748,277.0748,277.0748,277.0748,0.0,0.0,2018-09-27,TW,TWU18
2015-10-16,279.3745,279.3745,279.3745,279.3745,0.0,0.0,2018-09-27,TW,TWU18
2015-10-19,275.7426,275.7426,275.7426,275.7426,0.0,0.0,2018-09-27,TW,TWU18
2015-10-20,276.625,276.625,276.625,276.625,0.0,0.0,2018-09-27,TW,TWU18
2015-10-21,279.087,279.087,279.087,279.087,0.0,0.0,2018-09-27,TW,TWU18
2015-10-22,282.129,282.129,282.129,282.129,0.0,0.0,2018-09-27,TW,TWU18
2015-10-23,285.4581,285.4581,285.4581,285.4581,0.0,0.0,2018-09-27,TW,TWU18
2015-10-26,285.5723,285.5723,285.5723,285.5723,0.0,0.0,2018-09-27,TW,TWU18
2015-10-27,282.688,282.688,282.688,282.688,0.0,0.0,2018-09-27,TW,TWU18
2015-10-28,278.1367,278.1367,278.1367,278.1367,0.0,0.0,2018-09-27,TW,TWU18
2015-10-29,279.7221,279.7221,279.7221,279.7221,0.0,0.0,2018-09-27,TW,TWU18
2015-10-30,278.5473,278.5473,278.5473,278.5473,0.0,0.0,2018-09-27,TW,TWU18
2015-11-02,279.7451,279.7451,279.7451,279.7451,0.0,0.0,2018-09-27,TW,TWU18
2015-11-03,275.2132,275.2132,275.2132,275.2132,0.0,0.0,2018-09-27,TW,TWU18
2015-11-04,275.7911,275.7911,275.7911,275.7911,0.0,0.0,2018-09-27,TW,TWU18
2015-11-05,273.1711,273.1711,273.1711,273.1711,0.0,0.0,2018-09-27,TW,TWU18
2015-11-06,276.8589,276.8589,276.8589,276.8589,0.0,0.0,2018-09-27,TW,TWU18
2015-11-09,278.2709,278.2709,278.2709,278.2709,0.0,0.0,2018-09-27,TW,TWU18
2015-11-10,281.3041,281.3041,281.3041,281.3041,0.0,0.0,2018-09-27,TW,TWU18
2015-11-11,283.6389,283.6389,283.6389,283.6389,0.0,0.0,2018-09-27,TW,TWU18
2015-11-12,288.8295,288.8295,288.8295,288.8295,0.0,0.0,2018-09-27,TW,TWU18
2015-11-13,292.4976,292.4976,292.4976,292.4976,0.0,0.0,2018-09-27,TW,TWU18
2015-11-16,292.5268,292.5268,292.5268,292.5268,0.0,0.0,2018-09-27,TW,TWU18
2015-11-17,291.0349,291.0349,291.0349,291.0349,0.0,0.0,2018-09-27,TW,TWU18
2015-11-18,286.7858,286.7858,286.7858,286.7858,0.0,0.0,2018-09-27,TW,TWU18
2015-11-19,283.8319,283.8319,283.8319,283.8319,0.0,0.0,2018-09-27,TW,TWU18
2015-11-20,286.7838,286.7838,286.7838,286.7838,0.0,0.0,2018-09-27,TW,TWU18
2015-11-23,287.8736,287.8736,287.8736,287.8736,0.0,0.0,2018-09-27,TW,TWU18
2015-11-24,292.9978,292.9978,292.9978,292.9978,0.0,0.0,2018-09-27,TW,TWU18
2015-11-25,293.9647,293.9647,293.9647,293.9647,0.0,0.0,2018-09-27,TW,TWU18
2015-11-26,291.6424,291.6424,291.6424,291.6424,0.0,0.0,2018-09-27,TW,TWU18
2015-11-27,289.5717,289.5717,289.5717,289.5717,0.0,0.0,2018-09-27,TW,TWU18
2015-11-30,290.2377,290.2377,290.2377,290.2377,0.0,0.0,2018-09-27,TW,TWU18
2015-12-01,290.6731,290.6731,290.6731,290.6731,0.0,0.0,2018-09-27,TW,TWU18
2015-12-02,285.877,285.877,285.877,285.877,0.0,0.0,2018-09-27,TW,TWU18
2015-12-03,290.7941,290.7941,290.7941,290.7941,0.0,0.0,2018-09-27,TW,TWU18
2015-12-04,293.8184,293.8184,293.8184,293.8184,0.0,0.0,2018-09-27,TW,TWU18
2015-12-07,289.5287,289.5287,289.5287,289.5287,0.0,0.0,2018-09-27,TW,TWU18
2015-12-08,284.5199,284.5199,284.5199,284.5199,0.0,0.0,2018-09-27,TW,TWU18
2015-12-09,279.4839,279.4839,279.4839,279.4839,0.0,0.0,2018-09-27,TW,TWU18
2015-12-10,274.5091,274.5091,274.5091,274.5091,0.0,0.0,2018-09-27,TW,TWU18
2015-12-11,272.0385,272.0385,272.0385,272.0385,0.0,0.0,2018-09-27,TW,TWU18
2015-12-14,274.8677,274.8677,274.8677,274.8677,0.0,0.0,2018-09-27,TW,TWU18
2015-12-15,279.8703,279.8703,279.8703,279.8703,0.0,0.0,2018-09-27,TW,TWU18
2015-12-16,282.0253,282.0253,282.0253,282.0253,0.0,0.0,2018-09-27,TW,TWU18
2015-12-17,276.7796,276.7796,276.7796,276.7796,0.0,0.0,2018-09-27,TW,TWU18
2015-12-18,279.2706,279.2706,279.2706,279.2706,0.0,0.0,2018-09-27,TW,TWU18
2015-12-21,277.1202,277.1202,277.1202,277.1202,0.0,0.0,2018-09-27,TW,TWU18
2015-12-22,278.0347,278.0347,278.0347,278.0347,0.0,0.0,2018-09-27,TW,TWU18
2015-12-23,274.6427,274.6427,274.6427,274.6427,0.0,0.0,2018-09-27,TW,TWU18
2015-12-24,273.9561,273.9561,273.9561,273.9561,0.0,0.0,2018-09-27,TW,TWU18
2015-12-25,272.6685,272.6685,272.6685,272.6685,0.0,0.0,2018-09-27,TW,TWU18
2015-12-28,273.9228,273.9228,273.9228,273.9228,0.0,0.0,2018-09-27,TW,TWU18
2015-12-29,272.1149,272.1149,272.1149,272.1149,0.0,0.0,2018-09-27,TW,TWU18
2015-12-30,270.5366,270.5366,270.5366,270.5366,0.0,0.0,2018-09-27,TW,TWU18
2015-12-31,268.1829,268.1829,268.1829,268.1829,0.0,0.0,2018-09-27,TW,TWU18
2016-01-04,272.4738,272.4738,272.4738,272.4738,0.0,0.0,2018-09-27,TW,TWU18
2016-01-05,273.4275,273.4275,273.4275,273.4275,0.0,0.0,2018-09-27,TW,TWU18
2016-01-06,274.3298,274.3298,274.3298,274.3298,0.0,0.0,2018-09-27,TW,TWU18
2016-01-07,273.205,273.205,273.205,273.205,0.0,0.0,2018-09-27,TW,TWU18
2016-01-08,278.068,278.068,278.068,278.068,0.0,0.0,2018-09-27,TW,TWU18
2016-01-11,277.3172,277.3172,277.3172,277.3172,0.0,0.0,2018-09-27,TW,TWU18
2016-01-12,280.0349,280.0349,280.0349,280.0349,0.0,0.0,2018-09-27,TW,TWU18
2016-01-13,281.3791,281.3791,281.3791,281.3791,0.0,0.0,2018-09-27,TW,TWU18
2016-01-14,275.9485,275.9485,275.9485,275.9485,0.0,0.0,2018-09-27,TW,TWU18
2016-01-15,277.687,277.687,277.687,277.687,0.0,0.0,2018-09-27,TW,TWU18
2016-01-18,277.3538,277.3538,277.3538,277.3538,0.0,0.0,2018-09-27,TW,TWU18
2016-01-19,281.2368,281.2368,281.2368,281.2368,0.0,0.0,2018-09-27,TW,TWU18
2016-01-20,286.6084,286.6084,286.6084,286.6084,0.0,0.0,2018-09-27,TW,TWU18
2016-01-21,289.4172,289.4172,289.4172,289.4172,0.0,0.0,2018-09-27,TW,TWU18
2016-01-22,290.1697,290.1697,290.1697,290.1697,0.0,0.0,2018-09-27,TW,TWU18
2016-01-25,288.98,288.98,288.98,288.98,0.0,0.0,2018-09-27,TW,TWU18
2016-01-26,288.5754,288.5754,288.5754,288.5754,0.0,0.0,2018-09-27,TW,TWU18
2016-01-27,290.682,290.682,290.682,290.682,0.0,0.0,2018-09-27,TW,TWU18
2016-01-28,289.0251,289.0251,289.0251,289.0251,0.0,0.0,2018-09-27,TW,TWU18
2016-01-29,290.4124,290.4124,290.4124,290.4124,0.0,0.0,2018-09-27,TW,TWU18
2016-02-01,289.1346,289.1346,289.1346,289.1346,0.0,0.0,2018-09-27,TW,TWU18
2016-02-02,291.0718,291.0718,291.0718,291.0718,0.0,0.0,2018-09-27,TW,TWU18
2016-02-03,288.7723,288.7723,288.7723,288.7723,0.0,0.0,2018-09-27,TW,TWU18
2016-02-15,293.8258,293.8258,293.8258,293.8258,0.0,0.0,2018-09-27,TW,TWU18
2016-02-16,293.3851,293.3851,293.3851,293.3851,0.0,0.0,2018-09-27,TW,TWU18
2016-02-17,288.5149,288.5149,288.5149,288.5149,0.0,0.0,2018-09-27,TW,TWU18
2016-02-18,284.8219,284.8219,284.8219,284.8219,0.0,0.0,2018-09-27,TW,TWU18
2016-02-19,284.9358,284.9358,284.9358,284.9358,0.0,0.0,2018-09-27,TW,TWU18
2016-02-22,282.9412,282.9412,282.9412,282.9412,0.0,0.0,2018-09-27,TW,TWU18
2016-02-23,282.9129,282.9129,282.9129,282.9129,0.0,0.0,2018-09-27,TW,TWU18
