,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-31,280.5502,280.5502,280.5502,280.5502,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-04,278.3339,278.3339,278.3339,278.3339,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-05,278.3617,278.3617,278.3617,278.3617,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-06,273.7409,273.7409,273.7409,273.7409,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-07,269.7443,269.7443,269.7443,269.7443,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-08,270.6345,270.6345,270.6345,270.6345,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-11,273.1243,273.1243,273.1243,273.1243,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-12,277.8767,277.8767,277.8767,277.8767,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-13,279.4884,279.4884,279.4884,279.4884,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-14,273.9545,273.9545,273.9545,273.9545,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-15,272.5025,272.5025,272.5025,272.5025,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-18,268.524,268.524,268.524,268.524,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-19,266.2415,266.2415,266.2415,266.2415,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-20,271.167,271.167,271.167,271.167,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-21,266.9097,266.9097,266.9097,266.9097,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-22,261.785,261.785,261.785,261.785,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-25,266.5757,266.5757,266.5757,266.5757,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-26,264.4698,264.4698,264.4698,264.4698,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-27,259.8151,259.8151,259.8151,259.8151,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-28,263.4525,263.4525,263.4525,263.4525,0.0,0.0,2018-12-27,TW,TWZ18
2016-01-29,260.4491,260.4491,260.4491,260.4491,0.0,0.0,2018-12-27,TW,TWZ18
2016-02-01,256.1256,256.1256,256.1256,256.1256,0.0,0.0,2018-12-27,TW,TWZ18
2016-02-02,256.6379,256.6379,256.6379,256.6379,0.0,0.0,2018-12-27,TW,TWZ18
2016-02-03,258.2291,258.2291,258.2291,258.2291,0.0,0.0,2018-12-27,TW,TWZ18
2016-02-15,254.3557,254.3557,254.3557,254.3557,0.0,0.0,2018-12-27,TW,TWZ18
