,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-22,125.2566,125.2566,125.2566,125.2566,0.0,0.0,2018-03-20,TY,TYH18
2017-06-23,125.0812,125.0812,125.0812,125.0812,0.0,0.0,2018-03-20,TY,TYH18
2017-06-26,124.5559,124.5559,124.5559,124.5559,0.0,0.0,2018-03-20,TY,TYH18
2017-06-27,124.0452,124.0452,124.0452,124.0452,0.0,0.0,2018-03-20,TY,TYH18
2017-06-28,123.5986,123.5986,123.5986,123.5986,0.0,0.0,2018-03-20,TY,TYH18
2017-06-29,124.1054,124.1054,124.1054,124.1054,0.0,0.0,2018-03-20,TY,TYH18
2017-06-30,124.0806,124.0806,124.0806,124.0806,0.0,0.0,2018-03-20,TY,TYH18
2017-07-03,124.3164,124.3164,124.3164,124.3164,0.0,0.0,2018-03-20,TY,TYH18
2017-07-05,124.5775,124.5775,124.5775,124.5775,0.0,0.0,2018-03-20,TY,TYH18
2017-07-06,124.1166,124.1166,124.1166,124.1166,0.0,0.0,2018-03-20,TY,TYH18
2017-07-07,124.6255,124.6255,124.6255,124.6255,0.0,0.0,2018-03-20,TY,TYH18
2017-07-10,124.3389,124.3389,124.3389,124.3389,0.0,0.0,2018-03-20,TY,TYH18
2017-07-11,124.14,124.14,124.14,124.14,0.0,0.0,2018-03-20,TY,TYH18
2017-07-12,124.2021,124.2021,124.2021,124.2021,0.0,0.0,2018-03-20,TY,TYH18
2017-07-13,124.1276,124.1276,124.1276,124.1276,0.0,0.0,2018-03-20,TY,TYH18
2017-07-14,124.1028,124.1028,124.1028,124.1028,0.0,0.0,2018-03-20,TY,TYH18
2017-07-17,124.1649,124.1649,124.1649,124.1649,0.0,0.0,2018-03-20,TY,TYH18
2017-07-18,124.674,124.674,124.674,124.674,0.0,0.0,2018-03-20,TY,TYH18
2017-07-19,124.7114,124.7114,124.7114,124.7114,0.0,0.0,2018-03-20,TY,TYH18
2017-07-20,124.2749,124.2749,124.2749,124.2749,0.0,0.0,2018-03-20,TY,TYH18
2017-07-21,124.3246,124.3246,124.3246,124.3246,0.0,0.0,2018-03-20,TY,TYH18
2017-07-24,124.4365,124.4365,124.4365,124.4365,0.0,0.0,2018-03-20,TY,TYH18
2017-07-25,124.7351,124.7351,124.7351,124.7351,0.0,0.0,2018-03-20,TY,TYH18
2017-07-26,124.9471,124.9471,124.9471,124.9471,0.0,0.0,2018-03-20,TY,TYH18
