,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-09-19,118.4592,118.4592,118.4592,118.4592,0.0,0.0,2019-06-19,TY,TYM19
2018-09-20,118.5658,118.5658,118.5658,118.5658,0.0,0.0,2019-06-19,TY,TYM19
2018-09-21,118.4235,118.4235,118.4235,118.4235,0.0,0.0,2019-06-19,TY,TYM19
2018-09-24,118.1511,118.1511,118.1511,118.1511,0.0,0.0,2019-06-19,TY,TYM19
2018-09-25,117.6785,117.6785,117.6785,117.6785,0.0,0.0,2019-06-19,TY,TYM19
2018-09-26,117.349,117.349,117.349,117.349,0.0,0.0,2019-06-19,TY,TYM19
2018-09-27,117.4781,117.4781,117.4781,117.4781,0.0,0.0,2019-06-19,TY,TYM19
2018-09-28,117.9715,117.9715,117.9715,117.9715,0.0,0.0,2019-06-19,TY,TYM19
2018-10-01,118.4552,118.4552,118.4552,118.4552,0.0,0.0,2019-06-19,TY,TYM19
2018-10-02,118.7632,118.7632,118.7632,118.7632,0.0,0.0,2019-06-19,TY,TYM19
2018-10-03,118.2406,118.2406,118.2406,118.2406,0.0,0.0,2019-06-19,TY,TYM19
2018-10-04,118.7727,118.7727,118.7727,118.7727,0.0,0.0,2019-06-19,TY,TYM19
2018-10-05,118.5708,118.5708,118.5708,118.5708,0.0,0.0,2019-06-19,TY,TYM19
2018-10-08,118.7249,118.7249,118.7249,118.7249,0.0,0.0,2019-06-19,TY,TYM19
2018-10-09,119.0811,119.0811,119.0811,119.0811,0.0,0.0,2019-06-19,TY,TYM19
2018-10-10,118.7596,118.7596,118.7596,118.7596,0.0,0.0,2019-06-19,TY,TYM19
2018-10-11,118.629,118.629,118.629,118.629,0.0,0.0,2019-06-19,TY,TYM19
2018-10-12,118.6527,118.6527,118.6527,118.6527,0.0,0.0,2019-06-19,TY,TYM19
2018-10-15,118.8069,118.8069,118.8069,118.8069,0.0,0.0,2019-06-19,TY,TYM19
2018-10-16,118.9257,118.9257,118.9257,118.9257,0.0,0.0,2019-06-19,TY,TYM19
2018-10-17,119.1041,119.1041,119.1041,119.1041,0.0,0.0,2019-06-19,TY,TYM19
2018-10-18,118.58,118.58,118.58,118.58,0.0,0.0,2019-06-19,TY,TYM19
2018-10-19,118.0582,118.0582,118.0582,118.0582,0.0,0.0,2019-06-19,TY,TYM19
2018-10-22,117.9992,117.9992,117.9992,117.9992,0.0,0.0,2019-06-19,TY,TYM19
