,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-12-20,121.9766,121.9766,121.9766,121.9766,0.0,0.0,2018-09-19,TY,TYU18
2017-12-21,122.3425,122.3425,122.3425,122.3425,0.0,0.0,2018-09-19,TY,TYU18
2017-12-22,122.5505,122.5505,122.5505,122.5505,0.0,0.0,2018-09-19,TY,TYU18
2017-12-26,122.3789,122.3789,122.3789,122.3789,0.0,0.0,2018-09-19,TY,TYU18
2017-12-27,122.3299,122.3299,122.3299,122.3299,0.0,0.0,2018-09-19,TY,TYU18
2017-12-28,122.0975,122.0975,122.0975,122.0975,0.0,0.0,2018-09-19,TY,TYU18
2017-12-29,122.3295,122.3295,122.3295,122.3295,0.0,0.0,2018-09-19,TY,TYU18
2018-01-02,122.3295,122.3295,122.3295,122.3295,0.0,0.0,2018-09-19,TY,TYU18
2018-01-03,122.4029,122.4029,122.4029,122.4029,0.0,0.0,2018-09-19,TY,TYU18
2018-01-04,121.9378,121.9378,121.9378,121.9378,0.0,0.0,2018-09-19,TY,TYU18
2018-01-05,121.5842,121.5842,121.5842,121.5842,0.0,0.0,2018-09-19,TY,TYU18
2018-01-08,121.2316,121.2316,121.2316,121.2316,0.0,0.0,2018-09-19,TY,TYU18
2018-01-09,121.4134,121.4134,121.4134,121.4134,0.0,0.0,2018-09-19,TY,TYU18
2018-01-10,121.6562,121.6562,121.6562,121.6562,0.0,0.0,2018-09-19,TY,TYU18
2018-01-11,121.6927,121.6927,121.6927,121.6927,0.0,0.0,2018-09-19,TY,TYU18
2018-01-12,121.6075,121.6075,121.6075,121.6075,0.0,0.0,2018-09-19,TY,TYU18
2018-01-16,121.9845,121.9845,121.9845,121.9845,0.0,0.0,2018-09-19,TY,TYU18
2018-01-17,121.6307,121.6307,121.6307,121.6307,0.0,0.0,2018-09-19,TY,TYU18
2018-01-18,122.0321,122.0321,122.0321,122.0321,0.0,0.0,2018-09-19,TY,TYU18
2018-01-19,121.8124,121.8124,121.8124,121.8124,0.0,0.0,2018-09-19,TY,TYU18
2018-01-22,121.7759,121.7759,121.7759,121.7759,0.0,0.0,2018-09-19,TY,TYU18
2018-01-23,122.2995,122.2995,122.2995,122.2995,0.0,0.0,2018-09-19,TY,TYU18
2018-01-24,122.7765,122.7765,122.7765,122.7765,0.0,0.0,2018-09-19,TY,TYU18
2018-01-25,122.9238,122.9238,122.9238,122.9238,0.0,0.0,2018-09-19,TY,TYU18
2018-01-26,122.5427,122.5427,122.5427,122.5427,0.0,0.0,2018-09-19,TY,TYU18
2018-01-29,122.3956,122.3956,122.3956,122.3956,0.0,0.0,2018-09-19,TY,TYU18
2018-01-30,122.3222,122.3222,122.3222,122.3222,0.0,0.0,2018-09-19,TY,TYU18
2018-01-31,122.0531,122.0531,122.0531,122.0531,0.0,0.0,2018-09-19,TY,TYU18
2018-02-01,121.6991,121.6991,121.6991,121.6991,0.0,0.0,2018-09-19,TY,TYU18
2018-02-02,121.9425,121.9425,121.9425,121.9425,0.0,0.0,2018-09-19,TY,TYU18
2018-02-05,121.9059,121.9059,121.9059,121.9059,0.0,0.0,2018-09-19,TY,TYU18
2018-02-06,121.4061,121.4061,121.4061,121.4061,1.0,1.0,2018-09-19,TY,TYU18
2018-02-07,121.6975,121.6975,121.6975,121.6975,0.0,1.0,2018-09-19,TY,TYU18
2018-02-08,121.9774,121.9774,121.9774,121.9774,0.0,1.0,2018-09-19,TY,TYU18
2018-02-09,121.4407,121.4407,121.4407,121.4407,1.0,1.0,2018-09-19,TY,TYU18
2018-02-12,121.1007,121.1007,121.1007,121.1007,0.0,1.0,2018-09-19,TY,TYU18
2018-02-13,120.7011,120.7011,120.7011,120.7011,0.0,1.0,2018-09-19,TY,TYU18
2018-02-14,121.0753,121.0753,121.0753,121.0753,0.0,1.0,2018-09-19,TY,TYU18
2018-02-15,121.0753,121.0753,121.0753,121.0753,1.0,2.0,2018-09-19,TY,TYU18
2018-02-16,121.1722,121.1722,121.1722,121.1722,0.0,2.0,2018-09-19,TY,TYU18
2018-02-20,121.0147,121.0147,121.0147,121.0147,0.0,2.0,2018-09-19,TY,TYU18
2018-02-21,121.2204,121.2204,121.2204,121.2204,0.0,2.0,2018-09-19,TY,TYU18
2018-02-22,121.681,121.681,121.681,121.681,0.0,2.0,2018-09-19,TY,TYU18
2018-02-23,121.3281,121.3281,121.3281,121.3281,0.0,2.0,2018-09-19,TY,TYU18
2018-02-26,121.1582,121.1582,121.1582,121.1582,0.0,2.0,2018-09-19,TY,TYU18
2018-02-27,121.2672,121.2672,121.2672,121.2672,0.0,2.0,2018-09-19,TY,TYU18
2018-02-28,121.061,121.061,121.061,121.061,0.0,2.0,2018-09-19,TY,TYU18
2018-03-01,120.5404,120.5404,120.5404,120.5404,0.0,2.0,2018-09-19,TY,TYU18
2018-03-02,120.0582,120.0582,120.0582,120.0582,0.0,2.0,2018-09-19,TY,TYU18
2018-03-05,119.662,119.662,119.662,119.662,0.0,2.0,2018-09-19,TY,TYU18
2018-03-06,119.9971,119.9971,119.9971,119.9971,0.0,2.0,2018-09-19,TY,TYU18
2018-03-07,119.6611,119.6611,119.6611,119.6611,0.0,2.0,2018-09-19,TY,TYU18
2018-03-08,120.1637,120.1637,120.1637,120.1637,23.0,26.0,2018-09-19,TY,TYU18
2018-03-09,120.7044,120.7044,120.7044,120.7044,0.0,29.0,2018-09-19,TY,TYU18
2018-03-12,120.3181,120.3181,120.3181,120.3181,0.0,21.0,2018-09-19,TY,TYU18
2018-03-13,119.7646,119.7646,119.7646,119.7646,1.0,29.0,2018-09-19,TY,TYU18
2018-03-14,119.8604,119.8604,119.8604,119.8604,10.0,27.0,2018-09-19,TY,TYU18
2018-03-15,120.0522,120.0522,120.0522,120.0522,3.0,32.0,2018-09-19,TY,TYU18
2018-03-16,119.5,119.5,119.5,119.5,0.0,34.0,2018-09-19,TY,TYU18
2018-03-19,119.1774,119.1774,119.1774,119.1774,0.0,25.0,2018-09-19,TY,TYU18
2018-03-20,119.094,119.094,119.094,119.094,0.0,33.0,2018-09-19,TY,TYU18
