,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-03-23,123.4864,123.4864,123.4864,123.4864,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-24,123.153,123.153,123.153,123.153,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-27,122.7959,122.7959,122.7959,122.7959,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-28,122.8205,122.8205,122.8205,122.8205,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-29,122.9556,122.9556,122.9556,122.9556,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-30,123.4597,123.4597,123.4597,123.4597,0.0,0.0,2017-12-19,TY,TYZ17
2017-03-31,123.8054,123.8054,123.8054,123.8054,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-03,123.3349,123.3349,123.3349,123.3349,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-04,123.3349,123.3349,123.3349,123.3349,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-05,123.0389,123.0389,123.0389,123.0389,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-06,122.719,122.719,122.719,122.719,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-07,122.6699,122.6699,122.6699,122.6699,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-10,123.0624,123.0624,123.0624,123.0624,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-11,123.5177,123.5177,123.5177,123.5177,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-12,123.8635,123.8635,123.8635,123.8635,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-13,123.4671,123.4671,123.4671,123.4671,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-17,123.2819,123.2819,123.2819,123.2819,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-18,123.06,123.06,123.06,123.06,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-19,123.1831,123.1831,123.1831,123.1831,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-20,123.1585,123.1585,123.1585,123.1585,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-21,123.2324,123.2324,123.2324,123.2324,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-24,123.2447,123.2447,123.2447,123.2447,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-25,123.0105,123.0105,123.0105,123.0105,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-26,123.4287,123.4287,123.4287,123.4287,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-27,123.8484,123.8484,123.8484,123.8484,0.0,0.0,2017-12-19,TY,TYZ17
2017-04-28,123.9722,123.9722,123.9722,123.9722,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-01,123.7491,123.7491,123.7491,123.7491,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-02,124.1451,124.1451,124.1451,124.1451,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-03,124.2444,124.2444,124.2444,124.2444,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-04,123.7226,123.7226,123.7226,123.7226,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-05,123.4504,123.4504,123.4504,123.4504,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-08,123.6973,123.6973,123.6973,123.6973,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-09,123.4746,123.4746,123.4746,123.4746,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-10,123.4993,123.4993,123.4993,123.4993,0.0,0.0,2017-12-19,TY,TYZ17
2017-05-11,123.6475,123.6475,123.6475,123.6475,0.0,0.0,2017-12-19,TY,TYZ17
