,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-22,163.6078,163.6078,163.6078,163.6078,0.0,0.0,2017-03-22,US,USH17
2016-06-23,163.935,163.935,163.935,163.935,0.0,0.0,2017-03-22,US,USH17
2016-06-24,165.7383,165.7383,165.7383,165.7383,0.0,0.0,2017-03-22,US,USH17
2016-06-27,166.799,166.799,166.799,166.799,0.0,0.0,2017-03-22,US,USH17
2016-06-28,167.5996,167.5996,167.5996,167.5996,0.0,0.0,2017-03-22,US,USH17
2016-06-29,167.4152,167.4152,167.4152,167.4152,0.0,0.0,2017-03-22,US,USH17
2016-06-30,167.1641,167.1641,167.1641,167.1641,0.0,0.0,2017-03-22,US,USH17
2016-07-01,165.5593,165.5593,165.5593,165.5593,0.0,0.0,2017-03-22,US,USH17
2016-07-05,165.609,165.609,165.609,165.609,0.0,0.0,2017-03-22,US,USH17
2016-07-06,166.1224,166.1224,166.1224,166.1224,0.0,0.0,2017-03-22,US,USH17
2016-07-07,165.1257,165.1257,165.1257,165.1257,0.0,0.0,2017-03-22,US,USH17
2016-07-08,165.7036,165.7036,165.7036,165.7036,0.0,0.0,2017-03-22,US,USH17
2016-07-11,164.7425,164.7425,164.7425,164.7425,0.0,0.0,2017-03-22,US,USH17
2016-07-12,163.9517,163.9517,163.9517,163.9517,0.0,0.0,2017-03-22,US,USH17
2016-07-13,163.2303,163.2303,163.2303,163.2303,0.0,0.0,2017-03-22,US,USH17
2016-07-14,161.4511,161.4511,161.4511,161.4511,0.0,0.0,2017-03-22,US,USH17
2016-07-15,159.9012,159.9012,159.9012,159.9012,0.0,0.0,2017-03-22,US,USH17
2016-07-18,160.5568,160.5568,160.5568,160.5568,0.0,0.0,2017-03-22,US,USH17
2016-07-19,158.6301,158.6301,158.6301,158.6301,0.0,0.0,2017-03-22,US,USH17
2016-07-20,156.8534,156.8534,156.8534,156.8534,0.0,0.0,2017-03-22,US,USH17
2016-07-21,158.5788,158.5788,158.5788,158.5788,0.0,0.0,2017-03-22,US,USH17
2016-07-22,159.0704,159.0704,159.0704,159.0704,0.0,0.0,2017-03-22,US,USH17
2016-07-25,159.3408,159.3408,159.3408,159.3408,0.0,0.0,2017-03-22,US,USH17
2016-07-26,158.0342,158.0342,158.0342,158.0342,0.0,0.0,2017-03-22,US,USH17
2016-07-27,157.7181,157.7181,157.7181,157.7181,0.0,0.0,2017-03-22,US,USH17
