,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-09-21,150.9939,150.9939,150.9939,150.9939,0.0,0.0,2016-06-21,US,USM16
2015-09-22,152.3528,152.3528,152.3528,152.3528,0.0,0.0,2016-06-21,US,USM16
2015-09-23,150.5703,150.5703,150.5703,150.5703,0.0,0.0,2016-06-21,US,USM16
2015-09-24,150.224,150.224,150.224,150.224,0.0,0.0,2016-06-21,US,USM16
2015-09-25,149.0072,149.0072,149.0072,149.0072,0.0,0.0,2016-06-21,US,USM16
2015-09-28,147.7257,147.7257,147.7257,147.7257,0.0,0.0,2016-06-21,US,USM16
2015-09-29,149.2768,149.2768,149.2768,149.2768,0.0,0.0,2016-06-21,US,USM16
2015-09-30,149.7246,149.7246,149.7246,149.7246,0.0,0.0,2016-06-21,US,USM16
2015-10-01,149.5599,149.5599,149.5599,149.5599,0.0,0.0,2016-06-21,US,USM16
2015-10-02,148.498,148.498,148.498,148.498,0.0,0.0,2016-06-21,US,USM16
2015-10-05,150.0127,150.0127,150.0127,150.0127,0.0,0.0,2016-06-21,US,USM16
2015-10-06,151.4828,151.4828,151.4828,151.4828,0.0,0.0,2016-06-21,US,USM16
2015-10-07,151.4828,151.4828,151.4828,151.4828,0.0,0.0,2016-06-21,US,USM16
2015-10-08,153.3006,153.3006,153.3006,153.3006,0.0,0.0,2016-06-21,US,USM16
2015-10-09,154.5577,154.5577,154.5577,154.5577,0.0,0.0,2016-06-21,US,USM16
2015-10-12,152.9039,152.9039,152.9039,152.9039,0.0,0.0,2016-06-21,US,USM16
2015-10-13,153.3015,153.3015,153.3015,153.3015,0.0,0.0,2016-06-21,US,USM16
2015-10-14,151.9524,151.9524,151.9524,151.9524,0.0,0.0,2016-06-21,US,USM16
2015-10-15,152.9249,152.9249,152.9249,152.9249,0.0,0.0,2016-06-21,US,USM16
2015-10-16,152.2979,152.2979,152.2979,152.2979,0.0,0.0,2016-06-21,US,USM16
2015-10-19,153.3183,153.3183,153.3183,153.3183,0.0,0.0,2016-06-21,US,USM16
2015-10-20,153.9316,153.9316,153.9316,153.9316,0.0,0.0,2016-06-21,US,USM16
2015-10-21,153.3313,153.3313,153.3313,153.3313,0.0,0.0,2016-06-21,US,USM16
2015-10-22,151.9513,151.9513,151.9513,151.9513,0.0,0.0,2016-06-21,US,USM16
2015-10-23,153.5012,153.5012,153.5012,153.5012,0.0,0.0,2016-06-21,US,USM16
2015-10-26,154.5604,154.5604,154.5604,154.5604,0.0,0.0,2016-06-21,US,USM16
2015-10-27,156.0442,156.0442,156.0442,156.0442,0.0,0.0,2016-06-21,US,USM16
2015-10-28,155.4668,155.4668,155.4668,155.4668,0.0,0.0,2016-06-21,US,USM16
2015-10-29,153.881,153.881,153.881,153.881,0.0,0.0,2016-06-21,US,USM16
2015-10-30,155.4968,155.4968,155.4968,155.4968,0.0,0.0,2016-06-21,US,USM16
2015-11-02,154.4394,154.4394,154.4394,154.4394,0.0,0.0,2016-06-21,US,USM16
2015-11-03,153.6054,153.6054,153.6054,153.6054,0.0,0.0,2016-06-21,US,USM16
2015-11-04,153.6976,153.6976,153.6976,153.6976,0.0,0.0,2016-06-21,US,USM16
