,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-21,154.2069,154.2069,154.2069,154.2069,0.0,0.0,2016-09-21,US,USU16
2015-12-22,154.0064,154.0064,154.0064,154.0064,0.0,0.0,2016-09-21,US,USU16
2015-12-23,154.6994,154.6994,154.6994,154.6994,0.0,0.0,2016-09-21,US,USU16
2015-12-24,156.5403,156.5403,156.5403,156.5403,0.0,0.0,2016-09-21,US,USU16
2015-12-28,157.1978,157.1978,157.1978,157.1978,0.0,0.0,2016-09-21,US,USU16
2015-12-29,156.3018,156.3018,156.3018,156.3018,0.0,0.0,2016-09-21,US,USU16
2015-12-30,157.9586,157.9586,157.9586,157.9586,0.0,0.0,2016-09-21,US,USU16
2015-12-31,157.6743,157.6743,157.6743,157.6743,0.0,0.0,2016-09-21,US,USU16
2016-01-04,156.8386,156.8386,156.8386,156.8386,0.0,0.0,2016-09-21,US,USU16
2016-01-05,156.8857,156.8857,156.8857,156.8857,0.0,0.0,2016-09-21,US,USU16
2016-01-06,156.9485,156.9485,156.9485,156.9485,0.0,0.0,2016-09-21,US,USU16
2016-01-07,157.4037,157.4037,157.4037,157.4037,0.0,0.0,2016-09-21,US,USU16
2016-01-08,155.8926,155.8926,155.8926,155.8926,0.0,0.0,2016-09-21,US,USU16
2016-01-11,157.1709,157.1709,157.1709,157.1709,0.0,0.0,2016-09-21,US,USU16
2016-01-12,158.3811,158.3811,158.3811,158.3811,0.0,0.0,2016-09-21,US,USU16
2016-01-13,160.1233,160.1233,160.1233,160.1233,0.0,0.0,2016-09-21,US,USU16
2016-01-14,160.9079,160.9079,160.9079,160.9079,0.0,0.0,2016-09-21,US,USU16
2016-01-15,161.2941,161.2941,161.2941,161.2941,0.0,0.0,2016-09-21,US,USU16
2016-01-19,163.1006,163.1006,163.1006,163.1006,0.0,0.0,2016-09-21,US,USU16
2016-01-20,163.8672,163.8672,163.8672,163.8672,0.0,0.0,2016-09-21,US,USU16
2016-01-21,163.5395,163.5395,163.5395,163.5395,1.0,1.0,2016-09-21,US,USU16
2016-01-22,165.4366,165.4366,165.4366,165.4366,0.0,1.0,2016-09-21,US,USU16
2016-01-25,164.8741,164.8741,164.8741,164.8741,0.0,1.0,2016-09-21,US,USU16
2016-01-26,165.7809,165.7809,165.7809,165.7809,0.0,1.0,2016-09-21,US,USU16
2016-01-27,167.5382,167.5382,167.5382,167.5382,0.0,1.0,2016-09-21,US,USU16
2016-01-28,167.2031,167.2031,167.2031,167.2031,0.0,1.0,2016-09-21,US,USU16
2016-01-29,169.2597,169.2597,169.2597,169.2597,0.0,1.0,2016-09-21,US,USU16
2016-02-01,169.9367,169.9367,169.9367,169.9367,0.0,1.0,2016-09-21,US,USU16
2016-02-02,171.4151,171.4151,171.4151,171.4151,0.0,1.0,2016-09-21,US,USU16
2016-02-03,171.6551,171.6551,171.6551,171.6551,0.0,1.0,2016-09-21,US,USU16
2016-02-04,173.7836,173.7836,173.7836,173.7836,0.0,1.0,2016-09-21,US,USU16
2016-02-05,174.6178,174.6178,174.6178,174.6178,0.0,1.0,2016-09-21,US,USU16
2016-02-08,172.8891,172.8891,172.8891,172.8891,0.0,1.0,2016-09-21,US,USU16
2016-02-09,174.6526,174.6526,174.6526,174.6526,0.0,1.0,2016-09-21,US,USU16
2016-02-10,176.4515,176.4515,176.4515,176.4515,7.0,6.0,2016-09-21,US,USU16
2016-02-11,175.1634,175.1634,175.1634,175.1634,12.0,12.0,2016-09-21,US,USU16
2016-02-12,172.9739,172.9739,172.9739,172.9739,0.0,13.0,2016-09-21,US,USU16
2016-02-16,174.3231,174.3231,174.3231,174.3231,0.0,9.0,2016-09-21,US,USU16
2016-02-17,175.0901,175.0901,175.0901,175.0901,0.0,11.0,2016-09-21,US,USU16
2016-02-18,174.2322,174.2322,174.2322,174.2322,0.0,9.0,2016-09-21,US,USU16
2016-02-19,174.0057,174.0057,174.0057,174.0057,0.0,11.0,2016-09-21,US,USU16
2016-02-22,173.6403,173.6403,173.6403,173.6403,0.0,11.0,2016-09-21,US,USU16
2016-02-23,172.2512,172.2512,172.2512,172.2512,5.0,15.0,2016-09-21,US,USU16
2016-02-24,173.6637,173.6637,173.6637,173.6637,1.0,15.0,2016-09-21,US,USU16
2016-02-25,175.0183,175.0183,175.0183,175.0183,3.0,18.0,2016-09-21,US,USU16
2016-02-26,173.9157,173.9157,173.9157,173.9157,0.0,21.0,2016-09-21,US,USU16
2016-02-29,175.5679,175.5679,175.5679,175.5679,1.0,21.0,2016-09-21,US,USU16
2016-03-01,173.7069,173.7069,173.7069,173.7069,0.0,19.0,2016-09-21,US,USU16
2016-03-02,172.7341,172.7341,172.7341,172.7341,0.0,24.0,2016-09-21,US,USU16
2016-03-03,174.0123,174.0123,174.0123,174.0123,0.0,20.0,2016-09-21,US,USU16
2016-03-04,175.0042,175.0042,175.0042,175.0042,0.0,22.0,2016-09-21,US,USU16
2016-03-07,173.4817,173.4817,173.4817,173.4817,1.0,20.0,2016-09-21,US,USU16
2016-03-08,173.846,173.846,173.846,173.846,2.0,25.0,2016-09-21,US,USU16
2016-03-09,175.5845,175.5845,175.5845,175.5845,0.0,22.0,2016-09-21,US,USU16
2016-03-10,177.1472,177.1472,177.1472,177.1472,4.0,21.0,2016-09-21,US,USU16
2016-03-11,178.4758,178.4758,178.4758,178.4758,2.0,18.0,2016-09-21,US,USU16
2016-03-14,177.6548,177.6548,177.6548,177.6548,0.0,17.0,2016-09-21,US,USU16
2016-03-15,177.2817,177.2817,177.2817,177.2817,5.0,28.0,2016-09-21,US,USU16
2016-03-16,178.5759,178.5759,178.5759,178.5759,5.0,29.0,2016-09-21,US,USU16
2016-03-17,177.0937,177.0937,177.0937,177.0937,6.0,21.0,2016-09-21,US,USU16
2016-03-18,178.475,178.475,178.475,178.475,6.0,23.0,2016-09-21,US,USU16
2016-03-21,176.3155,176.3155,176.3155,176.3155,1.0,25.0,2016-09-21,US,USU16
2016-03-22,176.8444,176.8444,176.8444,176.8444,6.0,24.0,2016-09-21,US,USU16
2016-03-23,175.2705,175.2705,175.2705,175.2705,6.0,26.0,2016-09-21,US,USU16
2016-03-24,176.4098,176.4098,176.4098,176.4098,4.0,27.0,2016-09-21,US,USU16
2016-03-28,177.433,177.433,177.433,177.433,0.0,28.0,2016-09-21,US,USU16
2016-03-29,179.6509,179.6509,179.6509,179.6509,16.0,31.0,2016-09-21,US,USU16
2016-03-30,180.8186,180.8186,180.8186,180.8186,2.0,41.0,2016-09-21,US,USU16
2016-03-31,182.7714,182.7714,182.7714,182.7714,29.0,50.0,2016-09-21,US,USU16
2016-04-01,180.7792,180.7792,180.7792,180.7792,12.0,53.0,2016-09-21,US,USU16
2016-04-04,182.6051,182.6051,182.6051,182.6051,27.0,66.0,2016-09-21,US,USU16
2016-04-05,183.6825,183.6825,183.6825,183.6825,248.0,119.0,2016-09-21,US,USU16
2016-04-06,183.6641,183.6641,183.6641,183.6641,15.0,138.0,2016-09-21,US,USU16
2016-04-07,185.0232,185.0232,185.0232,185.0232,164.0,130.0,2016-09-21,US,USU16
2016-04-08,183.765,183.765,183.765,183.765,174.0,198.0,2016-09-21,US,USU16
2016-04-11,181.5598,181.5598,181.5598,181.5598,36.0,218.0,2016-09-21,US,USU16
2016-04-12,180.5249,180.5249,180.5249,180.5249,317.0,557.0,2016-09-21,US,USU16
2016-04-13,178.9182,178.9182,178.9182,178.9182,566.0,937.0,2016-09-21,US,USU16
2016-04-14,180.0991,180.0991,180.0991,180.0991,15.0,893.0,2016-09-21,US,USU16
2016-04-15,180.4593,180.4593,180.4593,180.4593,39.0,986.0,2016-09-21,US,USU16
2016-04-18,181.4338,181.4338,181.4338,181.4338,85.0,1200.0,2016-09-21,US,USU16
2016-04-19,179.5287,179.5287,179.5287,179.5287,13.0,1003.0,2016-09-21,US,USU16
2016-04-20,178.9183,178.9183,178.9183,178.9183,113.0,1317.0,2016-09-21,US,USU16
2016-04-21,176.8071,176.8071,176.8071,176.8071,375.0,1248.0,2016-09-21,US,USU16
2016-04-22,175.0744,175.0744,175.0744,175.0744,439.0,1239.0,2016-09-21,US,USU16
2016-04-25,175.4946,175.4946,175.4946,175.4946,271.0,1188.0,2016-09-21,US,USU16
2016-04-26,176.0737,176.0737,176.0737,176.0737,620.0,1986.0,2016-09-21,US,USU16
2016-04-27,174.401,174.401,174.401,174.401,1198.0,2748.0,2016-09-21,US,USU16
2016-04-28,173.9127,173.9127,173.9127,173.9127,194.0,2772.0,2016-09-21,US,USU16
2016-04-29,174.4344,174.4344,174.4344,174.4344,1016.0,3159.0,2016-09-21,US,USU16
2016-05-02,173.7541,173.7541,173.7541,173.7541,367.0,3926.0,2016-09-21,US,USU16
2016-05-03,172.6421,172.6421,172.6421,172.6421,426.0,3084.0,2016-09-21,US,USU16
2016-05-04,173.3672,173.3672,173.3672,173.3672,705.0,3824.0,2016-09-21,US,USU16
2016-05-05,173.4886,173.4886,173.4886,173.4886,899.0,3433.0,2016-09-21,US,USU16
2016-05-06,171.4935,171.4935,171.4935,171.4935,697.0,3957.0,2016-09-21,US,USU16
2016-05-09,172.4196,172.4196,172.4196,172.4196,406.0,4239.0,2016-09-21,US,USU16
2016-05-10,172.161,172.161,172.161,172.161,477.0,3382.0,2016-09-21,US,USU16
2016-05-11,174.2958,174.2958,174.2958,174.2958,1334.0,5250.0,2016-09-21,US,USU16
2016-05-12,175.8296,175.8296,175.8296,175.8296,766.0,5433.0,2016-09-21,US,USU16
2016-05-13,176.656,176.656,176.656,176.656,700.0,4806.0,2016-09-21,US,USU16
2016-05-16,178.4402,178.4402,178.4402,178.4402,1949.0,5106.0,2016-09-21,US,USU16
2016-05-17,179.9213,179.9213,179.9213,179.9213,2105.0,7948.0,2016-09-21,US,USU16
2016-05-18,180.551,180.551,180.551,180.551,6110.0,7804.0,2016-09-21,US,USU16
2016-05-19,178.601,178.601,178.601,178.601,9035.0,12258.0,2016-09-21,US,USU16
2016-05-20,176.8329,176.8329,176.8329,176.8329,9284.0,22215.0,2016-09-21,US,USU16
2016-05-23,178.1591,178.1591,178.1591,178.1591,47485.0,64317.0,2016-09-21,US,USU16
2016-05-24,176.2706,176.2706,176.2706,176.2706,191163.0,145804.0,2016-09-21,US,USU16
2016-05-25,175.6008,175.6008,175.6008,175.6008,200361.0,261380.0,2016-09-21,US,USU16
2016-05-26,173.9326,173.9326,173.9326,173.9326,237030.0,434013.0,2016-09-21,US,USU16
2016-05-27,171.828,171.828,171.828,171.828,127017.0,390173.0,2016-09-21,US,USU16
2016-05-31,172.0686,172.0686,172.0686,172.0686,228423.0,469218.0,2016-09-21,US,USU16
2016-06-01,171.8277,171.8277,171.8277,171.8277,307988.0,555086.0,2016-09-21,US,USU16
2016-06-02,171.1919,171.1919,171.1919,171.1919,275220.0,612125.0,2016-09-21,US,USU16
2016-06-03,171.9794,171.9794,171.9794,171.9794,319751.0,579696.0,2016-09-21,US,USU16
2016-06-06,170.724,170.724,170.724,170.724,256839.0,522274.0,2016-09-21,US,USU16
2016-06-07,168.7948,168.7948,168.7948,168.7948,188764.0,478722.0,2016-09-21,US,USU16
2016-06-08,169.9764,169.9764,169.9764,169.9764,169671.0,636650.0,2016-09-21,US,USU16
2016-06-09,169.2115,169.2115,169.2115,169.2115,303790.0,613878.0,2016-09-21,US,USU16
2016-06-10,169.9222,169.9222,169.9222,169.9222,317478.0,632389.0,2016-09-21,US,USU16
2016-06-13,170.2281,170.2281,170.2281,170.2281,217436.0,607122.0,2016-09-21,US,USU16
2016-06-14,168.9003,168.9003,168.9003,168.9003,271463.0,528822.0,2016-09-21,US,USU16
2016-06-15,170.3697,170.3697,170.3697,170.3697,265531.0,651152.0,2016-09-21,US,USU16
