,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-03-20,143.7306,143.7306,143.7306,143.7306,0.0,0.0,2018-12-19,US,USZ18
2018-03-21,143.4431,143.4431,143.4431,143.4431,0.0,0.0,2018-12-19,US,USZ18
2018-03-22,143.1992,143.1992,143.1992,143.1992,0.0,0.0,2018-12-19,US,USZ18
2018-03-23,143.9009,143.9009,143.9009,143.9009,0.0,0.0,2018-12-19,US,USZ18
2018-03-26,144.5772,144.5772,144.5772,144.5772,0.0,0.0,2018-12-19,US,USZ18
2018-03-27,145.6037,145.6037,145.6037,145.6037,0.0,0.0,2018-12-19,US,USZ18
2018-03-28,145.6183,145.6183,145.6183,145.6183,0.0,0.0,2018-12-19,US,USZ18
2018-03-29,146.2445,146.2445,146.2445,146.2445,0.0,0.0,2018-12-19,US,USZ18
2018-04-02,145.7765,145.7765,145.7765,145.7765,0.0,0.0,2018-12-19,US,USZ18
2018-04-03,145.864,145.864,145.864,145.864,0.0,0.0,2018-12-19,US,USZ18
2018-04-04,146.2287,146.2287,146.2287,146.2287,0.0,0.0,2018-12-19,US,USZ18
2018-04-05,146.8429,146.8429,146.8429,146.8429,0.0,0.0,2018-12-19,US,USZ18
2018-04-06,146.0793,146.0793,146.0793,146.0793,0.0,0.0,2018-12-19,US,USZ18
2018-04-09,146.3569,146.3569,146.3569,146.3569,0.0,0.0,2018-12-19,US,USZ18
2018-04-10,145.4495,145.4495,145.4495,145.4495,0.0,0.0,2018-12-19,US,USZ18
2018-04-11,144.5768,144.5768,144.5768,144.5768,0.0,0.0,2018-12-19,US,USZ18
2018-04-12,143.6226,143.6226,143.6226,143.6226,0.0,0.0,2018-12-19,US,USZ18
2018-04-13,142.8758,142.8758,142.8758,142.8758,0.0,0.0,2018-12-19,US,USZ18
2018-04-16,142.6472,142.6472,142.6472,142.6472,0.0,0.0,2018-12-19,US,USZ18
2018-04-17,143.446,143.446,143.446,143.446,0.0,0.0,2018-12-19,US,USZ18
2018-04-18,143.03,143.03,143.03,143.03,0.0,0.0,2018-12-19,US,USZ18
2018-04-19,141.9001,141.9001,141.9001,141.9001,0.0,0.0,2018-12-19,US,USZ18
2018-04-20,142.8792,142.8792,142.8792,142.8792,0.0,0.0,2018-12-19,US,USZ18
2018-04-23,143.4507,143.4507,143.4507,143.4507,1.0,1.0,2018-12-19,US,USZ18
2018-04-24,142.963,142.963,142.963,142.963,3.0,4.0,2018-12-19,US,USZ18
2018-04-25,141.9766,141.9766,141.9766,141.9766,0.0,4.0,2018-12-19,US,USZ18
2018-04-26,142.5871,142.5871,142.5871,142.5871,0.0,4.0,2018-12-19,US,USZ18
2018-04-27,142.6299,142.6299,142.6299,142.6299,0.0,3.0,2018-12-19,US,USZ18
2018-04-30,142.5158,142.5158,142.5158,142.5158,0.0,4.0,2018-12-19,US,USZ18
2018-05-01,142.8578,142.8578,142.8578,142.8578,0.0,4.0,2018-12-19,US,USZ18
2018-05-02,142.3292,142.3292,142.3292,142.3292,0.0,4.0,2018-12-19,US,USZ18
2018-05-03,141.5037,141.5037,141.5037,141.5037,0.0,3.0,2018-12-19,US,USZ18
2018-05-04,140.6971,140.6971,140.6971,140.6971,0.0,3.0,2018-12-19,US,USZ18
2018-05-07,139.9655,139.9655,139.9655,139.9655,0.0,5.0,2018-12-19,US,USZ18
2018-05-08,140.9033,140.9033,140.9033,140.9033,0.0,4.0,2018-12-19,US,USZ18
2018-05-09,140.9878,140.9878,140.9878,140.9878,0.0,4.0,2018-12-19,US,USZ18
2018-05-10,141.439,141.439,141.439,141.439,0.0,5.0,2018-12-19,US,USZ18
2018-05-11,140.7035,140.7035,140.7035,140.7035,0.0,4.0,2018-12-19,US,USZ18
