,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-25,18.2273,18.2273,18.2273,18.2273,5.0,2.0,2019-03-19,VX,VXH19
2018-06-26,18.0669,18.0669,18.0669,18.0669,4.0,6.0,2019-03-19,VX,VXH19
2018-06-27,18.7336,18.7336,18.7336,18.7336,11.0,13.0,2019-03-19,VX,VXH19
2018-06-28,19.0614,19.0614,19.0614,19.0614,11.0,15.0,2019-03-19,VX,VXH19
2018-06-29,18.7698,18.7698,18.7698,18.7698,73.0,67.0,2019-03-19,VX,VXH19
2018-07-02,19.3517,19.3517,19.3517,19.3517,54.0,89.0,2019-03-19,VX,VXH19
2018-07-03,20.1954,20.1954,20.1954,20.1954,55.0,151.0,2019-03-19,VX,VXH19
2018-07-05,20.7427,20.7427,20.7427,20.7427,26.0,158.0,2019-03-19,VX,VXH19
2018-07-06,19.913,19.913,19.913,19.913,9.0,176.0,2019-03-19,VX,VXH19
2018-07-09,19.5147,19.5147,19.5147,19.5147,40.0,186.0,2019-03-19,VX,VXH19
2018-07-10,19.5928,19.5928,19.5928,19.5928,139.0,236.0,2019-03-19,VX,VXH19
2018-07-11,19.0814,19.0814,19.0814,19.0814,306.0,440.0,2019-03-19,VX,VXH19
2018-07-12,19.3352,19.3352,19.3352,19.3352,382.0,796.0,2019-03-19,VX,VXH19
2018-07-13,19.6697,19.6697,19.6697,19.6697,65.0,746.0,2019-03-19,VX,VXH19
2018-07-16,20.0415,20.0415,20.0415,20.0415,78.0,729.0,2019-03-19,VX,VXH19
2018-07-17,19.6487,19.6487,19.6487,19.6487,82.0,709.0,2019-03-19,VX,VXH19
2018-07-18,20.1006,20.1006,20.1006,20.1006,403.0,903.0,2019-03-19,VX,VXH19
2018-07-19,20.6534,20.6534,20.6534,20.6534,332.0,1092.0,2019-03-19,VX,VXH19
2018-07-20,20.8269,20.8269,20.8269,20.8269,271.0,1246.0,2019-03-19,VX,VXH19
2018-07-23,20.8269,20.8269,20.8269,20.8269,303.0,1155.0,2019-03-19,VX,VXH19
2018-07-24,20.2729,20.2729,20.2729,20.2729,557.0,1419.0,2019-03-19,VX,VXH19
2018-07-25,19.7762,19.7762,19.7762,19.7762,732.0,1848.0,2019-03-19,VX,VXH19
2018-07-26,20.4565,20.4565,20.4565,20.4565,776.0,2507.0,2019-03-19,VX,VXH19
2018-07-27,20.5874,20.5874,20.5874,20.5874,931.0,2302.0,2019-03-19,VX,VXH19
2018-07-30,21.0733,21.0733,21.0733,21.0733,305.0,3150.0,2019-03-19,VX,VXH19
2018-07-31,21.4337,21.4337,21.4337,21.4337,381.0,3157.0,2019-03-19,VX,VXH19
2018-08-01,21.9631,21.9631,21.9631,21.9631,836.0,4346.0,2019-03-19,VX,VXH19
2018-08-02,22.7208,22.7208,22.7208,22.7208,578.0,3662.0,2019-03-19,VX,VXH19
2018-08-03,23.616,23.616,23.616,23.616,988.0,4518.0,2019-03-19,VX,VXH19
2018-08-06,23.5404,23.5404,23.5404,23.5404,312.0,4061.0,2019-03-19,VX,VXH19
2018-08-07,24.4773,24.4773,24.4773,24.4773,194.0,4594.0,2019-03-19,VX,VXH19
2018-08-08,24.1346,24.1346,24.1346,24.1346,419.0,4944.0,2019-03-19,VX,VXH19
2018-08-09,24.0719,24.0719,24.0719,24.0719,440.0,5196.0,2019-03-19,VX,VXH19
2018-08-10,24.1032,24.1032,24.1032,24.1032,969.0,5102.0,2019-03-19,VX,VXH19
2018-08-13,24.0646,24.0646,24.0646,24.0646,3107.0,6480.0,2019-03-19,VX,VXH19
2018-08-14,23.8721,23.8721,23.8721,23.8721,1056.0,7685.0,2019-03-19,VX,VXH19
2018-08-15,22.9912,22.9912,22.9912,22.9912,1757.0,7337.0,2019-03-19,VX,VXH19
2018-08-16,22.6601,22.6601,22.6601,22.6601,852.0,7469.0,2019-03-19,VX,VXH19
2018-08-17,23.4872,23.4872,23.4872,23.4872,294.0,8343.0,2019-03-19,VX,VXH19
2018-08-20,24.0509,24.0509,24.0509,24.0509,450.0,8057.0,2019-03-19,VX,VXH19
