,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-26,20.5118,20.5118,20.5118,20.5118,0.0,0.0,2017-06-21,VX,VXM17
2016-09-27,21.1989,21.1989,21.1989,21.1989,6.0,3.0,2017-06-21,VX,VXM17
2016-09-28,20.6583,20.6583,20.6583,20.6583,6.0,5.0,2017-06-21,VX,VXM17
2016-09-29,20.65,20.65,20.65,20.65,8.0,4.0,2017-06-21,VX,VXM17
2016-09-30,21.2798,21.2798,21.2798,21.2798,52.0,26.0,2017-06-21,VX,VXM17
2016-10-03,21.2011,21.2011,21.2011,21.2011,0.0,27.0,2017-06-21,VX,VXM17
2016-10-04,21.8032,21.8032,21.8032,21.8032,78.0,74.0,2017-06-21,VX,VXM17
2016-10-05,22.6121,22.6121,22.6121,22.6121,13.0,74.0,2017-06-21,VX,VXM17
2016-10-06,23.1344,23.1344,23.1344,23.1344,29.0,125.0,2017-06-21,VX,VXM17
2016-10-07,23.1922,23.1922,23.1922,23.1922,41.0,146.0,2017-06-21,VX,VXM17
2016-10-10,23.3174,23.3174,23.3174,23.3174,57.0,180.0,2017-06-21,VX,VXM17
2016-10-11,24.1055,24.1055,24.1055,24.1055,46.0,222.0,2017-06-21,VX,VXM17
2016-10-12,24.8865,24.8865,24.8865,24.8865,35.0,273.0,2017-06-21,VX,VXM17
2016-10-13,24.2171,24.2171,24.2171,24.2171,140.0,360.0,2017-06-21,VX,VXM17
2016-10-14,24.6893,24.6893,24.6893,24.6893,57.0,401.0,2017-06-21,VX,VXM17
2016-10-17,25.5115,25.5115,25.5115,25.5115,15.0,436.0,2017-06-21,VX,VXM17
2016-10-18,25.8457,25.8457,25.8457,25.8457,39.0,376.0,2017-06-21,VX,VXM17
2016-10-19,25.4451,25.4451,25.4451,25.4451,116.0,493.0,2017-06-21,VX,VXM17
2016-10-20,24.3891,24.3891,24.3891,24.3891,154.0,495.0,2017-06-21,VX,VXM17
2016-10-21,25.033,25.033,25.033,25.033,143.0,528.0,2017-06-21,VX,VXM17
2016-10-24,25.7715,25.7715,25.7715,25.7715,108.0,622.0,2017-06-21,VX,VXM17
2016-10-25,25.3257,25.3257,25.3257,25.3257,434.0,907.0,2017-06-21,VX,VXM17
2016-10-26,25.7486,25.7486,25.7486,25.7486,387.0,1077.0,2017-06-21,VX,VXM17
2016-10-27,26.5494,26.5494,26.5494,26.5494,280.0,1203.0,2017-06-21,VX,VXM17
