,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-12-26,16.2622,16.2622,16.2622,16.2622,0.0,0.0,2018-09-19,VX,VXU18
2017-12-27,15.815,15.815,15.815,15.815,29.0,28.0,2018-09-19,VX,VXU18
2017-12-28,15.475,15.475,15.475,15.475,10.0,30.0,2018-09-19,VX,VXU18
2017-12-29,14.7755,14.7755,14.7755,14.7755,168.0,161.0,2018-09-19,VX,VXU18
2018-01-02,15.1863,15.1863,15.1863,15.1863,69.0,181.0,2018-09-19,VX,VXU18
2018-01-03,14.8142,14.8142,14.8142,14.8142,232.0,490.0,2018-09-19,VX,VXU18
2018-01-04,15.4275,15.4275,15.4275,15.4275,0.0,371.0,2018-09-19,VX,VXU18
2018-01-05,16.1125,16.1125,16.1125,16.1125,48.0,382.0,2018-09-19,VX,VXU18
2018-01-08,16.3381,16.3381,16.3381,16.3381,53.0,386.0,2018-09-19,VX,VXU18
2018-01-09,15.7074,15.7074,15.7074,15.7074,89.0,552.0,2018-09-19,VX,VXU18
2018-01-10,16.3216,16.3216,16.3216,16.3216,37.0,639.0,2018-09-19,VX,VXU18
2018-01-11,16.5158,16.5158,16.5158,16.5158,245.0,672.0,2018-09-19,VX,VXU18
2018-01-12,17.0823,17.0823,17.0823,17.0823,249.0,740.0,2018-09-19,VX,VXU18
2018-01-16,16.3375,16.3375,16.3375,16.3375,446.0,1087.0,2018-09-19,VX,VXU18
2018-01-17,15.7559,15.7559,15.7559,15.7559,1907.0,2212.0,2018-09-19,VX,VXU18
2018-01-18,15.1493,15.1493,15.1493,15.1493,1849.0,3754.0,2018-09-19,VX,VXU18
2018-01-19,15.4099,15.4099,15.4099,15.4099,404.0,3629.0,2018-09-19,VX,VXU18
2018-01-22,14.8613,14.8613,14.8613,14.8613,578.0,3120.0,2018-09-19,VX,VXU18
2018-01-23,14.1762,14.1762,14.1762,14.1762,1043.0,3746.0,2018-09-19,VX,VXU18
2018-01-24,14.2017,14.2017,14.2017,14.2017,1540.0,4253.0,2018-09-19,VX,VXU18
2018-01-25,14.899,14.899,14.899,14.899,569.0,4700.0,2018-09-19,VX,VXU18
2018-01-26,14.4863,14.4863,14.4863,14.4863,649.0,3845.0,2018-09-19,VX,VXU18
2018-01-29,15.0744,15.0744,15.0744,15.0744,577.0,3777.0,2018-09-19,VX,VXU18
2018-01-30,15.0548,15.0548,15.0548,15.0548,1353.0,4496.0,2018-09-19,VX,VXU18
2018-01-31,15.1587,15.1587,15.1587,15.1587,2164.0,6697.0,2018-09-19,VX,VXU18
2018-02-01,15.4255,15.4255,15.4255,15.4255,1116.0,5910.0,2018-09-19,VX,VXU18
2018-02-02,15.1185,15.1185,15.1185,15.1185,1143.0,7002.0,2018-09-19,VX,VXU18
2018-02-05,15.2394,15.2394,15.2394,15.2394,2727.0,7703.0,2018-09-19,VX,VXU18
2018-02-06,15.5107,15.5107,15.5107,15.5107,5215.0,6060.0,2018-09-19,VX,VXU18
2018-02-07,15.1958,15.1958,15.1958,15.1958,2496.0,7541.0,2018-09-19,VX,VXU18
2018-02-08,15.1943,15.1943,15.1943,15.1943,2983.0,8964.0,2018-09-19,VX,VXU18
2018-02-09,14.7142,14.7142,14.7142,14.7142,4125.0,8734.0,2018-09-19,VX,VXU18
2018-02-12,14.8304,14.8304,14.8304,14.8304,806.0,9809.0,2018-09-19,VX,VXU18
2018-02-13,14.4537,14.4537,14.4537,14.4537,1029.0,11907.0,2018-09-19,VX,VXU18
2018-02-14,14.8613,14.8613,14.8613,14.8613,3302.0,12891.0,2018-09-19,VX,VXU18
2018-02-15,14.2312,14.2312,14.2312,14.2312,2395.0,10617.0,2018-09-19,VX,VXU18
2018-02-16,14.17,14.17,14.17,14.17,3095.0,12743.0,2018-09-19,VX,VXU18
2018-02-20,14.2635,14.2635,14.2635,14.2635,2074.0,10580.0,2018-09-19,VX,VXU18
2018-02-21,14.9795,14.9795,14.9795,14.9795,2842.0,12322.0,2018-09-19,VX,VXU18
2018-02-22,15.5862,15.5862,15.5862,15.5862,1295.0,11492.0,2018-09-19,VX,VXU18
2018-02-23,16.3343,16.3343,16.3343,16.3343,1409.0,11360.0,2018-09-19,VX,VXU18
2018-02-26,16.6692,16.6692,16.6692,16.6692,1167.0,13192.0,2018-09-19,VX,VXU18
2018-02-27,16.9376,16.9376,16.9376,16.9376,921.0,12624.0,2018-09-19,VX,VXU18
2018-02-28,17.4508,17.4508,17.4508,17.4508,1436.0,10962.0,2018-09-19,VX,VXU18
2018-03-01,17.5712,17.5712,17.5712,17.5712,2424.0,11596.0,2018-09-19,VX,VXU18
2018-03-02,17.1899,17.1899,17.1899,17.1899,2091.0,13486.0,2018-09-19,VX,VXU18
2018-03-05,17.575,17.575,17.575,17.575,1587.0,13928.0,2018-09-19,VX,VXU18
2018-03-06,16.7666,16.7666,16.7666,16.7666,1095.0,10685.0,2018-09-19,VX,VXU18
2018-03-07,16.3592,16.3592,16.3592,16.3592,993.0,11183.0,2018-09-19,VX,VXU18
2018-03-08,15.587,15.587,15.587,15.587,1196.0,13284.0,2018-09-19,VX,VXU18
2018-03-09,16.2572,16.2572,16.2572,16.2572,1893.0,11700.0,2018-09-19,VX,VXU18
2018-03-12,16.6327,16.6327,16.6327,16.6327,1501.0,12180.0,2018-09-19,VX,VXU18
2018-03-13,17.4211,17.4211,17.4211,17.4211,1486.0,12901.0,2018-09-19,VX,VXU18
2018-03-14,17.0779,17.0779,17.0779,17.0779,1669.0,13067.0,2018-09-19,VX,VXU18
2018-03-15,17.2521,17.2521,17.2521,17.2521,1940.0,10818.0,2018-09-19,VX,VXU18
2018-03-16,16.612,16.612,16.612,16.612,2309.0,10754.0,2018-09-19,VX,VXU18
2018-03-19,17.1967,17.1967,17.1967,17.1967,2918.0,11663.0,2018-09-19,VX,VXU18
2018-03-20,17.0901,17.0901,17.0901,17.0901,2432.0,13695.0,2018-09-19,VX,VXU18
2018-03-21,17.1533,17.1533,17.1533,17.1533,2852.0,11961.0,2018-09-19,VX,VXU18
2018-03-22,16.8686,16.8686,16.8686,16.8686,4369.0,17517.0,2018-09-19,VX,VXU18
2018-03-23,16.0201,16.0201,16.0201,16.0201,4386.0,13582.0,2018-09-19,VX,VXU18
2018-03-26,15.6292,15.6292,15.6292,15.6292,3430.0,13827.0,2018-09-19,VX,VXU18
2018-03-27,15.3776,15.3776,15.3776,15.3776,5008.0,14878.0,2018-09-19,VX,VXU18
2018-03-28,15.5375,15.5375,15.5375,15.5375,4098.0,14025.0,2018-09-19,VX,VXU18
2018-03-29,15.8281,15.8281,15.8281,15.8281,2585.0,16052.0,2018-09-19,VX,VXU18
2018-04-02,15.5685,15.5685,15.5685,15.5685,3129.0,19951.0,2018-09-19,VX,VXU18
2018-04-03,15.8067,15.8067,15.8067,15.8067,3514.0,16015.0,2018-09-19,VX,VXU18
2018-04-04,15.7403,15.7403,15.7403,15.7403,5656.0,15569.0,2018-09-19,VX,VXU18
2018-04-05,15.3263,15.3263,15.3263,15.3263,6218.0,17341.0,2018-09-19,VX,VXU18
2018-04-06,15.4091,15.4091,15.4091,15.4091,2317.0,16901.0,2018-09-19,VX,VXU18
2018-04-09,14.7897,14.7897,14.7897,14.7897,2959.0,21512.0,2018-09-19,VX,VXU18
2018-04-10,14.0813,14.0813,14.0813,14.0813,2355.0,18060.0,2018-09-19,VX,VXU18
2018-04-11,13.4786,13.4786,13.4786,13.4786,3343.0,19164.0,2018-09-19,VX,VXU18
2018-04-12,14.0946,14.0946,14.0946,14.0946,1937.0,25316.0,2018-09-19,VX,VXU18
2018-04-13,13.5167,13.5167,13.5167,13.5167,3082.0,25461.0,2018-09-19,VX,VXU18
2018-04-16,13.0355,13.0355,13.0355,13.0355,3438.0,23392.0,2018-09-19,VX,VXU18
2018-04-17,13.5986,13.5986,13.5986,13.5986,5717.0,28933.0,2018-09-19,VX,VXU18
2018-04-18,13.5333,13.5333,13.5333,13.5333,5683.0,23096.0,2018-09-19,VX,VXU18
2018-04-19,13.0881,13.0881,13.0881,13.0881,3526.0,28747.0,2018-09-19,VX,VXU18
2018-04-20,12.685,12.685,12.685,12.685,2654.0,21471.0,2018-09-19,VX,VXU18
2018-04-23,13.148,13.148,13.148,13.148,2459.0,21230.0,2018-09-19,VX,VXU18
2018-04-24,13.3031,13.3031,13.3031,13.3031,4585.0,26995.0,2018-09-19,VX,VXU18
2018-04-25,12.9186,12.9186,12.9186,12.9186,5841.0,26430.0,2018-09-19,VX,VXU18
2018-04-26,13.115,13.115,13.115,13.115,3615.0,25400.0,2018-09-19,VX,VXU18
