,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-03-27,18.0056,18.0056,18.0056,18.0056,1.0,1.0,2017-12-20,VX,VXZ17
2017-03-28,18.4071,18.4071,18.4071,18.4071,390.0,394.0,2017-12-20,VX,VXZ17
2017-03-29,18.1825,18.1825,18.1825,18.1825,140.0,341.0,2017-12-20,VX,VXZ17
2017-03-30,18.2643,18.2643,18.2643,18.2643,70.0,391.0,2017-12-20,VX,VXZ17
2017-03-31,18.0433,18.0433,18.0433,18.0433,111.0,533.0,2017-12-20,VX,VXZ17
2017-04-03,18.2724,18.2724,18.2724,18.2724,157.0,527.0,2017-12-20,VX,VXZ17
2017-04-04,18.7895,18.7895,18.7895,18.7895,174.0,679.0,2017-12-20,VX,VXZ17
2017-04-05,18.4306,18.4306,18.4306,18.4306,47.0,976.0,2017-12-20,VX,VXZ17
2017-04-06,18.6794,18.6794,18.6794,18.6794,107.0,1009.0,2017-12-20,VX,VXZ17
2017-04-07,19.2659,19.2659,19.2659,19.2659,75.0,1017.0,2017-12-20,VX,VXZ17
2017-04-10,19.7341,19.7341,19.7341,19.7341,45.0,1085.0,2017-12-20,VX,VXZ17
2017-04-11,19.5249,19.5249,19.5249,19.5249,143.0,1202.0,2017-12-20,VX,VXZ17
2017-04-12,19.605,19.605,19.605,19.605,131.0,1053.0,2017-12-20,VX,VXZ17
2017-04-13,19.1737,19.1737,19.1737,19.1737,122.0,1018.0,2017-12-20,VX,VXZ17
2017-04-17,19.306,19.306,19.306,19.306,145.0,1299.0,2017-12-20,VX,VXZ17
2017-04-18,19.3601,19.3601,19.3601,19.3601,187.0,1636.0,2017-12-20,VX,VXZ17
2017-04-19,18.7677,18.7677,18.7677,18.7677,643.0,1400.0,2017-12-20,VX,VXZ17
2017-04-20,19.1768,19.1768,19.1768,19.1768,163.0,1520.0,2017-12-20,VX,VXZ17
2017-04-21,19.3993,19.3993,19.3993,19.3993,1159.0,2693.0,2017-12-20,VX,VXZ17
2017-04-24,18.7261,18.7261,18.7261,18.7261,284.0,3142.0,2017-12-20,VX,VXZ17
2017-04-25,19.0482,19.0482,19.0482,19.0482,207.0,2641.0,2017-12-20,VX,VXZ17
2017-04-26,19.0901,19.0901,19.0901,19.0901,261.0,3430.0,2017-12-20,VX,VXZ17
2017-04-27,18.5766,18.5766,18.5766,18.5766,378.0,2857.0,2017-12-20,VX,VXZ17
2017-04-28,18.1995,18.1995,18.1995,18.1995,318.0,3172.0,2017-12-20,VX,VXZ17
2017-05-01,18.5999,18.5999,18.5999,18.5999,285.0,2692.0,2017-12-20,VX,VXZ17
2017-05-02,18.6706,18.6706,18.6706,18.6706,109.0,3077.0,2017-12-20,VX,VXZ17
2017-05-03,18.9693,18.9693,18.9693,18.9693,426.0,3022.0,2017-12-20,VX,VXZ17
2017-05-04,19.5877,19.5877,19.5877,19.5877,221.0,3300.0,2017-12-20,VX,VXZ17
2017-05-05,19.6073,19.6073,19.6073,19.6073,521.0,3933.0,2017-12-20,VX,VXZ17
2017-05-08,20.1818,20.1818,20.1818,20.1818,1052.0,4877.0,2017-12-20,VX,VXZ17
2017-05-09,20.1435,20.1435,20.1435,20.1435,515.0,4408.0,2017-12-20,VX,VXZ17
2017-05-10,20.1012,20.1012,20.1012,20.1012,493.0,4989.0,2017-12-20,VX,VXZ17
2017-05-11,20.2238,20.2238,20.2238,20.2238,862.0,4373.0,2017-12-20,VX,VXZ17
2017-05-12,19.5645,19.5645,19.5645,19.5645,587.0,6059.0,2017-12-20,VX,VXZ17
2017-05-15,19.1184,19.1184,19.1184,19.1184,753.0,4961.0,2017-12-20,VX,VXZ17
2017-05-16,19.3249,19.3249,19.3249,19.3249,1245.0,7381.0,2017-12-20,VX,VXZ17
2017-05-17,19.2785,19.2785,19.2785,19.2785,5829.0,8692.0,2017-12-20,VX,VXZ17
2017-05-18,18.5845,18.5845,18.5845,18.5845,3519.0,9518.0,2017-12-20,VX,VXZ17
2017-05-19,18.3522,18.3522,18.3522,18.3522,5084.0,10449.0,2017-12-20,VX,VXZ17
2017-05-22,18.8514,18.8514,18.8514,18.8514,1716.0,10007.0,2017-12-20,VX,VXZ17
2017-05-23,19.0795,19.0795,19.0795,19.0795,1924.0,10758.0,2017-12-20,VX,VXZ17
2017-05-24,19.4859,19.4859,19.4859,19.4859,4487.0,13672.0,2017-12-20,VX,VXZ17
2017-05-25,19.217,19.217,19.217,19.217,4469.0,14039.0,2017-12-20,VX,VXZ17
2017-05-26,19.5418,19.5418,19.5418,19.5418,2528.0,11586.0,2017-12-20,VX,VXZ17
2017-05-30,19.1099,19.1099,19.1099,19.1099,2512.0,15906.0,2017-12-20,VX,VXZ17
2017-05-31,19.7883,19.7883,19.7883,19.7883,1772.0,16184.0,2017-12-20,VX,VXZ17
2017-06-01,20.0831,20.0831,20.0831,20.0831,2933.0,17020.0,2017-12-20,VX,VXZ17
2017-06-02,20.4587,20.4587,20.4587,20.4587,3462.0,18858.0,2017-12-20,VX,VXZ17
2017-06-05,20.8188,20.8188,20.8188,20.8188,2425.0,18691.0,2017-12-20,VX,VXZ17
2017-06-06,20.4878,20.4878,20.4878,20.4878,3426.0,13138.0,2017-12-20,VX,VXZ17
2017-06-07,20.748,20.748,20.748,20.748,2641.0,17767.0,2017-12-20,VX,VXZ17
2017-06-08,20.6463,20.6463,20.6463,20.6463,1801.0,15091.0,2017-12-20,VX,VXZ17
2017-06-09,20.2086,20.2086,20.2086,20.2086,2742.0,15875.0,2017-12-20,VX,VXZ17
2017-06-12,20.2187,20.2187,20.2187,20.2187,1620.0,15958.0,2017-12-20,VX,VXZ17
2017-06-13,19.9296,19.9296,19.9296,19.9296,1947.0,18561.0,2017-12-20,VX,VXZ17
2017-06-14,19.3297,19.3297,19.3297,19.3297,1536.0,19298.0,2017-12-20,VX,VXZ17
2017-06-15,19.2273,19.2273,19.2273,19.2273,3128.0,20868.0,2017-12-20,VX,VXZ17
2017-06-16,19.8099,19.8099,19.8099,19.8099,6127.0,18122.0,2017-12-20,VX,VXZ17
2017-06-19,19.7346,19.7346,19.7346,19.7346,4028.0,14349.0,2017-12-20,VX,VXZ17
2017-06-20,20.3326,20.3326,20.3326,20.3326,2973.0,17127.0,2017-12-20,VX,VXZ17
2017-06-21,20.8165,20.8165,20.8165,20.8165,5926.0,17837.0,2017-12-20,VX,VXZ17
2017-06-22,20.1191,20.1191,20.1191,20.1191,4964.0,16194.0,2017-12-20,VX,VXZ17
2017-06-23,19.769,19.769,19.769,19.769,2006.0,20383.0,2017-12-20,VX,VXZ17
2017-06-26,19.7354,19.7354,19.7354,19.7354,3960.0,20492.0,2017-12-20,VX,VXZ17
2017-06-27,19.019,19.019,19.019,19.019,6497.0,23054.0,2017-12-20,VX,VXZ17
2017-06-28,18.9068,18.9068,18.9068,18.9068,2686.0,21840.0,2017-12-20,VX,VXZ17
2017-06-29,19.0486,19.0486,19.0486,19.0486,6200.0,21966.0,2017-12-20,VX,VXZ17
2017-06-30,19.4962,19.4962,19.4962,19.4962,3100.0,24792.0,2017-12-20,VX,VXZ17
2017-07-03,19.7984,19.7984,19.7984,19.7984,3182.0,22901.0,2017-12-20,VX,VXZ17
2017-07-05,19.4618,19.4618,19.4618,19.4618,5848.0,21577.0,2017-12-20,VX,VXZ17
2017-07-06,20.0418,20.0418,20.0418,20.0418,8384.0,23371.0,2017-12-20,VX,VXZ17
2017-07-07,20.7332,20.7332,20.7332,20.7332,3750.0,27090.0,2017-12-20,VX,VXZ17
2017-07-10,20.0469,20.0469,20.0469,20.0469,2969.0,27909.0,2017-12-20,VX,VXZ17
2017-07-11,20.105,20.105,20.105,20.105,4626.0,30023.0,2017-12-20,VX,VXZ17
2017-07-12,20.0165,20.0165,20.0165,20.0165,3395.0,25523.0,2017-12-20,VX,VXZ17
2017-07-13,20.1486,20.1486,20.1486,20.1486,5227.0,33872.0,2017-12-20,VX,VXZ17
2017-07-14,20.1466,20.1466,20.1466,20.1466,4319.0,26392.0,2017-12-20,VX,VXZ17
2017-07-17,20.2272,20.2272,20.2272,20.2272,3524.0,23767.0,2017-12-20,VX,VXZ17
2017-07-18,20.832,20.832,20.832,20.832,4714.0,27551.0,2017-12-20,VX,VXZ17
2017-07-19,20.9945,20.9945,20.9945,20.9945,17944.0,27709.0,2017-12-20,VX,VXZ17
2017-07-20,21.7398,21.7398,21.7398,21.7398,5564.0,30603.0,2017-12-20,VX,VXZ17
2017-07-21,22.4094,22.4094,22.4094,22.4094,6205.0,39544.0,2017-12-20,VX,VXZ17
2017-07-24,21.8469,21.8469,21.8469,21.8469,3591.0,29352.0,2017-12-20,VX,VXZ17
2017-07-25,21.6852,21.6852,21.6852,21.6852,8850.0,38379.0,2017-12-20,VX,VXZ17
2017-07-26,21.4358,21.4358,21.4358,21.4358,5598.0,45723.0,2017-12-20,VX,VXZ17
2017-07-27,22.0081,22.0081,22.0081,22.0081,11723.0,38548.0,2017-12-20,VX,VXZ17
2017-07-28,21.6362,21.6362,21.6362,21.6362,7840.0,41846.0,2017-12-20,VX,VXZ17
2017-07-31,22.4173,22.4173,22.4173,22.4173,5261.0,46610.0,2017-12-20,VX,VXZ17
2017-08-01,22.09,22.09,22.09,22.09,7971.0,32798.0,2017-12-20,VX,VXZ17
2017-08-02,22.4236,22.4236,22.4236,22.4236,8066.0,34173.0,2017-12-20,VX,VXZ17
2017-08-03,21.6365,21.6365,21.6365,21.6365,6053.0,42399.0,2017-12-20,VX,VXZ17
2017-08-04,22.1233,22.1233,22.1233,22.1233,6653.0,51784.0,2017-12-20,VX,VXZ17
2017-08-07,22.8069,22.8069,22.8069,22.8069,8538.0,37060.0,2017-12-20,VX,VXZ17
2017-08-08,22.8001,22.8001,22.8001,22.8001,16466.0,40826.0,2017-12-20,VX,VXZ17
2017-08-09,23.3747,23.3747,23.3747,23.3747,20639.0,46269.0,2017-12-20,VX,VXZ17
2017-08-10,23.7417,23.7417,23.7417,23.7417,14095.0,39817.0,2017-12-20,VX,VXZ17
2017-08-11,24.048,24.048,24.048,24.048,33241.0,54282.0,2017-12-20,VX,VXZ17
2017-08-14,24.0696,24.0696,24.0696,24.0696,26243.0,49156.0,2017-12-20,VX,VXZ17
2017-08-15,24.823,24.823,24.823,24.823,14496.0,43415.0,2017-12-20,VX,VXZ17
2017-08-16,24.5748,24.5748,24.5748,24.5748,13575.0,42846.0,2017-12-20,VX,VXZ17
2017-08-17,23.8498,23.8498,23.8498,23.8498,25987.0,62516.0,2017-12-20,VX,VXZ17
2017-08-18,24.6559,24.6559,24.6559,24.6559,25281.0,44619.0,2017-12-20,VX,VXZ17
2017-08-21,25.292,25.292,25.292,25.292,10226.0,58059.0,2017-12-20,VX,VXZ17
2017-08-22,24.8974,24.8974,24.8974,24.8974,10637.0,59092.0,2017-12-20,VX,VXZ17
2017-08-23,24.9796,24.9796,24.9796,24.9796,12409.0,45839.0,2017-12-20,VX,VXZ17
2017-08-24,25.5541,25.5541,25.5541,25.5541,16965.0,46312.0,2017-12-20,VX,VXZ17
2017-08-25,24.8667,24.8667,24.8667,24.8667,15937.0,58715.0,2017-12-20,VX,VXZ17
2017-08-28,24.9314,24.9314,24.9314,24.9314,12667.0,54311.0,2017-12-20,VX,VXZ17
2017-08-29,24.2258,24.2258,24.2258,24.2258,10011.0,47443.0,2017-12-20,VX,VXZ17
2017-08-30,25.0325,25.0325,25.0325,25.0325,14720.0,53397.0,2017-12-20,VX,VXZ17
2017-08-31,25.6133,25.6133,25.6133,25.6133,12243.0,63691.0,2017-12-20,VX,VXZ17
2017-09-01,25.6568,25.6568,25.6568,25.6568,13745.0,49492.0,2017-12-20,VX,VXZ17
