,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-18,17874.4634,17874.4634,17874.4634,17874.4634,0.0,0.0,2016-03-18,YM,YMH16
2015-03-19,17704.656,17704.656,17704.656,17704.656,0.0,0.0,2016-03-18,YM,YMH16
2015-03-20,17697.5741,17697.5741,17697.5741,17697.5741,0.0,0.0,2016-03-18,YM,YMH16
2015-03-23,17747.1273,17747.1273,17747.1273,17747.1273,0.0,0.0,2016-03-18,YM,YMH16
2015-03-24,17608.6997,17608.6997,17608.6997,17608.6997,0.0,0.0,2016-03-18,YM,YMH16
2015-03-25,17747.8084,17747.8084,17747.8084,17747.8084,0.0,0.0,2016-03-18,YM,YMH16
2015-03-26,17895.1152,17895.1152,17895.1152,17895.1152,0.0,0.0,2016-03-18,YM,YMH16
2015-03-27,18192.1741,18192.1741,18192.1741,18192.1741,0.0,0.0,2016-03-18,YM,YMH16
2015-03-30,18390.4688,18390.4688,18390.4688,18390.4688,0.0,0.0,2016-03-18,YM,YMH16
2015-03-31,18614.8325,18614.8325,18614.8325,18614.8325,0.0,0.0,2016-03-18,YM,YMH16
2015-04-01,18711.6296,18711.6296,18711.6296,18711.6296,0.0,0.0,2016-03-18,YM,YMH16
2015-04-02,19057.7947,19057.7947,19057.7947,19057.7947,0.0,0.0,2016-03-18,YM,YMH16
2015-04-06,19175.953,19175.953,19175.953,19175.953,0.0,0.0,2016-03-18,YM,YMH16
2015-04-07,19101.1668,19101.1668,19101.1668,19101.1668,0.0,0.0,2016-03-18,YM,YMH16
2015-04-08,19288.3582,19288.3582,19288.3582,19288.3582,0.0,0.0,2016-03-18,YM,YMH16
2015-04-09,19137.909,19137.909,19137.909,19137.909,0.0,0.0,2016-03-18,YM,YMH16
2015-04-10,19189.5814,19189.5814,19189.5814,19189.5814,1.0,1.0,2016-03-18,YM,YMH16
2015-04-13,19281.6914,19281.6914,19281.6914,19281.6914,0.0,1.0,2016-03-18,YM,YMH16
2015-04-14,19360.7463,19360.7463,19360.7463,19360.7463,0.0,1.0,2016-03-18,YM,YMH16
2015-04-15,19703.4315,19703.4315,19703.4315,19703.4315,0.0,1.0,2016-03-18,YM,YMH16
2015-04-16,19478.8124,19478.8124,19478.8124,19478.8124,1.0,1.0,2016-03-18,YM,YMH16
2015-04-17,19120.4023,19120.4023,19120.4023,19120.4023,0.0,1.0,2016-03-18,YM,YMH16
