,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-14,25387.8093,25387.8093,25387.8093,25387.8093,0.0,0.0,2019-06-21,YM,YMM19
2018-06-15,25144.0863,25144.0863,25144.0863,25144.0863,0.0,0.0,2019-06-21,YM,YMM19
2018-06-18,25051.0532,25051.0532,25051.0532,25051.0532,0.0,0.0,2019-06-21,YM,YMM19
2018-06-19,25271.5025,25271.5025,25271.5025,25271.5025,0.0,0.0,2019-06-21,YM,YMM19
2018-06-20,25375.1157,25375.1157,25375.1157,25375.1157,0.0,0.0,2019-06-21,YM,YMM19
2018-06-21,25108.677,25108.677,25108.677,25108.677,0.0,0.0,2019-06-21,YM,YMM19
2018-06-22,25040.8836,25040.8836,25040.8836,25040.8836,0.0,0.0,2019-06-21,YM,YMM19
2018-06-25,25173.6003,25173.6003,25173.6003,25173.6003,0.0,0.0,2019-06-21,YM,YMM19
2018-06-26,24921.8643,24921.8643,24921.8643,24921.8643,0.0,0.0,2019-06-21,YM,YMM19
2018-06-27,24769.8409,24769.8409,24769.8409,24769.8409,0.0,0.0,2019-06-21,YM,YMM19
2018-06-28,24648.4687,24648.4687,24648.4687,24648.4687,0.0,0.0,2019-06-21,YM,YMM19
2018-06-29,24384.7301,24384.7301,24384.7301,24384.7301,0.0,0.0,2019-06-21,YM,YMM19
2018-07-02,24089.6749,24089.6749,24089.6749,24089.6749,0.0,0.0,2019-06-21,YM,YMM19
2018-07-03,23721.1029,23721.1029,23721.1029,23721.1029,0.0,0.0,2019-06-21,YM,YMM19
2018-07-05,24019.9888,24019.9888,24019.9888,24019.9888,0.0,0.0,2019-06-21,YM,YMM19
2018-07-06,24301.0227,24301.0227,24301.0227,24301.0227,0.0,0.0,2019-06-21,YM,YMM19
2018-07-09,23987.5395,23987.5395,23987.5395,23987.5395,0.0,0.0,2019-06-21,YM,YMM19
2018-07-10,24462.4928,24462.4928,24462.4928,24462.4928,0.0,0.0,2019-06-21,YM,YMM19
2018-07-11,24420.9066,24420.9066,24420.9066,24420.9066,0.0,0.0,2019-06-21,YM,YMM19
2018-07-12,24332.9913,24332.9913,24332.9913,24332.9913,0.0,0.0,2019-06-21,YM,YMM19
2018-07-13,24109.1278,24109.1278,24109.1278,24109.1278,0.0,0.0,2019-06-21,YM,YMM19
2018-07-16,24538.2703,24538.2703,24538.2703,24538.2703,0.0,0.0,2019-06-21,YM,YMM19
2018-07-17,24516.1859,24516.1859,24516.1859,24516.1859,0.0,0.0,2019-06-21,YM,YMM19
