,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-13,21668.0036,21668.0036,21668.0036,21668.0036,0.0,0.0,2018-09-21,YM,YMU18
2017-09-14,21915.0188,21915.0188,21915.0188,21915.0188,0.0,0.0,2018-09-21,YM,YMU18
2017-09-15,22055.2749,22055.2749,22055.2749,22055.2749,0.0,0.0,2018-09-21,YM,YMU18
2017-09-18,22079.5357,22079.5357,22079.5357,22079.5357,0.0,0.0,2018-09-21,YM,YMU18
2017-09-19,21783.6699,21783.6699,21783.6699,21783.6699,0.0,0.0,2018-09-21,YM,YMU18
2017-09-20,21563.6548,21563.6548,21563.6548,21563.6548,0.0,0.0,2018-09-21,YM,YMU18
2017-09-21,21714.6004,21714.6004,21714.6004,21714.6004,0.0,0.0,2018-09-21,YM,YMU18
2017-09-22,21745.0008,21745.0008,21745.0008,21745.0008,0.0,0.0,2018-09-21,YM,YMU18
2017-09-25,21381.8593,21381.8593,21381.8593,21381.8593,0.0,0.0,2018-09-21,YM,YMU18
2017-09-26,21437.4521,21437.4521,21437.4521,21437.4521,0.0,0.0,2018-09-21,YM,YMU18
2017-09-27,21409.5834,21409.5834,21409.5834,21409.5834,0.0,0.0,2018-09-21,YM,YMU18
2017-09-28,21499.5037,21499.5037,21499.5037,21499.5037,0.0,0.0,2018-09-21,YM,YMU18
2017-09-29,21209.2604,21209.2604,21209.2604,21209.2604,0.0,0.0,2018-09-21,YM,YMU18
2017-10-02,20914.4517,20914.4517,20914.4517,20914.4517,0.0,0.0,2018-09-21,YM,YMU18
2017-10-03,21142.4192,21142.4192,21142.4192,21142.4192,0.0,0.0,2018-09-21,YM,YMU18
2017-10-04,21419.3849,21419.3849,21419.3849,21419.3849,0.0,0.0,2018-09-21,YM,YMU18
2017-10-05,21312.288,21312.288,21312.288,21312.288,0.0,0.0,2018-09-21,YM,YMU18
2017-10-06,21467.8677,21467.8677,21467.8677,21467.8677,0.0,0.0,2018-09-21,YM,YMU18
2017-10-09,21579.5006,21579.5006,21579.5006,21579.5006,0.0,0.0,2018-09-21,YM,YMU18
2017-10-10,21519.078,21519.078,21519.078,21519.078,0.0,0.0,2018-09-21,YM,YMU18
2017-10-11,21269.4567,21269.4567,21269.4567,21269.4567,0.0,0.0,2018-09-21,YM,YMU18
2017-10-12,20939.7801,20939.7801,20939.7801,20939.7801,0.0,0.0,2018-09-21,YM,YMU18
2017-10-13,21042.385,21042.385,21042.385,21042.385,0.0,0.0,2018-09-21,YM,YMU18
2017-10-16,21231.7665,21231.7665,21231.7665,21231.7665,0.0,0.0,2018-09-21,YM,YMU18
2017-10-17,21431.3451,21431.3451,21431.3451,21431.3451,0.0,0.0,2018-09-21,YM,YMU18
2017-10-18,21555.6469,21555.6469,21555.6469,21555.6469,0.0,0.0,2018-09-21,YM,YMU18
2017-10-19,21547.0246,21547.0246,21547.0246,21547.0246,0.0,0.0,2018-09-21,YM,YMU18
2017-10-20,21773.2684,21773.2684,21773.2684,21773.2684,0.0,0.0,2018-09-21,YM,YMU18
2017-10-23,21583.841,21583.841,21583.841,21583.841,0.0,0.0,2018-09-21,YM,YMU18
2017-10-24,21877.3812,21877.3812,21877.3812,21877.3812,0.0,5.0,2018-09-21,YM,YMU18
2017-10-25,21883.9444,21883.9444,21883.9444,21883.9444,0.0,4.0,2018-09-21,YM,YMU18
2017-10-26,22260.3482,22260.3482,22260.3482,22260.3482,0.0,6.0,2018-09-21,YM,YMU18
2017-10-27,22574.2191,22574.2191,22574.2191,22574.2191,0.0,5.0,2018-09-21,YM,YMU18
2017-10-30,22845.1097,22845.1097,22845.1097,22845.1097,0.0,6.0,2018-09-21,YM,YMU18
2017-10-31,22614.3741,22614.3741,22614.3741,22614.3741,0.0,6.0,2018-09-21,YM,YMU18
2017-11-01,22331.6944,22331.6944,22331.6944,22331.6944,0.0,6.0,2018-09-21,YM,YMU18
2017-11-02,22338.3939,22338.3939,22338.3939,22338.3939,0.0,5.0,2018-09-21,YM,YMU18
2017-11-03,22543.9071,22543.9071,22543.9071,22543.9071,0.0,4.0,2018-09-21,YM,YMU18
2017-11-06,22331.9944,22331.9944,22331.9944,22331.9944,0.0,5.0,2018-09-21,YM,YMU18
2017-11-07,22709.4051,22709.4051,22709.4051,22709.4051,4.0,8.0,2018-09-21,YM,YMU18
