,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-12-13,24731.4779,24731.4779,24731.4779,24731.4779,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-14,24879.8668,24879.8668,24879.8668,24879.8668,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-15,25295.3606,25295.3606,25295.3606,25295.3606,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-18,25173.9429,25173.9429,25173.9429,25173.9429,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-19,24776.1946,24776.1946,24776.1946,24776.1946,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-20,25014.0461,25014.0461,25014.0461,25014.0461,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-21,24833.945,24833.945,24833.945,24833.945,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-22,25089.7346,25089.7346,25089.7346,25089.7346,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-26,25102.2795,25102.2795,25102.2795,25102.2795,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-27,25077.1772,25077.1772,25077.1772,25077.1772,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-28,25084.7004,25084.7004,25084.7004,25084.7004,0.0,0.0,2018-12-21,YM,YMZ18
2017-12-29,24678.3283,24678.3283,24678.3283,24678.3283,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-02,24327.896,24327.896,24327.896,24327.896,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-03,24520.0864,24520.0864,24520.0864,24520.0864,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-04,24370.5139,24370.5139,24370.5139,24370.5139,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-05,24282.78,24282.78,24282.78,24282.78,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-08,23792.2678,23792.2678,23792.2678,23792.2678,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-09,23540.0698,23540.0698,23540.0698,23540.0698,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-10,23412.9534,23412.9534,23412.9534,23412.9534,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-11,23143.7044,23143.7044,23143.7044,23143.7044,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-12,23560.2911,23560.2911,23560.2911,23560.2911,0.0,0.0,2018-12-21,YM,YMZ18
2018-01-16,23522.5946,23522.5946,23522.5946,23522.5946,0.0,0.0,2018-12-21,YM,YMZ18
