,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,409.8914,409.8914,409.8914,409.8914,0.0,0.0,2019-03-14,_C,_CH19
2016-12-15,409.2356,409.2356,409.2356,409.2356,0.0,0.0,2019-03-14,_C,_CH19
2016-12-16,409.3584,409.3584,409.3584,409.3584,0.0,0.0,2019-03-14,_C,_CH19
2016-12-19,408.4578,408.4578,408.4578,408.4578,0.0,0.0,2019-03-14,_C,_CH19
2016-12-20,401.7999,401.7999,401.7999,401.7999,17.0,18.0,2019-03-14,_C,_CH19
2016-12-21,405.175,405.175,405.175,405.175,0.0,17.0,2019-03-14,_C,_CH19
2016-12-22,399.3,399.3,399.3,399.3,0.0,20.0,2019-03-14,_C,_CH19
2016-12-23,398.741,398.741,398.741,398.741,0.0,16.0,2019-03-14,_C,_CH19
2016-12-27,398.1429,398.1429,398.1429,398.1429,0.0,19.0,2019-03-14,_C,_CH19
2016-12-28,402.0447,402.0447,402.0447,402.0447,0.0,22.0,2019-03-14,_C,_CH19
2016-12-29,402.7282,402.7282,402.7282,402.7282,0.0,20.0,2019-03-14,_C,_CH19
2016-12-30,399.7077,399.7077,399.7077,399.7077,0.0,20.0,2019-03-14,_C,_CH19
2017-01-03,404.3443,404.3443,404.3443,404.3443,3.0,23.0,2019-03-14,_C,_CH19
2017-01-04,404.6273,404.6273,404.6273,404.6273,9.0,31.0,2019-03-14,_C,_CH19
2017-01-05,408.4713,408.4713,408.4713,408.4713,25.0,43.0,2019-03-14,_C,_CH19
2017-01-06,413.6589,413.6589,413.6589,413.6589,0.0,55.0,2019-03-14,_C,_CH19
2017-01-09,417.175,417.175,417.175,417.175,0.0,55.0,2019-03-14,_C,_CH19
2017-01-10,415.1308,415.1308,415.1308,415.1308,0.0,58.0,2019-03-14,_C,_CH19
2017-01-11,414.0099,414.0099,414.0099,414.0099,4.0,46.0,2019-03-14,_C,_CH19
2017-01-12,416.2456,416.2456,416.2456,416.2456,5.0,53.0,2019-03-14,_C,_CH19
2017-01-13,415.205,415.205,415.205,415.205,5.0,52.0,2019-03-14,_C,_CH19
2017-01-17,418.2775,418.2775,418.2775,418.2775,27.0,57.0,2019-03-14,_C,_CH19
2017-01-18,413.2582,413.2582,413.2582,413.2582,3.0,65.0,2019-03-14,_C,_CH19
2017-01-19,409.7868,409.7868,409.7868,409.7868,0.0,57.0,2019-03-14,_C,_CH19
2017-01-20,406.0577,406.0577,406.0577,406.0577,0.0,55.0,2019-03-14,_C,_CH19
2017-01-23,411.0928,411.0928,411.0928,411.0928,0.0,72.0,2019-03-14,_C,_CH19
2017-01-24,409.7773,409.7773,409.7773,409.7773,0.0,55.0,2019-03-14,_C,_CH19
2017-01-25,415.7191,415.7191,415.7191,415.7191,0.0,66.0,2019-03-14,_C,_CH19
2017-01-26,418.255,418.255,418.255,418.255,0.0,57.0,2019-03-14,_C,_CH19
2017-01-27,412.1485,412.1485,412.1485,412.1485,0.0,78.0,2019-03-14,_C,_CH19
