,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,397.8082,397.8082,397.8082,397.8082,0.0,0.0,2019-05-14,_C,_CK19
2016-12-15,394.5462,394.5462,394.5462,394.5462,0.0,0.0,2019-05-14,_C,_CK19
2016-12-16,395.3353,395.3353,395.3353,395.3353,0.0,0.0,2019-05-14,_C,_CK19
2016-12-19,393.3191,393.3191,393.3191,393.3191,0.0,0.0,2019-05-14,_C,_CK19
2016-12-20,388.8353,388.8353,388.8353,388.8353,0.0,0.0,2019-05-14,_C,_CK19
2016-12-21,392.8403,392.8403,392.8403,392.8403,0.0,0.0,2019-05-14,_C,_CK19
2016-12-22,390.9547,390.9547,390.9547,390.9547,0.0,0.0,2019-05-14,_C,_CK19
2016-12-23,387.5925,387.5925,387.5925,387.5925,0.0,0.0,2019-05-14,_C,_CK19
2016-12-27,383.8716,383.8716,383.8716,383.8716,0.0,0.0,2019-05-14,_C,_CK19
2016-12-28,388.0942,388.0942,388.0942,388.0942,0.0,0.0,2019-05-14,_C,_CK19
2016-12-29,384.1744,384.1744,384.1744,384.1744,0.0,0.0,2019-05-14,_C,_CK19
2016-12-30,377.7587,377.7587,377.7587,377.7587,0.0,0.0,2019-05-14,_C,_CK19
2017-01-03,372.7345,372.7345,372.7345,372.7345,0.0,0.0,2019-05-14,_C,_CK19
2017-01-04,376.76,376.76,376.76,376.76,0.0,0.0,2019-05-14,_C,_CK19
2017-01-05,380.4899,380.4899,380.4899,380.4899,0.0,0.0,2019-05-14,_C,_CK19
2017-01-06,386.3494,386.3494,386.3494,386.3494,0.0,0.0,2019-05-14,_C,_CK19
2017-01-09,382.6791,382.6791,382.6791,382.6791,0.0,0.0,2019-05-14,_C,_CK19
2017-01-10,376.2118,376.2118,376.2118,376.2118,0.0,0.0,2019-05-14,_C,_CK19
2017-01-11,375.7603,375.7603,375.7603,375.7603,0.0,0.0,2019-05-14,_C,_CK19
2017-01-12,374.4827,374.4827,374.4827,374.4827,0.0,0.0,2019-05-14,_C,_CK19
2017-01-13,373.4716,373.4716,373.4716,373.4716,0.0,0.0,2019-05-14,_C,_CK19
2017-01-17,377.1316,377.1316,377.1316,377.1316,17.0,17.0,2019-05-14,_C,_CK19
2017-01-18,381.6195,381.6195,381.6195,381.6195,0.0,17.0,2019-05-14,_C,_CK19
2017-01-19,381.6577,381.6577,381.6577,381.6577,0.0,15.0,2019-05-14,_C,_CK19
2017-01-20,375.8183,375.8183,375.8183,375.8183,0.0,16.0,2019-05-14,_C,_CK19
2017-01-23,376.9458,376.9458,376.9458,376.9458,0.0,18.0,2019-05-14,_C,_CK19
2017-01-24,377.2097,377.2097,377.2097,377.2097,0.0,13.0,2019-05-14,_C,_CK19
2017-01-25,381.5099,381.5099,381.5099,381.5099,0.0,16.0,2019-05-14,_C,_CK19
2017-01-26,376.9318,376.9318,376.9318,376.9318,0.0,17.0,2019-05-14,_C,_CK19
2017-01-27,377.3464,377.3464,377.3464,377.3464,0.0,15.0,2019-05-14,_C,_CK19
2017-01-30,380.0633,380.0633,380.0633,380.0633,0.0,15.0,2019-05-14,_C,_CK19
2017-01-31,386.4104,386.4104,386.4104,386.4104,0.0,17.0,2019-05-14,_C,_CK19
2017-02-01,383.8601,383.8601,383.8601,383.8601,0.0,14.0,2019-05-14,_C,_CK19
2017-02-02,377.5648,377.5648,377.5648,377.5648,0.0,16.0,2019-05-14,_C,_CK19
2017-02-03,376.9985,376.9985,376.9985,376.9985,0.0,14.0,2019-05-14,_C,_CK19
2017-02-06,374.6611,374.6611,374.6611,374.6611,0.0,13.0,2019-05-14,_C,_CK19
2017-02-07,377.6584,377.6584,377.6584,377.6584,0.0,13.0,2019-05-14,_C,_CK19
2017-02-08,375.7701,375.7701,375.7701,375.7701,7.0,19.0,2019-05-14,_C,_CK19
2017-02-09,370.359,370.359,370.359,370.359,6.0,31.0,2019-05-14,_C,_CK19
2017-02-10,364.7295,364.7295,364.7295,364.7295,0.0,27.0,2019-05-14,_C,_CK19
2017-02-13,370.0181,370.0181,370.0181,370.0181,0.0,32.0,2019-05-14,_C,_CK19
2017-02-14,373.4593,373.4593,373.4593,373.4593,0.0,24.0,2019-05-14,_C,_CK19
2017-02-15,377.2686,377.2686,377.2686,377.2686,0.0,28.0,2019-05-14,_C,_CK19
2017-02-16,377.759,377.759,377.759,377.759,1.0,26.0,2019-05-14,_C,_CK19
2017-02-17,378.5523,378.5523,378.5523,378.5523,1.0,28.0,2019-05-14,_C,_CK19
2017-02-21,379.5365,379.5365,379.5365,379.5365,132.0,107.0,2019-05-14,_C,_CK19
2017-02-22,376.8797,376.8797,376.8797,376.8797,0.0,109.0,2019-05-14,_C,_CK19
2017-02-23,376.3898,376.3898,376.3898,376.3898,23.0,115.0,2019-05-14,_C,_CK19
2017-02-24,379.6644,379.6644,379.6644,379.6644,0.0,131.0,2019-05-14,_C,_CK19
2017-02-27,378.9051,378.9051,378.9051,378.9051,0.0,144.0,2019-05-14,_C,_CK19
2017-02-28,376.7832,376.7832,376.7832,376.7832,0.0,144.0,2019-05-14,_C,_CK19
2017-03-01,372.94,372.94,372.94,372.94,4.0,126.0,2019-05-14,_C,_CK19
2017-03-02,368.9122,368.9122,368.9122,368.9122,0.0,138.0,2019-05-14,_C,_CK19
2017-03-03,362.4931,362.4931,362.4931,362.4931,0.0,116.0,2019-05-14,_C,_CK19
2017-03-06,368.4742,368.4742,368.4742,368.4742,0.0,130.0,2019-05-14,_C,_CK19
2017-03-07,362.5786,362.5786,362.5786,362.5786,0.0,142.0,2019-05-14,_C,_CK19
2017-03-08,361.5634,361.5634,361.5634,361.5634,0.0,142.0,2019-05-14,_C,_CK19
2017-03-09,358.707,358.707,358.707,358.707,0.0,117.0,2019-05-14,_C,_CK19
2017-03-10,352.6449,352.6449,352.6449,352.6449,0.0,122.0,2019-05-14,_C,_CK19
2017-03-13,357.6877,357.6877,357.6877,357.6877,0.0,126.0,2019-05-14,_C,_CK19
2017-03-14,352.1793,352.1793,352.1793,352.1793,0.0,147.0,2019-05-14,_C,_CK19
2017-03-15,353.9754,353.9754,353.9754,353.9754,0.0,153.0,2019-05-14,_C,_CK19
2017-03-16,359.3912,359.3912,359.3912,359.3912,0.0,130.0,2019-05-14,_C,_CK19
2017-03-17,361.7632,361.7632,361.7632,361.7632,10.0,159.0,2019-05-14,_C,_CK19
2017-03-20,361.727,361.727,361.727,361.727,0.0,133.0,2019-05-14,_C,_CK19
2017-03-21,362.7037,362.7037,362.7037,362.7037,0.0,128.0,2019-05-14,_C,_CK19
2017-03-22,366.8748,366.8748,366.8748,366.8748,113.0,216.0,2019-05-14,_C,_CK19
2017-03-23,362.509,362.509,362.509,362.509,0.0,167.0,2019-05-14,_C,_CK19
2017-03-24,359.3914,359.3914,359.3914,359.3914,0.0,184.0,2019-05-14,_C,_CK19
2017-03-27,354.288,354.288,354.288,354.288,0.0,206.0,2019-05-14,_C,_CK19
2017-03-28,358.1143,358.1143,358.1143,358.1143,3.0,178.0,2019-05-14,_C,_CK19
2017-03-29,363.7009,363.7009,363.7009,363.7009,0.0,216.0,2019-05-14,_C,_CK19
2017-03-30,357.6635,357.6635,357.6635,357.6635,0.0,202.0,2019-05-14,_C,_CK19
2017-03-31,356.7336,356.7336,356.7336,356.7336,10.0,205.0,2019-05-14,_C,_CK19
2017-04-03,360.3009,360.3009,360.3009,360.3009,0.0,171.0,2019-05-14,_C,_CK19
2017-04-04,360.2649,360.2649,360.2649,360.2649,0.0,221.0,2019-05-14,_C,_CK19
2017-04-05,364.2638,364.2638,364.2638,364.2638,0.0,153.0,2019-05-14,_C,_CK19
2017-04-06,368.0886,368.0886,368.0886,368.0886,3.0,192.0,2019-05-14,_C,_CK19
2017-04-07,362.3096,362.3096,362.3096,362.3096,0.0,214.0,2019-05-14,_C,_CK19
2017-04-10,362.9255,362.9255,362.9255,362.9255,0.0,197.0,2019-05-14,_C,_CK19
2017-04-11,369.1678,369.1678,369.1678,369.1678,1.0,201.0,2019-05-14,_C,_CK19
2017-04-12,370.7552,370.7552,370.7552,370.7552,5.0,201.0,2019-05-14,_C,_CK19
2017-04-13,372.4977,372.4977,372.4977,372.4977,7.0,202.0,2019-05-14,_C,_CK19
2017-04-17,372.237,372.237,372.237,372.237,3.0,190.0,2019-05-14,_C,_CK19
2017-04-18,370.6736,370.6736,370.6736,370.6736,0.0,186.0,2019-05-14,_C,_CK19
2017-04-19,373.083,373.083,373.083,373.083,0.0,178.0,2019-05-14,_C,_CK19
2017-04-20,367.7106,367.7106,367.7106,367.7106,0.0,180.0,2019-05-14,_C,_CK19
2017-04-21,373.9985,373.9985,373.9985,373.9985,0.0,204.0,2019-05-14,_C,_CK19
2017-04-24,368.3137,368.3137,368.3137,368.3137,3.0,158.0,2019-05-14,_C,_CK19
2017-04-25,372.2178,372.2178,372.2178,372.2178,6.0,171.0,2019-05-14,_C,_CK19
2017-04-26,374.5256,374.5256,374.5256,374.5256,0.0,190.0,2019-05-14,_C,_CK19
2017-04-27,368.0838,368.0838,368.0838,368.0838,0.0,184.0,2019-05-14,_C,_CK19
2017-04-28,365.4336,365.4336,365.4336,365.4336,0.0,217.0,2019-05-14,_C,_CK19
2017-05-01,364.0084,364.0084,364.0084,364.0084,4.0,181.0,2019-05-14,_C,_CK19
2017-05-02,359.5311,359.5311,359.5311,359.5311,4.0,198.0,2019-05-14,_C,_CK19
2017-05-03,358.5604,358.5604,358.5604,358.5604,0.0,203.0,2019-05-14,_C,_CK19
2017-05-04,361.393,361.393,361.393,361.393,0.0,192.0,2019-05-14,_C,_CK19
2017-05-05,360.1281,360.1281,360.1281,360.1281,0.0,198.0,2019-05-14,_C,_CK19
2017-05-08,356.959,356.959,356.959,356.959,2.0,194.0,2019-05-14,_C,_CK19
2017-05-09,359.5648,359.5648,359.5648,359.5648,1.0,217.0,2019-05-14,_C,_CK19
2017-05-10,358.3782,358.3782,358.3782,358.3782,0.0,191.0,2019-05-14,_C,_CK19
