,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,420.9107,420.9107,420.9107,420.9107,0.0,0.0,2019-07-12,_C,_CN19
2015-12-15,423.6887,423.6887,423.6887,423.6887,0.0,0.0,2019-07-12,_C,_CN19
2015-12-16,421.1889,421.1889,421.1889,421.1889,0.0,0.0,2019-07-12,_C,_CN19
2015-12-17,423.4633,423.4633,423.4633,423.4633,0.0,0.0,2019-07-12,_C,_CN19
2015-12-18,423.1669,423.1669,423.1669,423.1669,0.0,0.0,2019-07-12,_C,_CN19
2015-12-21,419.8239,419.8239,419.8239,419.8239,0.0,0.0,2019-07-12,_C,_CN19
2015-12-22,423.8962,423.8962,423.8962,423.8962,0.0,0.0,2019-07-12,_C,_CN19
2015-12-23,424.9559,424.9559,424.9559,424.9559,0.0,0.0,2019-07-12,_C,_CN19
2015-12-24,431.0753,431.0753,431.0753,431.0753,0.0,0.0,2019-07-12,_C,_CN19
2015-12-28,430.946,430.946,430.946,430.946,0.0,0.0,2019-07-12,_C,_CN19
2015-12-29,433.1869,433.1869,433.1869,433.1869,0.0,0.0,2019-07-12,_C,_CN19
2015-12-30,437.692,437.692,437.692,437.692,0.0,0.0,2019-07-12,_C,_CN19
2015-12-31,437.2543,437.2543,437.2543,437.2543,0.0,0.0,2019-07-12,_C,_CN19
2016-01-04,443.0698,443.0698,443.0698,443.0698,0.0,0.0,2019-07-12,_C,_CN19
2016-01-05,439.3037,439.3037,439.3037,439.3037,0.0,0.0,2019-07-12,_C,_CN19
2016-01-06,436.9754,436.9754,436.9754,436.9754,0.0,0.0,2019-07-12,_C,_CN19
2016-01-07,437.893,437.893,437.893,437.893,0.0,0.0,2019-07-12,_C,_CN19
2016-01-08,441.1334,441.1334,441.1334,441.1334,0.0,0.0,2019-07-12,_C,_CN19
2016-01-11,434.7811,434.7811,434.7811,434.7811,0.0,0.0,2019-07-12,_C,_CN19
2016-01-12,438.1724,438.1724,438.1724,438.1724,0.0,0.0,2019-07-12,_C,_CN19
2016-01-13,442.9047,442.9047,442.9047,442.9047,0.0,0.0,2019-07-12,_C,_CN19
2016-01-14,444.1005,444.1005,444.1005,444.1005,0.0,0.0,2019-07-12,_C,_CN19
2016-01-15,439.7483,439.7483,439.7483,439.7483,0.0,0.0,2019-07-12,_C,_CN19
2016-01-19,443.5301,443.5301,443.5301,443.5301,0.0,0.0,2019-07-12,_C,_CN19
2016-01-20,445.0825,445.0825,445.0825,445.0825,0.0,0.0,2019-07-12,_C,_CN19
2016-01-21,438.7623,438.7623,438.7623,438.7623,0.0,0.0,2019-07-12,_C,_CN19
2016-01-22,435.9981,435.9981,435.9981,435.9981,0.0,0.0,2019-07-12,_C,_CN19
2016-01-25,438.7013,438.7013,438.7013,438.7013,0.0,0.0,2019-07-12,_C,_CN19
2016-01-26,440.1051,440.1051,440.1051,440.1051,0.0,0.0,2019-07-12,_C,_CN19
2016-01-27,447.3668,447.3668,447.3668,447.3668,0.0,0.0,2019-07-12,_C,_CN19
2016-01-28,448.0379,448.0379,448.0379,448.0379,0.0,0.0,2019-07-12,_C,_CN19
2016-01-29,443.1095,443.1095,443.1095,443.1095,0.0,0.0,2019-07-12,_C,_CN19
2016-02-01,438.767,438.767,438.767,438.767,0.0,0.0,2019-07-12,_C,_CN19
2016-02-02,444.5148,444.5148,444.5148,444.5148,0.0,0.0,2019-07-12,_C,_CN19
2016-02-03,442.4256,442.4256,442.4256,442.4256,0.0,0.0,2019-07-12,_C,_CN19
2016-02-04,443.7971,443.7971,443.7971,443.7971,0.0,0.0,2019-07-12,_C,_CN19
2016-02-05,448.5013,448.5013,448.5013,448.5013,0.0,0.0,2019-07-12,_C,_CN19
2016-02-08,448.8153,448.8153,448.8153,448.8153,0.0,0.0,2019-07-12,_C,_CN19
2016-02-09,451.5531,451.5531,451.5531,451.5531,0.0,0.0,2019-07-12,_C,_CN19
2016-02-10,445.6378,445.6378,445.6378,445.6378,0.0,0.0,2019-07-12,_C,_CN19
2016-02-11,444.1226,444.1226,444.1226,444.1226,0.0,0.0,2019-07-12,_C,_CN19
2016-02-12,451.4506,451.4506,451.4506,451.4506,0.0,0.0,2019-07-12,_C,_CN19
2016-02-16,453.121,453.121,453.121,453.121,0.0,0.0,2019-07-12,_C,_CN19
2016-02-17,449.496,449.496,449.496,449.496,0.0,0.0,2019-07-12,_C,_CN19
2016-02-18,450.3051,450.3051,450.3051,450.3051,0.0,0.0,2019-07-12,_C,_CN19
2016-02-19,442.83,442.83,442.83,442.83,0.0,0.0,2019-07-12,_C,_CN19
2016-02-22,447.0812,447.0812,447.0812,447.0812,0.0,0.0,2019-07-12,_C,_CN19
2016-02-23,442.5657,442.5657,442.5657,442.5657,0.0,0.0,2019-07-12,_C,_CN19
2016-02-24,439.2465,439.2465,439.2465,439.2465,0.0,0.0,2019-07-12,_C,_CN19
2016-02-25,440.7839,440.7839,440.7839,440.7839,6.0,5.0,2019-07-12,_C,_CN19
2016-02-26,443.3404,443.3404,443.3404,443.3404,0.0,4.0,2019-07-12,_C,_CN19
2016-02-29,441.966,441.966,441.966,441.966,0.0,4.0,2019-07-12,_C,_CN19
2016-03-01,447.579,447.579,447.579,447.579,0.0,4.0,2019-07-12,_C,_CN19
2016-03-02,452.5024,452.5024,452.5024,452.5024,0.0,6.0,2019-07-12,_C,_CN19
2016-03-03,449.3349,449.3349,449.3349,449.3349,0.0,4.0,2019-07-12,_C,_CN19
2016-03-04,452.5252,452.5252,452.5252,452.5252,0.0,5.0,2019-07-12,_C,_CN19
2016-03-07,446.8686,446.8686,446.8686,446.8686,0.0,5.0,2019-07-12,_C,_CN19
2016-03-08,441.3721,441.3721,441.3721,441.3721,0.0,5.0,2019-07-12,_C,_CN19
2016-03-09,440.4011,440.4011,440.4011,440.4011,0.0,5.0,2019-07-12,_C,_CN19
2016-03-10,446.4786,446.4786,446.4786,446.4786,0.0,5.0,2019-07-12,_C,_CN19
2016-03-11,444.2016,444.2016,444.2016,444.2016,0.0,5.0,2019-07-12,_C,_CN19
2016-03-14,443.402,443.402,443.402,443.402,5.0,11.0,2019-07-12,_C,_CN19
2016-03-15,447.2596,447.2596,447.2596,447.2596,0.0,10.0,2019-07-12,_C,_CN19
2016-03-16,451.3297,451.3297,451.3297,451.3297,0.0,10.0,2019-07-12,_C,_CN19
2016-03-17,455.7076,455.7076,455.7076,455.7076,0.0,10.0,2019-07-12,_C,_CN19
2016-03-18,449.6011,449.6011,449.6011,449.6011,0.0,11.0,2019-07-12,_C,_CN19
2016-03-21,449.9158,449.9158,449.9158,449.9158,0.0,9.0,2019-07-12,_C,_CN19
2016-03-22,444.4718,444.4718,444.4718,444.4718,0.0,10.0,2019-07-12,_C,_CN19
2016-03-23,442.5606,442.5606,442.5606,442.5606,0.0,9.0,2019-07-12,_C,_CN19
2016-03-24,439.5069,439.5069,439.5069,439.5069,0.0,11.0,2019-07-12,_C,_CN19
2016-03-28,440.4299,440.4299,440.4299,440.4299,0.0,10.0,2019-07-12,_C,_CN19
2016-03-29,440.562,440.562,440.562,440.562,0.0,8.0,2019-07-12,_C,_CN19
2016-03-30,445.0117,445.0117,445.0117,445.0117,0.0,10.0,2019-07-12,_C,_CN19
2016-03-31,442.9201,442.9201,442.9201,442.9201,0.0,9.0,2019-07-12,_C,_CN19
2016-04-01,445.2233,445.2233,445.2233,445.2233,0.0,9.0,2019-07-12,_C,_CN19
2016-04-04,451.59,451.59,451.59,451.59,0.0,12.0,2019-07-12,_C,_CN19
2016-04-05,454.8414,454.8414,454.8414,454.8414,0.0,10.0,2019-07-12,_C,_CN19
2016-04-06,447.382,447.382,447.382,447.382,0.0,11.0,2019-07-12,_C,_CN19
2016-04-07,446.6215,446.6215,446.6215,446.6215,0.0,10.0,2019-07-12,_C,_CN19
2016-04-08,450.9984,450.9984,450.9984,450.9984,0.0,12.0,2019-07-12,_C,_CN19
2016-04-11,450.8631,450.8631,450.8631,450.8631,0.0,11.0,2019-07-12,_C,_CN19
2016-04-12,445.047,445.047,445.047,445.047,0.0,9.0,2019-07-12,_C,_CN19
2016-04-13,438.1043,438.1043,438.1043,438.1043,6.0,19.0,2019-07-12,_C,_CN19
2016-04-14,443.3177,443.3177,443.3177,443.3177,0.0,19.0,2019-07-12,_C,_CN19
2016-04-15,447.3962,447.3962,447.3962,447.3962,0.0,18.0,2019-07-12,_C,_CN19
2016-04-18,442.967,442.967,442.967,442.967,0.0,14.0,2019-07-12,_C,_CN19
2016-04-19,449.1242,449.1242,449.1242,449.1242,0.0,19.0,2019-07-12,_C,_CN19
2016-04-20,447.4624,447.4624,447.4624,447.4624,4.0,20.0,2019-07-12,_C,_CN19
2016-04-21,452.5187,452.5187,452.5187,452.5187,0.0,23.0,2019-07-12,_C,_CN19
2016-04-22,448.3555,448.3555,448.3555,448.3555,0.0,22.0,2019-07-12,_C,_CN19
2016-04-25,448.2658,448.2658,448.2658,448.2658,0.0,24.0,2019-07-12,_C,_CN19
2016-04-26,450.3278,450.3278,450.3278,450.3278,0.0,22.0,2019-07-12,_C,_CN19
2016-04-27,457.533,457.533,457.533,457.533,0.0,25.0,2019-07-12,_C,_CN19
2016-04-28,455.0623,455.0623,455.0623,455.0623,0.0,24.0,2019-07-12,_C,_CN19
