,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,433.3117,433.3117,433.3117,433.3117,0.0,0.0,2018-09-14,_C,_CU18
2015-12-15,431.1018,431.1018,431.1018,431.1018,0.0,0.0,2018-09-14,_C,_CU18
2015-12-16,434.8524,434.8524,434.8524,434.8524,0.0,0.0,2018-09-14,_C,_CU18
2015-12-17,435.896,435.896,435.896,435.896,0.0,0.0,2018-09-14,_C,_CU18
2015-12-18,435.4165,435.4165,435.4165,435.4165,0.0,0.0,2018-09-14,_C,_CU18
2015-12-21,435.373,435.373,435.373,435.373,0.0,0.0,2018-09-14,_C,_CU18
2015-12-22,430.9322,430.9322,430.9322,430.9322,0.0,0.0,2018-09-14,_C,_CU18
2015-12-23,435.8879,435.8879,435.8879,435.8879,0.0,0.0,2018-09-14,_C,_CU18
2015-12-24,430.7008,430.7008,430.7008,430.7008,0.0,0.0,2018-09-14,_C,_CU18
2015-12-28,428.4612,428.4612,428.4612,428.4612,0.0,0.0,2018-09-14,_C,_CU18
2015-12-29,434.931,434.931,434.931,434.931,0.0,0.0,2018-09-14,_C,_CU18
2015-12-30,433.3218,433.3218,433.3218,433.3218,0.0,0.0,2018-09-14,_C,_CU18
2015-12-31,439.6483,439.6483,439.6483,439.6483,0.0,0.0,2018-09-14,_C,_CU18
2016-01-04,440.5716,440.5716,440.5716,440.5716,0.0,0.0,2018-09-14,_C,_CU18
2016-01-05,443.964,443.964,443.964,443.964,0.0,0.0,2018-09-14,_C,_CU18
2016-01-06,448.8476,448.8476,448.8476,448.8476,0.0,0.0,2018-09-14,_C,_CU18
2016-01-07,454.548,454.548,454.548,454.548,0.0,0.0,2018-09-14,_C,_CU18
2016-01-08,460.048,460.048,460.048,460.048,0.0,0.0,2018-09-14,_C,_CU18
2016-01-11,454.1134,454.1134,454.1134,454.1134,0.0,0.0,2018-09-14,_C,_CU18
2016-01-12,461.0613,461.0613,461.0613,461.0613,0.0,0.0,2018-09-14,_C,_CU18
2016-01-13,455.8052,455.8052,455.8052,455.8052,0.0,0.0,2018-09-14,_C,_CU18
2016-01-14,447.783,447.783,447.783,447.783,0.0,0.0,2018-09-14,_C,_CU18
2016-01-15,449.7532,449.7532,449.7532,449.7532,0.0,0.0,2018-09-14,_C,_CU18
2016-01-19,442.2423,442.2423,442.2423,442.2423,0.0,0.0,2018-09-14,_C,_CU18
2016-01-20,445.3822,445.3822,445.3822,445.3822,0.0,0.0,2018-09-14,_C,_CU18
2016-01-21,439.4586,439.4586,439.4586,439.4586,0.0,0.0,2018-09-14,_C,_CU18
2016-01-22,443.7653,443.7653,443.7653,443.7653,0.0,0.0,2018-09-14,_C,_CU18
2016-01-25,437.8188,437.8188,437.8188,437.8188,0.0,0.0,2018-09-14,_C,_CU18
2016-01-26,442.2846,442.2846,442.2846,442.2846,0.0,0.0,2018-09-14,_C,_CU18
2016-01-27,447.0613,447.0613,447.0613,447.0613,0.0,0.0,2018-09-14,_C,_CU18
2016-01-28,442.8589,442.8589,442.8589,442.8589,0.0,0.0,2018-09-14,_C,_CU18
2016-01-29,440.9103,440.9103,440.9103,440.9103,0.0,0.0,2018-09-14,_C,_CU18
2016-02-01,444.8785,444.8785,444.8785,444.8785,0.0,0.0,2018-09-14,_C,_CU18
2016-02-02,447.7257,447.7257,447.7257,447.7257,0.0,0.0,2018-09-14,_C,_CU18
2016-02-03,441.1889,441.1889,441.1889,441.1889,24.0,35.0,2018-09-14,_C,_CU18
2016-02-04,441.8507,441.8507,441.8507,441.8507,0.0,30.0,2018-09-14,_C,_CU18
2016-02-05,435.9299,435.9299,435.9299,435.9299,0.0,28.0,2018-09-14,_C,_CU18
2016-02-08,432.0937,432.0937,432.0937,432.0937,0.0,34.0,2018-09-14,_C,_CU18
2016-02-09,428.1184,428.1184,428.1184,428.1184,0.0,26.0,2018-09-14,_C,_CU18
2016-02-10,425.1644,425.1644,425.1644,425.1644,0.0,27.0,2018-09-14,_C,_CU18
