,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,410.456,410.456,410.456,410.456,0.0,0.0,2019-12-13,_C,_CZ19
2015-12-15,406.1873,406.1873,406.1873,406.1873,0.0,0.0,2019-12-13,_C,_CZ19
2015-12-16,405.4968,405.4968,405.4968,405.4968,2.0,2.0,2019-12-13,_C,_CZ19
2015-12-17,402.9016,402.9016,402.9016,402.9016,5.0,5.0,2019-12-13,_C,_CZ19
2015-12-18,398.1071,398.1071,398.1071,398.1071,0.0,4.0,2019-12-13,_C,_CZ19
2015-12-21,403.0038,403.0038,403.0038,403.0038,0.0,5.0,2019-12-13,_C,_CZ19
2015-12-22,402.1978,402.1978,402.1978,402.1978,0.0,6.0,2019-12-13,_C,_CZ19
2015-12-23,402.8011,402.8011,402.8011,402.8011,2.0,8.0,2019-12-13,_C,_CZ19
2015-12-24,401.4719,401.4719,401.4719,401.4719,1.0,8.0,2019-12-13,_C,_CZ19
2015-12-28,398.0192,398.0192,398.0192,398.0192,0.0,10.0,2019-12-13,_C,_CZ19
2015-12-29,401.5218,401.5218,401.5218,401.5218,0.0,8.0,2019-12-13,_C,_CZ19
2015-12-30,401.2006,401.2006,401.2006,401.2006,0.0,8.0,2019-12-13,_C,_CZ19
2015-12-31,401.2407,401.2407,401.2407,401.2407,0.0,9.0,2019-12-13,_C,_CZ19
2016-01-04,397.1882,397.1882,397.1882,397.1882,0.0,11.0,2019-12-13,_C,_CZ19
2016-01-05,399.4919,399.4919,399.4919,399.4919,0.0,9.0,2019-12-13,_C,_CZ19
2016-01-06,400.6904,400.6904,400.6904,400.6904,0.0,8.0,2019-12-13,_C,_CZ19
2016-01-07,399.3681,399.3681,399.3681,399.3681,0.0,8.0,2019-12-13,_C,_CZ19
2016-01-08,397.0917,397.0917,397.0917,397.0917,1.0,10.0,2019-12-13,_C,_CZ19
2016-01-11,401.1023,401.1023,401.1023,401.1023,2.0,13.0,2019-12-13,_C,_CZ19
2016-01-12,401.9045,401.9045,401.9045,401.9045,0.0,12.0,2019-12-13,_C,_CZ19
2016-01-13,398.207,398.207,398.207,398.207,0.0,13.0,2019-12-13,_C,_CZ19
2016-01-14,393.548,393.548,393.548,393.548,0.0,11.0,2019-12-13,_C,_CZ19
2016-01-15,393.7054,393.7054,393.7054,393.7054,0.0,10.0,2019-12-13,_C,_CZ19
2016-01-19,391.1857,391.1857,391.1857,391.1857,0.0,13.0,2019-12-13,_C,_CZ19
2016-01-20,395.1367,395.1367,395.1367,395.1367,0.0,9.0,2019-12-13,_C,_CZ19
2016-01-21,394.465,394.465,394.465,394.465,0.0,10.0,2019-12-13,_C,_CZ19
2016-01-22,396.7135,396.7135,396.7135,396.7135,24.0,21.0,2019-12-13,_C,_CZ19
2016-01-25,400.8393,400.8393,400.8393,400.8393,0.0,22.0,2019-12-13,_C,_CZ19
2016-01-26,405.97,405.97,405.97,405.97,0.0,20.0,2019-12-13,_C,_CZ19
2016-01-27,409.1366,409.1366,409.1366,409.1366,3.0,30.0,2019-12-13,_C,_CZ19
2016-01-28,408.8911,408.8911,408.8911,408.8911,0.0,20.0,2019-12-13,_C,_CZ19
2016-01-29,414.6565,414.6565,414.6565,414.6565,4.0,23.0,2019-12-13,_C,_CZ19
