,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-14,220.2228,220.2228,220.2228,220.2228,0.0,0.0,2018-03-14,_O,_OH18
2016-03-15,225.9486,225.9486,225.9486,225.9486,0.0,0.0,2018-03-14,_O,_OH18
2016-03-16,222.0623,222.0623,222.0623,222.0623,0.0,0.0,2018-03-14,_O,_OH18
2016-03-17,217.8209,217.8209,217.8209,217.8209,0.0,0.0,2018-03-14,_O,_OH18
2016-03-18,220.8268,220.8268,220.8268,220.8268,0.0,0.0,2018-03-14,_O,_OH18
2016-03-21,217.0286,217.0286,217.0286,217.0286,0.0,0.0,2018-03-14,_O,_OH18
2016-03-22,214.9885,214.9885,214.9885,214.9885,0.0,0.0,2018-03-14,_O,_OH18
2016-03-23,216.6654,216.6654,216.6654,216.6654,0.0,0.0,2018-03-14,_O,_OH18
2016-03-24,215.1487,215.1487,215.1487,215.1487,0.0,0.0,2018-03-14,_O,_OH18
2016-03-28,210.3939,210.3939,210.3939,210.3939,0.0,0.0,2018-03-14,_O,_OH18
2016-03-29,205.7021,205.7021,205.7021,205.7021,0.0,0.0,2018-03-14,_O,_OH18
2016-03-30,203.2337,203.2337,203.2337,203.2337,0.0,0.0,2018-03-14,_O,_OH18
2016-03-31,206.3838,206.3838,206.3838,206.3838,0.0,0.0,2018-03-14,_O,_OH18
2016-04-01,202.7514,202.7514,202.7514,202.7514,0.0,0.0,2018-03-14,_O,_OH18
2016-04-04,204.7992,204.7992,204.7992,204.7992,0.0,0.0,2018-03-14,_O,_OH18
2016-04-05,206.54,206.54,206.54,206.54,0.0,0.0,2018-03-14,_O,_OH18
2016-04-06,209.824,209.824,209.824,209.824,0.0,0.0,2018-03-14,_O,_OH18
2016-04-07,204.998,204.998,204.998,204.998,0.0,0.0,2018-03-14,_O,_OH18
2016-04-08,201.144,201.144,201.144,201.144,0.0,0.0,2018-03-14,_O,_OH18
2016-04-11,205.7502,205.7502,205.7502,205.7502,0.0,0.0,2018-03-14,_O,_OH18
2016-04-12,207.2728,207.2728,207.2728,207.2728,0.0,0.0,2018-03-14,_O,_OH18
2016-04-13,206.195,206.195,206.195,206.195,0.0,0.0,2018-03-14,_O,_OH18
2016-04-14,201.7618,201.7618,201.7618,201.7618,0.0,0.0,2018-03-14,_O,_OH18
2016-04-15,200.1679,200.1679,200.1679,200.1679,0.0,0.0,2018-03-14,_O,_OH18
2016-04-18,194.7233,194.7233,194.7233,194.7233,0.0,0.0,2018-03-14,_O,_OH18
2016-04-19,197.5663,197.5663,197.5663,197.5663,0.0,0.0,2018-03-14,_O,_OH18
2016-04-20,196.5785,196.5785,196.5785,196.5785,0.0,0.0,2018-03-14,_O,_OH18
2016-04-21,201.3357,201.3357,201.3357,201.3357,0.0,0.0,2018-03-14,_O,_OH18
2016-04-22,196.8862,196.8862,196.8862,196.8862,0.0,0.0,2018-03-14,_O,_OH18
2016-04-25,198.5597,198.5597,198.5597,198.5597,0.0,0.0,2018-03-14,_O,_OH18
2016-04-26,201.6771,201.6771,201.6771,201.6771,0.0,0.0,2018-03-14,_O,_OH18
2016-04-27,205.1661,205.1661,205.1661,205.1661,0.0,0.0,2018-03-14,_O,_OH18
2016-04-28,199.7702,199.7702,199.7702,199.7702,0.0,0.0,2018-03-14,_O,_OH18
2016-04-29,195.0756,195.0756,195.0756,195.0756,0.0,0.0,2018-03-14,_O,_OH18
2016-05-02,197.28,197.28,197.28,197.28,0.0,0.0,2018-03-14,_O,_OH18
2016-05-03,199.4501,199.4501,199.4501,199.4501,0.0,0.0,2018-03-14,_O,_OH18
2016-05-04,198.1736,198.1736,198.1736,198.1736,0.0,0.0,2018-03-14,_O,_OH18
2016-05-05,200.0166,200.0166,200.0166,200.0166,0.0,0.0,2018-03-14,_O,_OH18
2016-05-06,196.3563,196.3563,196.3563,196.3563,0.0,0.0,2018-03-14,_O,_OH18
2016-05-09,192.8612,192.8612,192.8612,192.8612,0.0,0.0,2018-03-14,_O,_OH18
2016-05-10,188.7725,188.7725,188.7725,188.7725,0.0,0.0,2018-03-14,_O,_OH18
2016-05-11,190.8679,190.8679,190.8679,190.8679,0.0,0.0,2018-03-14,_O,_OH18
2016-05-12,193.0056,193.0056,193.0056,193.0056,0.0,0.0,2018-03-14,_O,_OH18
2016-05-13,190.3421,190.3421,190.3421,190.3421,0.0,0.0,2018-03-14,_O,_OH18
2016-05-16,188.4958,188.4958,188.4958,188.4958,0.0,0.0,2018-03-14,_O,_OH18
2016-05-17,186.8936,186.8936,186.8936,186.8936,0.0,0.0,2018-03-14,_O,_OH18
2016-05-18,182.2399,182.2399,182.2399,182.2399,0.0,0.0,2018-03-14,_O,_OH18
2016-05-19,186.5772,186.5772,186.5772,186.5772,0.0,0.0,2018-03-14,_O,_OH18
2016-05-20,189.2266,189.2266,189.2266,189.2266,0.0,0.0,2018-03-14,_O,_OH18
2016-05-23,186.5017,186.5017,186.5017,186.5017,0.0,0.0,2018-03-14,_O,_OH18
2016-05-24,189.3179,189.3179,189.3179,189.3179,0.0,0.0,2018-03-14,_O,_OH18
2016-05-25,193.3504,193.3504,193.3504,193.3504,0.0,0.0,2018-03-14,_O,_OH18
2016-05-26,196.096,196.096,196.096,196.096,0.0,0.0,2018-03-14,_O,_OH18
2016-05-27,194.6645,194.6645,194.6645,194.6645,0.0,0.0,2018-03-14,_O,_OH18
2016-05-31,189.9731,189.9731,189.9731,189.9731,0.0,0.0,2018-03-14,_O,_OH18
2016-06-01,191.1889,191.1889,191.1889,191.1889,0.0,0.0,2018-03-14,_O,_OH18
2016-06-02,194.8788,194.8788,194.8788,194.8788,0.0,0.0,2018-03-14,_O,_OH18
2016-06-03,197.1784,197.1784,197.1784,197.1784,0.0,0.0,2018-03-14,_O,_OH18
2016-06-06,201.7727,201.7727,201.7727,201.7727,0.0,0.0,2018-03-14,_O,_OH18
2016-06-07,198.6856,198.6856,198.6856,198.6856,0.0,0.0,2018-03-14,_O,_OH18
2016-06-08,200.2155,200.2155,200.2155,200.2155,0.0,0.0,2018-03-14,_O,_OH18
2016-06-09,205.6814,205.6814,205.6814,205.6814,0.0,0.0,2018-03-14,_O,_OH18
2016-06-10,210.3915,210.3915,210.3915,210.3915,0.0,0.0,2018-03-14,_O,_OH18
2016-06-13,210.2653,210.2653,210.2653,210.2653,0.0,0.0,2018-03-14,_O,_OH18
2016-06-14,207.1323,207.1323,207.1323,207.1323,0.0,0.0,2018-03-14,_O,_OH18
2016-06-15,202.2647,202.2647,202.2647,202.2647,0.0,0.0,2018-03-14,_O,_OH18
2016-06-16,205.3593,205.3593,205.3593,205.3593,0.0,0.0,2018-03-14,_O,_OH18
2016-06-17,207.2691,207.2691,207.2691,207.2691,0.0,0.0,2018-03-14,_O,_OH18
2016-06-20,210.6683,210.6683,210.6683,210.6683,0.0,0.0,2018-03-14,_O,_OH18
2016-06-21,207.4029,207.4029,207.4029,207.4029,0.0,0.0,2018-03-14,_O,_OH18
2016-06-22,202.84,202.84,202.84,202.84,0.0,0.0,2018-03-14,_O,_OH18
2016-06-23,200.8116,200.8116,200.8116,200.8116,0.0,0.0,2018-03-14,_O,_OH18
2016-06-24,200.8919,200.8919,200.8919,200.8919,0.0,0.0,2018-03-14,_O,_OH18
2016-06-27,205.3919,205.3919,205.3919,205.3919,0.0,0.0,2018-03-14,_O,_OH18
2016-06-28,204.1595,204.1595,204.1595,204.1595,0.0,0.0,2018-03-14,_O,_OH18
2016-06-29,208.2019,208.2019,208.2019,208.2019,0.0,0.0,2018-03-14,_O,_OH18
2016-06-30,210.0341,210.0341,210.0341,210.0341,0.0,0.0,2018-03-14,_O,_OH18
2016-07-01,213.6467,213.6467,213.6467,213.6467,0.0,0.0,2018-03-14,_O,_OH18
2016-07-05,208.5192,208.5192,208.5192,208.5192,0.0,0.0,2018-03-14,_O,_OH18
2016-07-06,206.7051,206.7051,206.7051,206.7051,0.0,0.0,2018-03-14,_O,_OH18
2016-07-07,206.5397,206.5397,206.5397,206.5397,0.0,0.0,2018-03-14,_O,_OH18
2016-07-08,203.6688,203.6688,203.6688,203.6688,0.0,0.0,2018-03-14,_O,_OH18
2016-07-11,201.1433,201.1433,201.1433,201.1433,0.0,0.0,2018-03-14,_O,_OH18
2016-07-12,203.899,203.899,203.899,203.899,0.0,0.0,2018-03-14,_O,_OH18
2016-07-13,206.6109,206.6109,206.6109,206.6109,0.0,0.0,2018-03-14,_O,_OH18
2016-07-14,211.1563,211.1563,211.1563,211.1563,0.0,0.0,2018-03-14,_O,_OH18
2016-07-15,214.2181,214.2181,214.2181,214.2181,0.0,0.0,2018-03-14,_O,_OH18
2016-07-18,210.0194,210.0194,210.0194,210.0194,0.0,0.0,2018-03-14,_O,_OH18
2016-07-19,208.7803,208.7803,208.7803,208.7803,0.0,0.0,2018-03-14,_O,_OH18
2016-07-20,209.7616,209.7616,209.7616,209.7616,0.0,0.0,2018-03-14,_O,_OH18
2016-07-21,207.4962,207.4962,207.4962,207.4962,0.0,0.0,2018-03-14,_O,_OH18
2016-07-22,204.8195,204.8195,204.8195,204.8195,0.0,0.0,2018-03-14,_O,_OH18
2016-07-25,200.2725,200.2725,200.2725,200.2725,0.0,0.0,2018-03-14,_O,_OH18
2016-07-26,202.075,202.075,202.075,202.075,0.0,0.0,2018-03-14,_O,_OH18
2016-07-27,203.7118,203.7118,203.7118,203.7118,0.0,0.0,2018-03-14,_O,_OH18
2016-07-28,209.0898,209.0898,209.0898,209.0898,0.0,0.0,2018-03-14,_O,_OH18
2016-07-29,207.6053,207.6053,207.6053,207.6053,0.0,0.0,2018-03-14,_O,_OH18
2016-08-01,203.7438,203.7438,203.7438,203.7438,0.0,0.0,2018-03-14,_O,_OH18
2016-08-02,201.4211,201.4211,201.4211,201.4211,0.0,0.0,2018-03-14,_O,_OH18
2016-08-03,206.8998,206.8998,206.8998,206.8998,0.0,0.0,2018-03-14,_O,_OH18
2016-08-04,208.6171,208.6171,208.6171,208.6171,0.0,0.0,2018-03-14,_O,_OH18
2016-08-05,213.7491,213.7491,213.7491,213.7491,0.0,0.0,2018-03-14,_O,_OH18
2016-08-08,219.2638,219.2638,219.2638,219.2638,0.0,0.0,2018-03-14,_O,_OH18
2016-08-09,222.3554,222.3554,222.3554,222.3554,0.0,0.0,2018-03-14,_O,_OH18
2016-08-10,217.2857,217.2857,217.2857,217.2857,0.0,0.0,2018-03-14,_O,_OH18
2016-08-11,213.8091,213.8091,213.8091,213.8091,0.0,0.0,2018-03-14,_O,_OH18
2016-08-12,213.7877,213.7877,213.7877,213.7877,0.0,0.0,2018-03-14,_O,_OH18
2016-08-15,218.1062,218.1062,218.1062,218.1062,0.0,0.0,2018-03-14,_O,_OH18
2016-08-16,218.8696,218.8696,218.8696,218.8696,0.0,0.0,2018-03-14,_O,_OH18
