,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-05-13,236.9153,236.9153,236.9153,236.9153,0.0,0.0,2018-05-14,_O,_OK18
2016-05-16,230.7081,230.7081,230.7081,230.7081,0.0,0.0,2018-05-14,_O,_OK18
2016-05-17,229.5315,229.5315,229.5315,229.5315,0.0,0.0,2018-05-14,_O,_OK18
2016-05-18,224.5048,224.5048,224.5048,224.5048,0.0,0.0,2018-05-14,_O,_OK18
2016-05-19,225.7396,225.7396,225.7396,225.7396,0.0,0.0,2018-05-14,_O,_OK18
2016-05-20,228.1324,228.1324,228.1324,228.1324,0.0,0.0,2018-05-14,_O,_OK18
2016-05-23,224.7789,224.7789,224.7789,224.7789,0.0,0.0,2018-05-14,_O,_OK18
2016-05-24,221.0251,221.0251,221.0251,221.0251,0.0,0.0,2018-05-14,_O,_OK18
2016-05-25,215.2342,215.2342,215.2342,215.2342,0.0,0.0,2018-05-14,_O,_OK18
2016-05-26,220.3783,220.3783,220.3783,220.3783,0.0,0.0,2018-05-14,_O,_OK18
2016-05-27,221.8328,221.8328,221.8328,221.8328,0.0,0.0,2018-05-14,_O,_OK18
2016-05-31,227.6448,227.6448,227.6448,227.6448,0.0,0.0,2018-05-14,_O,_OK18
2016-06-01,224.5488,224.5488,224.5488,224.5488,0.0,0.0,2018-05-14,_O,_OK18
2016-06-02,230.6116,230.6116,230.6116,230.6116,0.0,0.0,2018-05-14,_O,_OK18
2016-06-03,234.901,234.901,234.901,234.901,0.0,0.0,2018-05-14,_O,_OK18
2016-06-06,230.6963,230.6963,230.6963,230.6963,0.0,0.0,2018-05-14,_O,_OK18
2016-06-07,231.9421,231.9421,231.9421,231.9421,0.0,0.0,2018-05-14,_O,_OK18
2016-06-08,236.0011,236.0011,236.0011,236.0011,0.0,0.0,2018-05-14,_O,_OK18
2016-06-09,239.1399,239.1399,239.1399,239.1399,0.0,0.0,2018-05-14,_O,_OK18
2016-06-10,237.8246,237.8246,237.8246,237.8246,0.0,0.0,2018-05-14,_O,_OK18
2016-06-13,234.3048,234.3048,234.3048,234.3048,0.0,0.0,2018-05-14,_O,_OK18
2016-06-14,228.9158,228.9158,228.9158,228.9158,0.0,0.0,2018-05-14,_O,_OK18
2016-06-15,230.564,230.564,230.564,230.564,0.0,0.0,2018-05-14,_O,_OK18
2016-06-16,230.1951,230.1951,230.1951,230.1951,0.0,0.0,2018-05-14,_O,_OK18
2016-06-17,234.6839,234.6839,234.6839,234.6839,0.0,0.0,2018-05-14,_O,_OK18
2016-06-20,231.1167,231.1167,231.1167,231.1167,0.0,0.0,2018-05-14,_O,_OK18
2016-06-21,233.0119,233.0119,233.0119,233.0119,0.0,0.0,2018-05-14,_O,_OK18
2016-06-22,233.1983,233.1983,233.1983,233.1983,0.0,0.0,2018-05-14,_O,_OK18
2016-06-23,231.9857,231.9857,231.9857,231.9857,0.0,0.0,2018-05-14,_O,_OK18
2016-06-24,230.617,230.617,230.617,230.617,0.0,0.0,2018-05-14,_O,_OK18
2016-06-27,233.7303,233.7303,233.7303,233.7303,0.0,0.0,2018-05-14,_O,_OK18
2016-06-28,232.3513,232.3513,232.3513,232.3513,0.0,0.0,2018-05-14,_O,_OK18
2016-06-29,227.1466,227.1466,227.1466,227.1466,0.0,0.0,2018-05-14,_O,_OK18
2016-06-30,230.3267,230.3267,230.3267,230.3267,0.0,0.0,2018-05-14,_O,_OK18
2016-07-01,232.0772,232.0772,232.0772,232.0772,0.0,0.0,2018-05-14,_O,_OK18
2016-07-05,233.957,233.957,233.957,233.957,0.0,0.0,2018-05-14,_O,_OK18
2016-07-06,235.6883,235.6883,235.6883,235.6883,0.0,0.0,2018-05-14,_O,_OK18
2016-07-07,233.6142,233.6142,233.6142,233.6142,0.0,0.0,2018-05-14,_O,_OK18
2016-07-08,234.9458,234.9458,234.9458,234.9458,0.0,0.0,2018-05-14,_O,_OK18
2016-07-11,231.1162,231.1162,231.1162,231.1162,0.0,0.0,2018-05-14,_O,_OK18
2016-07-12,230.3997,230.3997,230.3997,230.3997,0.0,0.0,2018-05-14,_O,_OK18
2016-07-13,228.5335,228.5335,228.5335,228.5335,0.0,0.0,2018-05-14,_O,_OK18
2016-07-14,230.7274,230.7274,230.7274,230.7274,0.0,0.0,2018-05-14,_O,_OK18
2016-07-15,232.5271,232.5271,232.5271,232.5271,0.0,0.0,2018-05-14,_O,_OK18
2016-07-18,237.6427,237.6427,237.6427,237.6427,0.0,0.0,2018-05-14,_O,_OK18
2016-07-19,232.0581,232.0581,232.0581,232.0581,0.0,0.0,2018-05-14,_O,_OK18
2016-07-20,237.1402,237.1402,237.1402,237.1402,0.0,0.0,2018-05-14,_O,_OK18
2016-07-21,238.3022,238.3022,238.3022,238.3022,0.0,0.0,2018-05-14,_O,_OK18
2016-07-22,242.9968,242.9968,242.9968,242.9968,0.0,0.0,2018-05-14,_O,_OK18
2016-07-25,244.3819,244.3819,244.3819,244.3819,0.0,0.0,2018-05-14,_O,_OK18
2016-07-26,242.3291,242.3291,242.3291,242.3291,0.0,0.0,2018-05-14,_O,_OK18
2016-07-27,242.6199,242.6199,242.6199,242.6199,0.0,0.0,2018-05-14,_O,_OK18
2016-07-28,238.6167,238.6167,238.6167,238.6167,0.0,0.0,2018-05-14,_O,_OK18
2016-07-29,241.4562,241.4562,241.4562,241.4562,0.0,0.0,2018-05-14,_O,_OK18
2016-08-01,239.0658,239.0658,239.0658,239.0658,0.0,0.0,2018-05-14,_O,_OK18
2016-08-02,243.106,243.106,243.106,243.106,0.0,0.0,2018-05-14,_O,_OK18
2016-08-03,249.4511,249.4511,249.4511,249.4511,0.0,0.0,2018-05-14,_O,_OK18
2016-08-04,252.8935,252.8935,252.8935,252.8935,0.0,0.0,2018-05-14,_O,_OK18
2016-08-05,246.1918,246.1918,246.1918,246.1918,0.0,0.0,2018-05-14,_O,_OK18
2016-08-08,245.4532,245.4532,245.4532,245.4532,0.0,0.0,2018-05-14,_O,_OK18
2016-08-09,241.0596,241.0596,241.0596,241.0596,0.0,0.0,2018-05-14,_O,_OK18
2016-08-10,247.737,247.737,247.737,247.737,0.0,0.0,2018-05-14,_O,_OK18
2016-08-11,241.6674,241.6674,241.6674,241.6674,0.0,0.0,2018-05-14,_O,_OK18
2016-08-12,243.6491,243.6491,243.6491,243.6491,0.0,0.0,2018-05-14,_O,_OK18
2016-08-15,237.9964,237.9964,237.9964,237.9964,0.0,0.0,2018-05-14,_O,_OK18
2016-08-16,237.2824,237.2824,237.2824,237.2824,0.0,0.0,2018-05-14,_O,_OK18
2016-08-17,238.1841,238.1841,238.1841,238.1841,0.0,0.0,2018-05-14,_O,_OK18
2016-08-18,237.9697,237.9697,237.9697,237.9697,0.0,0.0,2018-05-14,_O,_OK18
2016-08-19,233.0437,233.0437,233.0437,233.0437,0.0,0.0,2018-05-14,_O,_OK18
2016-08-22,238.3338,238.3338,238.3338,238.3338,0.0,0.0,2018-05-14,_O,_OK18
2016-08-23,240.4311,240.4311,240.4311,240.4311,0.0,0.0,2018-05-14,_O,_OK18
2016-08-24,245.1195,245.1195,245.1195,245.1195,0.0,0.0,2018-05-14,_O,_OK18
2016-08-25,242.7173,242.7173,242.7173,242.7173,0.0,0.0,2018-05-14,_O,_OK18
2016-08-26,245.0474,245.0474,245.0474,245.0474,0.0,0.0,2018-05-14,_O,_OK18
2016-08-29,249.7768,249.7768,249.7768,249.7768,0.0,0.0,2018-05-14,_O,_OK18
2016-08-30,256.1461,256.1461,256.1461,256.1461,0.0,0.0,2018-05-14,_O,_OK18
2016-08-31,251.3049,251.3049,251.3049,251.3049,0.0,0.0,2018-05-14,_O,_OK18
2016-09-01,246.8568,246.8568,246.8568,246.8568,0.0,0.0,2018-05-14,_O,_OK18
2016-09-02,250.8065,250.8065,250.8065,250.8065,0.0,0.0,2018-05-14,_O,_OK18
2016-09-06,244.3859,244.3859,244.3859,244.3859,0.0,0.0,2018-05-14,_O,_OK18
2016-09-07,240.3291,240.3291,240.3291,240.3291,0.0,0.0,2018-05-14,_O,_OK18
2016-09-08,237.3731,237.3731,237.3731,237.3731,0.0,0.0,2018-05-14,_O,_OK18
2016-09-09,240.3877,240.3877,240.3877,240.3877,0.0,0.0,2018-05-14,_O,_OK18
2016-09-12,236.6377,236.6377,236.6377,236.6377,0.0,0.0,2018-05-14,_O,_OK18
2016-09-13,238.0339,238.0339,238.0339,238.0339,0.0,0.0,2018-05-14,_O,_OK18
2016-09-14,236.8199,236.8199,236.8199,236.8199,0.0,0.0,2018-05-14,_O,_OK18
2016-09-15,238.5724,238.5724,238.5724,238.5724,0.0,0.0,2018-05-14,_O,_OK18
2016-09-16,232.2502,232.2502,232.2502,232.2502,0.0,0.0,2018-05-14,_O,_OK18
2016-09-19,233.0863,233.0863,233.0863,233.0863,0.0,0.0,2018-05-14,_O,_OK18
2016-09-20,236.9788,236.9788,236.9788,236.9788,0.0,0.0,2018-05-14,_O,_OK18
2016-09-21,240.415,240.415,240.415,240.415,0.0,0.0,2018-05-14,_O,_OK18
2016-09-22,244.0933,244.0933,244.0933,244.0933,0.0,0.0,2018-05-14,_O,_OK18
2016-09-23,250.5374,250.5374,250.5374,250.5374,0.0,0.0,2018-05-14,_O,_OK18
2016-09-26,250.9884,250.9884,250.9884,250.9884,0.0,0.0,2018-05-14,_O,_OK18
2016-09-27,256.1086,256.1086,256.1086,256.1086,0.0,0.0,2018-05-14,_O,_OK18
2016-09-28,253.5219,253.5219,253.5219,253.5219,0.0,0.0,2018-05-14,_O,_OK18
2016-09-29,257.1726,257.1726,257.1726,257.1726,0.0,0.0,2018-05-14,_O,_OK18
2016-09-30,254.1122,254.1122,254.1122,254.1122,0.0,0.0,2018-05-14,_O,_OK18
2016-10-03,256.9074,256.9074,256.9074,256.9074,0.0,0.0,2018-05-14,_O,_OK18
2016-10-04,254.698,254.698,254.698,254.698,0.0,0.0,2018-05-14,_O,_OK18
2016-10-05,248.7381,248.7381,248.7381,248.7381,0.0,0.0,2018-05-14,_O,_OK18
2016-10-06,255.6281,255.6281,255.6281,255.6281,0.0,0.0,2018-05-14,_O,_OK18
2016-10-07,256.7784,256.7784,256.7784,256.7784,0.0,0.0,2018-05-14,_O,_OK18
2016-10-10,258.7042,258.7042,258.7042,258.7042,0.0,0.0,2018-05-14,_O,_OK18
2016-10-11,262.3002,262.3002,262.3002,262.3002,0.0,0.0,2018-05-14,_O,_OK18
2016-10-12,269.5135,269.5135,269.5135,269.5135,0.0,0.0,2018-05-14,_O,_OK18
2016-10-13,269.5405,269.5405,269.5405,269.5405,0.0,0.0,2018-05-14,_O,_OK18
2016-10-14,268.7858,268.7858,268.7858,268.7858,0.0,0.0,2018-05-14,_O,_OK18
2016-10-17,270.4792,270.4792,270.4792,270.4792,0.0,0.0,2018-05-14,_O,_OK18
2016-10-18,274.861,274.861,274.861,274.861,0.0,0.0,2018-05-14,_O,_OK18
2016-10-19,272.1399,272.1399,272.1399,272.1399,0.0,0.0,2018-05-14,_O,_OK18
2016-10-20,267.2142,267.2142,267.2142,267.2142,0.0,0.0,2018-05-14,_O,_OK18
2016-10-21,265.1032,265.1032,265.1032,265.1032,0.0,0.0,2018-05-14,_O,_OK18
2016-10-24,266.3492,266.3492,266.3492,266.3492,0.0,0.0,2018-05-14,_O,_OK18
2016-10-25,269.279,269.279,269.279,269.279,0.0,0.0,2018-05-14,_O,_OK18
2016-10-26,270.7062,270.7062,270.7062,270.7062,0.0,0.0,2018-05-14,_O,_OK18
2016-10-27,264.3717,264.3717,264.3717,264.3717,0.0,0.0,2018-05-14,_O,_OK18
2016-10-28,261.9924,261.9924,261.9924,261.9924,0.0,0.0,2018-05-14,_O,_OK18
2016-10-31,268.647,268.647,268.647,268.647,0.0,0.0,2018-05-14,_O,_OK18
2016-11-01,267.7067,267.7067,267.7067,267.7067,0.0,0.0,2018-05-14,_O,_OK18
2016-11-02,266.2343,266.2343,266.2343,266.2343,0.0,0.0,2018-05-14,_O,_OK18
2016-11-03,272.2512,272.2512,272.2512,272.2512,0.0,0.0,2018-05-14,_O,_OK18
2016-11-04,279.357,279.357,279.357,279.357,0.0,0.0,2018-05-14,_O,_OK18
2016-11-07,283.715,283.715,283.715,283.715,0.0,0.0,2018-05-14,_O,_OK18
2016-11-08,285.3322,285.3322,285.3322,285.3322,0.0,0.0,2018-05-14,_O,_OK18
2016-11-09,279.6826,279.6826,279.6826,279.6826,0.0,0.0,2018-05-14,_O,_OK18
2016-11-10,285.8916,285.8916,285.8916,285.8916,0.0,0.0,2018-05-14,_O,_OK18
2016-11-11,289.065,289.065,289.065,289.065,0.0,0.0,2018-05-14,_O,_OK18
2016-11-14,285.2782,285.2782,285.2782,285.2782,0.0,0.0,2018-05-14,_O,_OK18
2016-11-15,280.3999,280.3999,280.3999,280.3999,0.0,0.0,2018-05-14,_O,_OK18
2016-11-16,282.7272,282.7272,282.7272,282.7272,0.0,0.0,2018-05-14,_O,_OK18
2016-11-17,279.6455,279.6455,279.6455,279.6455,0.0,0.0,2018-05-14,_O,_OK18
2016-11-18,274.9754,274.9754,274.9754,274.9754,0.0,0.0,2018-05-14,_O,_OK18
2016-11-21,279.9525,279.9525,279.9525,279.9525,0.0,0.0,2018-05-14,_O,_OK18
2016-11-22,277.209,277.209,277.209,277.209,0.0,0.0,2018-05-14,_O,_OK18
2016-11-23,279.3158,279.3158,279.3158,279.3158,0.0,0.0,2018-05-14,_O,_OK18
2016-11-25,277.7237,277.7237,277.7237,277.7237,0.0,0.0,2018-05-14,_O,_OK18
2016-11-28,271.4194,271.4194,271.4194,271.4194,0.0,0.0,2018-05-14,_O,_OK18
2016-11-29,274.9479,274.9479,274.9479,274.9479,0.0,0.0,2018-05-14,_O,_OK18
2016-11-30,275.6628,275.6628,275.6628,275.6628,0.0,0.0,2018-05-14,_O,_OK18
2016-12-01,276.9033,276.9033,276.9033,276.9033,0.0,0.0,2018-05-14,_O,_OK18
2016-12-02,276.128,276.128,276.128,276.128,0.0,0.0,2018-05-14,_O,_OK18
2016-12-05,282.617,282.617,282.617,282.617,0.0,0.0,2018-05-14,_O,_OK18
2016-12-06,277.3603,277.3603,277.3603,277.3603,0.0,0.0,2018-05-14,_O,_OK18
2016-12-07,273.6991,273.6991,273.6991,273.6991,0.0,0.0,2018-05-14,_O,_OK18
2016-12-08,270.88,270.88,270.88,270.88,0.0,0.0,2018-05-14,_O,_OK18
2016-12-09,270.4737,270.4737,270.4737,270.4737,0.0,0.0,2018-05-14,_O,_OK18
2016-12-12,275.9102,275.9102,275.9102,275.9102,0.0,0.0,2018-05-14,_O,_OK18
2016-12-13,283.3598,283.3598,283.3598,283.3598,0.0,0.0,2018-05-14,_O,_OK18
2016-12-14,288.3469,288.3469,288.3469,288.3469,0.0,0.0,2018-05-14,_O,_OK18
2016-12-15,293.1911,293.1911,293.1911,293.1911,0.0,0.0,2018-05-14,_O,_OK18
2016-12-16,286.9754,286.9754,286.9754,286.9754,0.0,0.0,2018-05-14,_O,_OK18
2016-12-19,282.7282,282.7282,282.7282,282.7282,0.0,0.0,2018-05-14,_O,_OK18
2016-12-20,288.3545,288.3545,288.3545,288.3545,0.0,0.0,2018-05-14,_O,_OK18
2016-12-21,283.7697,283.7697,283.7697,283.7697,0.0,0.0,2018-05-14,_O,_OK18
2016-12-22,277.4416,277.4416,277.4416,277.4416,0.0,0.0,2018-05-14,_O,_OK18
2016-12-23,273.3077,273.3077,273.3077,273.3077,0.0,0.0,2018-05-14,_O,_OK18
2016-12-27,271.2032,271.2032,271.2032,271.2032,0.0,0.0,2018-05-14,_O,_OK18
2016-12-28,264.5858,264.5858,264.5858,264.5858,0.0,0.0,2018-05-14,_O,_OK18
2016-12-29,261.2785,261.2785,261.2785,261.2785,0.0,0.0,2018-05-14,_O,_OK18
2016-12-30,255.3997,255.3997,255.3997,255.3997,0.0,0.0,2018-05-14,_O,_OK18
2017-01-03,256.9321,256.9321,256.9321,256.9321,0.0,0.0,2018-05-14,_O,_OK18
2017-01-04,262.9957,262.9957,262.9957,262.9957,0.0,0.0,2018-05-14,_O,_OK18
2017-01-05,270.2018,270.2018,270.2018,270.2018,0.0,0.0,2018-05-14,_O,_OK18
2017-01-06,275.0114,275.0114,275.0114,275.0114,0.0,0.0,2018-05-14,_O,_OK18
2017-01-09,274.0214,274.0214,274.0214,274.0214,0.0,0.0,2018-05-14,_O,_OK18
2017-01-10,274.4872,274.4872,274.4872,274.4872,0.0,0.0,2018-05-14,_O,_OK18
2017-01-11,281.4317,281.4317,281.4317,281.4317,0.0,0.0,2018-05-14,_O,_OK18
2017-01-12,277.3509,277.3509,277.3509,277.3509,0.0,0.0,2018-05-14,_O,_OK18
2017-01-13,280.7623,280.7623,280.7623,280.7623,0.0,0.0,2018-05-14,_O,_OK18
2017-01-17,275.9613,275.9613,275.9613,275.9613,0.0,0.0,2018-05-14,_O,_OK18
2017-01-18,269.2002,269.2002,269.2002,269.2002,0.0,0.0,2018-05-14,_O,_OK18
2017-01-19,273.965,273.965,273.965,273.965,0.0,0.0,2018-05-14,_O,_OK18
2017-01-20,278.9512,278.9512,278.9512,278.9512,0.0,0.0,2018-05-14,_O,_OK18
2017-01-23,280.346,280.346,280.346,280.346,0.0,0.0,2018-05-14,_O,_OK18
2017-01-24,278.0472,278.0472,278.0472,278.0472,0.0,0.0,2018-05-14,_O,_OK18
2017-01-25,278.5199,278.5199,278.5199,278.5199,0.0,0.0,2018-05-14,_O,_OK18
2017-01-26,272.9774,272.9774,272.9774,272.9774,0.0,0.0,2018-05-14,_O,_OK18
2017-01-27,269.7017,269.7017,269.7017,269.7017,0.0,0.0,2018-05-14,_O,_OK18
2017-01-30,264.6852,264.6852,264.6852,264.6852,0.0,0.0,2018-05-14,_O,_OK18
2017-01-31,262.6207,262.6207,262.6207,262.6207,0.0,0.0,2018-05-14,_O,_OK18
2017-02-01,260.0208,260.0208,260.0208,260.0208,0.0,0.0,2018-05-14,_O,_OK18
2017-02-02,259.1107,259.1107,259.1107,259.1107,0.0,0.0,2018-05-14,_O,_OK18
2017-02-03,265.2516,265.2516,265.2516,265.2516,0.0,0.0,2018-05-14,_O,_OK18
2017-02-06,272.546,272.546,272.546,272.546,0.0,0.0,2018-05-14,_O,_OK18
2017-02-07,275.4622,275.4622,275.4622,275.4622,0.0,0.0,2018-05-14,_O,_OK18
2017-02-08,279.3462,279.3462,279.3462,279.3462,0.0,0.0,2018-05-14,_O,_OK18
2017-02-09,271.8877,271.8877,271.8877,271.8877,0.0,0.0,2018-05-14,_O,_OK18
2017-02-10,269.9845,269.9845,269.9845,269.9845,0.0,0.0,2018-05-14,_O,_OK18
2017-02-13,265.8267,265.8267,265.8267,265.8267,0.0,0.0,2018-05-14,_O,_OK18
2017-02-14,266.4647,266.4647,266.4647,266.4647,0.0,0.0,2018-05-14,_O,_OK18
2017-02-15,269.7422,269.7422,269.7422,269.7422,0.0,0.0,2018-05-14,_O,_OK18
2017-02-16,267.1796,267.1796,267.1796,267.1796,0.0,0.0,2018-05-14,_O,_OK18
2017-02-17,273.2446,273.2446,273.2446,273.2446,0.0,0.0,2018-05-14,_O,_OK18
2017-02-21,273.3812,273.3812,273.3812,273.3812,0.0,0.0,2018-05-14,_O,_OK18
2017-02-22,274.4747,274.4747,274.4747,274.4747,0.0,0.0,2018-05-14,_O,_OK18
2017-02-23,275.7098,275.7098,275.7098,275.7098,0.0,0.0,2018-05-14,_O,_OK18
2017-02-24,280.1487,280.1487,280.1487,280.1487,0.0,0.0,2018-05-14,_O,_OK18
2017-02-27,280.4569,280.4569,280.4569,280.4569,0.0,0.0,2018-05-14,_O,_OK18
2017-02-28,274.3429,274.3429,274.3429,274.3429,0.0,0.0,2018-05-14,_O,_OK18
2017-03-01,270.3101,270.3101,270.3101,270.3101,0.0,0.0,2018-05-14,_O,_OK18
2017-03-02,266.6879,266.6879,266.6879,266.6879,0.0,0.0,2018-05-14,_O,_OK18
2017-03-03,271.2216,271.2216,271.2216,271.2216,0.0,0.0,2018-05-14,_O,_OK18
2017-03-06,278.0021,278.0021,278.0021,278.0021,0.0,0.0,2018-05-14,_O,_OK18
2017-03-07,277.0013,277.0013,277.0013,277.0013,0.0,0.0,2018-05-14,_O,_OK18
2017-03-08,283.5662,283.5662,283.5662,283.5662,0.0,0.0,2018-05-14,_O,_OK18
2017-03-09,287.5928,287.5928,287.5928,287.5928,0.0,0.0,2018-05-14,_O,_OK18
2017-03-10,287.8516,287.8516,287.8516,287.8516,0.0,0.0,2018-05-14,_O,_OK18
2017-03-13,285.0882,285.0882,285.0882,285.0882,0.0,0.0,2018-05-14,_O,_OK18
2017-03-14,284.575,284.575,284.575,284.575,0.0,0.0,2018-05-14,_O,_OK18
2017-03-15,284.8596,284.8596,284.8596,284.8596,0.0,0.0,2018-05-14,_O,_OK18
2017-03-16,290.0156,290.0156,290.0156,290.0156,0.0,0.0,2018-05-14,_O,_OK18
2017-03-17,282.8522,282.8522,282.8522,282.8522,0.0,0.0,2018-05-14,_O,_OK18
2017-03-20,277.7326,277.7326,277.7326,277.7326,0.0,0.0,2018-05-14,_O,_OK18
2017-03-21,276.7328,276.7328,276.7328,276.7328,0.0,0.0,2018-05-14,_O,_OK18
2017-03-22,277.729,277.729,277.729,277.729,0.0,0.0,2018-05-14,_O,_OK18
2017-03-23,281.034,281.034,281.034,281.034,0.0,0.0,2018-05-14,_O,_OK18
2017-03-24,280.4719,280.4719,280.4719,280.4719,0.0,0.0,2018-05-14,_O,_OK18
2017-03-27,286.3899,286.3899,286.3899,286.3899,0.0,0.0,2018-05-14,_O,_OK18
2017-03-28,288.0796,288.0796,288.0796,288.0796,0.0,0.0,2018-05-14,_O,_OK18
2017-03-29,284.421,284.421,284.421,284.421,0.0,0.0,2018-05-14,_O,_OK18
2017-03-30,277.6233,277.6233,277.6233,277.6233,0.0,0.0,2018-05-14,_O,_OK18
2017-03-31,281.1214,281.1214,281.1214,281.1214,0.0,0.0,2018-05-14,_O,_OK18
2017-04-03,285.9005,285.9005,285.9005,285.9005,0.0,0.0,2018-05-14,_O,_OK18
2017-04-04,290.3891,290.3891,290.3891,290.3891,0.0,0.0,2018-05-14,_O,_OK18
2017-04-05,291.783,291.783,291.783,291.783,0.0,0.0,2018-05-14,_O,_OK18
2017-04-06,299.7195,299.7195,299.7195,299.7195,0.0,0.0,2018-05-14,_O,_OK18
2017-04-07,307.9318,307.9318,307.9318,307.9318,0.0,0.0,2018-05-14,_O,_OK18
2017-04-10,308.055,308.055,308.055,308.055,0.0,0.0,2018-05-14,_O,_OK18
2017-04-11,307.4389,307.4389,307.4389,307.4389,0.0,0.0,2018-05-14,_O,_OK18
2017-04-12,301.0749,301.0749,301.0749,301.0749,0.0,0.0,2018-05-14,_O,_OK18
2017-04-13,305.8921,305.8921,305.8921,305.8921,0.0,0.0,2018-05-14,_O,_OK18
