,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-09-14,253.1588,253.1588,253.1588,253.1588,0.0,0.0,2018-09-26,_O,_ON21
2018-09-17,252.3993,252.3993,252.3993,252.3993,0.0,0.0,2018-09-26,_O,_ON21
2018-09-18,246.5941,246.5941,246.5941,246.5941,0.0,0.0,2018-09-26,_O,_ON21
2018-09-19,245.4844,245.4844,245.4844,245.4844,0.0,0.0,2018-09-26,_O,_ON21
2018-09-20,241.5076,241.5076,241.5076,241.5076,0.0,0.0,2018-09-26,_O,_ON21
2018-09-21,244.6713,244.6713,244.6713,244.6713,0.0,0.0,2018-09-26,_O,_ON21
2018-09-24,249.1243,249.1243,249.1243,249.1243,0.0,0.0,2018-09-26,_O,_ON21
2018-09-25,251.9394,251.9394,251.9394,251.9394,0.0,0.0,2018-09-26,_O,_ON21
2018-09-26,256.3987,256.3987,256.3987,256.3987,0.0,0.0,2018-09-26,_O,_ON21
2018-09-27,253.886,253.886,253.886,253.886,0.0,0.0,2018-09-26,_O,_ON21
2018-09-28,252.7943,252.7943,252.7943,252.7943,0.0,0.0,2018-09-26,_O,_ON21
2018-10-01,258.5833,258.5833,258.5833,258.5833,0.0,0.0,2018-09-26,_O,_ON21
2018-10-02,259.4625,259.4625,259.4625,259.4625,0.0,0.0,2018-09-26,_O,_ON21
2018-10-03,264.5739,264.5739,264.5739,264.5739,0.0,0.0,2018-09-26,_O,_ON21
2018-10-04,262.5631,262.5631,262.5631,262.5631,0.0,0.0,2018-09-26,_O,_ON21
2018-10-05,266.134,266.134,266.134,266.134,0.0,0.0,2018-09-26,_O,_ON21
2018-10-08,268.0502,268.0502,268.0502,268.0502,0.0,0.0,2018-09-26,_O,_ON21
2018-10-09,264.5924,264.5924,264.5924,264.5924,0.0,0.0,2018-09-26,_O,_ON21
2018-10-10,270.0165,270.0165,270.0165,270.0165,0.0,0.0,2018-09-26,_O,_ON21
2018-10-11,267.5593,267.5593,267.5593,267.5593,0.0,0.0,2018-09-26,_O,_ON21
2018-10-12,265.8737,265.8737,265.8737,265.8737,0.0,0.0,2018-09-26,_O,_ON21
2018-10-15,269.9682,269.9682,269.9682,269.9682,0.0,0.0,2018-09-26,_O,_ON21
2018-10-16,265.7027,265.7027,265.7027,265.7027,0.0,0.0,2018-09-26,_O,_ON21
2018-10-17,270.9105,270.9105,270.9105,270.9105,0.0,0.0,2018-09-26,_O,_ON21
2018-10-18,276.1662,276.1662,276.1662,276.1662,0.0,0.0,2018-09-26,_O,_ON21
2018-10-19,274.5092,274.5092,274.5092,274.5092,0.0,0.0,2018-09-26,_O,_ON21
2018-10-22,269.3484,269.3484,269.3484,269.3484,0.0,0.0,2018-09-26,_O,_ON21
2018-10-23,270.1295,270.1295,270.1295,270.1295,0.0,0.0,2018-09-26,_O,_ON21
2018-10-24,271.5072,271.5072,271.5072,271.5072,0.0,0.0,2018-09-26,_O,_ON21
2018-10-25,270.8284,270.8284,270.8284,270.8284,0.0,0.0,2018-09-26,_O,_ON21
2018-10-26,274.2408,274.2408,274.2408,274.2408,0.0,0.0,2018-09-26,_O,_ON21
2018-10-29,279.3417,279.3417,279.3417,279.3417,0.0,0.0,2018-09-26,_O,_ON21
2018-10-30,282.1351,282.1351,282.1351,282.1351,0.0,0.0,2018-09-26,_O,_ON21
2018-10-31,277.6492,277.6492,277.6492,277.6492,0.0,0.0,2018-09-26,_O,_ON21
2018-11-01,283.1467,283.1467,283.1467,283.1467,0.0,0.0,2018-09-26,_O,_ON21
2018-11-02,286.7143,286.7143,286.7143,286.7143,0.0,0.0,2018-09-26,_O,_ON21
2018-11-05,290.671,290.671,290.671,290.671,0.0,0.0,2018-09-26,_O,_ON21
2018-11-06,290.4385,290.4385,290.4385,290.4385,0.0,0.0,2018-09-26,_O,_ON21
2018-11-07,292.5587,292.5587,292.5587,292.5587,0.0,0.0,2018-09-26,_O,_ON21
2018-11-08,294.7821,294.7821,294.7821,294.7821,0.0,0.0,2018-09-26,_O,_ON21
2018-11-09,291.9227,291.9227,291.9227,291.9227,0.0,0.0,2018-09-26,_O,_ON21
2018-11-12,287.3979,287.3979,287.3979,287.3979,0.0,0.0,2018-09-26,_O,_ON21
2018-11-13,289.151,289.151,289.151,289.151,0.0,0.0,2018-09-26,_O,_ON21
2018-11-14,287.6474,287.6474,287.6474,287.6474,0.0,0.0,2018-09-26,_O,_ON21
2018-11-15,286.0078,286.0078,286.0078,286.0078,0.0,0.0,2018-09-26,_O,_ON21
2018-11-16,283.4337,283.4337,283.4337,283.4337,0.0,0.0,2018-09-26,_O,_ON21
2018-11-19,282.1582,282.1582,282.1582,282.1582,0.0,0.0,2018-09-26,_O,_ON21
2018-11-20,280.3242,280.3242,280.3242,280.3242,0.0,0.0,2018-09-26,_O,_ON21
2018-11-21,274.7738,274.7738,274.7738,274.7738,0.0,0.0,2018-09-26,_O,_ON21
2018-11-23,280.1594,280.1594,280.1594,280.1594,0.0,0.0,2018-09-26,_O,_ON21
2018-11-26,278.1983,278.1983,278.1983,278.1983,0.0,0.0,2018-09-26,_O,_ON21
2018-11-27,277.5863,277.5863,277.5863,277.5863,0.0,0.0,2018-09-26,_O,_ON21
2018-11-28,279.4739,279.4739,279.4739,279.4739,0.0,0.0,2018-09-26,_O,_ON21
2018-11-29,277.7971,277.7971,277.7971,277.7971,0.0,0.0,2018-09-26,_O,_ON21
2018-11-30,281.2418,281.2418,281.2418,281.2418,0.0,0.0,2018-09-26,_O,_ON21
2018-12-03,285.7979,285.7979,285.7979,285.7979,0.0,0.0,2018-09-26,_O,_ON21
2018-12-04,286.5124,286.5124,286.5124,286.5124,0.0,0.0,2018-09-26,_O,_ON21
2018-12-05,288.7185,288.7185,288.7185,288.7185,0.0,0.0,2018-09-26,_O,_ON21
2018-12-06,293.107,293.107,293.107,293.107,0.0,0.0,2018-09-26,_O,_ON21
2018-12-07,286.4535,286.4535,286.4535,286.4535,0.0,0.0,2018-09-26,_O,_ON21
2018-12-10,290.2633,290.2633,290.2633,290.2633,0.0,0.0,2018-09-26,_O,_ON21
2018-12-11,284.6032,284.6032,284.6032,284.6032,0.0,0.0,2018-09-26,_O,_ON21
2018-12-12,287.3639,287.3639,287.3639,287.3639,0.0,0.0,2018-09-26,_O,_ON21
2018-12-13,291.6456,291.6456,291.6456,291.6456,0.0,0.0,2018-09-26,_O,_ON21
2018-12-14,293.9496,293.9496,293.9496,293.9496,0.0,0.0,2018-09-26,_O,_ON21
2018-12-17,294.7139,294.7139,294.7139,294.7139,0.0,0.0,2018-09-26,_O,_ON21
2018-12-18,289.2028,289.2028,289.2028,289.2028,0.0,0.0,2018-09-26,_O,_ON21
2018-12-19,292.4997,292.4997,292.4997,292.4997,0.0,0.0,2018-09-26,_O,_ON21
2018-12-20,286.328,286.328,286.328,286.328,0.0,0.0,2018-09-26,_O,_ON21
2018-12-21,281.1741,281.1741,281.1741,281.1741,0.0,0.0,2018-09-26,_O,_ON21
2018-12-24,283.5078,283.5078,283.5078,283.5078,0.0,0.0,2018-09-26,_O,_ON21
2018-12-26,280.6727,280.6727,280.6727,280.6727,0.0,0.0,2018-09-26,_O,_ON21
2018-12-27,285.5283,285.5283,285.5283,285.5283,0.0,0.0,2018-09-26,_O,_ON21
2018-12-28,291.6101,291.6101,291.6101,291.6101,0.0,0.0,2018-09-26,_O,_ON21
2018-12-31,292.31,292.31,292.31,292.31,0.0,0.0,2018-09-26,_O,_ON21
2019-01-02,287.3992,287.3992,287.3992,287.3992,0.0,0.0,2018-09-26,_O,_ON21
2019-01-03,285.5311,285.5311,285.5311,285.5311,0.0,0.0,2018-09-26,_O,_ON21
2019-01-04,290.6421,290.6421,290.6421,290.6421,0.0,0.0,2018-09-26,_O,_ON21
2019-01-07,291.9791,291.9791,291.9791,291.9791,0.0,0.0,2018-09-26,_O,_ON21
2019-01-08,294.4609,294.4609,294.4609,294.4609,0.0,0.0,2018-09-26,_O,_ON21
2019-01-09,298.3772,298.3772,298.3772,298.3772,0.0,0.0,2018-09-26,_O,_ON21
2019-01-10,292.4992,292.4992,292.4992,292.4992,0.0,0.0,2018-09-26,_O,_ON21
2019-01-11,295.8044,295.8044,295.8044,295.8044,0.0,0.0,2018-09-26,_O,_ON21
2019-01-14,295.124,295.124,295.124,295.124,0.0,0.0,2018-09-26,_O,_ON21
2019-01-15,290.402,290.402,290.402,290.402,0.0,0.0,2018-09-26,_O,_ON21
2019-01-16,294.032,294.032,294.032,294.032,0.0,0.0,2018-09-26,_O,_ON21
2019-01-17,298.4719,298.4719,298.4719,298.4719,0.0,0.0,2018-09-26,_O,_ON21
2019-01-18,302.949,302.949,302.949,302.949,0.0,0.0,2018-09-26,_O,_ON21
2019-01-22,297.5262,297.5262,297.5262,297.5262,0.0,0.0,2018-09-26,_O,_ON21
2019-01-23,297.2882,297.2882,297.2882,297.2882,0.0,0.0,2018-09-26,_O,_ON21
2019-01-24,296.3963,296.3963,296.3963,296.3963,0.0,0.0,2018-09-26,_O,_ON21
2019-01-25,297.8486,297.8486,297.8486,297.8486,0.0,0.0,2018-09-26,_O,_ON21
2019-01-28,295.436,295.436,295.436,295.436,0.0,0.0,2018-09-26,_O,_ON21
2019-01-29,291.2113,291.2113,291.2113,291.2113,0.0,0.0,2018-09-26,_O,_ON21
2019-01-30,294.269,294.269,294.269,294.269,0.0,0.0,2018-09-26,_O,_ON21
2019-01-31,298.0356,298.0356,298.0356,298.0356,0.0,0.0,2018-09-26,_O,_ON21
2019-02-01,303.3406,303.3406,303.3406,303.3406,0.0,0.0,2018-09-26,_O,_ON21
2019-02-04,299.0938,299.0938,299.0938,299.0938,0.0,0.0,2018-09-26,_O,_ON21
2019-02-05,297.9872,297.9872,297.9872,297.9872,0.0,0.0,2018-09-26,_O,_ON21
2019-02-06,294.471,294.471,294.471,294.471,0.0,0.0,2018-09-26,_O,_ON21
2019-02-07,289.4355,289.4355,289.4355,289.4355,0.0,0.0,2018-09-26,_O,_ON21
2019-02-08,286.6569,286.6569,286.6569,286.6569,0.0,0.0,2018-09-26,_O,_ON21
2019-02-11,281.6404,281.6404,281.6404,281.6404,0.0,0.0,2018-09-26,_O,_ON21
2019-02-12,282.0347,282.0347,282.0347,282.0347,0.0,0.0,2018-09-26,_O,_ON21
2019-02-13,276.2248,276.2248,276.2248,276.2248,0.0,0.0,2018-09-26,_O,_ON21
2019-02-14,281.1416,281.1416,281.1416,281.1416,0.0,0.0,2018-09-26,_O,_ON21
2019-02-15,283.3907,283.3907,283.3907,283.3907,0.0,0.0,2018-09-26,_O,_ON21
2019-02-19,288.5201,288.5201,288.5201,288.5201,0.0,0.0,2018-09-26,_O,_ON21
2019-02-20,288.924,288.924,288.924,288.924,0.0,0.0,2018-09-26,_O,_ON21
2019-02-21,282.8277,282.8277,282.8277,282.8277,0.0,0.0,2018-09-26,_O,_ON21
2019-02-22,277.5671,277.5671,277.5671,277.5671,0.0,0.0,2018-09-26,_O,_ON21
2019-02-25,275.5131,275.5131,275.5131,275.5131,0.0,0.0,2018-09-26,_O,_ON21
2019-02-26,279.9764,279.9764,279.9764,279.9764,0.0,0.0,2018-09-26,_O,_ON21
2019-02-27,283.8961,283.8961,283.8961,283.8961,0.0,0.0,2018-09-26,_O,_ON21
2019-02-28,290.3973,290.3973,290.3973,290.3973,0.0,0.0,2018-09-26,_O,_ON21
2019-03-01,290.0198,290.0198,290.0198,290.0198,0.0,0.0,2018-09-26,_O,_ON21
2019-03-04,294.3121,294.3121,294.3121,294.3121,0.0,0.0,2018-09-26,_O,_ON21
2019-03-05,289.3088,289.3088,289.3088,289.3088,0.0,0.0,2018-09-26,_O,_ON21
2019-03-06,287.3415,287.3415,287.3415,287.3415,0.0,0.0,2018-09-26,_O,_ON21
2019-03-07,284.1807,284.1807,284.1807,284.1807,0.0,0.0,2018-09-26,_O,_ON21
2019-03-08,278.4971,278.4971,278.4971,278.4971,0.0,0.0,2018-09-26,_O,_ON21
2019-03-11,276.2413,276.2413,276.2413,276.2413,0.0,0.0,2018-09-26,_O,_ON21
2019-03-12,270.4955,270.4955,270.4955,270.4955,0.0,0.0,2018-09-26,_O,_ON21
2019-03-13,264.2741,264.2741,264.2741,264.2741,0.0,0.0,2018-09-26,_O,_ON21
2019-03-14,265.8862,265.8862,265.8862,265.8862,0.0,0.0,2018-09-26,_O,_ON21
2019-03-15,269.0237,269.0237,269.0237,269.0237,0.0,0.0,2018-09-26,_O,_ON21
2019-03-18,269.2927,269.2927,269.2927,269.2927,0.0,0.0,2018-09-26,_O,_ON21
2019-03-19,272.0933,272.0933,272.0933,272.0933,0.0,0.0,2018-09-26,_O,_ON21
2019-03-20,273.8891,273.8891,273.8891,273.8891,0.0,0.0,2018-09-26,_O,_ON21
2019-03-21,276.491,276.491,276.491,276.491,0.0,0.0,2018-09-26,_O,_ON21
2019-03-22,278.067,278.067,278.067,278.067,0.0,0.0,2018-09-26,_O,_ON21
2019-03-25,275.5088,275.5088,275.5088,275.5088,0.0,0.0,2018-09-26,_O,_ON21
2019-03-26,275.4537,275.4537,275.4537,275.4537,0.0,0.0,2018-09-26,_O,_ON21
2019-03-27,274.6549,274.6549,274.6549,274.6549,0.0,0.0,2018-09-26,_O,_ON21
2019-03-28,277.1268,277.1268,277.1268,277.1268,0.0,0.0,2018-09-26,_O,_ON21
