,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-14,202.385,202.385,202.385,202.385,0.0,0.0,2019-09-13,_O,_OU19
2016-09-15,203.9838,203.9838,203.9838,203.9838,0.0,0.0,2019-09-13,_O,_OU19
2016-09-16,201.8216,201.8216,201.8216,201.8216,0.0,0.0,2019-09-13,_O,_OU19
2016-09-19,196.6751,196.6751,196.6751,196.6751,0.0,0.0,2019-09-13,_O,_OU19
2016-09-20,201.4346,201.4346,201.4346,201.4346,0.0,0.0,2019-09-13,_O,_OU19
2016-09-21,205.6244,205.6244,205.6244,205.6244,0.0,0.0,2019-09-13,_O,_OU19
2016-09-22,203.3625,203.3625,203.3625,203.3625,0.0,0.0,2019-09-13,_O,_OU19
2016-09-23,201.7356,201.7356,201.7356,201.7356,0.0,0.0,2019-09-13,_O,_OU19
2016-09-26,206.5369,206.5369,206.5369,206.5369,0.0,0.0,2019-09-13,_O,_OU19
2016-09-27,203.1703,203.1703,203.1703,203.1703,0.0,0.0,2019-09-13,_O,_OU19
2016-09-28,206.9899,206.9899,206.9899,206.9899,0.0,0.0,2019-09-13,_O,_OU19
2016-09-29,208.0042,208.0042,208.0042,208.0042,0.0,0.0,2019-09-13,_O,_OU19
2016-09-30,208.1706,208.1706,208.1706,208.1706,0.0,0.0,2019-09-13,_O,_OU19
2016-10-03,209.7527,209.7527,209.7527,209.7527,0.0,0.0,2019-09-13,_O,_OU19
2016-10-04,208.9347,208.9347,208.9347,208.9347,0.0,0.0,2019-09-13,_O,_OU19
2016-10-05,211.4419,211.4419,211.4419,211.4419,0.0,0.0,2019-09-13,_O,_OU19
2016-10-06,211.6111,211.6111,211.6111,211.6111,0.0,0.0,2019-09-13,_O,_OU19
2016-10-07,210.6165,210.6165,210.6165,210.6165,0.0,0.0,2019-09-13,_O,_OU19
2016-10-10,211.0167,211.0167,211.0167,211.0167,0.0,0.0,2019-09-13,_O,_OU19
2016-10-11,211.2277,211.2277,211.2277,211.2277,0.0,0.0,2019-09-13,_O,_OU19
2016-10-12,212.4739,212.4739,212.4739,212.4739,0.0,0.0,2019-09-13,_O,_OU19
2016-10-13,207.9057,207.9057,207.9057,207.9057,0.0,0.0,2019-09-13,_O,_OU19
2016-10-14,208.2176,208.2176,208.2176,208.2176,0.0,0.0,2019-09-13,_O,_OU19
2016-10-17,213.6104,213.6104,213.6104,213.6104,0.0,0.0,2019-09-13,_O,_OU19
