,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,237.9178,237.9178,237.9178,237.9178,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-15,237.0613,237.0613,237.0613,237.0613,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-16,233.5765,233.5765,233.5765,233.5765,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-19,234.6276,234.6276,234.6276,234.6276,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-20,240.7279,240.7279,240.7279,240.7279,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-21,247.3961,247.3961,247.3961,247.3961,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-22,241.607,241.607,241.607,241.607,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-23,237.5963,237.5963,237.5963,237.5963,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-27,231.0862,231.0862,231.0862,231.0862,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-28,236.1932,236.1932,236.1932,236.1932,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-29,239.7833,239.7833,239.7833,239.7833,0.0,0.0,2018-12-14,_O,_OZ18
2016-12-30,245.61,245.61,245.61,245.61,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-03,245.6837,245.6837,245.6837,245.6837,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-04,250.45,250.45,250.45,250.45,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-05,246.8435,246.8435,246.8435,246.8435,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-06,243.758,243.758,243.758,243.758,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-09,245.0499,245.0499,245.0499,245.0499,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-10,244.7313,244.7313,244.7313,244.7313,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-11,238.5396,238.5396,238.5396,238.5396,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-12,239.3983,239.3983,239.3983,239.3983,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-13,241.9599,241.9599,241.9599,241.9599,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-17,235.5964,235.5964,235.5964,235.5964,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-18,230.7902,230.7902,230.7902,230.7902,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-19,236.2599,236.2599,236.2599,236.2599,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-20,232.8105,232.8105,232.8105,232.8105,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-23,226.3849,226.3849,226.3849,226.3849,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-24,226.2264,226.2264,226.2264,226.2264,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-25,232.1083,232.1083,232.1083,232.1083,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-26,233.7795,233.7795,233.7795,233.7795,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-27,237.6369,237.6369,237.6369,237.6369,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-30,237.6844,237.6844,237.6844,237.6844,0.0,0.0,2018-12-14,_O,_OZ18
2017-01-31,230.7202,230.7202,230.7202,230.7202,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-01,225.1598,225.1598,225.1598,225.1598,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-02,218.8103,218.8103,218.8103,218.8103,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-03,212.3773,212.3773,212.3773,212.3773,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-06,209.5952,209.5952,209.5952,209.5952,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-07,208.9035,208.9035,208.9035,208.9035,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-08,209.0915,209.0915,209.0915,209.0915,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-09,213.4197,213.4197,213.4197,213.4197,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-10,209.6422,209.6422,209.6422,209.6422,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-13,204.5898,204.5898,204.5898,204.5898,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-14,201.521,201.521,201.521,201.521,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-15,196.1202,196.1202,196.1202,196.1202,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-16,199.9642,199.9642,199.9642,199.9642,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-17,201.264,201.264,201.264,201.264,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-21,204.2226,204.2226,204.2226,204.2226,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-22,209.9817,209.9817,209.9817,209.9817,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-23,209.7927,209.7927,209.7927,209.7927,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-24,206.7507,206.7507,206.7507,206.7507,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-27,208.3427,208.3427,208.3427,208.3427,0.0,0.0,2018-12-14,_O,_OZ18
2017-02-28,209.3219,209.3219,209.3219,209.3219,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-01,205.1983,205.1983,205.1983,205.1983,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-02,201.5458,201.5458,201.5458,201.5458,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-03,206.1209,206.1209,206.1209,206.1209,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-06,210.4907,210.4907,210.4907,210.4907,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-07,210.5959,210.5959,210.5959,210.5959,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-08,216.6611,216.6611,216.6611,216.6611,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-09,220.4743,220.4743,220.4743,220.4743,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-10,224.8397,224.8397,224.8397,224.8397,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-13,219.1962,219.1962,219.1962,219.1962,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-14,218.9551,218.9551,218.9551,218.9551,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-15,223.5532,223.5532,223.5532,223.5532,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-16,217.2937,217.2937,217.2937,217.2937,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-17,215.1208,215.1208,215.1208,215.1208,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-20,211.1841,211.1841,211.1841,211.1841,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-21,213.0425,213.0425,213.0425,213.0425,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-22,209.229,209.229,209.229,209.229,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-23,206.6764,206.6764,206.6764,206.6764,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-24,210.6033,210.6033,210.6033,210.6033,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-27,214.3731,214.3731,214.3731,214.3731,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-28,210.6644,210.6644,210.6644,210.6644,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-29,209.2951,209.2951,209.2951,209.2951,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-30,204.9627,204.9627,204.9627,204.9627,0.0,0.0,2018-12-14,_O,_OZ18
2017-03-31,199.7976,199.7976,199.7976,199.7976,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-03,203.8935,203.8935,203.8935,203.8935,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-04,203.9139,203.9139,203.9139,203.9139,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-05,202.9555,202.9555,202.9555,202.9555,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-06,202.7525,202.7525,202.7525,202.7525,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-07,207.0914,207.0914,207.0914,207.0914,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-10,201.4171,201.4171,201.4171,201.4171,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-11,200.7121,200.7121,200.7121,200.7121,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-12,197.9423,197.9423,197.9423,197.9423,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-13,194.795,194.795,194.795,194.795,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-17,195.2041,195.2041,195.2041,195.2041,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-18,190.4021,190.4021,190.4021,190.4021,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-19,191.2018,191.2018,191.2018,191.2018,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-20,190.0737,190.0737,190.0737,190.0737,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-21,188.173,188.173,188.173,188.173,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-24,185.802,185.802,185.802,185.802,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-25,183.9997,183.9997,183.9997,183.9997,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-26,182.2149,182.2149,182.2149,182.2149,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-27,184.7295,184.7295,184.7295,184.7295,0.0,0.0,2018-12-14,_O,_OZ18
2017-04-28,184.2123,184.2123,184.2123,184.2123,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-01,184.5439,184.5439,184.5439,184.5439,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-02,189.545,189.545,189.545,189.545,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-03,190.5117,190.5117,190.5117,190.5117,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-04,193.2932,193.2932,193.2932,193.2932,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-05,193.1192,193.1192,193.1192,193.1192,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-08,195.2628,195.2628,195.2628,195.2628,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-09,193.7202,193.7202,193.7202,193.7202,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-10,195.3668,195.3668,195.3668,195.3668,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-11,201.0324,201.0324,201.0324,201.0324,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-12,206.219,206.219,206.219,206.219,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-15,208.1368,208.1368,208.1368,208.1368,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-16,207.6997,207.6997,207.6997,207.6997,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-17,206.2043,206.2043,206.2043,206.2043,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-18,210.5965,210.5965,210.5965,210.5965,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-19,205.0368,205.0368,205.0368,205.0368,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-22,207.6203,207.6203,207.6203,207.6203,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-23,202.0561,202.0561,202.0561,202.0561,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-24,203.814,203.814,203.814,203.814,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-25,199.0855,199.0855,199.0855,199.0855,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-26,193.4514,193.4514,193.4514,193.4514,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-30,197.9782,197.9782,197.9782,197.9782,0.0,0.0,2018-12-14,_O,_OZ18
2017-05-31,195.8004,195.8004,195.8004,195.8004,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-01,192.041,192.041,192.041,192.041,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-02,186.6254,186.6254,186.6254,186.6254,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-05,188.4917,188.4917,188.4917,188.4917,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-06,188.0959,188.0959,188.0959,188.0959,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-07,188.9423,188.9423,188.9423,188.9423,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-08,192.3433,192.3433,192.3433,192.3433,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-09,195.8439,195.8439,195.8439,195.8439,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-12,198.2136,198.2136,198.2136,198.2136,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-13,193.7736,193.7736,193.7736,193.7736,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-14,191.7584,191.7584,191.7584,191.7584,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-15,194.1937,194.1937,194.1937,194.1937,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-16,198.2135,198.2135,198.2135,198.2135,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-19,203.2878,203.2878,203.2878,203.2878,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-20,208.9595,208.9595,208.9595,208.9595,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-21,213.1805,213.1805,213.1805,213.1805,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-22,210.1107,210.1107,210.1107,210.1107,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-23,214.2079,214.2079,214.2079,214.2079,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-26,208.3386,208.3386,208.3386,208.3386,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-27,207.1511,207.1511,207.1511,207.1511,0.0,0.0,2018-12-14,_O,_OZ18
2017-06-28,211.9363,211.9363,211.9363,211.9363,0.0,0.0,2018-12-14,_O,_OZ18
