,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-14,957.3158,957.3158,957.3158,957.3158,0.0,0.0,2019-01-14,_S,_SF19
2016-11-15,952.4335,952.4335,952.4335,952.4335,0.0,0.0,2019-01-14,_S,_SF19
2016-11-16,960.5292,960.5292,960.5292,960.5292,0.0,0.0,2019-01-14,_S,_SF19
2016-11-17,944.2963,944.2963,944.2963,944.2963,0.0,0.0,2019-01-14,_S,_SF19
2016-11-18,930.9817,930.9817,930.9817,930.9817,0.0,0.0,2019-01-14,_S,_SF19
2016-11-21,937.4055,937.4055,937.4055,937.4055,0.0,0.0,2019-01-14,_S,_SF19
2016-11-22,927.2815,927.2815,927.2815,927.2815,0.0,0.0,2019-01-14,_S,_SF19
2016-11-23,911.1468,911.1468,911.1468,911.1468,0.0,0.0,2019-01-14,_S,_SF19
2016-11-25,922.6272,922.6272,922.6272,922.6272,0.0,10.0,2019-01-14,_S,_SF19
2016-11-28,933.4219,933.4219,933.4219,933.4219,0.0,9.0,2019-01-14,_S,_SF19
2016-11-29,926.8879,926.8879,926.8879,926.8879,16.0,0.0,2019-01-14,_S,_SF19
2016-11-30,931.337,931.337,931.337,931.337,0.0,0.0,2019-01-14,_S,_SF19
2016-12-01,927.3323,927.3323,927.3323,927.3323,0.0,0.0,2019-01-14,_S,_SF19
2016-12-02,933.9164,933.9164,933.9164,933.9164,0.0,0.0,2019-01-14,_S,_SF19
2016-12-05,927.2856,927.2856,927.2856,927.2856,0.0,0.0,2019-01-14,_S,_SF19
2016-12-06,917.92,917.92,917.92,917.92,0.0,0.0,2019-01-14,_S,_SF19
2016-12-07,902.1318,902.1318,902.1318,902.1318,0.0,0.0,2019-01-14,_S,_SF19
2016-12-08,898.6135,898.6135,898.6135,898.6135,0.0,0.0,2019-01-14,_S,_SF19
2016-12-09,897.8946,897.8946,897.8946,897.8946,0.0,0.0,2019-01-14,_S,_SF19
2016-12-12,885.1445,885.1445,885.1445,885.1445,0.0,0.0,2019-01-14,_S,_SF19
2016-12-13,900.546,900.546,900.546,900.546,0.0,0.0,2019-01-14,_S,_SF19
2016-12-14,896.1333,896.1333,896.1333,896.1333,0.0,0.0,2019-01-14,_S,_SF19
2016-12-15,883.4082,883.4082,883.4082,883.4082,0.0,0.0,2019-01-14,_S,_SF19
2016-12-16,872.984,872.984,872.984,872.984,0.0,0.0,2019-01-14,_S,_SF19
2016-12-19,878.0473,878.0473,878.0473,878.0473,0.0,0.0,2019-01-14,_S,_SF19
2016-12-20,883.4912,883.4912,883.4912,883.4912,0.0,0.0,2019-01-14,_S,_SF19
2016-12-21,886.0533,886.0533,886.0533,886.0533,0.0,0.0,2019-01-14,_S,_SF19
2016-12-22,900.5846,900.5846,900.5846,900.5846,0.0,0.0,2019-01-14,_S,_SF19
2016-12-23,887.1659,887.1659,887.1659,887.1659,0.0,0.0,2019-01-14,_S,_SF19
2016-12-27,874.8343,874.8343,874.8343,874.8343,0.0,0.0,2019-01-14,_S,_SF19
2016-12-28,873.7845,873.7845,873.7845,873.7845,0.0,0.0,2019-01-14,_S,_SF19
2016-12-29,881.299,881.299,881.299,881.299,0.0,0.0,2019-01-14,_S,_SF19
2016-12-30,886.9393,886.9393,886.9393,886.9393,0.0,0.0,2019-01-14,_S,_SF19
2017-01-03,892.6157,892.6157,892.6157,892.6157,0.0,0.0,2019-01-14,_S,_SF19
2017-01-04,886.8137,886.8137,886.8137,886.8137,0.0,0.0,2019-01-14,_S,_SF19
2017-01-05,885.9269,885.9269,885.9269,885.9269,0.0,0.0,2019-01-14,_S,_SF19
2017-01-06,891.4196,891.4196,891.4196,891.4196,0.0,0.0,2019-01-14,_S,_SF19
2017-01-09,895.6984,895.6984,895.6984,895.6984,0.0,0.0,2019-01-14,_S,_SF19
2017-01-10,895.8775,895.8775,895.8775,895.8775,0.0,0.0,2019-01-14,_S,_SF19
2017-01-11,904.4779,904.4779,904.4779,904.4779,0.0,0.0,2019-01-14,_S,_SF19
2017-01-12,916.5979,916.5979,916.5979,916.5979,35.0,20.0,2019-01-14,_S,_SF19
2017-01-13,920.9976,920.9976,920.9976,920.9976,35.0,16.0,2019-01-14,_S,_SF19
2017-01-17,925.6947,925.6947,925.6947,925.6947,0.0,22.0,2019-01-14,_S,_SF19
2017-01-18,914.7715,914.7715,914.7715,914.7715,0.0,23.0,2019-01-14,_S,_SF19
2017-01-19,930.5056,930.5056,930.5056,930.5056,0.0,17.0,2019-01-14,_S,_SF19
2017-01-20,922.131,922.131,922.131,922.131,0.0,24.0,2019-01-14,_S,_SF19
2017-01-23,918.6269,918.6269,918.6269,918.6269,0.0,20.0,2019-01-14,_S,_SF19
2017-01-24,904.8475,904.8475,904.8475,904.8475,0.0,18.0,2019-01-14,_S,_SF19
2017-01-25,911.2719,911.2719,911.2719,911.2719,22.0,39.0,2019-01-14,_S,_SF19
2017-01-26,912.5477,912.5477,912.5477,912.5477,0.0,38.0,2019-01-14,_S,_SF19
2017-01-27,905.2473,905.2473,905.2473,905.2473,0.0,36.0,2019-01-14,_S,_SF19
2017-01-30,900.7211,900.7211,900.7211,900.7211,0.0,43.0,2019-01-14,_S,_SF19
2017-01-31,907.2964,907.2964,907.2964,907.2964,0.0,35.0,2019-01-14,_S,_SF19
2017-02-01,908.2944,908.2944,908.2944,908.2944,0.0,37.0,2019-01-14,_S,_SF19
2017-02-02,902.9355,902.9355,902.9355,902.9355,0.0,32.0,2019-01-14,_S,_SF19
2017-02-03,896.1635,896.1635,896.1635,896.1635,0.0,37.0,2019-01-14,_S,_SF19
2017-02-06,907.1863,907.1863,907.1863,907.1863,0.0,34.0,2019-01-14,_S,_SF19
2017-02-07,911.4501,911.4501,911.4501,911.4501,0.0,30.0,2019-01-14,_S,_SF19
2017-02-08,916.3719,916.3719,916.3719,916.3719,0.0,41.0,2019-01-14,_S,_SF19
2017-02-09,910.2322,910.2322,910.2322,910.2322,0.0,37.0,2019-01-14,_S,_SF19
2017-02-10,895.3954,895.3954,895.3954,895.3954,0.0,43.0,2019-01-14,_S,_SF19
2017-02-13,904.7075,904.7075,904.7075,904.7075,0.0,40.0,2019-01-14,_S,_SF19
