,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-13,884.107,884.107,884.107,884.107,0.0,0.0,2018-03-14,_S,_SH18
2015-11-16,877.4762,877.4762,877.4762,877.4762,0.0,0.0,2018-03-14,_S,_SH18
2015-11-17,882.3901,882.3901,882.3901,882.3901,0.0,0.0,2018-03-14,_S,_SH18
2015-11-18,878.3311,878.3311,878.3311,878.3311,0.0,0.0,2018-03-14,_S,_SH18
2015-11-19,891.6817,891.6817,891.6817,891.6817,0.0,0.0,2018-03-14,_S,_SH18
2015-11-20,880.4465,880.4465,880.4465,880.4465,0.0,0.0,2018-03-14,_S,_SH18
2015-11-23,868.7366,868.7366,868.7366,868.7366,0.0,0.0,2018-03-14,_S,_SH18
2015-11-24,873.7753,873.7753,873.7753,873.7753,0.0,0.0,2018-03-14,_S,_SH18
2015-11-25,873.1637,873.1637,873.1637,873.1637,0.0,0.0,2018-03-14,_S,_SH18
2015-11-27,872.6398,872.6398,872.6398,872.6398,0.0,0.0,2018-03-14,_S,_SH18
2015-11-30,881.1044,881.1044,881.1044,881.1044,0.0,0.0,2018-03-14,_S,_SH18
2015-12-01,892.2063,892.2063,892.2063,892.2063,0.0,0.0,2018-03-14,_S,_SH18
2015-12-02,889.8866,889.8866,889.8866,889.8866,0.0,0.0,2018-03-14,_S,_SH18
2015-12-03,877.6062,877.6062,877.6062,877.6062,0.0,0.0,2018-03-14,_S,_SH18
2015-12-04,885.5047,885.5047,885.5047,885.5047,0.0,0.0,2018-03-14,_S,_SH18
2015-12-07,879.5718,879.5718,879.5718,879.5718,0.0,0.0,2018-03-14,_S,_SH18
2015-12-08,876.3174,876.3174,876.3174,876.3174,0.0,0.0,2018-03-14,_S,_SH18
2015-12-09,887.4466,887.4466,887.4466,887.4466,0.0,0.0,2018-03-14,_S,_SH18
2015-12-10,897.9185,897.9185,897.9185,897.9185,0.0,0.0,2018-03-14,_S,_SH18
2015-12-11,900.7918,900.7918,900.7918,900.7918,0.0,0.0,2018-03-14,_S,_SH18
2015-12-14,888.8113,888.8113,888.8113,888.8113,0.0,0.0,2018-03-14,_S,_SH18
2015-12-15,898.3216,898.3216,898.3216,898.3216,0.0,0.0,2018-03-14,_S,_SH18
2015-12-16,898.8606,898.8606,898.8606,898.8606,0.0,0.0,2018-03-14,_S,_SH18
2015-12-17,900.2089,900.2089,900.2089,900.2089,0.0,0.0,2018-03-14,_S,_SH18
2015-12-18,889.9465,889.9465,889.9465,889.9465,0.0,0.0,2018-03-14,_S,_SH18
2015-12-21,902.8507,902.8507,902.8507,902.8507,0.0,0.0,2018-03-14,_S,_SH18
2015-12-22,894.8153,894.8153,894.8153,894.8153,0.0,0.0,2018-03-14,_S,_SH18
2015-12-23,893.1152,893.1152,893.1152,893.1152,0.0,0.0,2018-03-14,_S,_SH18
