,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-14,944.6754,944.6754,944.6754,944.6754,0.0,0.0,2019-05-14,_S,_SK19
2016-11-15,957.1451,957.1451,957.1451,957.1451,0.0,0.0,2019-05-14,_S,_SK19
2016-11-16,946.1379,946.1379,946.1379,946.1379,0.0,0.0,2019-05-14,_S,_SK19
2016-11-17,952.0986,952.0986,952.0986,952.0986,0.0,0.0,2019-05-14,_S,_SK19
2016-11-18,938.9596,938.9596,938.9596,938.9596,0.0,0.0,2019-05-14,_S,_SK19
2016-11-21,947.4102,947.4102,947.4102,947.4102,0.0,0.0,2019-05-14,_S,_SK19
2016-11-22,958.5896,958.5896,958.5896,958.5896,0.0,0.0,2019-05-14,_S,_SK19
2016-11-23,955.618,955.618,955.618,955.618,0.0,0.0,2019-05-14,_S,_SK19
2016-11-25,966.7032,966.7032,966.7032,966.7032,0.0,0.0,2019-05-14,_S,_SK19
2016-11-28,954.5227,954.5227,954.5227,954.5227,0.0,0.0,2019-05-14,_S,_SK19
2016-11-29,949.7501,949.7501,949.7501,949.7501,0.0,0.0,2019-05-14,_S,_SK19
2016-11-30,961.0521,961.0521,961.0521,961.0521,0.0,0.0,2019-05-14,_S,_SK19
2016-12-01,946.9246,946.9246,946.9246,946.9246,0.0,0.0,2019-05-14,_S,_SK19
2016-12-02,936.5084,936.5084,936.5084,936.5084,0.0,0.0,2019-05-14,_S,_SK19
2016-12-05,934.729,934.729,934.729,934.729,0.0,0.0,2019-05-14,_S,_SK19
2016-12-06,936.9723,936.9723,936.9723,936.9723,0.0,0.0,2019-05-14,_S,_SK19
2016-12-07,926.1971,926.1971,926.1971,926.1971,0.0,0.0,2019-05-14,_S,_SK19
2016-12-08,921.5661,921.5661,921.5661,921.5661,0.0,0.0,2019-05-14,_S,_SK19
2016-12-09,935.8504,935.8504,935.8504,935.8504,0.0,0.0,2019-05-14,_S,_SK19
2016-12-12,946.6127,946.6127,946.6127,946.6127,0.0,0.0,2019-05-14,_S,_SK19
2016-12-13,936.7679,936.7679,936.7679,936.7679,0.0,0.0,2019-05-14,_S,_SK19
2016-12-14,928.2433,928.2433,928.2433,928.2433,0.0,0.0,2019-05-14,_S,_SK19
2016-12-15,942.5382,942.5382,942.5382,942.5382,0.0,0.0,2019-05-14,_S,_SK19
2016-12-16,951.6808,951.6808,951.6808,951.6808,0.0,0.0,2019-05-14,_S,_SK19
2016-12-19,956.5344,956.5344,956.5344,956.5344,0.0,0.0,2019-05-14,_S,_SK19
2016-12-20,948.6908,948.6908,948.6908,948.6908,0.0,0.0,2019-05-14,_S,_SK19
2016-12-21,934.2707,934.2707,934.2707,934.2707,0.0,0.0,2019-05-14,_S,_SK19
2016-12-22,919.5092,919.5092,919.5092,919.5092,0.0,0.0,2019-05-14,_S,_SK19
2016-12-23,908.1073,908.1073,908.1073,908.1073,0.0,0.0,2019-05-14,_S,_SK19
2016-12-27,911.5581,911.5581,911.5581,911.5581,0.0,0.0,2019-05-14,_S,_SK19
2016-12-28,920.5825,920.5825,920.5825,920.5825,0.0,0.0,2019-05-14,_S,_SK19
2016-12-29,908.9832,908.9832,908.9832,908.9832,0.0,0.0,2019-05-14,_S,_SK19
2016-12-30,915.5279,915.5279,915.5279,915.5279,0.0,0.0,2019-05-14,_S,_SK19
2017-01-03,929.7186,929.7186,929.7186,929.7186,0.0,0.0,2019-05-14,_S,_SK19
2017-01-04,921.909,921.909,921.909,921.909,0.0,0.0,2019-05-14,_S,_SK19
2017-01-05,922.5543,922.5543,922.5543,922.5543,0.0,0.0,2019-05-14,_S,_SK19
2017-01-06,907.7012,907.7012,907.7012,907.7012,0.0,0.0,2019-05-14,_S,_SK19
2017-01-09,919.5013,919.5013,919.5013,919.5013,0.0,0.0,2019-05-14,_S,_SK19
2017-01-10,918.122,918.122,918.122,918.122,0.0,0.0,2019-05-14,_S,_SK19
2017-01-11,929.874,929.874,929.874,929.874,0.0,0.0,2019-05-14,_S,_SK19
2017-01-12,941.9624,941.9624,941.9624,941.9624,0.0,0.0,2019-05-14,_S,_SK19
2017-01-13,931.6008,931.6008,931.6008,931.6008,0.0,0.0,2019-05-14,_S,_SK19
2017-01-17,926.3838,926.3838,926.3838,926.3838,0.0,0.0,2019-05-14,_S,_SK19
2017-01-18,929.9967,929.9967,929.9967,929.9967,0.0,0.0,2019-05-14,_S,_SK19
2017-01-19,934.5537,934.5537,934.5537,934.5537,0.0,0.0,2019-05-14,_S,_SK19
2017-01-20,944.2731,944.2731,944.2731,944.2731,0.0,0.0,2019-05-14,_S,_SK19
2017-01-23,937.852,937.852,937.852,937.852,0.0,0.0,2019-05-14,_S,_SK19
2017-01-24,926.8791,926.8791,926.8791,926.8791,0.0,0.0,2019-05-14,_S,_SK19
2017-01-25,936.3333,936.3333,936.3333,936.3333,0.0,0.0,2019-05-14,_S,_SK19
2017-01-26,951.1274,951.1274,951.1274,951.1274,0.0,0.0,2019-05-14,_S,_SK19
2017-01-27,961.78,961.78,961.78,961.78,0.0,0.0,2019-05-14,_S,_SK19
2017-01-30,971.2054,971.2054,971.2054,971.2054,0.0,0.0,2019-05-14,_S,_SK19
2017-01-31,980.1405,980.1405,980.1405,980.1405,0.0,0.0,2019-05-14,_S,_SK19
2017-02-01,966.7126,966.7126,966.7126,966.7126,0.0,0.0,2019-05-14,_S,_SK19
2017-02-02,970.9661,970.9661,970.9661,970.9661,0.0,0.0,2019-05-14,_S,_SK19
2017-02-03,955.0423,955.0423,955.0423,955.0423,0.0,0.0,2019-05-14,_S,_SK19
2017-02-06,953.8007,953.8007,953.8007,953.8007,0.0,0.0,2019-05-14,_S,_SK19
2017-02-07,938.3491,938.3491,938.3491,938.3491,0.0,0.0,2019-05-14,_S,_SK19
