,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-13,886.5837,886.5837,886.5837,886.5837,0.0,0.0,2019-07-12,_S,_SN19
2015-11-16,872.8417,872.8417,872.8417,872.8417,0.0,0.0,2019-07-12,_S,_SN19
2015-11-17,871.707,871.707,871.707,871.707,0.0,0.0,2019-07-12,_S,_SN19
2015-11-18,860.8978,860.8978,860.8978,860.8978,0.0,0.0,2019-07-12,_S,_SN19
2015-11-19,851.7723,851.7723,851.7723,851.7723,0.0,0.0,2019-07-12,_S,_SN19
2015-11-20,863.3564,863.3564,863.3564,863.3564,0.0,0.0,2019-07-12,_S,_SN19
2015-11-23,860.5937,860.5937,860.5937,860.5937,0.0,0.0,2019-07-12,_S,_SN19
2015-11-24,866.5318,866.5318,866.5318,866.5318,0.0,0.0,2019-07-12,_S,_SN19
2015-11-25,853.9671,853.9671,853.9671,853.9671,0.0,0.0,2019-07-12,_S,_SN19
2015-11-27,850.295,850.295,850.295,850.295,0.0,0.0,2019-07-12,_S,_SN19
2015-11-30,837.9657,837.9657,837.9657,837.9657,0.0,0.0,2019-07-12,_S,_SN19
2015-12-01,839.3064,839.3064,839.3064,839.3064,0.0,0.0,2019-07-12,_S,_SN19
2015-12-02,829.4865,829.4865,829.4865,829.4865,0.0,0.0,2019-07-12,_S,_SN19
2015-12-03,828.4082,828.4082,828.4082,828.4082,0.0,0.0,2019-07-12,_S,_SN19
2015-12-04,837.8521,837.8521,837.8521,837.8521,0.0,0.0,2019-07-12,_S,_SN19
2015-12-07,830.7304,830.7304,830.7304,830.7304,0.0,0.0,2019-07-12,_S,_SN19
2015-12-08,839.2039,839.2039,839.2039,839.2039,0.0,0.0,2019-07-12,_S,_SN19
2015-12-09,840.6305,840.6305,840.6305,840.6305,0.0,0.0,2019-07-12,_S,_SN19
2015-12-10,829.7864,829.7864,829.7864,829.7864,0.0,0.0,2019-07-12,_S,_SN19
2015-12-11,841.7353,841.7353,841.7353,841.7353,0.0,0.0,2019-07-12,_S,_SN19
2015-12-14,842.3245,842.3245,842.3245,842.3245,0.0,0.0,2019-07-12,_S,_SN19
2015-12-15,841.061,841.061,841.061,841.061,0.0,0.0,2019-07-12,_S,_SN19
2015-12-16,834.1643,834.1643,834.1643,834.1643,0.0,0.0,2019-07-12,_S,_SN19
2015-12-17,844.8416,844.8416,844.8416,844.8416,0.0,0.0,2019-07-12,_S,_SN19
2015-12-18,835.2949,835.2949,835.2949,835.2949,0.0,0.0,2019-07-12,_S,_SN19
2015-12-21,829.6984,829.6984,829.6984,829.6984,0.0,0.0,2019-07-12,_S,_SN19
2015-12-22,818.4975,818.4975,818.4975,818.4975,0.0,0.0,2019-07-12,_S,_SN19
2015-12-23,807.9389,807.9389,807.9389,807.9389,0.0,0.0,2019-07-12,_S,_SN19
2015-12-24,813.9176,813.9176,813.9176,813.9176,0.0,0.0,2019-07-12,_S,_SN19
2015-12-28,810.9875,810.9875,810.9875,810.9875,0.0,0.0,2019-07-12,_S,_SN19
2015-12-29,817.5565,817.5565,817.5565,817.5565,0.0,0.0,2019-07-12,_S,_SN19
2015-12-30,828.757,828.757,828.757,828.757,0.0,0.0,2019-07-12,_S,_SN19
2015-12-31,822.9557,822.9557,822.9557,822.9557,0.0,0.0,2019-07-12,_S,_SN19
2016-01-04,829.6216,829.6216,829.6216,829.6216,0.0,0.0,2019-07-12,_S,_SN19
2016-01-05,816.4306,816.4306,816.4306,816.4306,0.0,0.0,2019-07-12,_S,_SN19
2016-01-06,809.6542,809.6542,809.6542,809.6542,0.0,0.0,2019-07-12,_S,_SN19
2016-01-07,809.0874,809.0874,809.0874,809.0874,0.0,0.0,2019-07-12,_S,_SN19
2016-01-08,813.4565,813.4565,813.4565,813.4565,0.0,0.0,2019-07-12,_S,_SN19
2016-01-11,819.4761,819.4761,819.4761,819.4761,0.0,0.0,2019-07-12,_S,_SN19
2016-01-12,818.2469,818.2469,818.2469,818.2469,0.0,0.0,2019-07-12,_S,_SN19
2016-01-13,822.2563,822.2563,822.2563,822.2563,0.0,0.0,2019-07-12,_S,_SN19
2016-01-14,820.1184,820.1184,820.1184,820.1184,0.0,0.0,2019-07-12,_S,_SN19
2016-01-15,832.6662,832.6662,832.6662,832.6662,0.0,0.0,2019-07-12,_S,_SN19
2016-01-19,829.4188,829.4188,829.4188,829.4188,0.0,0.0,2019-07-12,_S,_SN19
2016-01-20,828.3406,828.3406,828.3406,828.3406,0.0,0.0,2019-07-12,_S,_SN19
2016-01-21,833.642,833.642,833.642,833.642,0.0,0.0,2019-07-12,_S,_SN19
2016-01-22,846.8135,846.8135,846.8135,846.8135,0.0,0.0,2019-07-12,_S,_SN19
2016-01-25,838.0066,838.0066,838.0066,838.0066,0.0,0.0,2019-07-12,_S,_SN19
2016-01-26,842.3642,842.3642,842.3642,842.3642,0.0,0.0,2019-07-12,_S,_SN19
