,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-13,920.3003,920.3003,920.3003,920.3003,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-16,910.085,910.085,910.085,910.085,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-17,899.528,899.528,899.528,899.528,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-18,885.4954,885.4954,885.4954,885.4954,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-19,895.1473,895.1473,895.1473,895.1473,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-20,892.1933,892.1933,892.1933,892.1933,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-23,882.29,882.29,882.29,882.29,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-24,894.3774,894.3774,894.3774,894.3774,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-25,898.3127,898.3127,898.3127,898.3127,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-27,911.2484,911.2484,911.2484,911.2484,0.0,0.0,2018-08-14,_S,_SQ18
2015-11-30,906.6922,906.6922,906.6922,906.6922,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-01,915.6685,915.6685,915.6685,915.6685,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-02,914.8444,914.8444,914.8444,914.8444,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-03,924.1758,924.1758,924.1758,924.1758,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-04,914.6568,914.6568,914.6568,914.6568,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-07,911.6384,911.6384,911.6384,911.6384,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-08,904.4365,904.4365,904.4365,904.4365,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-09,910.858,910.858,910.858,910.858,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-10,897.3773,897.3773,897.3773,897.3773,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-11,905.6332,905.6332,905.6332,905.6332,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-14,906.4483,906.4483,906.4483,906.4483,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-15,893.3048,893.3048,893.3048,893.3048,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-16,878.7439,878.7439,878.7439,878.7439,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-17,890.7827,890.7827,890.7827,890.7827,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-18,875.9066,875.9066,875.9066,875.9066,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-21,871.0891,871.0891,871.0891,871.0891,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-22,885.2879,885.2879,885.2879,885.2879,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-23,877.0547,877.0547,877.0547,877.0547,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-24,890.1228,890.1228,890.1228,890.1228,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-28,893.5943,893.5943,893.5943,893.5943,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-29,889.8412,889.8412,889.8412,889.8412,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-30,895.3582,895.3582,895.3582,895.3582,0.0,0.0,2018-08-14,_S,_SQ18
2015-12-31,898.8501,898.8501,898.8501,898.8501,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-04,885.5471,885.5471,885.5471,885.5471,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-05,894.0484,894.0484,894.0484,894.0484,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-06,902.1842,902.1842,902.1842,902.1842,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-07,892.8015,892.8015,892.8015,892.8015,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-08,904.4972,904.4972,904.4972,904.4972,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-11,897.3517,897.3517,897.3517,897.3517,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-12,893.5828,893.5828,893.5828,893.5828,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-13,884.1108,884.1108,884.1108,884.1108,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-14,871.2028,871.2028,871.2028,871.2028,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-15,879.305,879.305,879.305,879.305,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-19,893.2859,893.2859,893.2859,893.2859,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-20,880.5119,880.5119,880.5119,880.5119,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-21,894.8642,894.8642,894.8642,894.8642,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-22,884.9312,884.9312,884.9312,884.9312,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-25,878.9137,878.9137,878.9137,878.9137,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-26,889.5486,889.5486,889.5486,889.5486,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-27,892.2172,892.2172,892.2172,892.2172,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-28,900.4256,900.4256,900.4256,900.4256,0.0,0.0,2018-08-14,_S,_SQ18
2016-01-29,892.6819,892.6819,892.6819,892.6819,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-01,887.6829,887.6829,887.6829,887.6829,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-02,883.2445,883.2445,883.2445,883.2445,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-03,876.7085,876.7085,876.7085,876.7085,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-04,864.6976,864.6976,864.6976,864.6976,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-05,858.7312,858.7312,858.7312,858.7312,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-08,865.2576,865.2576,865.2576,865.2576,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-09,874.862,874.862,874.862,874.862,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-10,881.7734,881.7734,881.7734,881.7734,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-11,890.7675,890.7675,890.7675,890.7675,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-12,898.6063,898.6063,898.6063,898.6063,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-16,901.9311,901.9311,901.9311,901.9311,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-17,893.002,893.002,893.002,893.002,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-18,894.9666,894.9666,894.9666,894.9666,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-19,906.1537,906.1537,906.1537,906.1537,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-22,900.4449,900.4449,900.4449,900.4449,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-23,906.748,906.748,906.748,906.748,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-24,904.3905,904.3905,904.3905,904.3905,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-25,912.9822,912.9822,912.9822,912.9822,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-26,911.1562,911.1562,911.1562,911.1562,0.0,0.0,2018-08-14,_S,_SQ18
2016-02-29,902.0446,902.0446,902.0446,902.0446,0.0,0.0,2018-08-14,_S,_SQ18
2016-03-01,906.4646,906.4646,906.4646,906.4646,0.0,0.0,2018-08-14,_S,_SQ18
2016-03-02,903.4733,903.4733,903.4733,903.4733,4.0,4.0,2018-08-14,_S,_SQ18
2016-03-03,905.732,905.732,905.732,905.732,0.0,4.0,2018-08-14,_S,_SQ18
2016-03-04,910.623,910.623,910.623,910.623,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-07,906.1609,906.1609,906.1609,906.1609,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-08,898.1867,898.1867,898.1867,898.1867,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-09,895.6718,895.6718,895.6718,895.6718,0.0,6.0,2018-08-14,_S,_SQ18
2016-03-10,895.4031,895.4031,895.4031,895.4031,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-11,901.7605,901.7605,901.7605,901.7605,0.0,4.0,2018-08-14,_S,_SQ18
2016-03-14,887.5127,887.5127,887.5127,887.5127,0.0,6.0,2018-08-14,_S,_SQ18
2016-03-15,895.6778,895.6778,895.6778,895.6778,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-16,906.2468,906.2468,906.2468,906.2468,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-17,909.1468,909.1468,909.1468,909.1468,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-18,901.8736,901.8736,901.8736,901.8736,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-21,899.5287,899.5287,899.5287,899.5287,0.0,4.0,2018-08-14,_S,_SQ18
2016-03-22,909.9632,909.9632,909.9632,909.9632,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-23,920.9738,920.9738,920.9738,920.9738,0.0,6.0,2018-08-14,_S,_SQ18
2016-03-24,913.7902,913.7902,913.7902,913.7902,0.0,4.0,2018-08-14,_S,_SQ18
2016-03-28,917.354,917.354,917.354,917.354,0.0,6.0,2018-08-14,_S,_SQ18
2016-03-29,928.6375,928.6375,928.6375,928.6375,0.0,5.0,2018-08-14,_S,_SQ18
2016-03-30,937.5524,937.5524,937.5524,937.5524,0.0,4.0,2018-08-14,_S,_SQ18
2016-03-31,925.1767,925.1767,925.1767,925.1767,0.0,6.0,2018-08-14,_S,_SQ18
2016-04-01,920.5508,920.5508,920.5508,920.5508,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-04,936.1081,936.1081,936.1081,936.1081,0.0,4.0,2018-08-14,_S,_SQ18
2016-04-05,927.4959,927.4959,927.4959,927.4959,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-06,932.0406,932.0406,932.0406,932.0406,0.0,6.0,2018-08-14,_S,_SQ18
2016-04-07,936.6076,936.6076,936.6076,936.6076,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-08,923.4951,923.4951,923.4951,923.4951,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-11,933.8382,933.8382,933.8382,933.8382,0.0,4.0,2018-08-14,_S,_SQ18
2016-04-12,929.2624,929.2624,929.2624,929.2624,0.0,6.0,2018-08-14,_S,_SQ18
2016-04-13,922.3859,922.3859,922.3859,922.3859,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-14,935.8527,935.8527,935.8527,935.8527,0.0,6.0,2018-08-14,_S,_SQ18
2016-04-15,936.227,936.227,936.227,936.227,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-18,948.7724,948.7724,948.7724,948.7724,0.0,6.0,2018-08-14,_S,_SQ18
2016-04-19,963.3835,963.3835,963.3835,963.3835,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-20,979.3757,979.3757,979.3757,979.3757,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-21,979.9633,979.9633,979.9633,979.9633,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-22,968.3017,968.3017,968.3017,968.3017,0.0,4.0,2018-08-14,_S,_SQ18
2016-04-25,969.3668,969.3668,969.3668,969.3668,0.0,4.0,2018-08-14,_S,_SQ18
2016-04-26,986.2338,986.2338,986.2338,986.2338,0.0,5.0,2018-08-14,_S,_SQ18
2016-04-27,979.0343,979.0343,979.0343,979.0343,0.0,6.0,2018-08-14,_S,_SQ18
