,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-14,965.4568,965.4568,965.4568,965.4568,0.0,0.0,2019-09-13,_S,_SU19
2016-11-15,964.6844,964.6844,964.6844,964.6844,0.0,0.0,2019-09-13,_S,_SU19
2016-11-16,966.5173,966.5173,966.5173,966.5173,0.0,0.0,2019-09-13,_S,_SU19
2016-11-17,977.149,977.149,977.149,977.149,0.0,0.0,2019-09-13,_S,_SU19
2016-11-18,991.7085,991.7085,991.7085,991.7085,0.0,0.0,2019-09-13,_S,_SU19
2016-11-21,1002.9148,1002.9148,1002.9148,1002.9148,0.0,0.0,2019-09-13,_S,_SU19
2016-11-22,1007.4279,1007.4279,1007.4279,1007.4279,0.0,0.0,2019-09-13,_S,_SU19
2016-11-23,1007.5286,1007.5286,1007.5286,1007.5286,0.0,0.0,2019-09-13,_S,_SU19
2016-11-25,993.2217,993.2217,993.2217,993.2217,0.0,0.0,2019-09-13,_S,_SU19
2016-11-28,1008.418,1008.418,1008.418,1008.418,0.0,0.0,2019-09-13,_S,_SU19
2016-11-29,1007.4096,1007.4096,1007.4096,1007.4096,0.0,0.0,2019-09-13,_S,_SU19
2016-11-30,1015.6704,1015.6704,1015.6704,1015.6704,0.0,0.0,2019-09-13,_S,_SU19
2016-12-01,1031.007,1031.007,1031.007,1031.007,0.0,0.0,2019-09-13,_S,_SU19
2016-12-02,1035.2341,1035.2341,1035.2341,1035.2341,0.0,0.0,2019-09-13,_S,_SU19
2016-12-05,1042.5843,1042.5843,1042.5843,1042.5843,0.0,0.0,2019-09-13,_S,_SU19
2016-12-06,1035.2862,1035.2862,1035.2862,1035.2862,0.0,0.0,2019-09-13,_S,_SU19
2016-12-07,1024.0016,1024.0016,1024.0016,1024.0016,0.0,0.0,2019-09-13,_S,_SU19
2016-12-08,1017.8576,1017.8576,1017.8576,1017.8576,0.0,0.0,2019-09-13,_S,_SU19
2016-12-09,1020.504,1020.504,1020.504,1020.504,0.0,0.0,2019-09-13,_S,_SU19
2016-12-12,1005.1964,1005.1964,1005.1964,1005.1964,0.0,0.0,2019-09-13,_S,_SU19
2016-12-13,996.8533,996.8533,996.8533,996.8533,0.0,0.0,2019-09-13,_S,_SU19
2016-12-14,993.5637,993.5637,993.5637,993.5637,0.0,0.0,2019-09-13,_S,_SU19
2016-12-15,1009.1627,1009.1627,1009.1627,1009.1627,0.0,0.0,2019-09-13,_S,_SU19
2016-12-16,1003.1077,1003.1077,1003.1077,1003.1077,0.0,0.0,2019-09-13,_S,_SU19
2016-12-19,1012.236,1012.236,1012.236,1012.236,0.0,0.0,2019-09-13,_S,_SU19
2016-12-20,1003.4295,1003.4295,1003.4295,1003.4295,0.0,0.0,2019-09-13,_S,_SU19
2016-12-21,1010.6542,1010.6542,1010.6542,1010.6542,0.0,0.0,2019-09-13,_S,_SU19
2016-12-22,1009.2393,1009.2393,1009.2393,1009.2393,0.0,0.0,2019-09-13,_S,_SU19
2016-12-23,1011.3587,1011.3587,1011.3587,1011.3587,0.0,0.0,2019-09-13,_S,_SU19
2016-12-27,1019.045,1019.045,1019.045,1019.045,0.0,0.0,2019-09-13,_S,_SU19
2016-12-28,1002.8422,1002.8422,1002.8422,1002.8422,0.0,0.0,2019-09-13,_S,_SU19
2016-12-29,1006.8536,1006.8536,1006.8536,1006.8536,0.0,0.0,2019-09-13,_S,_SU19
2016-12-30,1022.3591,1022.3591,1022.3591,1022.3591,0.0,0.0,2019-09-13,_S,_SU19
2017-01-03,1012.1355,1012.1355,1012.1355,1012.1355,0.0,0.0,2019-09-13,_S,_SU19
2017-01-04,1005.6578,1005.6578,1005.6578,1005.6578,0.0,0.0,2019-09-13,_S,_SU19
2017-01-05,1015.6138,1015.6138,1015.6138,1015.6138,0.0,0.0,2019-09-13,_S,_SU19
2017-01-06,1018.4575,1018.4575,1018.4575,1018.4575,0.0,0.0,2019-09-13,_S,_SU19
2017-01-09,1013.2634,1013.2634,1013.2634,1013.2634,0.0,0.0,2019-09-13,_S,_SU19
2017-01-10,1002.6241,1002.6241,1002.6241,1002.6241,0.0,0.0,2019-09-13,_S,_SU19
2017-01-11,1007.6372,1007.6372,1007.6372,1007.6372,0.0,0.0,2019-09-13,_S,_SU19
2017-01-12,1011.6677,1011.6677,1011.6677,1011.6677,0.0,0.0,2019-09-13,_S,_SU19
2017-01-13,1011.5665,1011.5665,1011.5665,1011.5665,0.0,0.0,2019-09-13,_S,_SU19
2017-01-17,1007.0145,1007.0145,1007.0145,1007.0145,0.0,0.0,2019-09-13,_S,_SU19
2017-01-18,1021.012,1021.012,1021.012,1021.012,0.0,0.0,2019-09-13,_S,_SU19
2017-01-19,1021.2162,1021.2162,1021.2162,1021.2162,0.0,0.0,2019-09-13,_S,_SU19
2017-01-20,1009.7786,1009.7786,1009.7786,1009.7786,0.0,0.0,2019-09-13,_S,_SU19
2017-01-23,1025.8341,1025.8341,1025.8341,1025.8341,0.0,0.0,2019-09-13,_S,_SU19
2017-01-24,1023.2695,1023.2695,1023.2695,1023.2695,0.0,0.0,2019-09-13,_S,_SU19
2017-01-25,1018.2555,1018.2555,1018.2555,1018.2555,0.0,0.0,2019-09-13,_S,_SU19
2017-01-26,1005.4255,1005.4255,1005.4255,1005.4255,0.0,0.0,2019-09-13,_S,_SU19
2017-01-27,1001.3033,1001.3033,1001.3033,1001.3033,0.0,0.0,2019-09-13,_S,_SU19
2017-01-30,1013.3189,1013.3189,1013.3189,1013.3189,0.0,0.0,2019-09-13,_S,_SU19
2017-01-31,1026.1881,1026.1881,1026.1881,1026.1881,0.0,0.0,2019-09-13,_S,_SU19
2017-02-01,1031.5243,1031.5243,1031.5243,1031.5243,0.0,0.0,2019-09-13,_S,_SU19
2017-02-02,1017.5987,1017.5987,1017.5987,1017.5987,0.0,0.0,2019-09-13,_S,_SU19
