,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-13,879.9874,879.9874,879.9874,879.9874,0.0,0.0,2019-11-14,_S,_SX19
2015-11-16,878.1394,878.1394,878.1394,878.1394,0.0,0.0,2019-11-14,_S,_SX19
2015-11-17,872.3437,872.3437,872.3437,872.3437,0.0,0.0,2019-11-14,_S,_SX19
2015-11-18,865.4522,865.4522,865.4522,865.4522,0.0,0.0,2019-11-14,_S,_SX19
2015-11-19,860.4326,860.4326,860.4326,860.4326,0.0,0.0,2019-11-14,_S,_SX19
2015-11-20,855.4421,855.4421,855.4421,855.4421,0.0,0.0,2019-11-14,_S,_SX19
2015-11-23,861.7724,861.7724,861.7724,861.7724,0.0,0.0,2019-11-14,_S,_SX19
2015-11-24,853.1547,853.1547,853.1547,853.1547,0.0,0.0,2019-11-14,_S,_SX19
2015-11-25,841.2958,841.2958,841.2958,841.2958,0.0,0.0,2019-11-14,_S,_SX19
2015-11-27,844.0721,844.0721,844.0721,844.0721,0.0,0.0,2019-11-14,_S,_SX19
2015-11-30,845.2538,845.2538,845.2538,845.2538,0.0,0.0,2019-11-14,_S,_SX19
2015-12-01,848.7193,848.7193,848.7193,848.7193,0.0,0.0,2019-11-14,_S,_SX19
2015-12-02,840.0624,840.0624,840.0624,840.0624,0.0,0.0,2019-11-14,_S,_SX19
2015-12-03,830.2337,830.2337,830.2337,830.2337,0.0,0.0,2019-11-14,_S,_SX19
2015-12-04,830.4828,830.4828,830.4828,830.4828,0.0,0.0,2019-11-14,_S,_SX19
2015-12-07,823.4237,823.4237,823.4237,823.4237,0.0,0.0,2019-11-14,_S,_SX19
2015-12-08,819.7183,819.7183,819.7183,819.7183,0.0,0.0,2019-11-14,_S,_SX19
2015-12-09,821.3577,821.3577,821.3577,821.3577,0.0,0.0,2019-11-14,_S,_SX19
2015-12-10,811.255,811.255,811.255,811.255,0.0,0.0,2019-11-14,_S,_SX19
2015-12-11,823.0182,823.0182,823.0182,823.0182,0.0,0.0,2019-11-14,_S,_SX19
2015-12-14,822.689,822.689,822.689,822.689,0.0,0.0,2019-11-14,_S,_SX19
2015-12-15,831.9031,831.9031,831.9031,831.9031,0.0,0.0,2019-11-14,_S,_SX19
2015-12-16,838.2256,838.2256,838.2256,838.2256,0.0,0.0,2019-11-14,_S,_SX19
2015-12-17,831.436,831.436,831.436,831.436,0.0,0.0,2019-11-14,_S,_SX19
2015-12-18,840.4155,840.4155,840.4155,840.4155,0.0,0.0,2019-11-14,_S,_SX19
2015-12-21,844.5335,844.5335,844.5335,844.5335,0.0,0.0,2019-11-14,_S,_SX19
2015-12-22,832.2878,832.2878,832.2878,832.2878,0.0,0.0,2019-11-14,_S,_SX19
2015-12-23,841.6094,841.6094,841.6094,841.6094,0.0,0.0,2019-11-14,_S,_SX19
2015-12-24,853.8127,853.8127,853.8127,853.8127,0.0,0.0,2019-11-14,_S,_SX19
2015-12-28,856.9718,856.9718,856.9718,856.9718,0.0,0.0,2019-11-14,_S,_SX19
2015-12-29,856.7147,856.7147,856.7147,856.7147,0.0,0.0,2019-11-14,_S,_SX19
2015-12-30,846.5198,846.5198,846.5198,846.5198,0.0,0.0,2019-11-14,_S,_SX19
2015-12-31,841.5253,841.5253,841.5253,841.5253,0.0,0.0,2019-11-14,_S,_SX19
2016-01-04,836.8128,836.8128,836.8128,836.8128,0.0,0.0,2019-11-14,_S,_SX19
2016-01-05,825.0974,825.0974,825.0974,825.0974,0.0,0.0,2019-11-14,_S,_SX19
2016-01-06,828.1503,828.1503,828.1503,828.1503,0.0,0.0,2019-11-14,_S,_SX19
2016-01-07,822.4361,822.4361,822.4361,822.4361,0.0,0.0,2019-11-14,_S,_SX19
2016-01-08,818.4884,818.4884,818.4884,818.4884,0.0,0.0,2019-11-14,_S,_SX19
2016-01-11,820.2072,820.2072,820.2072,820.2072,0.0,0.0,2019-11-14,_S,_SX19
2016-01-12,812.0051,812.0051,812.0051,812.0051,0.0,0.0,2019-11-14,_S,_SX19
2016-01-13,800.3934,800.3934,800.3934,800.3934,0.0,0.0,2019-11-14,_S,_SX19
2016-01-14,795.0308,795.0308,795.0308,795.0308,0.0,0.0,2019-11-14,_S,_SX19
2016-01-15,795.7463,795.7463,795.7463,795.7463,0.0,0.0,2019-11-14,_S,_SX19
2016-01-19,785.4812,785.4812,785.4812,785.4812,0.0,0.0,2019-11-14,_S,_SX19
2016-01-20,778.3333,778.3333,778.3333,778.3333,0.0,0.0,2019-11-14,_S,_SX19
2016-01-21,770.4721,770.4721,770.4721,770.4721,0.0,0.0,2019-11-14,_S,_SX19
2016-01-22,768.3148,768.3148,768.3148,768.3148,0.0,0.0,2019-11-14,_S,_SX19
2016-01-25,773.1552,773.1552,773.1552,773.1552,0.0,0.0,2019-11-14,_S,_SX19
2016-01-26,762.7949,762.7949,762.7949,762.7949,0.0,0.0,2019-11-14,_S,_SX19
2016-01-27,760.354,760.354,760.354,760.354,0.0,0.0,2019-11-14,_S,_SX19
2016-01-28,760.9623,760.9623,760.9623,760.9623,0.0,0.0,2019-11-14,_S,_SX19
2016-01-29,767.5827,767.5827,767.5827,767.5827,0.0,0.0,2019-11-14,_S,_SX19
2016-02-01,762.2864,762.2864,762.2864,762.2864,0.0,0.0,2019-11-14,_S,_SX19
2016-02-02,770.9002,770.9002,770.9002,770.9002,0.0,0.0,2019-11-14,_S,_SX19
2016-02-03,773.5213,773.5213,773.5213,773.5213,0.0,0.0,2019-11-14,_S,_SX19
2016-02-04,777.853,777.853,777.853,777.853,0.0,0.0,2019-11-14,_S,_SX19
2016-02-05,775.2083,775.2083,775.2083,775.2083,0.0,0.0,2019-11-14,_S,_SX19
2016-02-08,786.2163,786.2163,786.2163,786.2163,4.0,4.0,2019-11-14,_S,_SX19
2016-02-09,794.0785,794.0785,794.0785,794.0785,1.0,4.0,2019-11-14,_S,_SX19
2016-02-10,784.7084,784.7084,784.7084,784.7084,0.0,5.0,2019-11-14,_S,_SX19
2016-02-11,777.7245,777.7245,777.7245,777.7245,0.0,6.0,2019-11-14,_S,_SX19
2016-02-12,771.5805,771.5805,771.5805,771.5805,0.0,5.0,2019-11-14,_S,_SX19
2016-02-16,766.1023,766.1023,766.1023,766.1023,0.0,5.0,2019-11-14,_S,_SX19
2016-02-17,772.5376,772.5376,772.5376,772.5376,0.0,4.0,2019-11-14,_S,_SX19
2016-02-18,768.9067,768.9067,768.9067,768.9067,0.0,5.0,2019-11-14,_S,_SX19
2016-02-19,770.2138,770.2138,770.2138,770.2138,0.0,4.0,2019-11-14,_S,_SX19
2016-02-22,761.9725,761.9725,761.9725,761.9725,0.0,4.0,2019-11-14,_S,_SX19
2016-02-23,763.0393,763.0393,763.0393,763.0393,2.0,7.0,2019-11-14,_S,_SX19
2016-02-24,765.4047,765.4047,765.4047,765.4047,0.0,6.0,2019-11-14,_S,_SX19
2016-02-25,769.6144,769.6144,769.6144,769.6144,0.0,6.0,2019-11-14,_S,_SX19
2016-02-26,775.3865,775.3865,775.3865,775.3865,0.0,6.0,2019-11-14,_S,_SX19
2016-02-29,785.1564,785.1564,785.1564,785.1564,0.0,7.0,2019-11-14,_S,_SX19
2016-03-01,786.4127,786.4127,786.4127,786.4127,0.0,6.0,2019-11-14,_S,_SX19
2016-03-02,795.771,795.771,795.771,795.771,0.0,5.0,2019-11-14,_S,_SX19
2016-03-03,800.7048,800.7048,800.7048,800.7048,0.0,6.0,2019-11-14,_S,_SX19
2016-03-04,801.4254,801.4254,801.4254,801.4254,0.0,6.0,2019-11-14,_S,_SX19
2016-03-07,791.087,791.087,791.087,791.087,0.0,6.0,2019-11-14,_S,_SX19
2016-03-08,787.448,787.448,787.448,787.448,0.0,6.0,2019-11-14,_S,_SX19
2016-03-09,798.551,798.551,798.551,798.551,0.0,6.0,2019-11-14,_S,_SX19
2016-03-10,802.7833,802.7833,802.7833,802.7833,0.0,6.0,2019-11-14,_S,_SX19
2016-03-11,797.9666,797.9666,797.9666,797.9666,2.0,7.0,2019-11-14,_S,_SX19
2016-03-14,787.4334,787.4334,787.4334,787.4334,0.0,5.0,2019-11-14,_S,_SX19
2016-03-15,795.6227,795.6227,795.6227,795.6227,0.0,7.0,2019-11-14,_S,_SX19
2016-03-16,788.0643,788.0643,788.0643,788.0643,0.0,6.0,2019-11-14,_S,_SX19
2016-03-17,785.8577,785.8577,785.8577,785.8577,0.0,6.0,2019-11-14,_S,_SX19
2016-03-18,788.2939,788.2939,788.2939,788.2939,0.0,6.0,2019-11-14,_S,_SX19
2016-03-21,796.8075,796.8075,796.8075,796.8075,0.0,7.0,2019-11-14,_S,_SX19
2016-03-22,791.3892,791.3892,791.3892,791.3892,0.0,7.0,2019-11-14,_S,_SX19
2016-03-23,788.6193,788.6193,788.6193,788.6193,0.0,6.0,2019-11-14,_S,_SX19
2016-03-24,786.3323,786.3323,786.3323,786.3323,0.0,5.0,2019-11-14,_S,_SX19
2016-03-28,791.6794,791.6794,791.6794,791.6794,0.0,6.0,2019-11-14,_S,_SX19
2016-03-29,786.5335,786.5335,786.5335,786.5335,0.0,6.0,2019-11-14,_S,_SX19
2016-03-30,789.1291,789.1291,789.1291,789.1291,0.0,6.0,2019-11-14,_S,_SX19
2016-03-31,781.7113,781.7113,781.7113,781.7113,0.0,7.0,2019-11-14,_S,_SX19
2016-04-01,775.5358,775.5358,775.5358,775.5358,0.0,6.0,2019-11-14,_S,_SX19
2016-04-04,779.0257,779.0257,779.0257,779.0257,0.0,6.0,2019-11-14,_S,_SX19
2016-04-05,773.0272,773.0272,773.0272,773.0272,0.0,5.0,2019-11-14,_S,_SX19
2016-04-06,768.2344,768.2344,768.2344,768.2344,0.0,5.0,2019-11-14,_S,_SX19
2016-04-07,765.4688,765.4688,765.4688,765.4688,0.0,6.0,2019-11-14,_S,_SX19
2016-04-08,769.3727,769.3727,769.3727,769.3727,0.0,5.0,2019-11-14,_S,_SX19
2016-04-11,775.3738,775.3738,775.3738,775.3738,0.0,6.0,2019-11-14,_S,_SX19
2016-04-12,780.3362,780.3362,780.3362,780.3362,0.0,5.0,2019-11-14,_S,_SX19
2016-04-13,779.3218,779.3218,779.3218,779.3218,1.0,7.0,2019-11-14,_S,_SX19
2016-04-14,785.6343,785.6343,785.6343,785.6343,0.0,7.0,2019-11-14,_S,_SX19
2016-04-15,783.4345,783.4345,783.4345,783.4345,0.0,6.0,2019-11-14,_S,_SX19
2016-04-18,779.5957,779.5957,779.5957,779.5957,0.0,6.0,2019-11-14,_S,_SX19
2016-04-19,775.6977,775.6977,775.6977,775.6977,0.0,6.0,2019-11-14,_S,_SX19
2016-04-20,768.8716,768.8716,768.8716,768.8716,0.0,7.0,2019-11-14,_S,_SX19
2016-04-21,762.7975,762.7975,762.7975,762.7975,0.0,6.0,2019-11-14,_S,_SX19
2016-04-22,757.5342,757.5342,757.5342,757.5342,0.0,6.0,2019-11-14,_S,_SX19
2016-04-25,755.4131,755.4131,755.4131,755.4131,0.0,6.0,2019-11-14,_S,_SX19
2016-04-26,748.1611,748.1611,748.1611,748.1611,0.0,8.0,2019-11-14,_S,_SX19
2016-04-27,747.0389,747.0389,747.0389,747.0389,0.0,7.0,2019-11-14,_S,_SX19
2016-04-28,739.195,739.195,739.195,739.195,0.0,6.0,2019-11-14,_S,_SX19
2016-04-29,745.0346,745.0346,745.0346,745.0346,0.0,7.0,2019-11-14,_S,_SX19
2016-05-02,746.3757,746.3757,746.3757,746.3757,0.0,6.0,2019-11-14,_S,_SX19
2016-05-03,755.4815,755.4815,755.4815,755.4815,0.0,6.0,2019-11-14,_S,_SX19
2016-05-04,762.583,762.583,762.583,762.583,0.0,7.0,2019-11-14,_S,_SX19
2016-05-05,763.7269,763.7269,763.7269,763.7269,0.0,8.0,2019-11-14,_S,_SX19
2016-05-06,761.1302,761.1302,761.1302,761.1302,0.0,6.0,2019-11-14,_S,_SX19
2016-05-09,763.8703,763.8703,763.8703,763.8703,0.0,6.0,2019-11-14,_S,_SX19
2016-05-10,762.2662,762.2662,762.2662,762.2662,0.0,8.0,2019-11-14,_S,_SX19
2016-05-11,753.0428,753.0428,753.0428,753.0428,2.0,7.0,2019-11-14,_S,_SX19
2016-05-12,754.6242,754.6242,754.6242,754.6242,0.0,6.0,2019-11-14,_S,_SX19
2016-05-13,765.038,765.038,765.038,765.038,0.0,6.0,2019-11-14,_S,_SX19
2016-05-16,770.6228,770.6228,770.6228,770.6228,0.0,6.0,2019-11-14,_S,_SX19
2016-05-17,759.9882,759.9882,759.9882,759.9882,0.0,7.0,2019-11-14,_S,_SX19
2016-05-18,766.5241,766.5241,766.5241,766.5241,0.0,8.0,2019-11-14,_S,_SX19
2016-05-19,772.9629,772.9629,772.9629,772.9629,0.0,7.0,2019-11-14,_S,_SX19
