,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-13,588.0871,588.0871,588.0871,588.0871,0.0,0.0,2018-09-26,_W,_WH21
2018-07-16,588.2047,588.2047,588.2047,588.2047,0.0,0.0,2018-09-26,_W,_WH21
2018-07-17,588.2047,588.2047,588.2047,588.2047,0.0,0.0,2018-09-26,_W,_WH21
2018-07-18,598.7924,598.7924,598.7924,598.7924,0.0,0.0,2018-09-26,_W,_WH21
2018-07-19,590.6488,590.6488,590.6488,590.6488,0.0,0.0,2018-09-26,_W,_WH21
2018-07-20,594.429,594.429,594.429,594.429,0.0,0.0,2018-09-26,_W,_WH21
2018-07-23,604.6532,604.6532,604.6532,604.6532,0.0,0.0,2018-09-26,_W,_WH21
2018-07-24,596.9136,596.9136,596.9136,596.9136,0.0,0.0,2018-09-26,_W,_WH21
2018-07-25,591.8995,591.8995,591.8995,591.8995,0.0,0.0,2018-09-26,_W,_WH21
2018-07-26,602.5537,602.5537,602.5537,602.5537,0.0,0.0,2018-09-26,_W,_WH21
2018-07-27,597.7333,597.7333,597.7333,597.7333,2.0,1.0,2018-09-26,_W,_WH21
2018-07-30,590.3214,590.3214,590.3214,590.3214,0.0,1.0,2018-09-26,_W,_WH21
2018-07-31,591.2659,591.2659,591.2659,591.2659,7.0,6.0,2018-09-26,_W,_WH21
2018-08-01,590.2607,590.2607,590.2607,590.2607,74.0,55.0,2018-09-26,_W,_WH21
2018-08-02,587.2504,587.2504,587.2504,587.2504,2.0,49.0,2018-09-26,_W,_WH21
2018-08-03,585.8997,585.8997,585.8997,585.8997,3.0,62.0,2018-09-26,_W,_WH21
2018-08-06,576.4667,576.4667,576.4667,576.4667,0.0,52.0,2018-09-26,_W,_WH21
2018-08-07,566.8974,566.8974,566.8974,566.8974,2.0,49.0,2018-09-26,_W,_WH21
2018-08-08,567.5777,567.5777,567.5777,567.5777,0.0,57.0,2018-09-26,_W,_WH21
2018-08-09,574.4454,574.4454,574.4454,574.4454,0.0,66.0,2018-09-26,_W,_WH21
2018-08-10,573.2965,573.2965,573.2965,573.2965,13.0,75.0,2018-09-26,_W,_WH21
2018-08-13,570.946,570.946,570.946,570.946,2.0,54.0,2018-09-26,_W,_WH21
2018-08-14,559.47,559.47,559.47,559.47,4.0,81.0,2018-09-26,_W,_WH21
2018-08-15,555.4978,555.4978,555.4978,555.4978,2.0,83.0,2018-09-26,_W,_WH21
2018-08-16,565.3857,565.3857,565.3857,565.3857,3.0,76.0,2018-09-26,_W,_WH21
2018-08-17,556.3395,556.3395,556.3395,556.3395,0.0,58.0,2018-09-26,_W,_WH21
2018-08-20,545.8247,545.8247,545.8247,545.8247,0.0,69.0,2018-09-26,_W,_WH21
2018-08-21,549.5909,549.5909,549.5909,549.5909,0.0,71.0,2018-09-26,_W,_WH21
2018-08-22,541.1822,541.1822,541.1822,541.1822,0.0,74.0,2018-09-26,_W,_WH21
2018-08-23,534.0386,534.0386,534.0386,534.0386,0.0,72.0,2018-09-26,_W,_WH21
2018-08-24,530.6742,530.6742,530.6742,530.6742,0.0,57.0,2018-09-26,_W,_WH21
2018-08-27,520.4322,520.4322,520.4322,520.4322,2.0,74.0,2018-09-26,_W,_WH21
2018-08-28,530.5806,530.5806,530.5806,530.5806,0.0,66.0,2018-09-26,_W,_WH21
2018-08-29,528.9358,528.9358,528.9358,528.9358,0.0,79.0,2018-09-26,_W,_WH21
2018-08-30,530.7342,530.7342,530.7342,530.7342,0.0,66.0,2018-09-26,_W,_WH21
2018-08-31,525.4799,525.4799,525.4799,525.4799,3.0,63.0,2018-09-26,_W,_WH21
2018-09-04,529.5261,529.5261,529.5261,529.5261,0.0,66.0,2018-09-26,_W,_WH21
2018-09-05,537.416,537.416,537.416,537.416,0.0,64.0,2018-09-26,_W,_WH21
2018-09-06,541.5004,541.5004,541.5004,541.5004,0.0,81.0,2018-09-26,_W,_WH21
2018-09-07,546.5364,546.5364,546.5364,546.5364,0.0,80.0,2018-09-26,_W,_WH21
2018-09-10,548.4493,548.4493,548.4493,548.4493,0.0,71.0,2018-09-26,_W,_WH21
2018-09-11,539.6741,539.6741,539.6741,539.6741,0.0,78.0,2018-09-26,_W,_WH21
2018-09-12,541.7788,541.7788,541.7788,541.7788,8.0,64.0,2018-09-26,_W,_WH21
2018-09-13,540.9661,540.9661,540.9661,540.9661,0.0,62.0,2018-09-26,_W,_WH21
2018-09-14,530.85,530.85,530.85,530.85,4.0,69.0,2018-09-26,_W,_WH21
2018-09-17,533.0265,533.0265,533.0265,533.0265,0.0,89.0,2018-09-26,_W,_WH21
2018-09-18,539.3162,539.3162,539.3162,539.3162,0.0,89.0,2018-09-26,_W,_WH21
2018-09-19,533.5455,533.5455,533.5455,533.5455,0.0,76.0,2018-09-26,_W,_WH21
2018-09-20,523.3014,523.3014,523.3014,523.3014,0.0,66.0,2018-09-26,_W,_WH21
2018-09-21,516.5508,516.5508,516.5508,516.5508,0.0,79.0,2018-09-26,_W,_WH21
2018-09-24,516.2409,516.2409,516.2409,516.2409,0.0,70.0,2018-09-26,_W,_WH21
2018-09-25,524.8621,524.8621,524.8621,524.8621,0.0,92.0,2018-09-26,_W,_WH21
2018-09-26,522.9726,522.9726,522.9726,522.9726,0.0,93.0,2018-09-26,_W,_WH21
2018-09-27,530.608,530.608,530.608,530.608,0.0,74.0,2018-09-26,_W,_WH21
2018-09-28,536.5508,536.5508,536.5508,536.5508,0.0,74.0,2018-09-26,_W,_WH21
2018-10-01,544.5991,544.5991,544.5991,544.5991,0.0,66.0,2018-09-26,_W,_WH21
2018-10-02,550.3719,550.3719,550.3719,550.3719,0.0,87.0,2018-09-26,_W,_WH21
2018-10-03,556.9213,556.9213,556.9213,556.9213,0.0,66.0,2018-09-26,_W,_WH21
2018-10-04,547.1752,547.1752,547.1752,547.1752,0.0,84.0,2018-09-26,_W,_WH21
2018-10-05,538.8581,538.8581,538.8581,538.8581,0.0,77.0,2018-09-26,_W,_WH21
2018-10-08,533.4695,533.4695,533.4695,533.4695,1.0,83.0,2018-09-26,_W,_WH21
2018-10-09,524.5072,524.5072,524.5072,524.5072,0.0,78.0,2018-09-26,_W,_WH21
