,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-07-14,537.2636,537.2636,537.2636,537.2636,0.0,0.0,2019-05-14,_W,_WK19
2016-07-15,526.5721,526.5721,526.5721,526.5721,0.0,0.0,2019-05-14,_W,_WK19
2016-07-18,526.4141,526.4141,526.4141,526.4141,0.0,0.0,2019-05-14,_W,_WK19
2016-07-19,534.6262,534.6262,534.6262,534.6262,0.0,0.0,2019-05-14,_W,_WK19
2016-07-20,525.0564,525.0564,525.0564,525.0564,0.0,0.0,2019-05-14,_W,_WK19
2016-07-21,514.7128,514.7128,514.7128,514.7128,0.0,0.0,2019-05-14,_W,_WK19
2016-07-22,525.2129,525.2129,525.2129,525.2129,0.0,0.0,2019-05-14,_W,_WK19
2016-07-25,534.5617,534.5617,534.5617,534.5617,0.0,0.0,2019-05-14,_W,_WK19
2016-07-26,522.5341,522.5341,522.5341,522.5341,0.0,0.0,2019-05-14,_W,_WK19
2016-07-27,526.0873,526.0873,526.0873,526.0873,0.0,0.0,2019-05-14,_W,_WK19
2016-07-28,525.8769,525.8769,525.8769,525.8769,0.0,0.0,2019-05-14,_W,_WK19
2016-07-29,518.9879,518.9879,518.9879,518.9879,0.0,0.0,2019-05-14,_W,_WK19
2016-08-01,509.698,509.698,509.698,509.698,0.0,0.0,2019-05-14,_W,_WK19
2016-08-02,518.057,518.057,518.057,518.057,0.0,0.0,2019-05-14,_W,_WK19
2016-08-03,513.6017,513.6017,513.6017,513.6017,0.0,0.0,2019-05-14,_W,_WK19
2016-08-04,512.9854,512.9854,512.9854,512.9854,0.0,0.0,2019-05-14,_W,_WK19
2016-08-05,510.7283,510.7283,510.7283,510.7283,0.0,0.0,2019-05-14,_W,_WK19
2016-08-08,517.3167,517.3167,517.3167,517.3167,0.0,0.0,2019-05-14,_W,_WK19
2016-08-09,518.7652,518.7652,518.7652,518.7652,0.0,0.0,2019-05-14,_W,_WK19
2016-08-10,530.1262,530.1262,530.1262,530.1262,0.0,0.0,2019-05-14,_W,_WK19
