,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-13,584.8072,584.8072,584.8072,584.8072,0.0,0.0,2018-09-26,_W,_WN21
2018-07-16,586.3277,586.3277,586.3277,586.3277,0.0,0.0,2018-09-26,_W,_WN21
2018-07-17,577.7673,577.7673,577.7673,577.7673,0.0,0.0,2018-09-26,_W,_WN21
2018-07-18,581.5806,581.5806,581.5806,581.5806,0.0,0.0,2018-09-26,_W,_WN21
2018-07-19,592.2817,592.2817,592.2817,592.2817,0.0,0.0,2018-09-26,_W,_WN21
2018-07-20,588.195,588.195,588.195,588.195,0.0,0.0,2018-09-26,_W,_WN21
2018-07-23,578.3133,578.3133,578.3133,578.3133,0.0,0.0,2018-09-26,_W,_WN21
2018-07-24,584.7904,584.7904,584.7904,584.7904,0.0,0.0,2018-09-26,_W,_WN21
2018-07-25,582.9191,582.9191,582.9191,582.9191,0.0,0.0,2018-09-26,_W,_WN21
2018-07-26,578.1975,578.1975,578.1975,578.1975,0.0,0.0,2018-09-26,_W,_WN21
2018-07-27,573.8032,573.8032,573.8032,573.8032,0.0,0.0,2018-09-26,_W,_WN21
2018-07-30,584.3038,584.3038,584.3038,584.3038,2.0,2.0,2018-09-26,_W,_WN21
2018-07-31,592.1919,592.1919,592.1919,592.1919,0.0,2.0,2018-09-26,_W,_WN21
2018-08-01,599.0613,599.0613,599.0613,599.0613,0.0,2.0,2018-09-26,_W,_WN21
2018-08-02,610.3836,610.3836,610.3836,610.3836,0.0,2.0,2018-09-26,_W,_WN21
2018-08-03,619.4783,619.4783,619.4783,619.4783,0.0,2.0,2018-09-26,_W,_WN21
2018-08-06,607.4604,607.4604,607.4604,607.4604,0.0,2.0,2018-09-26,_W,_WN21
2018-08-07,614.9322,614.9322,614.9322,614.9322,0.0,2.0,2018-09-26,_W,_WN21
2018-08-08,618.8678,618.8678,618.8678,618.8678,0.0,2.0,2018-09-26,_W,_WN21
2018-08-09,615.8972,615.8972,615.8972,615.8972,0.0,2.0,2018-09-26,_W,_WN21
2018-08-10,622.9184,622.9184,622.9184,622.9184,0.0,2.0,2018-09-26,_W,_WN21
2018-08-13,630.8918,630.8918,630.8918,630.8918,0.0,2.0,2018-09-26,_W,_WN21
2018-08-14,637.39,637.39,637.39,637.39,0.0,2.0,2018-09-26,_W,_WN21
2018-08-15,643.4452,643.4452,643.4452,643.4452,0.0,2.0,2018-09-26,_W,_WN21
2018-08-16,654.5125,654.5125,654.5125,654.5125,0.0,2.0,2018-09-26,_W,_WN21
2018-08-17,649.6691,649.6691,649.6691,649.6691,2.0,3.0,2018-09-26,_W,_WN21
2018-08-20,637.4553,637.4553,637.4553,637.4553,0.0,3.0,2018-09-26,_W,_WN21
2018-08-21,630.6345,630.6345,630.6345,630.6345,0.0,3.0,2018-09-26,_W,_WN21
2018-08-22,626.9768,626.9768,626.9768,626.9768,0.0,3.0,2018-09-26,_W,_WN21
2018-08-23,621.7102,621.7102,621.7102,621.7102,0.0,3.0,2018-09-26,_W,_WN21
2018-08-24,631.4711,631.4711,631.4711,631.4711,0.0,3.0,2018-09-26,_W,_WN21
2018-08-27,636.3334,636.3334,636.3334,636.3334,0.0,3.0,2018-09-26,_W,_WN21
2018-08-28,631.2427,631.2427,631.2427,631.2427,0.0,3.0,2018-09-26,_W,_WN21
2018-08-29,637.8707,637.8707,637.8707,637.8707,0.0,3.0,2018-09-26,_W,_WN21
2018-08-30,638.8913,638.8913,638.8913,638.8913,0.0,3.0,2018-09-26,_W,_WN21
2018-08-31,639.7857,639.7857,639.7857,639.7857,3.0,4.0,2018-09-26,_W,_WN21
2018-09-04,636.7787,636.7787,636.7787,636.7787,0.0,5.0,2018-09-26,_W,_WN21
2018-09-05,636.2056,636.2056,636.2056,636.2056,0.0,5.0,2018-09-26,_W,_WN21
2018-09-06,639.1321,639.1321,639.1321,639.1321,0.0,5.0,2018-09-26,_W,_WN21
2018-09-07,635.3612,635.3612,635.3612,635.3612,0.0,4.0,2018-09-26,_W,_WN21
2018-09-10,645.527,645.527,645.527,645.527,0.0,5.0,2018-09-26,_W,_WN21
2018-09-11,645.8498,645.8498,645.8498,645.8498,0.0,5.0,2018-09-26,_W,_WN21
2018-09-12,641.9747,641.9747,641.9747,641.9747,0.0,6.0,2018-09-26,_W,_WN21
2018-09-13,637.0957,637.0957,637.0957,637.0957,0.0,6.0,2018-09-26,_W,_WN21
2018-09-14,642.7021,642.7021,642.7021,642.7021,0.0,5.0,2018-09-26,_W,_WN21
2018-09-17,650.4145,650.4145,650.4145,650.4145,0.0,5.0,2018-09-26,_W,_WN21
2018-09-18,659.8455,659.8455,659.8455,659.8455,0.0,4.0,2018-09-26,_W,_WN21
2018-09-19,649.8818,649.8818,649.8818,649.8818,0.0,5.0,2018-09-26,_W,_WN21
2018-09-20,646.1125,646.1125,646.1125,646.1125,0.0,5.0,2018-09-26,_W,_WN21
2018-09-21,645.7894,645.7894,645.7894,645.7894,0.0,5.0,2018-09-26,_W,_WN21
2018-09-24,635.7797,635.7797,635.7797,635.7797,0.0,4.0,2018-09-26,_W,_WN21
2018-09-25,630.6935,630.6935,630.6935,630.6935,3.0,8.0,2018-09-26,_W,_WN21
2018-09-26,643.0551,643.0551,643.0551,643.0551,0.0,8.0,2018-09-26,_W,_WN21
2018-09-27,644.8557,644.8557,644.8557,644.8557,0.0,7.0,2018-09-26,_W,_WN21
2018-09-28,653.6257,653.6257,653.6257,653.6257,0.0,7.0,2018-09-26,_W,_WN21
2018-10-01,652.5799,652.5799,652.5799,652.5799,0.0,9.0,2018-09-26,_W,_WN21
2018-10-02,658.5184,658.5184,658.5184,658.5184,2.0,9.0,2018-09-26,_W,_WN21
2018-10-03,666.8816,666.8816,666.8816,666.8816,0.0,9.0,2018-09-26,_W,_WN21
2018-10-04,676.0179,676.0179,676.0179,676.0179,0.0,6.0,2018-09-26,_W,_WN21
2018-10-05,676.7615,676.7615,676.7615,676.7615,0.0,9.0,2018-09-26,_W,_WN21
2018-10-08,688.1311,688.1311,688.1311,688.1311,0.0,8.0,2018-09-26,_W,_WN21
2018-10-09,698.5219,698.5219,698.5219,698.5219,0.0,7.0,2018-09-26,_W,_WN21
2018-10-10,689.511,689.511,689.511,689.511,0.0,9.0,2018-09-26,_W,_WN21
2018-10-11,693.5102,693.5102,693.5102,693.5102,0.0,8.0,2018-09-26,_W,_WN21
2018-10-12,687.4073,687.4073,687.4073,687.4073,0.0,8.0,2018-09-26,_W,_WN21
2018-10-15,673.8654,673.8654,673.8654,673.8654,0.0,8.0,2018-09-26,_W,_WN21
2018-10-16,663.4205,663.4205,663.4205,663.4205,0.0,7.0,2018-09-26,_W,_WN21
2018-10-17,653.5355,653.5355,653.5355,653.5355,0.0,8.0,2018-09-26,_W,_WN21
2018-10-18,651.3788,651.3788,651.3788,651.3788,0.0,9.0,2018-09-26,_W,_WN21
2018-10-19,663.6899,663.6899,663.6899,663.6899,0.0,9.0,2018-09-26,_W,_WN21
2018-10-22,664.7518,664.7518,664.7518,664.7518,0.0,7.0,2018-09-26,_W,_WN21
2018-10-23,671.5987,671.5987,671.5987,671.5987,0.0,8.0,2018-09-26,_W,_WN21
2018-10-24,665.0842,665.0842,665.0842,665.0842,0.0,8.0,2018-09-26,_W,_WN21
2018-10-25,675.8586,675.8586,675.8586,675.8586,0.0,9.0,2018-09-26,_W,_WN21
2018-10-26,686.9427,686.9427,686.9427,686.9427,0.0,7.0,2018-09-26,_W,_WN21
2018-10-29,694.0869,694.0869,694.0869,694.0869,0.0,8.0,2018-09-26,_W,_WN21
2018-10-30,702.6936,702.6936,702.6936,702.6936,0.0,9.0,2018-09-26,_W,_WN21
2018-10-31,707.8233,707.8233,707.8233,707.8233,0.0,8.0,2018-09-26,_W,_WN21
2018-11-01,694.3039,694.3039,694.3039,694.3039,0.0,9.0,2018-09-26,_W,_WN21
