,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-07-14,550.987,550.987,550.987,550.987,0.0,0.0,2018-09-14,_W,_WU18
2016-07-15,536.4409,536.4409,536.4409,536.4409,0.0,0.0,2018-09-14,_W,_WU18
2016-07-18,535.9581,535.9581,535.9581,535.9581,0.0,0.0,2018-09-14,_W,_WU18
2016-07-19,535.9581,535.9581,535.9581,535.9581,0.0,0.0,2018-09-14,_W,_WU18
2016-07-20,544.1047,544.1047,544.1047,544.1047,0.0,0.0,2018-09-14,_W,_WU18
2016-07-21,548.4031,548.4031,548.4031,548.4031,0.0,0.0,2018-09-14,_W,_WU18
2016-07-22,553.0097,553.0097,553.0097,553.0097,0.0,0.0,2018-09-14,_W,_WU18
2016-07-25,552.6226,552.6226,552.6226,552.6226,0.0,0.0,2018-09-14,_W,_WU18
2016-07-26,549.97,549.97,549.97,549.97,0.0,0.0,2018-09-14,_W,_WU18
2016-07-27,561.0794,561.0794,561.0794,561.0794,0.0,0.0,2018-09-14,_W,_WU18
2016-07-28,547.7818,547.7818,547.7818,547.7818,0.0,0.0,2018-09-14,_W,_WU18
2016-07-29,549.4799,549.4799,549.4799,549.4799,0.0,0.0,2018-09-14,_W,_WU18
2016-08-01,536.0726,536.0726,536.0726,536.0726,0.0,0.0,2018-09-14,_W,_WU18
2016-08-02,534.25,534.25,534.25,534.25,0.0,0.0,2018-09-14,_W,_WU18
2016-08-03,529.3883,529.3883,529.3883,529.3883,0.0,0.0,2018-09-14,_W,_WU18
2016-08-04,519.224,519.224,519.224,519.224,0.0,0.0,2018-09-14,_W,_WU18
2016-08-05,519.6913,519.6913,519.6913,519.6913,0.0,0.0,2018-09-14,_W,_WU18
2016-08-08,519.0677,519.0677,519.0677,519.0677,0.0,0.0,2018-09-14,_W,_WU18
2016-08-09,517.8738,517.8738,517.8738,517.8738,0.0,0.0,2018-09-14,_W,_WU18
2016-08-10,531.3903,531.3903,531.3903,531.3903,0.0,0.0,2018-09-14,_W,_WU18
2016-08-11,545.2596,545.2596,545.2596,545.2596,0.0,0.0,2018-09-14,_W,_WU18
2016-08-12,542.3152,542.3152,542.3152,542.3152,0.0,0.0,2018-09-14,_W,_WU18
2016-08-15,554.5715,554.5715,554.5715,554.5715,0.0,0.0,2018-09-14,_W,_WU18
2016-08-16,558.8417,558.8417,558.8417,558.8417,0.0,0.0,2018-09-14,_W,_WU18
2016-08-17,553.3651,553.3651,553.3651,553.3651,0.0,0.0,2018-09-14,_W,_WU18
2016-08-18,558.5667,558.5667,558.5667,558.5667,0.0,0.0,2018-09-14,_W,_WU18
2016-08-19,569.2353,569.2353,569.2353,569.2353,0.0,0.0,2018-09-14,_W,_WU18
2016-08-22,566.446,566.446,566.446,566.446,0.0,0.0,2018-09-14,_W,_WU18
2016-08-23,556.9297,556.9297,556.9297,556.9297,0.0,0.0,2018-09-14,_W,_WU18
2016-08-24,558.0993,558.0993,558.0993,558.0993,0.0,0.0,2018-09-14,_W,_WU18
2016-08-25,567.866,567.866,567.866,567.866,0.0,0.0,2018-09-14,_W,_WU18
