,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-13,584.1644,584.1644,584.1644,584.1644,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-16,573.0653,573.0653,573.0653,573.0653,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-17,580.0567,580.0567,580.0567,580.0567,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-18,575.1262,575.1262,575.1262,575.1262,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-19,571.0428,571.0428,571.0428,571.0428,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-20,573.5554,573.5554,573.5554,573.5554,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-23,574.0716,574.0716,574.0716,574.0716,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-24,572.0623,572.0623,572.0623,572.0623,0.0,0.0,2018-09-26,_W,_WZ20
2018-07-25,570.6321,570.6321,570.6321,570.6321,14.0,11.0,2018-09-26,_W,_WZ20
2018-07-26,560.9314,560.9314,560.9314,560.9314,0.0,12.0,2018-09-26,_W,_WZ20
2018-07-27,572.3183,572.3183,572.3183,572.3183,0.0,9.0,2018-09-26,_W,_WZ20
2018-07-30,574.951,574.951,574.951,574.951,0.0,9.0,2018-09-26,_W,_WZ20
2018-07-31,574.606,574.606,574.606,574.606,33.0,28.0,2018-09-26,_W,_WZ20
2018-08-01,565.9294,565.9294,565.9294,565.9294,99.0,72.0,2018-09-26,_W,_WZ20
2018-08-02,571.0794,571.0794,571.0794,571.0794,4.0,62.0,2018-09-26,_W,_WZ20
2018-08-03,565.9968,565.9968,565.9968,565.9968,16.0,79.0,2018-09-26,_W,_WZ20
2018-08-06,561.582,561.582,561.582,561.582,5.0,80.0,2018-09-26,_W,_WZ20
2018-08-07,569.3318,569.3318,569.3318,569.3318,10.0,65.0,2018-09-26,_W,_WZ20
2018-08-08,565.6311,565.6311,565.6311,565.6311,18.0,99.0,2018-09-26,_W,_WZ20
